si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
22.016,22.938,228,224.332,22.9242,-0.0417,68.14,0.9086
22.005,22.949,228,224.585,22.9271,-0.0388,65.86,0.9222
22.005,22.927,228,224.461,22.9257,-0.0402,67.37,0.9208
22.005,22.949,228,224.437,22.9254,-0.0405,67.88,0.9205
22.005,22.938,228,224.275,22.9236,-0.0423,69.78,0.9187
22.026,22.938,228,224.245,22.9232,-0.0427,70.36,0.8969
22.005,22.927,228,224.366,22.9246,-0.0413,69.42,0.9197
22.005,22.938,228,224.558,22.9268,-0.0391,67.76,0.9219
22.005,22.938,228,224.598,22.9272,-0.0387,67.62,0.9223
22.026,22.927,228,224.408,22.9251,-0.0408,69.78,0.8987
22.005,22.927,228,224.325,22.9241,-0.0418,70.89,0.9192
22.016,22.938,228,224.686,22.9283,-0.0377,67.53,0.9126
22.005,22.938,228,224.829,22.9299,-0.0360,66.34,0.9249
22.005,22.949,228,224.567,22.9269,-0.0390,69.21,0.9220
22.016,22.960,228,224.736,22.9288,-0.0371,67.77,0.9132
22.005,22.938,228,225.003,22.9319,-0.0341,65.33,0.9269
22.037,22.949,228,224.765,22.9291,-0.0368,67.95,0.8920
22.026,22.938,228,224.711,22.9285,-0.0374,68.73,0.9022
22.026,22.938,228,225.026,22.9321,-0.0338,65.81,0.9057
22.037,22.938,228,225.161,22.9336,-0.0323,64.67,0.8965
22.026,22.938,228,224.939,22.9311,-0.0348,67.12,0.9047
22.016,22.938,228,224.748,22.9290,-0.0370,69.27,0.9133
22.016,22.949,228,224.727,22.9287,-0.0372,69.73,0.9131
22.026,22.938,228,224.719,22.9286,-0.0373,70.06,0.9022
22.026,22.938,228,224.850,22.9301,-0.0358,68.98,0.9037
22.016,22.949,228,225.128,22.9333,-0.0326,66.42,0.9176
22.016,22.949,228,224.896,22.9306,-0.0353,68.96,0.9150
22.037,22.949,228,225.001,22.9318,-0.0341,68.14,0.8947
22.037,22.927,228,225.028,22.9321,-0.0338,68.09,0.8950
22.016,22.938,228,225.048,22.9324,-0.0336,68.12,0.9167
22.037,22.960,228,224.971,22.9315,-0.0344,69.11,0.8944
22.005,22.938,228,224.997,22.9318,-0.0341,69.08,0.9269
22.026,22.938,228,224.975,22.9315,-0.0344,69.52,0.9052
22.026,22.949,228,225.050,22.9324,-0.0335,69.00,0.9060
22.037,22.927,228,225.323,22.9355,-0.0304,66.47,0.8984
22.037,22.949,228,225.090,22.9328,-0.0331,69.02,0.8957
22.026,22.960,228,225.189,22.9340,-0.0319,68.24,0.9076
22.026,22.938,228,225.614,22.9388,-0.0271,64.17,0.9124
22.037,22.938,228,225.518,22.9377,-0.0282,65.32,0.9006
22.048,22.949,228,225.491,22.9374,-0.0285,65.77,0.8896
22.037,22.960,228,225.526,22.9378,-0.0281,65.60,0.9007
22.048,22.938,228,225.437,22.9368,-0.0291,66.69,0.8890
22.059,22.949,228,225.794,22.9408,-0.0251,63.28,0.8823
22.048,22.938,228,225.808,22.9410,-0.0249,63.31,0.8932
22.048,22.960,228,225.906,22.9421,-0.0238,62.49,0.8943
22.026,22.949,228,225.858,22.9416,-0.0243,63.13,0.9152
22.059,22.960,228,225.681,22.9396,-0.0264,65.07,0.8810
22.048,22.938,228,225.794,22.9408,-0.0251,64.11,0.8930
22.026,22.960,228,225.587,22.9385,-0.0274,66.36,0.9121
22.059,22.970,228,225.616,22.9388,-0.0271,66.24,0.8803
22.059,22.960,228,225.529,22.9378,-0.0281,67.31,0.8793
22.059,22.938,228,225.731,22.9401,-0.0258,65.46,0.8816
22.059,22.960,228,225.786,22.9408,-0.0252,65.07,0.8822
22.059,22.960,228,226.043,22.9437,-0.0222,62.64,0.8851
22.048,22.960,228,226.086,22.9442,-0.0217,62.36,0.8963
22.059,22.970,228,226.030,22.9435,-0.0224,63.06,0.8850
22.069,22.938,228,226.090,22.9442,-0.0217,62.61,0.8749
22.059,22.960,228,226.087,22.9442,-0.0217,62.78,0.8856
22.069,22.949,228,226.066,22.9439,-0.0220,63.14,0.8747
22.048,22.960,228,226.213,22.9456,-0.0203,61.81,0.8978
22.069,22.938,228,225.758,22.9404,-0.0255,66.52,0.8711
22.069,22.938,228,225.817,22.9411,-0.0248,66.10,0.8718
22.059,22.960,228,226.201,22.9455,-0.0204,62.39,0.8869
22.059,22.960,228,225.868,22.9417,-0.0242,65.87,0.8831
22.080,22.970,228,226.080,22.9441,-0.0218,63.90,0.8641
22.080,22.960,228,226.200,22.9455,-0.0205,62.84,0.8654
22.091,22.960,228,226.203,22.9455,-0.0204,62.95,0.8548
22.059,22.938,228,226.102,22.9443,-0.0216,64.09,0.8858
22.080,22.960,228,226.006,22.9433,-0.0227,65.20,0.8632
22.069,22.981,228,226.049,22.9437,-0.0222,64.92,0.8745
22.080,22.970,228,226.309,22.9467,-0.0192,62.44,0.8667
22.059,22.938,228,226.164,22.9450,-0.0209,64.03,0.8865
22.080,22.938,228,226.158,22.9450,-0.0209,64.23,0.8650
22.069,22.949,228,226.512,22.9490,-0.0169,60.80,0.8797
22.080,22.949,228,226.412,22.9479,-0.0180,61.92,0.8679
22.091,22.970,228,226.374,22.9474,-0.0185,62.43,0.8567
22.091,22.960,228,226.367,22.9474,-0.0186,62.62,0.8566
22.091,22.960,228,226.439,22.9482,-0.0177,62.02,0.8574
22.091,22.970,228,226.346,22.9471,-0.0188,63.07,0.8564
22.069,22.960,228,226.151,22.9449,-0.0210,65.16,0.8756
22.091,22.970,228,226.368,22.9474,-0.0185,63.11,0.8566
22.080,22.970,228,226.444,22.9482,-0.0177,62.46,0.8682
22.080,22.960,228,226.643,22.9505,-0.0154,60.58,0.8705
