timestamp,value
1500184538.649,9998335.9
1500184538.756,9998366.4
1500184538.864,9998359.8
1500184540.071,9998355.5
1500184543.423,9998348.9
1500184546.776,9998341.3
1500184550.127,9998339.5
1500184553.480,9998341.5
1500184556.832,9998327.3
1500184560.184,9998343.0
1500184563.536,9998342.3
1500184566.888,9998336.2
1500184570.240,9998321.2
1500184573.592,9998326.1
1500184576.945,9998319.0
1500184580.296,9998316.4
1500184583.648,9998329.9
1500184587.001,9998314.9
1500184590.353,9998329.6
1500184593.705,9998346.3
1500184597.057,9998343.3
1500184600.409,9998348.4
1500184603.761,9998355.2
1500184607.113,9998352.9
1500184610.465,9998345.8
1500184613.817,9998353.7
1500184617.169,9998348.9
1500184620.522,9998353.8
1500184623.874,9998349.6
1500184627.226,9998356.5
1500184630.578,9998352.2
1500184633.930,9998341.3
1500184637.282,9998321.2
1500184640.634,9998324.3
1500184643.986,9998339.0
1500184647.338,9998344.1
1500184650.691,9998349.1
1500184654.043,9998346.3
1500184657.395,9998345.8
1500184660.747,9998370.9
1500184664.099,9998358.5
1500184667.451,9998353.4
1500184670.803,9998347.6
1500184674.155,9998351.2
1500184677.507,9998347.1
1500184680.859,9998347.6
1500184684.211,9998363.3
1500184687.563,9998355.7
1500184690.916,9998362.1
1500184694.268,9998368.2
1500184697.620,9998373.5
1500184700.972,9998367.6
1500184704.324,9998367.4
1500184707.676,9998361.6
1500184711.028,9998360.5
1500184714.380,9998365.4
1500184717.732,9998356.7
1500184721.085,9998348.4
1500184724.437,9998349.9
1500184727.789,9998355.0
1500184731.141,9998351.9
1500184734.493,9998360.2
1500184737.845,9998362.6
1500184741.197,9998354.0
1500184744.549,9998367.4
1500184747.901,9998383.4
1500184751.253,9998378.5
1500184754.606,9998379.6
1500184757.958,9998364.9
1500184761.310,9998395.5
1500184764.662,9998406.2
1500184768.014,9998397.8
1500184771.366,9998390.2
1500184774.718,9998388.9
1500184778.070,9998398.1
1500184781.422,9998418.1
1500184784.775,9998416.3
1500184788.127,9998398.1
1500184791.479,9998390.5
1500184794.831,9998394.8
1500184798.183,9998389.7
1500184801.535,9998394.3
1500184804.887,9998386.9
1500184808.239,9998382.1
1500184811.591,9998398.1
1500184814.943,9998382.9
1500184818.295,9998382.9
1500184821.647,9998366.6
1500184824.999,9998355.5
1500184828.352,9998359.8
1500184831.704,9998360.3
1500184835.056,9998368.7
1500184838.408,9998366.4
1500184841.760,9998370.9
1500184845.112,9998369.2
1500184848.464,9998362.6
1500184851.816,9998360.8
1500184855.168,9998356.5
1500184858.521,9998359.8
1500184861.873,9998368.2
1500184865.225,9998375.0
1500184868.577,9998373.2
1500184871.929,9998372.7
1500184875.281,9998378.5
1500184878.633,9998379.1
1500184881.985,9998369.7
1500184885.337,9998379.8
1500184888.689,9998370.7
1500184892.042,9998368.2
1500184895.394,9998370.4
1500184898.746,9998361.1
1500184902.098,9998361.3
1500184905.450,9998355.0
1500184908.802,9998357.2
1500184912.154,9998346.9
1500184915.506,9998333.7
1500184918.858,9998337.7
1500184922.210,9998349.9
1500184925.563,9998357.5
1500184928.915,9998364.3
1500184932.267,9998358.3
1500184935.619,9998360.0
1500184938.971,9998367.9
1500184942.323,9998362.6
1500184945.675,9998365.6
1500184949.027,9998372.0
1500184952.379,9998359.3
1500184955.731,9998353.7
1500184959.084,9998354.2
1500184962.436,9998360.0
1500184965.788,9998363.3
1500184969.140,9998361.3
1500184972.492,9998361.1
1500184975.844,9998367.9
1500184979.196,9998366.4
1500184982.548,9998354.0
1500184985.900,9998346.3
1500184989.252,9998351.2
1500184992.604,9998351.2
1500184995.956,9998345.6
1500184999.309,9998356.2
1500185002.661,9998348.9
1500185006.013,9998344.6
1500185009.365,9998348.6
1500185012.717,9998347.6
1500185016.069,9998352.7
1500185019.421,9998353.2
1500185022.773,9998371.7
1500185026.125,9998370.7
1500185029.477,9998370.7
1500185032.829,9998368.7
1500185036.182,9998369.9
1500185039.533,9998365.9
1500185042.886,9998365.9
1500185046.238,9998360.8
1500185049.590,9998378.5
1500185052.942,9998388.9
1500185056.294,9998370.4
1500185059.646,9998367.1
1500185062.998,9998369.4
1500185066.350,9998381.6
1500185069.702,9998369.9
1500185073.054,9998367.9
1500185076.407,9998381.3
1500185079.759,9998383.1
1500185083.111,9998379.1
1500185086.463,9998386.4
1500185089.815,9998374.7
1500185093.167,9998375.5
1500185096.519,9998367.1
1500185099.871,9998364.3
1500185103.223,9998366.4
1500185106.575,9998383.1
1500185109.928,9998383.4
1500185113.280,9998389.7
1500185116.632,9998384.1
1500185119.984,9998375.2
1500185123.336,9998372.2
1500185126.688,9998376.5
1500185130.040,9998383.9
1500185133.392,9998366.1
1500185136.744,9998347.9
1500185140.096,9998365.9
1500185143.449,9998363.1
1500185146.801,9998365.6
1500185150.153,9998383.4
1500185153.505,9998366.9
1500185156.857,9998367.9
1500185160.209,9998361.3
1500185163.561,9998356.5
1500185166.913,9998358.3
1500185170.266,9998352.7
1500185173.618,9998329.9
1500185176.970,9998369.4
1500185180.322,9998358.8
1500185183.674,9998358.3
1500185187.026,9998354.0
1500185190.378,9998352.2
1500185193.730,9998359.5
1500185197.082,9998354.2
1500185200.434,9998350.7
1500185203.786,9998352.9
1500185207.138,9998351.7
1500185210.491,9998348.1
1500185213.843,9998350.9
1500185217.195,9998354.0
1500185220.547,9998355.5
1500185223.899,9998354.0
1500185227.251,9998352.4
1500185230.603,9998355.5
1500185233.955,9998354.2
1500185237.307,9998354.6
1500185240.659,9998358.8
1500185244.012,9998361.1
1500185247.364,9998367.1
1500185250.716,9998369.9
1500185254.068,9998373.5
1500185257.420,9998381.6
1500185260.772,9998383.9
1500185264.124,9998388.2
1500185267.476,9998389.7
1500185270.828,9998375.8
1500185274.180,9998378.0
1500185277.532,9998372.7
1500185280.884,9998365.9
1500185284.236,9998359.8
1500185287.588,9998365.1
1500185290.941,9998365.1
1500185294.293,9998359.5
1500185297.645,9998361.1
1500185300.997,9998368.0
1500185304.349,9998368.4
1500185307.701,9998362.3
1500185311.053,9998361.3
1500185314.405,9998364.1
1500185317.757,9998367.6
1500185321.110,9998371.2
1500185324.462,9998373.5
1500185327.814,9998386.2
1500185331.166,9998388.7
1500185334.518,9998379.1
1500185337.870,9998378.0
1500185341.222,9998377.3
1500185344.574,9998370.4
1500185347.926,9998384.4
1500185351.278,9998362.1
1500185354.631,9998365.4
1500185357.983,9998364.3
1500185361.335,9998351.9
1500185364.687,9998338.2
1500185368.039,9998325.6
1500185371.391,9998326.8
1500185374.743,9998338.0
1500185378.095,9998329.4
1500185381.447,9998328.6
1500185384.799,9998328.6
1500185388.152,9998336.2
1500185391.504,9998343.6
1500185394.856,9998362.6
1500185398.208,9998351.9
1500185401.560,9998351.7
1500185404.912,9998363.1
1500185408.264,9998359.5
1500185411.616,9998349.1
1500185414.968,9998363.8
1500185418.320,9998365.4
1500185421.673,9998343.6
1500185425.025,9998346.3
1500185428.377,9998360.0
1500185431.729,9998363.1
1500185435.081,9998357.8
1500185438.433,9998372.2
1500185441.785,9998375.8
1500185445.137,9998381.8
1500185448.489,9998369.4
1500185451.842,9998369.7
1500185455.194,9998382.1
1500185458.546,9998376.5
1500185461.898,9998388.4
1500185465.250,9998386.2
1500185468.602,9998380.3
1500185471.954,9998379.6
1500185475.306,9998377.8
1500185478.658,9998368.2
1500185482.010,9998349.4
1500185485.362,9998362.6
1500185488.715,9998379.4
1500185492.067,9998362.6
1500185495.419,9998355.5
1500185498.771,9998352.2
1500185502.123,9998351.4
1500185505.475,9998359.3
1500185508.827,9998366.6
1500185512.179,9998361.1
1500185515.531,9998363.6
1500185518.883,9998372.7
1500185522.236,9998369.2
1500185525.588,9998375.8
1500185528.940,9998388.4
1500185532.292,9998383.4
1500185535.644,9998384.1
1500185538.996,9998381.6
1500185542.348,9998370.2
1500185545.700,9998367.6
1500185549.052,9998364.3
1500185552.404,9998381.1
1500185555.756,9998373.7
1500185559.109,9998378.5
1500185562.461,9998380.6
1500185565.813,9998394.8
1500185569.165,9998385.9
1500185572.517,9998388.2
1500185575.869,9998372.0
1500185579.221,9998376.5
1500185582.573,9998392.5
1500185585.925,9998399.6
1500185589.277,9998405.2
1500185592.630,9998390.5
1500185595.981,9998380.6
1500185599.334,9998368.9
1500185602.686,9998376.5
1500185606.038,9998358.5
1500185609.390,9998364.1
1500185612.742,9998364.3
1500185616.094,9998357.5
1500185619.446,9998361.3
1500185622.798,9998361.1
1500185626.150,9998364.9
1500185629.503,9998365.4
1500185632.855,9998354.5
1500185636.207,9998362.3
1500185639.559,9998365.9
1500185642.911,9998350.4
1500185646.263,9998351.4
1500185649.615,9998345.5
1500185652.967,9998340.0
1500185656.319,9998341.8
1500185659.671,9998346.6
1500185663.023,9998354.2
1500185666.376,9998339.0
1500185669.727,9998333.9
1500185673.080,9998344.3
1500185676.432,9998341.0
1500185679.784,9998332.7
1500185683.136,9998333.4
1500185686.488,9998337.7
1500185689.840,9998327.3
1500185693.192,9998341.3
1500185696.544,9998340.0
1500185699.897,9998340.3
1500185703.249,9998320.7
1500185706.601,9998329.1
1500185709.953,9998344.6
1500185713.305,9998343.8
1500185716.657,9998341.0
1500185720.009,9998343.8
1500185723.361,9998327.1
1500185726.713,9998309.3
1500185730.065,9998320.2
1500185733.418,9998313.4
1500185736.769,9998327.8
1500185740.122,9998339.8
1500185743.474,9998330.1
1500185746.826,9998323.3
1500185750.178,9998310.1
1500185753.530,9998309.1
1500185756.882,9998298.7
1500185760.234,9998308.6
1500185763.586,9998310.1
1500185766.939,9998331.4
1500185770.291,9998322.8
1500185773.643,9998320.0
1500185776.995,9998308.8
1500185780.347,9998323.3
1500185783.699,9998313.4
1500185787.051,9998307.8
1500185790.403,9998307.8
1500185793.755,9998313.1
1500185797.107,9998325.3
1500185800.459,9998343.0
1500185803.812,9998330.1
1500185807.164,9998337.5
1500185810.516,9998328.8
1500185813.868,9998331.1
1500185817.220,9998344.8
1500185820.572,9998339.2
1500185823.924,9998321.5
1500185827.276,9998320.7
1500185830.628,9998314.4
1500185833.980,9998306.5
1500185837.333,9998305.5
1500185840.684,9998301.5
1500185844.037,9998307.8
1500185847.389,9998291.1
1500185850.741,9998290.8
1500185854.093,9998295.1
1500185857.445,9998303.5
1500185860.797,9998320.2
1500185864.149,9998321.7
1500185867.501,9998338.2
1500185870.854,9998344.1
1500185874.206,9998358.0
1500185877.558,9998353.2
1500185880.910,9998344.6
1500185884.262,9998343.6
1500185887.614,9998349.1
1500185890.966,9998353.4
1500185894.318,9998349.4
1500185897.670,9998345.1
1500185901.022,9998341.5
1500185904.375,9998348.9
1500185907.727,9998339.8
