si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.404,23.796,406,304.042,23.8414,-1.1586,255.00,2.4371
21.404,23.796,406,303.875,23.8395,-1.1605,255.00,2.4352
21.394,23.785,406,304.146,23.8426,-1.1574,255.00,2.4490
21.372,23.775,406,305.181,23.8543,-1.1457,255.00,2.4822
21.361,23.785,406,306.321,23.8673,-1.1327,255.00,2.5059
21.404,23.828,406,307.779,23.8839,-1.1161,255.00,2.4795
21.383,23.818,406,309.252,23.9006,-1.0994,255.00,2.5177
21.383,23.828,406,310.191,23.9113,-1.0887,255.00,2.5284
21.372,23.861,406,311.410,23.9251,-1.0749,255.00,2.5530
21.372,23.861,406,312.972,23.9429,-1.0571,255.00,2.5707
21.383,23.882,406,314.135,23.9561,-1.0439,255.00,2.5732
21.383,23.893,406,315.287,23.9692,-1.0308,255.00,2.5863
21.383,23.914,406,316.589,23.9840,-1.0160,255.00,2.6011
21.383,23.925,406,317.494,23.9942,-1.0058,255.00,2.6114
21.383,23.925,406,318.860,24.0098,-0.9902,255.00,2.6269
21.383,23.946,406,320.108,24.0240,-0.9760,255.00,2.6411
21.372,23.957,406,321.455,24.0393,-0.9607,255.00,2.6671
21.372,23.989,406,322.608,24.0524,-0.9476,255.00,2.6802
21.361,24.011,406,323.635,24.0640,-0.9360,255.00,2.7026
21.372,24.021,406,324.967,24.0792,-0.9208,255.00,2.7070
21.361,24.032,406,326.291,24.0942,-0.9058,255.00,2.7328
21.372,24.054,406,327.242,24.1050,-0.8950,255.00,2.7329
21.361,24.054,406,328.562,24.1200,-0.8800,255.00,2.7586
21.383,24.086,406,329.491,24.1306,-0.8694,255.00,2.7477
21.372,24.097,406,330.605,24.1432,-0.8568,255.00,2.7711
21.340,24.129,406,332.034,24.1595,-0.8405,255.00,2.8195
21.361,24.118,406,333.124,24.1719,-0.8281,255.00,2.8104
21.372,24.161,406,334.275,24.1849,-0.8151,255.00,2.8128
21.361,24.139,406,335.623,24.2003,-0.7997,255.00,2.8388
21.372,24.172,406,336.629,24.2117,-0.7883,255.00,2.8395
21.340,24.182,406,337.760,24.2245,-0.7754,255.00,2.8846
21.351,24.204,406,338.781,24.2361,-0.7639,255.00,2.8855
21.351,24.215,406,340.230,24.2526,-0.7474,255.00,2.9019
