timestamp,AD587-bare
1512853382.876,10000602.0
1512853386.228,10000599.0
1512853389.580,10000596.0
1512853392.933,10000599.0
1512853396.284,10000601.0
1512853399.636,10000601.0
1512853402.988,10000600.0
1512853406.341,10000601.0
1512853409.693,10000600.0
1512853413.044,10000600.0
1512853416.396,10000599.0
1512853419.749,10000600.0
1512853423.101,10000600.0
1512853426.453,10000601.0
1512853429.805,10000600.0
1512853433.157,10000600.0
1512853436.510,10000602.0
1512853439.862,10000602.0
1512853443.213,10000602.0
1512853446.565,10000603.0
1512853449.917,10000602.0
1512853453.270,10000600.0
1512853456.622,10000601.0
1512853459.974,10000601.0
1512853463.326,10000601.0
1512853466.678,10000604.0
1512853470.030,10000604.0
1512853473.383,10000604.0
1512853476.735,10000605.0
1512853480.086,10000605.0
1512853483.438,10000605.0
1512853486.791,10000607.0
1512853490.143,10000606.0
1512853493.495,10000607.0
1512853496.847,10000606.0
1512853500.199,10000606.0
1512853503.551,10000605.0
1512853506.903,10000604.0
1512853510.256,10000604.0
1512853513.608,10000604.0
1512853516.960,10000606.0
1512853520.311,10000605.0
1512853523.664,10000606.0
1512853527.016,10000605.0
1512853530.368,10000605.0
1512853533.721,10000604.0
1512853537.073,10000604.0
1512853540.424,10000606.0
1512853543.776,10000606.0
1512853547.129,10000605.0
1512853550.481,10000606.0
1512853553.833,10000605.0
1512853557.185,10000607.0
1512853560.537,10000607.0
1512853563.889,10000607.0
1512853567.242,10000608.0
1512853570.593,10000607.0
1512853573.945,10000607.0
1512853577.298,10000608.0
1512853580.650,10000607.0
1512853584.002,10000607.0
1512853587.354,10000606.0
1512853590.706,10000608.0
1512853594.058,10000605.0
1512853597.410,10000606.0
1512853600.762,10000608.0
1512853604.115,10000608.0
1512853607.467,10000607.0
1512853610.818,10000606.0
1512853614.170,10000608.0
1512853617.523,10000606.0
1512853620.875,10000609.0
1512853624.227,10000609.0
1512853627.580,10000609.0
1512853630.931,10000609.0
1512853634.283,10000611.0
1512853637.635,10000611.0
1512853640.988,10000609.0
1512853644.340,10000610.0
1512853647.692,10000611.0
1512853651.043,10000611.0
1512853654.396,10000609.0
1512853657.748,10000610.0
1512853661.100,10000610.0
1512853664.453,10000610.0
1512853667.804,10000610.0
1512853671.157,10000609.0
1512853674.509,10000611.0
1512853677.860,10000610.0
1512853681.212,10000611.0
1512853684.565,10000611.0
1512853687.917,10000611.0
1512853691.269,10000611.0
1512853694.620,10000608.0
1512853697.973,10000609.0
1512853701.325,10000608.0
1512853704.677,10000608.0
1512853708.030,10000608.0
1512853711.381,10000607.0
1512853714.733,10000608.0
1512853718.086,10000609.0
1512853721.438,10000609.0
1512853724.790,10000609.0
1512853728.142,10000610.0
1512853731.495,10000608.0
1512853734.846,10000610.0
1512853738.198,10000608.0
1512853741.550,10000609.0
1512853744.903,10000610.0
1512853748.255,10000609.0
1512853751.607,10000609.0
1512853754.958,10000610.0
1512853758.311,10000609.0
1512853761.663,10000609.0
1512853765.015,10000610.0
1512853768.367,10000609.0
1512853771.720,10000609.0
1512853775.071,10000609.0
1512853778.423,10000610.0
1512853781.776,10000610.0
1512853785.128,10000610.0
1512853788.479,10000610.0
1512853791.832,10000608.0
1512853795.184,10000610.0
1512853798.536,10000609.0
1512853801.888,10000610.0
1512853805.240,10000610.0
1512853808.592,10000610.0
1512853811.945,10000611.0
1512853815.297,10000611.0
1512853818.649,10000611.0
1512853822.000,10000609.0
1512853825.353,10000609.0
1512853828.705,10000610.0
1512853832.057,10000610.0
1512853835.410,10000610.0
1512853838.761,10000610.0
1512853842.113,10000609.0
1512853845.465,10000608.0
1512853848.818,10000609.0
1512853852.170,10000609.0
1512853855.521,10000609.0
1512853858.873,10000609.0
1512853862.226,10000608.0
1512853865.578,10000608.0
1512853868.930,10000610.0
1512853872.282,10000610.0
1512853875.634,10000609.0
1512853878.986,10000609.0
1512853882.338,10000609.0
1512853885.690,10000608.0
1512853889.043,10000607.0
1512853892.395,10000608.0
1512853895.746,10000606.0
1512853899.099,10000607.0
1512853902.451,10000606.0
1512853905.803,10000606.0
