set_c,oven_c,output,ambient_c
25.000,23.754,205.00,20.589
25.000,23.752,205.00,20.579
25.000,23.899,205.00,20.600
25.000,24.169,205.00,20.589
25.000,24.467,205.00,20.589
25.000,24.762,162.86,20.589
25.000,25.036,111.95,20.589
25.000,25.262,64.68,20.589
25.000,25.409,28.34,20.579
25.000,25.488,2.91,20.589
25.000,25.467,0.00,20.622
25.000,25.389,1.46,20.611
25.000,25.276,15.71,20.600
25.000,25.160,33.33,20.589
25.000,25.060,50.18,20.600
25.000,24.988,63.63,20.600
25.000,24.973,67.08,20.589
25.000,24.977,66.81,20.600
25.000,25.005,61.59,20.589
25.000,25.057,50.80,20.600
25.000,25.084,43.94,20.589
25.000,25.128,32.96,20.589
25.000,25.142,27.08,20.611
25.000,25.140,24.31,20.600
25.000,25.112,26.83,20.632
25.000,25.075,31.98,20.589
25.000,25.061,33.12,20.611
25.000,25.047,34.58,20.622
25.000,25.026,37.79,20.611
25.000,25.019,38.63,20.600
25.000,25.017,38.62,20.600
25.000,25.030,35.55,20.611
25.000,25.041,32.55,20.600
25.000,25.053,29.28,20.600
25.000,25.054,27.81,20.589
25.000,25.054,26.57,20.611
25.000,25.046,26.89,20.600
25.000,25.036,27.97,20.589
25.000,25.020,30.50,20.589
25.000,25.010,32.00,20.600
25.000,25.003,33.24,20.600
25.000,25.009,32.02,20.600
25.000,25.014,30.72,20.600
25.000,25.029,27.38,20.611
25.000,25.034,25.55,20.589
25.000,25.040,23.70,20.600
25.000,25.032,24.31,20.600
25.000,25.024,25.33,20.622
25.000,25.010,27.69,20.579
25.000,25.003,28.82,20.579
25.000,24.996,30.29,20.611
25.000,24.999,29.71,20.611
25.000,25.005,28.45,20.611
25.000,25.016,26.07,20.589
25.000,25.021,24.61,20.600
25.000,25.028,22.81,20.600
25.000,25.024,22.98,20.600
25.000,25.018,23.65,20.589
25.000,25.005,25.92,20.611
25.000,24.998,27.22,20.589
26.000,24.991,205.00,20.611
26.000,25.010,205.00,20.589
26.000,25.146,205.00,20.632
26.000,25.377,205.00,20.589
26.000,25.629,181.98,20.600
26.000,25.874,140.35,20.600
26.000,26.095,97.93,20.589
26.000,26.265,61.13,20.611
26.000,26.367,34.27,20.622
26.000,26.385,22.23,20.611
26.000,26.369,16.82,20.589
26.000,26.292,24.14,20.611
26.000,26.199,36.48,20.622
26.000,26.110,50.09,20.622
26.000,26.034,63.27,20.611
26.000,26.002,68.90,20.611
26.000,25.982,72.91,20.622
26.000,26.001,69.55,20.600
26.000,26.024,64.82,20.611
26.000,26.042,60.62,20.622
26.000,26.077,52.42,20.643
26.000,26.106,44.85,20.622
26.000,26.113,40.99,20.622
26.000,26.112,38.65,20.632
26.000,26.100,38.49,20.632
26.000,26.075,41.41,20.622
26.000,26.043,46.12,20.611
26.000,26.032,47.43,20.622
26.000,26.029,47.39,20.611
26.000,26.029,46.71,20.611
26.000,26.030,45.92,20.611
26.000,26.032,44.81,20.611
26.000,26.033,43.87,20.622
26.000,26.037,42.28,20.632
26.000,26.038,41.27,20.622
26.000,26.042,39.57,20.632
26.000,26.040,39.05,20.611
26.000,26.040,38.05,20.632
26.000,26.035,38.13,20.632
26.000,26.035,37.44,20.622
26.000,26.033,37.12,20.643
26.000,26.032,36.55,20.622
26.000,26.030,36.13,20.611
26.000,26.029,35.60,20.622
26.000,26.029,35.10,20.632
26.000,26.028,34.52,20.622
26.000,26.027,34.19,20.632
26.000,26.026,33.75,20.632
26.000,26.024,33.62,20.632
26.000,26.022,33.41,20.632
26.000,26.017,33.94,20.632
26.000,26.015,33.90,20.654
26.000,26.011,34.45,20.632
26.000,26.010,34.36,20.632
26.000,26.007,34.76,20.643
26.000,26.010,34.03,20.632
26.000,26.010,33.82,20.632
26.000,26.013,32.95,20.664
26.000,26.013,32.72,20.622
26.000,26.014,32.16,20.643
