set_c,oven_c,output,ambient_c
25.000,23.410,205.00,21.179
25.000,23.413,205.00,21.158
25.000,23.568,205.00,21.158
25.000,23.843,205.00,21.190
25.000,24.150,86.06,21.179
25.000,24.447,0.00,21.147
25.000,24.642,0.00,21.158
25.000,24.708,58.42,21.179
25.000,24.653,168.26,21.190
25.000,24.635,146.61,21.169
25.000,24.720,40.82,21.179
25.000,24.851,0.00,21.169
25.000,24.902,0.00,21.158
25.000,24.890,49.27,21.158
25.000,24.814,123.70,21.147
25.000,24.783,102.19,21.158
25.000,24.810,49.61,21.158
25.000,24.889,0.00,21.158
25.000,24.934,0.00,21.147
25.000,24.903,58.66,21.169
25.000,24.846,98.48,21.169
25.000,24.811,94.88,21.158
25.000,24.855,20.20,21.158
25.000,24.918,0.00,21.158
25.000,24.953,0.00,21.147
25.000,24.901,73.76,21.147
25.000,24.846,97.39,21.136
25.000,24.833,70.43,21.147
25.000,24.888,1.02,21.126
25.000,24.960,0.00,21.136
25.000,24.962,12.48,21.136
25.000,24.899,83.10,21.126
25.000,24.859,80.83,21.126
25.000,24.873,36.70,21.126
25.000,24.916,0.00,21.136
25.000,24.970,0.00,21.126
25.000,24.943,40.84,21.115
25.000,24.890,78.95,21.126
25.000,24.876,55.96,21.126
25.000,24.895,24.45,21.136
25.000,24.950,0.00,21.147
25.000,24.974,0.00,21.126
25.000,24.939,48.59,21.115
25.000,24.889,77.64,21.115
25.000,24.882,47.84,21.126
25.000,24.911,11.18,21.115
25.000,24.970,0.00,21.136
25.000,24.976,4.41,21.115
25.000,24.935,54.22,21.115
25.000,24.890,72.74,21.093
25.000,24.888,42.56,21.126
25.000,24.934,0.00,21.126
25.000,24.977,0.00,21.136
25.000,24.977,8.95,21.126
25.000,24.931,58.71,21.126
25.000,24.890,70.49,21.126
25.000,24.893,36.82,21.126
25.000,24.953,0.00,21.126
25.000,24.979,0.00,21.147
25.000,24.978,8.23,21.136
26.000,24.953,205.00,21.126
26.000,24.909,205.00,21.136
26.000,25.027,205.00,21.115
26.000,25.250,110.53,21.104
26.000,25.499,0.00,21.126
26.000,25.687,0.00,21.104
26.000,25.746,49.80,21.115
26.000,25.689,154.88,21.115
26.000,25.666,137.53,21.115
26.000,25.715,67.91,21.093
26.000,25.816,0.00,21.104
26.000,25.881,0.00,21.104
26.000,25.861,64.66,21.126
26.000,25.797,120.33,21.104
26.000,25.766,108.25,21.115
26.000,25.800,47.61,21.115
26.000,25.871,0.00,21.093
26.000,25.928,0.00,21.093
26.000,25.876,82.31,21.093
26.000,25.815,112.04,21.104
26.000,25.788,97.00,21.115
26.000,25.849,10.76,21.093
26.000,25.926,0.00,21.104
26.000,25.939,12.29,21.093
26.000,25.872,95.26,21.093
26.000,25.821,102.09,21.093
26.000,25.824,61.98,21.093
26.000,25.879,4.38,21.104
26.000,25.940,0.00,21.093
26.000,25.934,27.75,21.093
26.000,25.863,102.07,21.093
26.000,25.830,85.62,21.093
26.000,25.848,41.96,21.104
26.000,25.913,0.00,21.104
26.000,25.943,0.00,21.093
26.000,25.930,34.28,21.104
26.000,25.858,103.76,21.093
26.000,25.833,79.59,21.093
26.000,25.856,35.18,21.072
26.000,25.929,0.00,21.083
26.000,25.944,9.57,21.093
26.000,25.939,25.70,21.104
26.000,25.880,86.99,21.093
26.000,25.852,74.42,21.104
26.000,25.866,38.19,21.083
26.000,25.929,0.00,21.104
26.000,25.947,5.61,21.093
26.000,25.941,26.03,21.093
26.000,25.886,81.60,21.093
26.000,25.854,75.88,21.083
26.000,25.871,34.73,21.083
26.000,25.935,0.00,21.072
26.000,25.952,4.19,21.083
26.000,25.943,27.36,21.072
26.000,25.901,66.26,21.083
26.000,25.860,80.56,21.093
26.000,25.875,34.30,21.083
26.000,25.938,0.00,21.083
26.000,25.959,0.00,21.093
26.000,25.946,28.62,21.093
