resistance,ppm,temp_c
19970.119,-0.26,24.992
19970.119,-0.26,25.011
19970.119,-0.26,24.996
19970.119,-0.26,25.01
19970.119,-0.26,25.001
19970.119,-0.26,24.999
19970.119,-0.26,24.993
19970.119,-0.26,24.985
19970.119,-0.26,25.004
19970.119,-0.26,25.011
19970.119,-0.26,25.004
19970.119,-0.26,25.0
19970.119,-0.26,25.011
19970.116,-0.41,25.003
19970.116,-0.41,25.012
19970.116,-0.41,25.0
19970.116,-0.41,24.996
19970.116,-0.41,25.003
19970.116,-0.41,24.999
19970.116,-0.41,25.001
19970.116,-0.41,25.007
19970.116,-0.41,25.005
19970.116,-0.41,25.0
19970.116,-0.41,25.004
19970.116,-0.41,25.01
19970.116,-0.41,24.997
19970.129,0.24,25.001
19970.129,0.24,25.014
19970.129,0.24,25.004
19970.129,0.24,25.007
19970.129,0.24,25.003
19970.129,0.24,25.003
19970.129,0.24,24.986
19970.129,0.24,24.997
19970.129,0.24,25.003
19970.129,0.24,24.997
19970.129,0.24,24.995
19970.129,0.24,25.001
19970.129,0.24,25.014
19970.1,-1.21,25.005
19970.1,-1.21,25.003
19970.1,-1.21,25.003
19970.1,-1.21,25.003
19970.1,-1.21,24.997
19970.1,-1.21,25.0
19970.1,-1.21,24.999
19970.1,-1.21,24.997
19970.1,-1.21,24.982
19970.1,-1.21,24.988
19970.1,-1.21,25.003
19970.1,-1.21,25.001
19970.1,-1.21,25.007
19970.1,-1.21,24.988
19970.086,-1.91,24.995
19970.086,-1.91,25.0
19970.086,-1.91,24.999
19970.086,-1.91,25.012
19970.086,-1.91,25.005
19970.086,-1.91,25.008
19970.086,-1.91,25.015
19970.086,-1.91,24.993
19970.086,-1.91,25.001
19970.086,-1.91,24.997
19970.086,-1.91,25.007
19970.086,-1.91,24.996
19970.086,-1.91,24.999
19970.098,-1.31,24.992
19970.098,-1.31,24.997
19970.098,-1.31,25.0
19970.098,-1.31,24.992
19970.098,-1.31,25.005
19970.098,-1.31,24.996
19970.098,-1.31,24.982
19970.098,-1.31,24.989
19970.098,-1.31,24.992
19970.098,-1.31,25.016
19970.098,-1.31,24.997
19970.098,-1.31,24.99
19970.098,-1.31,24.993
19970.089,-1.76,25.022
19970.089,-1.76,25.004
19970.089,-1.76,25.007
19970.089,-1.76,25.007
19970.089,-1.76,24.999
19970.089,-1.76,25.019
19970.089,-1.76,25.019
19970.089,-1.76,25.011
19970.089,-1.76,24.997
19970.089,-1.76,24.999
19970.089,-1.76,24.993
19970.089,-1.76,25.001
19970.089,-1.76,25.003
19970.089,-1.76,24.988
19970.123,-0.06,24.997
19970.123,-0.06,24.999
19970.123,-0.06,25.011
19970.123,-0.06,24.977
19970.123,-0.06,24.993
19970.123,-0.06,25.003
19970.123,-0.06,25.004
19970.123,-0.06,25.001
19970.123,-0.06,24.996
19970.123,-0.06,25.011
19970.123,-0.06,24.997
19970.123,-0.06,24.986
19970.123,-0.06,24.984
19970.117,-0.36,24.993
19970.117,-0.36,24.986
19970.117,-0.36,24.981
19970.117,-0.36,25.0
19970.117,-0.36,25.003
19970.117,-0.36,24.992
19970.117,-0.36,25.01
19970.117,-0.36,24.993
19970.117,-0.36,25.012
19970.117,-0.36,25.011
19970.117,-0.36,24.988
19970.117,-0.36,25.014
19970.117,-0.36,25.008
19970.117,-0.36,24.995
19970.118,-0.31,25.007
19970.118,-0.31,25.005
19970.118,-0.31,24.996
19970.118,-0.31,25.022
19970.118,-0.31,25.012
19970.118,-0.31,25.01
19970.118,-0.31,24.996
19970.118,-0.31,25.001
19970.118,-0.31,24.997
19970.118,-0.31,25.004
19970.118,-0.31,24.984
19970.118,-0.31,25.001
19970.118,-0.31,25.0
19970.118,-0.31,25.001
