timestamp,inside_c,inside_rh,outside_c,outside_rh,set_c,err_c,duty_cycle
1522128947.59,25.040,65.823,21.437,79.541,25.000,0.040,0.000
1522128948.37,25.008,65.800,21.394,79.510,25.000,0.008,0.043
1522128949.21,25.008,65.800,21.426,79.541,25.000,0.008,0.013
1522128950.02,25.019,65.800,21.405,79.518,25.000,0.019,0.013
1522128950.83,24.997,65.823,21.394,79.526,25.000,-0.003,0.026
1522128951.66,25.008,65.831,21.415,79.526,25.000,0.008,0.004
1522128952.47,25.030,65.815,21.405,79.541,25.000,0.030,0.016
1522128953.26,25.030,65.823,21.415,79.533,25.000,0.030,0.040
1522128954.08,25.008,65.808,21.437,79.541,25.000,0.008,0.043
1522128954.91,25.019,65.823,21.437,79.518,25.000,0.019,0.022
1522128955.72,25.040,65.815,21.437,79.548,25.000,0.040,0.035
1522128956.51,25.040,65.815,21.437,79.533,25.000,0.040,0.059
1522128957.33,25.040,65.831,21.437,79.533,25.000,0.040,0.063
1522128958.14,25.051,65.823,21.437,79.533,25.000,0.051,0.067
1522128958.94,25.040,65.846,21.437,79.533,25.000,0.040,0.083
1522128959.77,25.040,65.831,21.437,79.526,25.000,0.040,0.076
1522128960.58,25.030,65.815,21.426,79.518,25.000,0.030,0.080
1522128961.40,25.062,65.823,21.447,79.510,25.000,0.062,0.072
1522128962.18,25.062,65.831,21.437,79.533,25.000,0.062,0.110
1522128962.99,25.051,65.846,21.437,79.533,25.000,0.051,0.116
1522128963.82,25.062,65.854,21.437,79.526,25.000,0.062,0.110
1522128964.61,25.062,65.831,21.437,79.533,25.000,0.062,0.126
1522128965.43,25.030,65.823,21.447,79.526,25.000,0.030,0.132
1522128966.27,25.062,65.838,21.437,79.533,25.000,0.062,0.104
1522128967.05,25.040,65.831,21.447,79.526,25.000,0.040,0.141
1522128967.88,25.051,65.846,21.437,79.526,25.000,0.051,0.124
1522128968.69,25.062,65.846,21.447,79.526,25.000,0.062,0.139
1522128969.49,25.073,65.838,21.426,79.526,25.000,0.073,0.156
1522128970.29,25.062,65.838,21.437,79.503,25.000,0.062,0.173
1522128971.11,25.062,65.831,21.437,79.518,25.000,0.062,0.169
1522128971.92,25.073,65.831,21.437,79.510,25.000,0.073,0.175
1522128972.72,25.073,65.838,21.458,79.510,25.000,0.073,0.192
1522128973.53,25.083,65.846,21.447,79.526,25.000,0.083,0.199
1522128974.34,25.062,65.823,21.447,79.518,25.000,0.062,0.218
1522128975.16,25.062,65.831,21.447,79.518,25.000,0.062,0.203
1522128975.97,25.073,65.815,21.458,79.510,25.000,0.073,0.208
1522128976.77,25.094,65.831,21.447,79.510,25.000,0.094,0.226
1522128977.56,25.040,65.838,21.447,79.487,25.000,0.040,0.256
1522128978.42,25.062,65.831,21.458,79.533,25.000,0.062,0.207
1522128979.21,25.073,65.831,21.447,79.518,25.000,0.073,0.234
1522128980.02,25.083,65.815,21.447,79.518,25.000,0.083,0.252
1522128980.82,25.073,65.831,21.437,79.526,25.000,0.073,0.270
1522128981.64,25.051,65.831,21.437,79.526,25.000,0.051,0.267
1522128982.46,25.094,65.846,21.437,79.510,25.000,0.094,0.251
1522128983.24,25.094,65.831,21.437,79.518,25.000,0.094,0.302
1522128984.05,25.062,65.823,21.458,79.518,25.000,0.062,0.311
1522128984.88,25.051,65.831,21.469,79.579,25.000,0.051,0.285
1522128985.71,25.062,65.823,21.490,79.602,25.000,0.062,0.279
1522128986.51,25.083,65.838,21.490,79.594,25.000,0.083,0.296
1522128987.30,25.062,65.831,21.501,79.594,25.000,0.062,0.325
1522128988.13,25.062,65.831,21.490,79.632,25.000,0.062,0.310
1522128988.94,25.062,65.831,21.469,79.617,25.000,0.062,0.316
1522128989.75,25.073,65.838,21.490,79.625,25.000,0.073,0.322
1522128990.55,25.073,65.846,21.501,79.609,25.000,0.073,0.339
1522128991.36,25.073,65.838,21.490,79.609,25.000,0.073,0.346
1522128992.17,25.073,65.846,21.469,79.609,25.000,0.073,0.353
1522128992.98,25.073,65.846,21.501,79.609,25.000,0.073,0.360
1522128993.79,25.083,65.846,21.480,79.594,25.000,0.083,0.367
1522128994.59,25.073,65.846,21.469,79.579,25.000,0.073,0.385
1522128995.41,25.062,65.861,21.501,79.587,25.000,0.062,0.382
1522128996.23,25.083,65.846,21.501,79.579,25.000,0.083,0.377
1522128997.02,25.051,65.846,21.490,79.564,25.000,0.051,0.406
1522128997.86,25.062,65.846,21.469,79.556,25.000,0.062,0.380
1522128998.66,25.051,65.861,21.469,79.556,25.000,0.051,0.396
1522128999.48,25.040,65.846,21.469,79.541,25.000,0.040,0.391
1522129000.31,25.062,65.861,21.480,79.541,25.000,0.062,0.384
1522129001.10,25.062,65.831,21.480,79.548,25.000,0.062,0.411
1522129001.91,25.062,65.823,21.490,79.533,25.000,0.062,0.417
1522129002.72,25.083,65.823,21.480,79.518,25.000,0.083,0.423
1522129003.51,25.062,65.823,21.480,79.526,25.000,0.062,0.452
1522129004.34,25.051,65.815,21.469,79.533,25.000,0.051,0.437
1522129005.16,25.062,65.800,21.458,79.526,25.000,0.062,0.431
1522129005.96,25.062,65.808,21.458,79.518,25.000,0.062,0.447
1522129006.77,25.073,65.785,21.480,79.533,25.000,0.073,0.453
1522129007.58,25.062,65.785,21.490,79.510,25.000,0.062,0.471
1522129008.40,25.051,65.785,21.469,79.518,25.000,0.051,0.466
1522129009.22,25.051,65.785,21.480,79.495,25.000,0.051,0.461
1522129010.03,25.062,65.777,21.469,79.510,25.000,0.062,0.466
1522129010.83,25.073,65.785,21.480,79.526,25.000,0.073,0.482
1522129011.63,25.062,65.762,21.469,79.526,25.000,0.062,0.499
1522129012.45,25.073,65.754,21.469,79.495,25.000,0.073,0.495
1522129013.46,25.040,65.747,21.469,79.495,25.000,0.040,0.512
1522129014.09,25.040,65.754,21.501,79.510,25.000,0.040,0.485
1522129014.91,25.062,65.747,21.469,79.487,25.000,0.062,0.489
1522129015.90,25.040,65.747,21.469,79.487,25.000,0.040,0.516
1522129016.53,25.062,65.739,21.469,79.510,25.000,0.062,0.498
