timestamp,lm399-cotton-rounds
1514604185.697,6885962.5
1514604189.050,6885963.0
1514604192.401,6885961.5
1514604195.754,6885962.0
1514604199.106,6885962.5
1514604202.458,6885960.4
1514604205.810,6885962.7
1514604209.162,6885964.0
1514604212.515,6885961.5
1514604215.866,6885961.7
1514604219.219,6885962.7
1514604222.571,6885962.5
1514604225.923,6885962.7
1514604229.275,6885962.5
1514604232.627,6885961.8
1514604235.979,6885960.7
1514604239.332,6885960.9
1514604242.683,6885961.7
1514604246.036,6885960.2
1514604249.388,6885961.5
1514604252.740,6885960.4
1514604256.092,6885960.2
1514604259.444,6885961.2
1514604262.796,6885959.7
1514604266.149,6885960.4
1514604269.500,6885960.4
1514604272.853,6885960.9
1514604276.205,6885962.0
1514604279.557,6885960.9
1514604282.909,6885960.7
1514604286.261,6885961.7
1514604289.613,6885960.4
1514604292.966,6885962.2
1514604296.317,6885963.0
1514604299.670,6885960.7
1514604303.022,6885962.5
1514604306.374,6885960.4
1514604309.726,6885960.9
1514604313.078,6885960.4
1514604316.430,6885962.0
1514604319.783,6885964.2
1514604323.134,6885965.0
1514604326.487,6885964.4
1514604329.838,6885962.5
1514604333.191,6885963.0
1514604336.543,6885963.0
1514604339.895,6885960.9
1514604343.247,6885959.9
1514604346.599,6885960.9
1514604349.952,6885960.4
1514604353.303,6885960.2
1514604356.656,6885962.2
1514604360.008,6885962.5
1514604363.360,6885963.0
1514604366.712,6885962.7
1514604370.064,6885962.2
1514604373.416,6885961.5
1514604376.768,6885964.5
1514604380.121,6885964.5
1514604383.472,6885965.0
1514604386.825,6885964.0
1514604390.177,6885964.5
1514604393.529,6885963.7
1514604396.882,6885964.0
1514604400.233,6885962.0
1514604403.585,6885963.0
1514604406.938,6885963.2
1514604410.290,6885963.5
1514604413.642,6885962.2
1514604416.995,6885963.2
1514604420.346,6885961.8
1514604423.699,6885963.5
1514604427.050,6885963.7
1514604430.717,6885964.2
1514604433.755,6885962.7
1514604437.106,6885963.2
1514604440.459,6885963.2
1514604443.811,6885962.7
1514604447.163,6885962.7
1514604450.515,6885963.7
1514604453.868,6885963.5
1514604457.285,6885963.5
1514604460.571,6885962.0
1514604463.924,6885963.0
1514604467.276,6885962.7
1514604470.628,6885963.7
1514604473.980,6885964.2
1514604477.333,6885962.2
1514604480.684,6885962.8
1514604484.037,6885964.2
1514604487.388,6885966.0
1514604490.746,6885965.5
1514604494.093,6885966.0
1514604497.445,6885966.5
1514604500.797,6885966.0
1514604504.149,6885966.8
1514604507.501,6885966.5
1514604510.853,6885966.3
1514604514.206,6885965.3
1514604517.558,6885963.7
1514604520.910,6885964.5
1514604524.262,6885963.2
1514604527.615,6885964.2
1514604530.966,6885963.0
1514604534.318,6885962.5
1514604537.670,6885963.0
1514604541.023,6885963.0
1514604544.375,6885963.2
1514604547.727,6885961.5
1514604551.079,6885962.5
1514604554.432,6885962.2
1514604557.783,6885963.0
1514604561.135,6885962.5
1514604564.488,6885963.2
1514604567.839,6885963.5
1514604571.192,6885960.7
1514604574.543,6885961.5
1514604577.896,6885961.8
1514604581.249,6885960.2
1514604584.600,6885962.2
1514604587.953,6885962.0
1514604591.304,6885962.7
1514604594.656,6885962.5
1514604598.009,6885962.5
1514604601.360,6885961.7
1514604604.713,6885960.9
1514604608.065,6885961.7
1514604611.417,6885963.2
1514604614.769,6885963.0
1514604618.122,6885963.5
1514604621.473,6885964.0
1514604624.826,6885962.5
1514604628.179,6885962.7
1514604631.530,6885962.0
1514604634.882,6885961.7
1514604638.234,6885962.2
1514604641.587,6885963.0
1514604644.938,6885961.7
1514604648.291,6885963.2
1514604651.642,6885963.2
1514604654.995,6885963.5
1514604658.347,6885963.5
1514604661.699,6885964.0
1514604665.051,6885961.7
1514604668.404,6885961.7
1514604671.755,6885963.2
1514604675.108,6885961.2
1514604678.459,6885961.5
