Timestamp,Resistance,PPM,Oven (C),Ambient (C)
1518492536.97,12500.554,0.58,24.999,18.702
1518492537.97,12500.554,0.58,25.001,18.713
1518492538.97,12500.554,0.58,25.0,18.734
1518492539.98,12500.554,0.58,25.002,18.713
1518492540.98,12500.551,0.34,24.999,18.723
1518492541.97,12500.551,0.34,24.999,18.734
1518492542.97,12500.551,0.34,24.998,18.723
1518492543.97,12500.559,0.98,25.0,18.702
1518492544.97,12500.559,0.98,24.999,18.713
1518492545.97,12500.559,0.98,25.002,18.713
1518492546.98,12500.533,-1.10,25.001,18.713
1518492547.98,12500.533,-1.10,25.002,18.723
1518492548.98,12500.533,-1.10,24.999,18.734
1518492549.98,12500.533,-1.10,24.999,18.713
1518492550.97,12500.541,-0.46,24.996,18.713
1518492551.98,12500.541,-0.46,24.999,18.713
1518492552.98,12500.541,-0.46,24.997,18.713
1518492553.98,12500.554,0.58,25.001,18.734
1518492554.98,12500.554,0.58,24.999,18.723
1518492555.98,12500.554,0.58,25.002,18.702
1518492556.98,12500.574,2.18,25.001,18.723
1518492557.98,12500.574,2.18,25.002,18.723
1518492558.98,12500.574,2.18,24.999,18.723
1518492559.98,12500.574,2.18,25.0,18.723
1518492560.98,12500.538,-0.70,24.998,18.713
1518492561.98,12500.538,-0.70,25.001,18.713
1518492562.98,12500.538,-0.70,25.0,18.734
1518492563.98,12500.566,1.54,25.004,18.723
1518492564.98,12500.566,1.54,25.002,18.702
1518492565.98,12500.566,1.54,25.004,18.702
1518492566.98,12500.556,0.74,25.001,18.734
1518492567.98,12500.556,0.74,25.002,18.713
1518492568.98,12500.556,0.74,24.998,18.713
1518492569.98,12500.556,0.74,25.001,18.691
1518492570.98,12500.554,0.58,24.999,18.723
1518492571.98,12500.554,0.58,25.001,18.734
1518492572.98,12500.554,0.58,25.0,18.745
1518492573.98,12500.546,-0.06,25.002,18.713
1518492574.98,12500.546,-0.06,25.0,18.723
1518492575.98,12500.546,-0.06,25.003,18.734
1518492576.98,12500.546,-0.06,25.002,18.723
1518492577.98,12500.546,-0.06,25.004,18.723
1518492578.98,12500.546,-0.06,25.001,18.723
1518492579.98,12500.546,-0.06,25.001,18.713
1518492580.98,12500.551,0.34,24.998,18.713
1518492581.98,12500.551,0.34,24.998,18.713
1518492582.98,12500.551,0.34,24.996,18.734
1518492583.98,12500.559,0.98,24.999,18.713
1518492584.98,12500.559,0.98,24.998,18.723
1518492585.98,12500.559,0.98,25.003,18.723
1518492586.98,12500.551,0.34,25.002,18.702
1518492587.98,12500.551,0.34,25.003,18.723
1518492588.98,12500.551,0.34,25.0,18.723
1518492589.98,12500.551,0.34,25.001,18.723
1518492590.98,12500.564,1.38,24.999,18.745
1518492591.98,12500.564,1.38,25.001,18.723
1518492592.98,12500.564,1.38,24.999,18.723
1518492593.98,12500.551,0.34,25.001,18.734
1518492594.98,12500.551,0.34,24.999,18.713
