setpoint,input,ouput
400.00,189.34,0.00
400.00,189.62,0.00
400.00,189.61,0.00
400.00,189.65,0.00
400.00,189.77,0.00
400.00,189.91,0.00
400.00,190.07,0.00
400.00,189.73,0.00
400.00,189.51,0.00
400.00,189.33,0.00
400.00,189.49,0.00
400.00,189.39,0.00
400.00,189.86,0.00
400.00,190.15,0.00
400.00,189.36,0.00
400.00,189.43,0.00
400.00,190.01,0.00
400.00,189.51,0.00
400.00,190.03,0.00
400.00,189.90,0.00
400.00,189.60,0.00
400.00,189.35,0.00
400.00,189.43,0.00
400.00,189.50,0.00
400.00,189.58,0.00
400.00,189.91,0.00
400.00,190.25,0.00
400.00,189.76,0.00
400.00,189.61,0.00
400.00,189.41,0.00
400.00,190.03,0.00
400.00,189.64,0.00
400.00,189.44,0.00
400.00,189.34,0.00
400.00,189.45,0.00
400.00,189.96,0.00
400.00,189.41,0.00
400.00,189.60,0.00
400.00,189.58,0.00
400.00,189.86,0.00
400.00,189.45,0.00
400.00,190.34,0.00
400.00,189.58,0.00
400.00,189.93,0.00
400.00,189.86,0.00
400.00,189.11,0.00
400.00,189.57,0.00
400.00,189.24,0.00
400.00,189.42,0.00
400.00,190.20,0.00
400.00,189.56,0.00
400.00,189.34,0.00
400.00,189.77,0.00
400.00,189.55,0.00
400.00,189.48,0.00
400.00,189.12,0.00
400.00,189.30,0.00
400.00,189.41,0.00
400.00,189.85,0.00
400.00,189.50,0.00
400.00,189.54,0.00
400.00,189.45,0.00
400.00,188.89,0.00
400.00,189.29,0.00
400.00,189.39,0.00
400.00,188.98,0.00
400.00,189.34,0.00
400.00,189.53,0.00
400.00,189.21,0.00
400.00,189.26,0.00
400.00,189.89,0.00
400.00,188.99,0.00
400.00,189.15,0.00
400.00,190.09,0.00
400.00,189.06,0.00
400.00,189.70,0.00
400.00,189.57,0.00
400.00,189.29,0.00
400.00,189.05,0.00
400.00,189.67,0.00
400.00,188.89,0.00
400.00,189.07,0.00
400.00,189.40,0.00
400.00,189.16,0.00
400.00,189.20,0.00
400.00,189.12,0.00
400.00,189.44,0.00
400.00,189.41,0.00
400.00,189.24,0.00
400.00,189.31,0.00
400.00,188.92,0.00
400.00,189.41,0.00
400.00,189.18,0.00
400.00,189.29,0.00
400.00,189.20,0.00
400.00,189.14,0.00
400.00,188.75,0.00
400.00,189.04,0.00
400.00,189.05,0.00
400.00,188.77,0.00
400.00,188.86,0.00
400.00,188.48,0.00
400.00,188.89,0.00
400.00,189.05,0.00
400.00,189.05,0.00
400.00,189.12,0.00
400.00,188.66,0.00
400.00,189.33,0.00
400.00,188.99,0.00
400.00,189.37,0.00
400.00,188.98,0.00
400.00,188.87,0.00
400.00,189.70,0.00
400.00,189.50,0.00
400.00,188.99,0.00
400.00,188.87,0.00
400.00,188.86,0.00
400.00,189.13,0.00
400.00,188.80,0.00
400.00,188.48,0.00
400.00,188.93,0.00
400.00,189.00,0.00
400.00,188.91,0.00
400.00,188.73,0.00
400.00,189.14,0.00
400.00,188.59,0.00
400.00,189.28,0.00
400.00,189.02,0.00
400.00,189.07,0.00
400.00,188.34,0.00
400.00,188.49,0.00
400.00,188.57,0.00
400.00,188.98,0.00
400.00,188.30,0.00
400.00,188.93,0.00
400.00,188.68,0.00
400.00,188.94,0.00
400.00,189.13,0.00
400.00,188.40,0.00
400.00,188.72,0.00
400.00,188.20,0.00
400.00,188.30,0.00
400.00,188.57,0.00
400.00,188.86,0.00
400.00,189.04,0.00
400.00,188.98,0.00
400.00,188.98,0.00
400.00,188.76,0.00
400.00,189.30,0.00
400.00,189.24,0.00
400.00,188.99,0.00
400.00,189.24,0.00
400.00,189.58,0.00
400.00,189.43,0.00
400.00,188.82,0.00
400.00,188.76,0.00
400.00,189.02,0.00
400.00,189.27,0.00
400.00,188.85,0.00
400.00,189.36,0.00
400.00,188.68,0.00
400.00,188.84,0.00
400.00,188.53,0.00
400.00,189.46,0.00
400.00,189.12,0.00
400.00,189.04,0.00
400.00,189.07,0.00
400.00,188.64,0.00
400.00,188.96,0.00
400.00,189.19,0.00
400.00,188.61,0.00
400.00,188.29,0.00
400.00,188.71,0.00
400.00,188.29,0.00
400.00,188.75,0.00
400.00,188.57,0.00
400.00,188.93,0.00
400.00,188.47,0.00
400.00,189.20,0.00
400.00,189.35,0.00
400.00,188.87,0.00
400.00,188.72,0.00
400.00,188.68,0.00
400.00,187.94,0.00
400.00,188.76,0.00
400.00,189.01,0.00
400.00,188.73,0.00
400.00,189.16,0.00
400.00,188.46,0.00
400.00,188.56,0.00
400.00,189.05,0.00
400.00,188.53,0.00
400.00,188.66,0.00
400.00,189.20,0.00
400.00,188.69,0.00
400.00,188.64,0.00
400.00,188.99,0.00
400.00,188.97,0.00
400.00,188.76,0.00
400.00,189.25,0.00
400.00,188.52,0.00
400.00,189.34,0.00
400.00,189.07,0.00
400.00,189.21,0.00
400.00,188.84,0.00
400.00,189.02,0.00
400.00,188.68,0.00
400.00,188.81,0.00
400.00,188.69,0.00
400.00,188.54,0.00
400.00,189.00,0.00
400.00,188.78,0.00
400.00,188.91,0.00
400.00,188.70,0.00
400.00,188.81,0.00
400.00,188.85,0.00
400.00,189.33,0.00
400.00,188.68,0.00
400.00,188.20,0.00
400.00,188.23,0.00
400.00,188.39,0.00
400.00,189.54,0.00
400.00,188.12,0.00
400.00,188.40,0.00
400.00,188.58,0.00
400.00,188.58,0.00
400.00,188.38,0.00
400.00,188.36,0.00
400.00,188.21,0.00
400.00,188.86,0.00
400.00,188.80,0.00
400.00,189.36,0.00
400.00,188.39,0.00
400.00,188.39,0.00
400.00,188.94,0.00
400.00,188.28,0.00
400.00,187.87,0.00
400.00,189.10,0.00
400.00,188.85,0.00
400.00,188.96,0.00
400.00,189.10,0.00
400.00,188.56,0.00
400.00,188.71,0.00
400.00,188.89,0.00
400.00,188.95,0.00
400.00,188.69,0.00
400.00,188.29,0.00
400.00,188.86,0.00
400.00,189.27,0.00
400.00,189.16,0.00
400.00,188.91,0.00
400.00,188.80,0.00
400.00,189.48,0.00
400.00,188.88,0.00
400.00,188.96,0.00
400.00,188.76,0.00
400.00,188.63,0.00
400.00,188.95,0.00
400.00,188.70,0.00
400.00,189.02,0.00
400.00,189.32,0.00
400.00,189.55,0.00
400.00,189.02,0.00
400.00,188.70,0.00
400.00,188.90,0.00
400.00,188.37,0.00
400.00,188.14,0.00
400.00,188.60,0.00
400.00,188.45,0.00
400.00,188.13,0.00
400.00,188.36,0.00
400.00,188.80,0.00
400.00,187.87,0.00
400.00,188.48,0.00
400.00,188.95,0.00
400.00,188.25,0.00
400.00,188.44,0.00
400.00,188.65,0.00
400.00,188.50,0.00
400.00,188.26,0.00
400.00,187.95,0.00
400.00,188.28,0.00
400.00,188.31,0.00
400.00,188.34,0.00
400.00,188.04,0.00
400.00,188.44,0.00
400.00,187.92,0.00
400.00,187.85,0.00
400.00,188.48,0.00
400.00,188.68,0.00
400.00,188.55,0.00
400.00,188.24,0.00
400.00,187.56,0.00
400.00,187.98,0.00
400.00,188.67,0.00
400.00,188.14,0.00
400.00,188.04,0.00
400.00,188.68,0.00
400.00,188.27,0.00
400.00,189.01,0.00
400.00,188.80,0.00
400.00,188.72,0.00
400.00,188.24,0.00
400.00,188.74,0.00
400.00,188.52,0.00
400.00,188.49,0.00
400.00,189.16,0.00
400.00,189.07,0.00
400.00,188.79,0.00
400.00,188.21,0.00
400.00,188.31,0.00
400.00,188.34,0.00
400.00,188.55,0.00
400.00,188.73,0.00
400.00,188.43,0.00
400.00,188.16,0.00
400.00,187.90,0.00
400.00,188.30,0.00
400.00,188.00,0.00
400.00,187.51,0.00
400.00,188.33,0.00
400.00,188.46,0.00
400.00,188.25,0.00
400.00,188.33,0.00
400.00,188.32,0.00
400.00,188.16,0.00
400.00,188.05,0.00
400.00,189.08,0.00
400.00,188.74,0.00
400.00,189.19,0.00
400.00,188.75,0.00
400.00,188.54,0.00
400.00,188.39,0.00
400.00,188.49,0.00
