si7021_c,setpoint,input,output
24.997,407,406.268,125.33
25.008,407,406.459,123.45
25.008,407,406.487,123.19
25.008,407,406.413,123.96
24.997,407,406.651,121.60
24.997,407,406.373,124.41
25.008,407,406.395,124.22
25.008,407,405.952,128.71
24.997,407,406.183,126.43
24.987,407,405.871,129.61
24.997,407,405.929,129.08
24.987,407,406.015,128.27
25.008,407,406.237,126.09
25.008,407,406.123,127.27
25.008,407,406.133,127.22
24.997,407,406.331,125.27
24.997,407,406.515,123.46
24.976,407,406.295,125.69
24.997,407,406.383,124.84
25.019,407,406.631,122.38
25.008,407,406.504,123.68
25.019,407,406.679,121.94
24.987,407,406.193,126.84
25.008,407,406.313,125.68
24.987,407,406.357,125.27
25.008,407,406.425,124.61
24.997,407,406.670,122.18
25.008,407,406.611,122.79
24.987,407,406.755,121.37
25.008,407,406.728,121.65
24.997,407,406.668,122.27
25.030,407,406.728,121.68
24.997,407,406.548,123.50
25.019,407,406.433,124.68
24.987,407,406.523,123.80
25.019,407,406.604,123.02
24.997,407,406.347,125.61
25.008,407,406.424,124.88
25.008,407,406.290,126.25
25.008,407,406.696,122.20
25.008,407,406.652,122.67
25.019,407,406.416,125.05
25.008,407,406.593,123.30
25.008,407,406.608,123.17
25.008,407,406.612,123.15
25.008,407,406.636,122.93
24.997,407,406.668,122.62
24.987,407,406.803,121.28
24.987,407,407.112,118.19
25.008,407,407.039,118.92
24.997,407,407.011,119.20
25.008,407,406.986,119.45
24.987,407,406.986,119.45
25.008,407,407.231,116.99
25.008,407,406.948,119.82
24.997,407,407.079,118.51
24.987,407,407.148,117.81
25.008,407,407.015,119.14
24.997,407,406.860,120.70
25.008,407,406.739,121.92
25.019,407,407.008,119.23
24.987,407,406.998,119.33
25.008,407,406.777,121.55
25.008,407,406.969,119.63
24.997,407,407.106,118.26
25.019,407,407.144,117.87
25.008,407,407.189,117.41
25.008,407,407.193,117.36
25.008,407,407.178,117.50
25.008,407,407.023,119.05
25.008,407,407.052,118.76
24.997,407,406.957,119.70
24.997,407,406.693,122.36
25.008,407,406.757,121.73
25.019,407,406.754,121.77
24.997,407,406.735,121.98
24.987,407,406.955,119.78
25.008,407,407.030,119.03
25.008,407,407.203,117.30
24.997,407,407.181,117.50
25.008,407,407.118,118.13
25.008,407,407.179,117.50
25.008,407,407.026,119.04
24.997,407,406.999,119.31
24.987,407,407.430,114.98
25.008,407,407.266,116.60
25.008,407,407.210,117.15
25.008,407,407.217,117.07
25.019,407,407.306,116.17
24.997,407,407.150,117.72
24.997,407,407.310,116.10
25.008,407,407.227,116.92
25.008,407,407.302,116.15
25.008,407,407.258,116.59
25.019,407,407.351,115.63
24.997,407,407.085,118.29
24.987,407,407.148,117.65
25.019,407,406.906,120.08
25.008,407,406.949,119.65
25.008,407,406.860,120.55
24.997,407,406.959,119.56
24.997,407,406.929,119.87
25.008,407,406.933,119.82
25.008,407,407.008,119.07
25.008,407,406.993,119.23
25.030,407,407.081,118.35
25.008,407,407.245,116.69
25.019,407,407.222,116.91
25.008,407,407.207,117.05
25.019,407,406.992,119.21
24.997,407,406.832,120.81
25.008,407,406.973,119.40
24.997,407,406.919,119.94
25.008,407,406.794,121.20
25.008,407,406.865,120.50
24.987,407,406.812,121.04
25.008,407,406.595,123.23
