timestamp,34401a_thermistor,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c,hp_error_c,hp_mcp_delta
1517209615.0,24.9893422228,21.265,-46.582,406,403.205,24.9682,-0.0318,202.23,3.7033,-0.0106577772,0.0211422228
1517209618.33,24.9932102497,21.243,-46.582,406,403.991,24.9772,-0.0228,197.02,3.7337,-0.0067897503,0.0160102497
1517209621.7,24.9965110809,21.276,-46.582,406,404.167,24.9792,-0.0208,196.35,3.7036,-0.0034889191,0.0173110809
1517209625.04,24.9996035067,21.276,-46.582,406,404.757,24.9859,-0.0141,191.21,3.7102,-0.000396493299998,0.0137035067
1517209628.4,25.0027536778,21.265,-46.582,406,404.815,24.9865,-0.0135,191.33,3.7216,0.0027536778,0.0162536778
1517209631.76,25.0054260465,21.254,-46.582,406,405.041,24.9891,-0.0109,189.65,3.7349,0.0054260465,0.0163260465
1517209635.1,25.0080980944,21.265,-46.582,406,405.250,24.9915,-0.0085,188.01,3.7266,0.0080980944,0.0165980944
1517209638.45,25.0116296546,21.254,-46.582,406,405.585,24.9953,-0.0047,184.91,3.7411,0.0116296546,0.0163296546
1517209641.8,25.0156482379,21.265,-46.582,406,405.855,24.9983,-0.0017,182.30,3.7335,0.0156482379,0.0173482379
1517209645.16,25.019194293,21.254,-46.582,406,405.940,24.9993,-0.0007,181.48,3.7452,0.019194293,0.019894293
1517209648.5,25.0220065642,21.265,-46.582,406,406.515,25.0059,0.0059,175.22,3.7410,0.0220065642,0.0161065642
1517209651.87,25.0243448346,21.265,-46.582,406,406.493,25.0056,0.0056,175.14,3.7407,0.0243448346,0.0187448346
1517209655.22,25.0257190657,21.276,-46.582,406,406.599,25.0068,0.0068,173.73,3.7312,0.0257190657,0.0189190657
1517209658.56,25.0259377546,21.254,-46.582,406,406.740,25.0084,0.0084,171.87,3.7542,0.0259377546,0.0175377546
1517209661.92,25.0257529047,21.265,-46.582,406,406.912,25.0104,0.0104,169.61,3.7455,0.0257529047,0.0153529047
1517209665.26,25.0257393231,21.265,-46.582,406,406.898,25.0102,0.0102,169.20,3.7453,0.0257393231,0.0155393231
1517209668.62,25.0259819531,21.286,-46.582,406,406.713,25.0081,0.0081,170.62,3.7218,0.0259819531,0.0178819531
1517209671.98,25.026465611,21.265,-46.582,406,406.644,25.0073,0.0073,170.93,3.7424,0.026465611,0.019165611
1517209675.33,25.0269582592,21.265,-46.582,406,407.206,25.0137,0.0137,164.08,3.7488,0.0269582592,0.0132582592
1517209678.68,25.0271465738,21.243,-46.582,406,407.187,25.0135,0.0135,163.55,3.7700,0.0271465738,0.0136465738
1517209682.02,25.0269686187,21.254,-46.582,406,407.424,25.0162,0.0162,160.33,3.7620,0.0269686187,0.0107686187
1517209685.38,25.0268392397,21.265,-46.582,406,407.082,25.0123,0.0123,163.10,3.7474,0.0268392397,0.0145392397
1517209688.74,25.0267685651,21.265,-46.582,406,407.385,25.0157,0.0157,159.25,3.7508,0.0267685651,0.0110685651
1517209692.08,25.026438907,21.276,-46.582,406,407.212,25.0138,0.0138,160.25,3.7381,0.026438907,0.012638907
1517209695.44,25.0256055786,21.265,-46.582,406,407.223,25.0139,0.0139,159.40,3.7490,0.0256055786,0.0117055786
1517209698.78,25.0242695655,21.265,-46.582,406,407.504,25.0171,0.0171,155.68,3.7522,0.0242695655,0.0071695655
1517209702.15,25.0221821721,21.265,-46.582,406,407.342,25.0153,0.0153,156.50,3.7504,0.0221821721,0.0068821721
1517209705.5,25.0198724686,21.276,-46.582,406,407.137,25.0129,0.0129,157.17,3.7373,0.0198724686,0.0069724686
1517209708.85,25.0176346022,21.297,-46.582,406,407.018,25.0116,0.0116,157.75,3.7145,0.0176346022,0.0060346022
1517209712.2,25.0153972245,21.276,-46.582,406,407.072,25.0122,0.0122,156.56,3.7366,0.0153972245,0.0031972245
1517209715.55,25.0134784949,21.286,-46.582,406,407.050,25.0119,0.0119,156.15,3.7256,0.0134784949,0.0015784949
1517209718.91,25.0123029644,21.308,-46.582,406,406.976,25.0111,0.0111,156.31,3.7033,0.0123029644,0.0012029644
1517209722.26,25.0116213735,21.308,-46.582,406,407.058,25.0120,0.0120,154.86,3.7042,0.0116213735,-0.000378626500002
1517209725.61,25.0111063431,21.319,-46.582,406,407.117,25.0127,0.0127,153.60,3.6942,0.0111063431,-0.0015936569
1517209728.96,25.0104190439,21.308,-46.582,406,406.887,25.0101,0.0101,155.36,3.7023,0.0104190439,0.000319043899999
1517209732.31,25.0087533417,21.319,-46.582,406,406.787,25.0089,0.0089,155.43,3.6904,0.0087533417,-0.0001466583
1517209735.67,25.0058174363,21.308,-46.582,406,406.538,25.0061,0.0061,157.60,3.6983,0.0058174363,-0.000282563700001
1517209739.03,25.0026600987,21.319,-46.582,406,406.457,25.0052,0.0052,158.14,3.6867,0.0026600987,-0.0025399013
