timestamp,temp_c
1500351741.015,24.8480
1500351742.015,24.8267
1500351743.014,24.8480
1500351744.018,24.8267
1500351745.017,24.8267
1500351746.017,24.8267
1500351747.016,24.8373
1500351748.016,24.8373
1500351749.015,24.8267
1500351750.014,24.8160
1500351751.018,24.8373
1500351752.017,24.8160
1500351753.017,24.8373
1500351754.016,24.8267
1500351755.016,24.8373
1500351756.019,24.8053
1500351757.019,24.8267
1500351758.018,24.8480
1500351759.018,24.8373
1500351760.017,24.8373
1500351761.017,24.8267
1500351762.016,24.8160
1500351763.020,24.8267
1500351764.019,24.8267
1500351765.019,24.8160
1500351766.018,24.8267
1500351767.018,24.8267
1500351768.021,24.8267
1500351769.020,24.8373
1500351770.020,24.8053
1500351771.019,24.8373
1500351772.019,24.8373
1500351773.019,24.8373
1500351774.022,24.8480
1500351775.021,24.8160
1500351776.021,24.8267
1500351777.020,24.8267
1500351778.020,24.8373
1500351779.019,24.8267
1500351780.019,24.8267
1500351781.022,24.8160
1500351782.022,24.8053
1500351783.021,24.8160
1500351784.021,24.8053
1500351785.020,24.8373
1500351786.024,24.8160
1500351787.023,24.8160
1500351788.023,24.8053
1500351789.022,24.8267
1500351790.022,24.8160
1500351791.025,24.8267
1500351792.025,24.8160
1500351793.024,24.8160
1500351794.024,24.8160
1500351795.023,24.8053
1500351796.023,24.8267
1500351797.022,24.8160
1500351798.021,24.8160
1500351799.025,24.8160
1500351800.025,24.8267
1500351801.024,24.7946
1500351802.023,24.8160
1500351803.023,24.8160
1500351804.026,24.8160
1500351805.026,24.8160
1500351806.025,24.8267
1500351807.025,24.8160
1500351808.024,24.8053
1500351809.027,24.7946
1500351810.027,24.8160
1500351811.027,24.8053
1500351812.026,24.7946
1500351813.025,24.7839
1500351814.025,24.8053
1500351815.025,24.7946
1500351816.028,24.7946
1500351817.027,24.8160
1500351818.027,24.7946
1500351819.027,24.8160
1500351820.026,24.8160
1500351821.025,24.8053
1500351822.029,24.8053
1500351823.028,24.8053
1500351824.028,24.7946
1500351825.027,24.8053
1500351826.027,24.7839
1500351827.026,24.8053
1500351828.030,24.7946
1500351829.029,24.8373
1500351830.029,24.8160
1500351831.028,24.8160
1500351832.028,24.7946
1500351833.027,24.8053
1500351834.031,24.8160
1500351835.030,24.8053
1500351836.030,24.7946
1500351837.029,24.8160
1500351838.029,24.7946
1500351839.032,24.7839
1500351840.032,24.8160
1500351841.031,24.8160
1500351842.031,24.8053
1500351843.030,24.8160
1500351844.029,24.7946
1500351845.029,24.7946
1500351846.033,24.7946
1500351847.032,24.7839
1500351848.032,24.7946
1500351849.031,24.7839
1500351850.030,24.8160
1500351851.030,24.8053
1500351852.033,24.8160
1500351853.033,24.8160
1500351854.032,24.8053
1500351855.032,24.8053
1500351856.031,24.7732
1500351857.035,24.7946
1500351858.034,24.8053
1500351859.034,24.7839
1500351860.033,24.7946
1500351861.033,24.7946
1500351862.032,24.8160
1500351863.032,24.7839
1500351864.035,24.8053
1500351865.035,24.7946
1500351866.034,24.8053
1500351867.033,24.7946
1500351868.033,24.8053
1500351869.033,24.7839
1500351870.036,24.8053
1500351871.035,24.8160
1500351872.035,24.8053
1500351873.034,24.7946
1500351874.034,24.7946
1500351875.037,24.7839
1500351876.037,24.8160
1500351877.037,24.7946
1500351878.036,24.8160
1500351879.035,24.7839
1500351880.035,24.7732
1500351881.034,24.8053
1500351882.038,24.7839
1500351883.037,24.7946
1500351884.037,24.7839
1500351885.036,24.8053
1500351886.035,24.8160
1500351887.039,24.7946
1500351888.039,24.7946
1500351889.038,24.7946
1500351890.038,24.7839
1500351891.037,24.7946
1500351892.037,24.7946
1500351893.040,24.8053
1500351894.040,24.7839
1500351895.039,24.7946
1500351896.039,24.8053
1500351897.038,24.8160
1500351898.037,24.7946
1500351899.037,24.7946
1500351900.040,24.7946
1500351901.040,24.7839
1500351902.039,24.7946
1500351903.039,24.8053
1500351904.038,24.8053
1500351905.042,24.7839
1500351906.041,24.8053
1500351907.041,24.8160
1500351908.040,24.8160
1500351909.040,24.8053
1500351910.039,24.7946
1500351911.043,24.8053
1500351912.042,24.7946
1500351913.042,24.8053
1500351914.041,24.7839
1500351915.040,24.7839
1500351916.040,24.8053
1500351917.040,24.8053
1500351918.043,24.7946
1500351919.043,24.7946
1500351920.042,24.7839
1500351921.042,24.7839
1500351922.041,24.7839
1500351923.044,24.8267
1500351924.044,24.7946
1500351925.043,24.8160
1500351926.043,24.8160
1500351927.042,24.7946
1500351928.042,24.8053
1500351929.041,24.8053
1500351930.045,24.8053
1500351931.044,24.7946
1500351932.044,24.8053
1500351933.043,24.8053
1500351934.043,24.8160
1500351935.046,24.7946
1500351936.046,24.7946
1500351937.045,24.7946
1500351938.045,24.8267
1500351939.044,24.8160
1500351940.044,24.8160
1500351941.047,24.8160
1500351942.047,24.8267
1500351943.046,24.7946
1500351944.046,24.8160
1500351945.045,24.7839
1500351946.045,24.7946
1500351947.044,24.8053
1500351948.047,24.8160
1500351949.047,24.8267
1500351950.046,24.8160
1500351951.046,24.8160
1500351952.045,24.8053
1500351953.049,24.8160
1500351954.048,24.8160
1500351955.048,24.8053
1500351956.047,24.8160
1500351957.047,24.8160
1500351958.046,24.7946
1500351959.050,24.8160
1500351960.049,24.8053
1500351961.048,24.8267
