time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
56,29.6521,85.37383,43.1867,24.3003,75.74054,54.9970,29.637374,1.9000,191,0.00000
57,29.6843,85.43173,43.1791,24.3003,75.74054,54.9894,29.646759,1.9000,191,0.00000
58,29.6950,85.45104,43.2020,24.2896,75.72124,55.0046,29.657485,1.9000,191,0.00000
59,29.6736,85.41244,43.2020,24.2574,75.66333,54.9818,29.661510,1.9000,191,0.00000
60,29.6843,85.43173,43.2020,24.2788,75.70192,54.9970,29.665531,1.9000,191,0.00000
61,29.6843,85.43173,43.2020,24.3003,75.74054,55.0046,29.672233,1.9000,191,0.00000
62,29.7165,85.48966,43.2096,24.2896,75.72124,54.9970,29.680278,1.9000,191,0.00000
63,29.7272,85.50896,43.2249,24.2896,75.72124,55.0123,29.689659,1.9000,191,0.00000
64,29.7165,85.48966,43.2325,24.2896,75.72124,55.0046,29.697706,1.9000,191,0.00000
65,29.7057,85.47035,43.2172,24.3110,75.75985,55.0123,29.700387,1.9000,191,0.00000
66,29.7272,85.50896,43.2401,24.2896,75.72124,55.0199,29.704406,1.9000,191,0.00000
67,29.7272,85.50896,43.2325,24.2788,75.70192,55.0199,29.711111,1.9000,191,0.00000
68,29.7379,85.52826,43.2630,24.2788,75.70192,55.0352,29.717813,1.9000,191,0.00000
69,29.7272,85.50896,43.2401,24.2788,75.70192,55.0352,29.723176,1.9000,191,0.00000
70,29.7379,85.52826,43.2630,24.2788,75.70192,55.0275,29.725856,1.9000,191,0.00000
71,29.7701,85.58619,43.2706,24.3003,75.74054,55.0428,29.731222,1.9000,191,0.00000
72,29.7594,85.56688,43.2630,24.3003,75.74054,55.0580,29.736583,1.9000,191,0.00000
73,29.7594,85.56688,43.2630,24.3003,75.74054,55.0504,29.743286,1.9000,191,0.00000
74,29.7808,85.60549,43.2630,24.2896,75.72124,55.0580,29.749988,1.9000,191,0.00000
75,29.7808,85.60549,43.2783,24.3217,75.77915,55.0733,29.756690,1.9000,191,0.00000
76,29.7808,85.60549,43.2706,24.2896,75.72124,55.0580,29.762054,1.9000,191,0.00000
77,29.7808,85.60549,43.2935,24.2896,75.72124,55.0733,29.768756,1.9000,191,0.00000
78,29.8023,85.64410,43.2935,24.3217,75.77915,55.0733,29.776802,1.9000,191,0.00000
79,29.8023,85.64410,43.2935,24.2896,75.72124,55.0962,29.780822,1.9000,191,0.00000
80,29.8023,85.64410,43.3011,24.3325,75.79846,55.1038,29.786186,1.9000,191,0.00000
81,29.8023,85.64410,43.2935,24.2788,75.70192,55.1038,29.791549,1.9000,191,0.00000
82,29.8237,85.68270,43.3088,24.3217,75.77915,55.0733,29.796913,1.9000,191,0.00000
83,29.8130,85.66341,43.3088,24.3217,75.77915,55.0886,29.800933,1.9000,191,0.00000
84,29.8237,85.68270,43.3088,24.3110,75.75985,55.1038,29.806297,1.9000,191,0.00000
85,29.8237,85.68270,43.3011,24.3325,75.79846,55.1038,29.811660,1.9000,191,0.00000
86,29.8237,85.68270,43.3088,24.2896,75.72124,55.1038,29.814340,1.9000,191,0.00000
87,29.8452,85.72132,43.3240,24.3110,75.75985,55.1038,29.819702,1.9000,191,0.00000
