time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
64,28.7941,83.82941,43.6674,24.7400,76.53205,54.1883,28.764621,0.1000,9,0.00000
65,28.7834,83.81011,43.6826,24.7400,76.53205,54.1883,28.768642,0.1000,9,0.00000
66,28.7727,83.79080,43.6674,24.7293,76.51274,54.1807,28.769985,0.1000,9,0.00000
67,28.7834,83.81011,43.6597,24.7615,76.57067,54.1730,28.774005,0.1000,9,0.00000
68,28.7727,83.79080,43.6674,24.7615,76.57067,54.1883,28.774005,0.1000,9,0.00000
69,28.7727,83.79080,43.6597,24.7615,76.57067,54.1883,28.775348,0.1000,9,0.00000
70,28.7727,83.79080,43.6750,24.7615,76.57067,54.1654,28.776687,0.1000,9,0.00000
71,28.7941,83.82941,43.6674,24.7722,76.58997,54.1807,28.780710,0.1000,9,0.00000
72,28.7834,83.81011,43.6674,24.7615,76.57067,54.1578,28.779369,0.1000,9,0.00000
73,28.7941,83.82941,43.6826,24.7508,76.55136,54.1501,28.780712,0.1000,9,0.00000
74,28.7834,83.81011,43.6750,24.7400,76.53205,54.1578,28.782051,0.1000,9,0.00000
75,28.7727,83.79080,43.6597,24.7400,76.53205,54.1425,28.780712,0.1000,9,0.00000
76,28.7941,83.82941,43.6674,24.7508,76.55136,54.1501,28.783390,0.1000,9,0.00000
77,28.7941,83.82941,43.6750,24.7400,76.53205,54.1425,28.786071,0.1000,9,0.00000
78,28.7941,83.82941,43.6826,24.7508,76.55136,54.1425,28.788751,0.1000,9,0.00000
79,28.7941,83.82941,43.6750,24.7508,76.55136,54.1425,28.788753,0.1000,9,0.00000
80,28.7941,83.82941,43.6597,24.7508,76.55136,54.1578,28.790090,0.1000,9,0.00000
81,28.8048,83.84871,43.6826,24.7293,76.51274,54.1578,28.791431,0.1000,9,0.00000
82,28.7941,83.82941,43.6674,24.7293,76.51274,54.1578,28.792774,0.1000,9,0.00000
83,28.7941,83.82941,43.6597,24.7186,76.49345,54.1501,28.795454,0.1000,9,0.00000
84,28.7941,83.82941,43.6597,24.7293,76.51274,54.1578,28.795454,0.1000,9,0.00000
85,28.8156,83.86802,43.6826,24.7293,76.51274,54.1883,28.798135,0.1000,9,0.00000
86,28.8048,83.84871,43.6674,24.7293,76.51274,54.1501,28.799476,0.1000,9,0.00000
87,28.7941,83.82941,43.6597,24.7186,76.49345,54.1578,28.799476,0.1000,9,0.00000
88,28.8156,83.86802,43.6597,24.7186,76.49345,54.1654,28.802158,0.1000,9,0.00000
89,28.8156,83.86802,43.6445,24.7079,76.47414,54.1883,28.803499,0.1000,9,0.00000
90,28.8370,83.90663,43.6597,24.7293,76.51274,54.1807,28.808862,0.1000,9,0.00000
91,28.8263,83.88733,43.6597,24.7293,76.51274,54.1730,28.812885,0.1000,9,0.00000
92,28.8477,83.92594,43.6597,24.7293,76.51274,54.1959,28.819587,0.1000,9,0.00000
93,28.8370,83.90663,43.6521,24.7186,76.49345,54.1883,28.822269,0.1000,9,0.00000
94,28.8477,83.92594,43.6597,24.7293,76.51274,54.1883,28.827630,0.1000,9,0.00000
95,28.8585,83.94524,43.6597,24.7400,76.53205,54.1959,28.835674,0.1000,9,0.00000
96,28.8370,83.90663,43.6292,24.7400,76.53205,54.2036,28.838354,0.1000,9,0.00000
97,28.8370,83.90663,43.6368,24.7400,76.53205,54.2112,28.841037,0.1000,9,0.00000
98,28.8370,83.90663,43.6292,24.7186,76.49345,54.2112,28.841037,0.1000,9,0.00000
99,28.8370,83.90663,43.6292,24.7508,76.55136,54.2036,28.842376,0.1000,9,0.00000
100,28.8585,83.94524,43.6368,24.7293,76.51274,54.2112,28.843715,0.1000,9,0.00000
101,28.8263,83.88733,43.6216,24.7508,76.55136,54.2188,28.842376,0.1000,9,0.00000
102,28.8477,83.92594,43.6368,24.7508,76.55136,54.2112,28.842376,0.1000,9,0.00000
103,28.8156,83.86802,43.6140,24.7508,76.55136,54.2188,28.837013,0.1000,9,0.00000
104,28.8585,83.94524,43.6216,24.7400,76.53205,54.2188,28.839694,0.1000,9,0.00000
105,28.8477,83.92594,43.6140,24.7508,76.55136,54.2188,28.841033,0.1000,9,0.00000
106,28.8477,83.92594,43.6216,24.7508,76.55136,54.2112,28.842376,0.1000,9,0.00000
107,28.8585,83.94524,43.6063,24.7722,76.58997,54.2264,28.845058,0.1000,9,0.00000
108,28.8477,83.92594,43.6140,24.7400,76.53205,54.2112,28.843719,0.1000,9,0.00000
109,28.8370,83.90663,43.5911,24.7722,76.58997,54.2264,28.845058,0.1000,9,0.00000
110,28.8477,83.92594,43.5987,24.7829,76.60927,54.2264,28.845060,0.1000,9,0.00000
111,28.8585,83.94524,43.5834,24.7508,76.55136,54.2188,28.850421,0.1000,9,0.00000
112,28.8585,83.94524,43.5987,24.7615,76.57067,54.2264,28.850421,0.1000,9,0.00000
113,28.8585,83.94524,43.6063,24.7508,76.55136,54.2188,28.851764,0.1000,9,0.00000
114,28.8585,83.94524,43.5834,24.7508,76.55136,54.2264,28.853103,0.1000,9,0.00000
115,28.8906,84.00315,43.5758,24.7508,76.55136,54.2112,28.857124,0.1000,9,0.00000
116,28.8906,84.00315,43.5758,24.7400,76.53205,54.2112,28.862487,0.1000,9,0.00000
117,28.8692,83.96456,43.5987,24.7615,76.57067,54.2112,28.866508,0.1000,9,0.00000
118,28.8585,83.94524,43.5682,24.7615,76.57067,54.2188,28.867847,0.1000,9,0.00000
119,28.8799,83.98384,43.5682,24.7615,76.57067,54.2188,28.870529,0.1000,9,0.00000
120,28.8799,83.98384,43.5682,24.7615,76.57067,54.2341,28.873210,0.1000,9,0.00000
121,28.8906,84.00315,43.5758,24.7722,76.58997,54.2112,28.877235,0.1000,9,0.00000
122,28.8799,83.98384,43.5682,24.7615,76.57067,54.2264,28.879917,0.1000,9,0.00000
123,28.8799,83.98384,43.5529,24.7615,76.57067,54.2036,28.878576,0.1000,9,0.00000
124,28.9014,84.02246,43.5605,24.7400,76.53205,54.2036,28.879917,0.1000,9,0.00000
125,28.9014,84.02246,43.5377,24.7400,76.53205,54.2036,28.883937,0.1000,9,0.00000
126,28.8692,83.96456,43.5529,24.7400,76.53205,54.2036,28.885278,0.1000,9,0.00000
127,28.8692,83.96456,43.5300,24.7508,76.55136,54.2036,28.883937,0.1000,9,0.00000
128,28.8692,83.96456,43.5377,24.7400,76.53205,54.1807,28.882596,0.1000,9,0.00000
129,28.9121,84.04177,43.5300,24.7186,76.49345,54.1883,28.885280,0.1000,9,0.00000
130,28.8906,84.00315,43.5300,24.7186,76.49345,54.1883,28.886619,0.1000,9,0.00000
131,28.9014,84.02246,43.5453,24.7293,76.51274,54.1807,28.889301,0.1000,9,0.00000
132,28.8906,84.00315,43.5377,24.7508,76.55136,54.1807,28.887962,0.1000,9,0.00000
133,28.9014,84.02246,43.5300,24.7400,76.53205,54.1807,28.887962,0.1000,9,0.00000
134,28.8799,83.98384,43.5224,24.7615,76.57067,54.1959,28.889301,0.1000,9,0.00000
135,28.9121,84.04177,43.5148,24.7400,76.53205,54.2036,28.894664,0.1000,9,0.00000
136,28.8906,84.00315,43.4995,24.7400,76.53205,54.1883,28.897344,0.1000,9,0.00000
137,28.8906,84.00315,43.5224,24.7400,76.53205,54.1730,28.894662,0.1000,9,0.00000
138,28.8906,84.00315,43.5148,24.7508,76.55136,54.1883,28.894662,0.1000,9,0.00000
139,28.8692,83.96456,43.4995,24.7400,76.53205,54.1807,28.890642,0.1000,9,0.00000
140,28.9121,84.04177,43.4995,24.7508,76.55136,54.1959,28.893323,0.1000,9,0.00000
141,28.9121,84.04177,43.4995,24.7400,76.53205,54.1959,28.894664,0.1000,9,0.00000
142,28.9014,84.02246,43.4843,24.7293,76.51274,54.2036,28.897344,0.1000,9,0.00000
143,28.9121,84.04177,43.4843,24.7508,76.55136,54.1959,28.897344,0.1000,9,0.00000
144,28.8906,84.00315,43.4843,24.7400,76.53205,54.2188,28.897346,0.1000,9,0.00000
145,28.9121,84.04177,43.4843,24.7508,76.55136,54.2112,28.900026,0.1000,9,0.00000
146,28.8906,84.00315,43.4766,24.7400,76.53205,54.2036,28.900028,0.1000,9,0.00000
147,28.9121,84.04177,43.4919,24.7293,76.51274,54.1959,28.905389,0.1000,9,0.00000
148,28.9121,84.04177,43.4766,24.7400,76.53205,54.2188,28.905389,0.1000,9,0.00000
149,28.9121,84.04177,43.4843,24.7293,76.51274,54.2188,28.905389,0.1000,9,0.00000
150,28.9335,84.08037,43.4843,24.7400,76.53205,54.2188,28.909410,0.1000,9,0.00000
151,28.9228,84.06107,43.4690,24.7293,76.51274,54.2188,28.910751,0.1000,9,0.00000
