time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
1,29.9417,85.89507,42.8052,24.6435,76.35830,54.9055,25.617713,1.9000,191,0.00000
2,29.9310,85.87576,42.8052,24.6328,76.33900,54.8978,26.234085,1.9000,191,0.00000
3,29.9202,85.85646,42.8052,24.6221,76.31970,54.8902,26.849117,1.9000,191,0.00000
4,29.9202,85.85646,42.8052,24.6113,76.30039,54.8902,27.464147,1.9000,191,0.00000
5,29.9095,85.83715,42.8205,24.6221,76.31970,54.8902,28.077838,1.9000,191,0.00000
6,29.9310,85.87576,42.8205,24.6221,76.31970,54.8902,28.694210,1.9000,191,0.00000
7,29.9095,85.83715,42.8281,24.6221,76.31970,54.8826,29.307899,1.9000,191,0.00000
8,29.9202,85.85646,42.8281,24.6221,76.31970,54.8902,29.922931,1.9000,191,0.00000
9,29.9095,85.83715,42.8052,24.6221,76.31970,54.8826,29.918910,1.9000,191,0.00000
10,29.8988,85.81785,42.8205,24.6221,76.31970,54.8902,29.914890,1.9000,191,0.00000
11,29.8881,85.79854,42.8205,24.6113,76.30039,54.9207,29.910865,1.9000,191,0.00000
12,29.9095,85.83715,42.8205,24.6113,76.30039,54.8978,29.909523,1.9000,191,0.00000
13,29.9095,85.83715,42.8129,24.6221,76.31970,54.8826,29.909523,1.9000,191,0.00000
14,29.9095,85.83715,42.8205,24.6113,76.30039,54.8902,29.906841,1.9000,191,0.00000
15,29.8988,85.81785,42.8052,24.6113,76.30039,54.8902,29.905502,1.9000,191,0.00000
16,29.8881,85.79854,42.7976,24.6221,76.31970,54.8749,29.901481,1.9000,191,0.00000
17,29.8773,85.77923,42.8052,24.6221,76.31970,54.8673,29.897459,1.9000,191,0.00000
18,29.8773,85.77923,42.8052,24.6113,76.30039,54.8749,29.894777,1.9000,191,0.00000
19,29.8881,85.79854,42.7823,24.6221,76.31970,54.8902,29.894775,1.9000,191,0.00000
20,29.8666,85.75993,42.7823,24.6435,76.35830,54.8749,29.889415,1.9000,191,0.00000
21,29.8666,85.75993,42.7976,24.6435,76.35830,54.8597,29.884052,1.9000,191,0.00000
22,29.8988,85.81785,42.7900,24.6221,76.31970,54.8826,29.882713,1.9000,191,0.00000
23,29.8988,85.81785,42.7900,24.6542,76.37761,54.8673,29.882713,1.9000,191,0.00000
24,29.8666,85.75993,42.7823,24.6542,76.37761,54.8902,29.880031,1.9000,191,0.00000
25,29.8881,85.79854,42.7823,24.6328,76.33900,54.8597,29.881372,1.9000,191,0.00000
26,29.8881,85.79854,42.7823,24.6328,76.33900,54.8749,29.882713,1.9000,191,0.00000
27,29.8773,85.77923,42.7823,24.6435,76.35830,54.8749,29.881372,1.9000,191,0.00000
28,29.8881,85.79854,42.7671,24.6435,76.35830,54.8749,29.884054,1.9000,191,0.00000
29,29.8773,85.77923,42.7671,24.6435,76.35830,54.8749,29.885395,1.9000,191,0.00000
30,29.8881,85.79854,42.7747,24.6435,76.35830,54.8597,29.884054,1.9000,191,0.00000
31,29.8988,85.81785,42.7671,24.6542,76.37761,54.8673,29.884054,1.9000,191,0.00000
32,29.8881,85.79854,42.7900,24.6757,76.41623,54.8597,29.886735,1.9000,191,0.00000
33,29.8988,85.81785,42.7671,24.6542,76.37761,54.8597,29.888076,1.9000,191,0.00000
34,29.8881,85.79854,42.7823,24.6328,76.33900,54.8749,29.888076,1.9000,191,0.00000
35,29.8988,85.81785,42.7823,24.6328,76.33900,54.8826,29.890758,1.9000,191,0.00000
36,29.8988,85.81785,42.7900,24.6542,76.37761,54.8749,29.892099,1.9000,191,0.00000
37,29.9095,85.83715,42.7823,24.6435,76.35830,54.8673,29.896121,1.9000,191,0.00000
38,29.9095,85.83715,42.7900,24.6650,76.39692,54.8749,29.898801,1.9000,191,0.00000
39,29.8881,85.79854,42.7900,24.6757,76.41623,54.8597,29.897460,1.9000,191,0.00000
