time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
1,31.8186,89.27348,33.4592,22.0159,71.62854,53.0668,25.852325,26.0159,0.010,0,0.0000,-344.6977,32.0000
2,31.8079,89.25417,33.4516,22.0159,71.62854,53.0363,26.703308,26.0159,0.010,0,0.0000,-241.1449,32.0000
3,31.8186,89.27348,33.4592,21.9944,71.58994,53.0363,27.555633,25.9944,0.010,0,0.0000,-172.1276,32.0000
4,31.8079,89.25417,33.4592,22.0159,71.62854,53.0515,28.406616,26.0159,0.010,0,0.0000,-126.0982,32.0000
5,31.8079,89.25417,33.4592,22.0159,71.62854,53.0515,29.257598,26.0159,0.010,0,0.0000,-95.4119,32.0000
6,31.8079,89.25417,33.4516,22.0051,71.60923,53.0515,30.108585,26.0051,0.010,0,0.0000,-74.9544,32.0000
7,31.7864,89.21555,33.4669,22.0051,71.60923,53.0515,30.956886,26.0051,0.010,0,0.0000,-61.2803,32.0000
8,31.7864,89.21555,33.4363,22.0051,71.60923,53.0439,31.805187,26.0051,0.010,0,0.0000,-52.1642,32.0000
9,31.7864,89.21555,33.4516,22.0051,71.60923,53.0515,31.801162,26.0051,0.010,0,0.0000,-34.7225,32.0000
10,31.8079,89.25417,33.4592,21.9944,71.58994,53.0439,31.801162,25.9944,0.010,0,0.0000,-23.1483,32.0000
11,31.7757,89.19625,33.4592,21.9730,71.55132,53.0439,31.795799,25.9730,0.010,0,0.0000,-15.3607,32.0000
12,31.7435,89.13833,33.4592,21.9944,71.58994,53.0515,31.787754,25.9944,0.010,0,0.0000,-10.1332,32.0000
13,31.7757,89.19625,33.4669,21.9837,71.57063,53.0591,31.783733,25.9837,0.010,0,0.0000,-6.7019,32.0000
14,31.7650,89.17694,33.4516,21.9837,71.57063,53.0591,31.778369,25.9837,0.010,0,0.0000,-4.3964,32.0000
15,31.7542,89.15764,33.4363,21.9730,71.55132,53.0515,31.774349,25.9730,0.733,72,0.0000,-2.8773,32.0000
16,31.7542,89.15764,33.4440,21.9730,71.55132,53.0515,31.770328,25.9730,1.810,182,0.0000,-1.8646,32.0000
17,31.7435,89.13833,33.4516,21.9837,71.57063,53.0820,31.764968,25.9837,1.950,196,0.0000,-1.1716,32.0000
18,31.7221,89.09973,33.4440,21.9944,71.58994,53.0744,31.754243,25.9944,1.950,196,0.0000,-0.6381,32.0000
19,31.7328,89.11904,33.4516,21.9837,71.57063,53.0897,31.748880,25.9837,1.950,196,0.0000,-0.3539,32.0000
20,31.7221,89.09973,33.4440,21.9837,71.57063,53.0820,31.746198,25.9837,1.950,196,0.0000,-0.2002,32.0000
21,31.7221,89.09973,33.4440,21.9837,71.57063,53.0897,31.739496,25.9837,1.950,196,0.0000,-0.0441,32.0000
22,31.7221,89.09973,33.4516,21.9837,71.57063,53.0820,31.734132,25.9837,1.950,196,0.0000,0.0421,32.0000
23,31.7435,89.13833,33.4669,21.9730,71.55132,53.0973,31.732793,25.9730,1.950,196,0.0000,0.0459,32.0000
24,31.7113,89.08042,33.4592,21.9837,71.57063,53.0973,31.727430,25.9837,1.950,196,0.0000,0.1021,32.0000
