time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
1,31.8186,89.27348,34.1840,23.0884,73.55905,49.5420,25.852325,27.0884,0.010,0,0.0000,-172.3488,32.0000
2,31.8400,89.31208,34.1840,23.0669,73.52046,49.5038,26.707328,27.0669,0.010,0,0.0000,-120.5992,32.0000
3,31.8293,89.29277,34.1993,23.0884,73.55905,49.5038,27.560993,27.0884,0.010,0,0.0000,-86.0906,32.0000
4,31.8293,89.29277,34.2069,23.0776,73.53975,49.5038,28.414657,27.0776,0.010,0,0.0000,-63.0848,32.0000
5,31.8186,89.27348,34.2069,23.0669,73.52046,49.4886,29.266983,27.0669,0.010,0,0.0000,-47.7387,32.0000
6,31.8079,89.25417,34.1916,23.0776,73.53975,49.4733,30.117965,27.0776,0.010,0,0.0000,-37.4990,32.0000
7,31.8293,89.29277,34.1993,23.0669,73.52046,49.4733,30.971630,27.0669,0.010,0,0.0000,-30.6904,32.0000
8,31.8400,89.31208,34.2145,23.0991,73.57836,49.4733,31.826637,27.0991,0.010,0,0.0000,-26.1603,32.0000
9,31.8186,89.27348,34.1764,23.0776,73.53975,49.4657,31.826635,27.0776,0.010,0,0.0000,-17.4402,32.0000
10,31.8186,89.27348,34.1764,23.0562,73.50115,49.4657,31.823955,27.0562,0.010,0,0.0000,-11.6089,32.0000
11,31.8079,89.25417,34.1764,23.0776,73.53975,49.4657,31.821273,27.0776,0.010,0,0.0000,-7.7214,32.0000
12,31.8186,89.27348,34.1840,23.0991,73.57836,49.4581,31.819934,27.0991,0.010,0,0.0000,-5.1387,32.0000
13,31.8079,89.25417,34.1688,23.0884,73.55905,49.4504,31.818595,27.0884,0.010,0,0.0000,-3.4169,32.0000
14,31.8079,89.25417,34.1840,23.0776,73.53975,49.4276,31.818593,27.0776,0.625,61,0.0000,-2.2779,32.0000
15,31.7757,89.19625,34.1764,23.0562,73.50115,49.4352,31.811891,27.0562,1.536,154,0.0000,-1.4739,32.0000
16,31.7864,89.21555,34.1688,23.0776,73.53975,49.4352,31.805191,27.0776,1.950,196,0.0000,-0.9379,32.0000
17,31.7757,89.19625,34.1535,23.0562,73.50115,49.4352,31.799827,27.0562,1.950,196,0.0000,-0.5895,32.0000
18,31.7757,89.19625,34.1840,23.0884,73.55905,49.4276,31.794464,27.0884,1.950,196,0.0000,-0.3573,32.0000
19,31.7542,89.15764,34.1764,23.0991,73.57836,49.4276,31.787757,27.0991,1.950,196,0.0000,-0.1935,32.0000
20,31.7757,89.19625,34.1688,23.0776,73.53975,49.4276,31.782394,27.0776,1.950,196,0.0000,-0.0932,32.0000
21,31.7650,89.17694,34.1688,23.0776,73.53975,49.4123,31.777034,27.0776,1.950,196,0.0000,-0.0264,32.0000
22,31.7542,89.15764,34.1535,23.0884,73.55905,49.4123,31.770332,27.0884,1.950,196,0.0000,0.0271,32.0000
23,31.7328,89.11904,34.1535,23.0669,73.52046,49.3970,31.764968,27.0669,1.950,196,0.0000,0.0538,32.0000
24,31.7435,89.13833,34.1611,23.0669,73.52046,49.3970,31.759605,27.0669,1.950,196,0.0000,0.0716,32.0000
25,31.7435,89.13833,34.1535,23.0562,73.50115,49.3894,31.755584,27.0562,1.950,196,0.0000,0.0746,32.0000
26,31.7328,89.11904,34.1611,23.0562,73.50115,49.3894,31.750221,27.0562,1.950,196,0.0000,0.0855,32.0000
27,31.7328,89.11904,34.1611,23.0669,73.52046,49.3741,31.747541,27.0669,1.950,196,0.0000,0.0748,32.0000
28,31.7328,89.11904,34.1764,23.0776,73.53975,49.3818,31.742177,27.0776,1.950,196,0.0000,0.0856,32.0000
29,31.7221,89.09973,34.1459,23.0562,73.50115,49.3589,31.736816,27.0562,1.950,196,0.0000,0.0928,32.0000
30,31.7221,89.09973,34.1459,23.0562,73.50115,49.3360,31.732791,27.0562,1.950,196,0.0000,0.0887,32.0000
31,31.7221,89.09973,34.1611,23.0562,73.50115,49.3436,31.731452,27.0562,1.950,196,0.0000,0.0681,32.0000
32,31.7221,89.09973,34.1611,23.0562,73.50115,49.3284,31.728769,27.0562,1.950,196,0.0000,0.0633,32.0000
33,31.7113,89.08042,34.1459,23.0776,73.53975,49.3360,31.724746,27.0776,1.950,196,0.0000,0.0690,32.0000
34,31.7113,89.08042,34.1459,23.0776,73.53975,49.3284,31.722068,27.0776,1.950,196,0.0000,0.0639,32.0000
35,31.6792,89.02251,34.1611,23.0669,73.52046,49.3513,31.715366,27.0669,1.950,196,0.0000,0.0873,32.0000
36,31.7113,89.08042,34.1382,23.0991,73.57836,49.3207,31.712684,27.0991,1.950,196,0.0000,0.0760,32.0000
37,31.6899,89.04181,34.1535,23.0669,73.52046,49.3360,31.708663,27.0669,1.950,196,0.0000,0.0775,32.0000
38,31.6792,89.02251,34.1382,23.0669,73.52046,49.3055,31.703300,27.0669,1.950,196,0.0000,0.0874,32.0000
39,31.6792,89.02251,34.1459,23.0776,73.53975,49.2979,31.697937,27.0776,1.950,196,0.0000,0.0940,32.0000
40,31.6684,89.00320,34.1535,23.0562,73.50115,49.2979,31.691230,27.0562,1.950,196,0.0000,0.1074,32.0000
41,31.6684,89.00320,34.1535,23.0669,73.52046,49.2902,31.685871,27.0669,1.950,196,0.0000,0.1073,32.0000
42,31.6899,89.04181,34.1611,23.0776,73.53975,49.2750,31.683189,27.0776,1.950,196,0.0000,0.0894,32.0000
43,31.6899,89.04181,34.1459,23.0776,73.53975,49.2750,31.684532,27.0776,1.950,196,0.0000,0.0507,32.0000
44,31.6792,89.02251,34.1611,23.0562,73.50115,49.2750,31.680509,27.0562,1.950,196,0.0000,0.0606,32.0000
45,31.6684,89.00320,34.1688,23.0562,73.50115,49.2673,31.677827,27.0562,1.950,196,0.0000,0.0583,32.0000
46,31.6577,88.98389,34.1611,23.0669,73.52046,49.2673,31.675146,27.0669,1.950,196,0.0000,0.0567,32.0000
47,31.6792,89.02251,34.1611,23.0347,73.46253,49.2521,31.675146,27.0347,1.950,196,0.0000,0.0378,32.0000
48,31.6470,88.96459,34.1611,23.0133,73.42392,49.2597,31.672464,27.0133,1.950,196,0.0000,0.0431,32.0000
49,31.6684,89.00320,34.1611,23.0455,73.48184,49.2444,31.672466,27.0455,1.950,196,0.0000,0.0287,32.0000
50,31.6684,89.00320,34.1535,23.0240,73.44322,49.2444,31.669784,27.0240,1.950,196,0.0000,0.0370,32.0000
51,31.6792,89.02251,34.1688,23.0455,73.48184,49.2368,31.668443,27.0455,1.950,196,0.0000,0.0336,32.0000
52,31.6577,88.98389,34.1611,23.0026,73.40462,49.2368,31.665761,27.0026,1.950,196,0.0000,0.0403,32.0000
53,31.6577,88.98389,34.1688,23.0455,73.48184,49.2292,31.664421,27.0455,1.950,196,0.0000,0.0358,32.0000
