time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
43,29.0837,84.35065,43.5682,24.7508,76.55136,53.8907,29.043474,28.7508,1.950,196,0.0000,-0.0331,32.0000
44,29.0730,84.33135,43.5605,24.7508,76.55136,53.9060,29.051517,28.7508,1.950,196,0.0000,-0.0355,32.0000
45,29.0730,84.33135,43.5758,24.7508,76.55136,53.8984,29.056884,28.7508,1.950,196,0.0000,-0.0326,32.0000
46,29.0837,84.35065,43.5682,24.7508,76.55136,53.8907,29.062244,28.7508,1.950,196,0.0000,-0.0307,32.0000
47,29.0944,84.36996,43.5758,24.7508,76.55136,53.8984,29.068946,28.7508,1.950,196,0.0000,-0.0316,32.0000
48,29.1051,84.38925,43.5834,24.7615,76.57067,53.9060,29.076992,28.7615,1.950,196,0.0000,-0.0345,32.0000
49,29.1051,84.38925,43.5987,24.7508,76.55136,53.8984,29.085033,28.7508,1.950,196,0.0000,-0.0364,32.0000
50,29.1159,84.40856,43.5987,24.7400,76.53205,53.8984,29.091737,28.7400,1.950,196,0.0000,-0.0354,32.0000
51,29.1373,84.44718,43.6063,24.7508,76.55136,53.8831,29.098440,28.7508,1.950,196,0.0000,-0.0348,32.0000
52,29.1480,84.46648,43.6140,24.7508,76.55136,53.8831,29.107824,28.7508,1.950,196,0.0000,-0.0388,32.0000
53,29.1266,84.42787,43.6140,24.7615,76.57067,53.9060,29.114526,28.7615,1.950,196,0.0000,-0.0371,32.0000
54,29.1480,84.46648,43.6292,24.7508,76.55136,53.8755,29.122570,28.7508,1.950,196,0.0000,-0.0381,32.0000
55,29.1588,84.48578,43.6292,24.7722,76.58997,53.8831,29.130611,28.7722,1.950,196,0.0000,-0.0388,32.0000
56,29.1802,84.52440,43.6445,24.7722,76.58997,53.8831,29.139999,28.7722,1.950,196,0.0000,-0.0415,32.0000
57,29.1588,84.48578,43.6292,24.7615,76.57067,53.8755,29.146705,28.7615,1.950,196,0.0000,-0.0389,32.0000
58,29.2017,84.56301,43.6445,24.7615,76.57067,53.8831,29.157428,28.7615,1.950,196,0.0000,-0.0438,32.0000
59,29.2017,84.56301,43.6521,24.7722,76.58997,53.8831,29.165470,28.7722,1.950,196,0.0000,-0.0426,32.0000
60,29.2231,84.60162,43.6750,24.7722,76.58997,53.8755,29.174858,28.7722,1.950,196,0.0000,-0.0440,32.0000
61,29.2124,84.58232,43.6597,24.7722,76.58997,53.8602,29.185581,28.7722,1.950,196,0.0000,-0.0472,32.0000
