time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
1,24.1930,75.54749,50.4117,22.4127,72.34283,56.6144,24.899131,1.9000,191,0.00000
2,24.1930,75.54749,50.3965,22.4341,72.38145,56.6144,24.798261,1.9000,191,0.00000
3,24.2467,75.64402,50.3889,22.4449,72.40074,56.5687,24.704095,1.9000,191,0.00000
4,24.2467,75.64402,50.3889,22.4341,72.38145,56.5839,24.609930,1.9000,191,0.00000
5,24.2681,75.68264,50.3736,22.4449,72.40074,56.5916,24.518445,1.9000,191,0.00000
6,24.2896,75.72124,50.3736,22.4234,72.36214,56.5992,24.429641,1.9000,191,0.00000
7,24.2681,75.68264,50.3583,22.4341,72.38145,56.5992,24.338157,1.9000,191,0.00000
8,24.3003,75.74054,50.3583,22.4234,72.36214,56.5916,24.250698,1.9000,191,0.00000
9,24.3110,75.75985,50.3202,22.4127,72.34283,56.5916,24.265445,1.9000,191,0.00000
10,24.3003,75.74054,50.3126,22.4449,72.40074,56.5992,24.278850,1.9000,191,0.00000
11,24.3325,75.79846,50.2897,22.4556,72.42005,56.5992,24.289575,1.9000,191,0.00000
12,24.3325,75.79846,50.2668,22.4234,72.36214,56.6144,24.300300,1.9000,191,0.00000
13,24.3539,75.83707,50.2592,22.4341,72.38145,56.5992,24.311027,1.9000,191,0.00000
14,24.3539,75.83707,50.2286,22.4341,72.38145,56.5992,24.319068,1.9000,191,0.00000
15,24.3754,75.87567,50.1981,22.4127,72.34283,56.6144,24.332473,1.9000,191,0.00000
16,24.3861,75.89498,50.1523,22.4449,72.40074,56.6221,24.343200,1.9000,191,0.00000
17,24.4076,75.93360,50.0989,22.4341,72.38145,56.6221,24.355266,1.9000,191,0.00000
18,24.4076,75.93360,50.0532,22.4556,72.42005,56.5992,24.368673,1.9000,191,0.00000
19,24.4397,75.99151,50.0455,22.4341,72.38145,56.6297,24.382080,1.9000,191,0.00000
20,24.4719,76.04943,49.9921,22.4449,72.40074,56.6144,24.399509,1.9000,191,0.00000
21,24.4719,76.04943,49.9463,22.4556,72.42005,56.6373,24.414255,1.9000,191,0.00000
22,24.5041,76.10733,49.8853,22.4449,72.40074,56.6373,24.433021,1.9000,191,0.00000
23,24.5148,76.12664,49.8624,22.4449,72.40074,56.6373,24.450454,1.9000,191,0.00000
24,24.5041,76.10733,49.8243,22.4663,72.43936,56.6602,24.465198,1.9000,191,0.00000
25,24.5577,76.20387,49.7632,22.4556,72.42005,56.6602,24.483966,1.9000,191,0.00000
26,24.5684,76.22317,49.7175,22.4556,72.42005,56.6526,24.504074,1.9000,191,0.00000
27,24.5792,76.24248,49.6641,22.4556,72.42005,56.6526,24.521503,1.9000,191,0.00000
28,24.6006,76.28108,49.6107,22.4556,72.42005,56.6526,24.537593,1.9000,191,0.00000
29,24.6113,76.30039,49.5801,22.4449,72.40074,56.6602,24.555021,1.9000,191,0.00000
30,24.6542,76.37761,49.5267,22.4556,72.42005,56.6602,24.573789,1.9000,191,0.00000
31,24.6864,76.43553,49.4886,22.4556,72.42005,56.6526,24.595239,1.9000,191,0.00000
32,24.6971,76.45484,49.4504,22.4234,72.36214,56.6526,24.619373,1.9000,191,0.00000
33,24.7186,76.49345,49.3894,22.4556,72.42005,56.6526,24.639480,1.9000,191,0.00000
34,24.7293,76.51274,49.3284,22.4449,72.40074,56.6678,24.659591,1.9000,191,0.00000
35,24.7615,76.57067,49.2750,22.4556,72.42005,56.6526,24.682382,1.9000,191,0.00000
36,24.7722,76.58997,49.2292,22.4556,72.42005,56.6526,24.703830,1.9000,191,0.00000
37,24.8044,76.64789,49.1910,22.4556,72.42005,56.6526,24.727962,1.9000,191,0.00000
38,24.7937,76.62858,49.1147,22.4556,72.42005,56.6526,24.745391,1.9000,191,0.00000
39,24.8258,76.68650,49.0766,22.4449,72.40074,56.6526,24.762821,1.9000,191,0.00000
40,24.8687,76.76371,49.0308,22.4663,72.43936,56.6678,24.784269,1.9000,191,0.00000
41,24.8795,76.78302,48.9774,22.4556,72.42005,56.6602,24.804378,1.9000,191,0.00000
42,24.9116,76.84093,48.9164,22.4341,72.38145,56.6678,24.827171,1.9000,191,0.00000
43,24.9438,76.89886,48.8706,22.4341,72.38145,56.6526,24.849962,1.9000,191,0.00000
44,24.9760,76.95677,48.8248,22.4449,72.40074,56.6526,24.875432,1.9000,191,0.00000
45,24.9867,76.97608,48.7562,22.4341,72.38145,56.6602,24.898225,1.9000,191,0.00000
46,25.0189,77.03399,48.7180,22.4234,72.36214,56.6678,24.926376,1.9000,191,0.00000
47,25.0618,77.11121,48.6722,22.4234,72.36214,56.6831,24.955873,1.9000,191,0.00000
48,25.0725,77.13052,48.6188,22.4449,72.40074,56.6678,24.981346,1.9000,191,0.00000
49,25.0940,77.16912,48.5654,22.4234,72.36214,56.6678,25.008155,1.9000,191,0.00000
50,25.1154,77.20774,48.5197,22.4127,72.34283,56.6678,25.033630,1.9000,191,0.00000
51,25.1583,77.28496,48.4586,22.4127,72.34283,56.6831,25.060441,1.9000,191,0.00000
52,25.1690,77.30426,48.4357,22.4127,72.34283,56.6907,25.084573,1.9000,191,0.00000
53,25.2119,77.38149,48.3747,22.4234,72.36214,56.6907,25.112728,1.9000,191,0.00000
54,25.2334,77.42009,48.3442,22.4234,72.36214,56.6831,25.139539,1.9000,191,0.00000
55,25.2656,77.47801,48.2984,22.4127,72.34283,56.6907,25.165012,1.9000,191,0.00000
56,25.2870,77.51662,48.2526,22.4127,72.34283,56.6907,25.191825,1.9000,191,0.00000
57,25.2977,77.53593,48.1992,22.4341,72.38145,56.6831,25.217296,1.9000,191,0.00000
58,25.3406,77.61315,48.1382,22.4234,72.36214,56.6984,25.245450,1.9000,191,0.00000
59,25.3728,77.67106,48.1077,22.4234,72.36214,56.7060,25.272262,1.9000,191,0.00000
60,25.3943,77.70967,48.0390,22.4127,72.34283,56.7060,25.300415,1.9000,191,0.00000
61,25.4157,77.74828,47.9856,22.4234,72.36214,56.7136,25.325887,1.9000,191,0.00000
62,25.4479,77.80619,47.9551,22.4234,72.36214,56.7136,25.352703,1.9000,191,0.00000
63,25.4586,77.82550,47.9093,22.4234,72.36214,56.7060,25.376831,1.9000,191,0.00000
64,25.4801,77.86412,47.8712,22.4127,72.34283,56.6984,25.400962,1.9000,191,0.00000
65,25.5122,77.92203,47.8177,22.4234,72.36214,56.7136,25.427776,1.9000,191,0.00000
66,25.5230,77.94134,47.7643,22.4234,72.36214,56.7060,25.450565,1.9000,191,0.00000
67,25.5337,77.96063,47.7262,22.4234,72.36214,56.7213,25.470676,1.9000,191,0.00000
68,25.5551,77.99925,47.6804,22.4234,72.36214,56.7213,25.490787,1.9000,191,0.00000
69,25.5659,78.01856,47.6499,22.4341,72.38145,56.6984,25.509555,1.9000,191,0.00000
70,25.5980,78.07647,47.5736,22.4234,72.36214,56.7289,25.528327,1.9000,191,0.00000
71,25.6195,78.11507,47.5355,22.4127,72.34283,56.7136,25.548435,1.9000,191,0.00000
72,25.6517,78.17300,47.5202,22.4020,72.32352,56.7136,25.569883,1.9000,191,0.00000
73,25.6731,78.21160,47.4592,22.4234,72.36214,56.7213,25.589994,1.9000,191,0.00000
74,25.6838,78.23091,47.4134,22.4127,72.34283,56.7213,25.610103,1.9000,191,0.00000
75,25.7589,78.36605,47.3752,22.4127,72.34283,56.7136,25.638256,1.9000,191,0.00000
76,25.7589,78.36605,47.3447,22.4020,72.32352,56.7365,25.663726,1.9000,191,0.00000
77,25.7696,78.38535,47.2913,22.4127,72.34283,56.7289,25.689199,1.9000,191,0.00000
78,25.7804,78.40466,47.2684,22.4127,72.34283,56.7213,25.711990,1.9000,191,0.00000
79,25.8018,78.44326,47.2074,22.4127,72.34283,56.7213,25.734779,1.9000,191,0.00000
80,25.8233,78.48188,47.1769,22.4127,72.34283,56.7289,25.756231,1.9000,191,0.00000
