time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
1,31.9258,89.46652,36.5720,23.6675,74.60153,52.1589,25.865730,27.6675,1.950,196,0.0000,-86.2191,32.0000
2,31.9151,89.44722,36.5720,23.6461,74.56293,52.1436,26.730121,27.6461,1.950,196,0.0000,-60.3607,32.0000
3,31.9258,89.46652,36.5568,23.6461,74.56293,52.1436,27.595851,27.6461,1.950,196,0.0000,-43.1262,32.0000
4,31.9044,89.42791,36.5720,23.6675,74.60153,52.1284,28.458900,27.6675,1.950,196,0.0000,-31.6277,32.0000
5,31.9044,89.42791,36.5644,23.6568,74.58223,52.1360,29.321949,27.6568,1.950,196,0.0000,-23.9619,32.0000
6,31.9044,89.42791,36.5644,23.6568,74.58223,52.1360,30.184999,27.6568,1.950,196,0.0000,-18.8515,32.0000
7,31.9044,89.42791,36.5491,23.6675,74.60153,52.1436,31.048049,27.6675,0.010,0,0.0000,-15.4445,32.0000
8,31.8615,89.35070,36.5568,23.6782,74.62084,52.1512,31.905735,27.6782,0.010,0,0.0000,-13.1553,32.0000
9,31.8615,89.35070,36.5491,23.6782,74.62084,52.1512,31.897693,27.6782,0.010,0,0.0000,-8.7434,32.0000
10,31.8615,89.35070,36.5339,23.6890,74.64015,52.1512,31.890987,27.6890,0.010,0,0.0000,-5.8066,32.0000
11,31.8829,89.38930,36.5491,23.6890,74.64015,52.1512,31.885623,27.6890,0.010,0,0.0000,-3.8532,32.0000
12,31.8722,89.36999,36.5491,23.6461,74.56293,52.1589,31.881603,27.6461,0.010,0,0.0000,-2.5554,32.0000
13,31.8615,89.35070,36.5339,23.6890,74.64015,52.1589,31.876239,27.6890,0.294,28,0.0000,-1.6857,32.0000
14,31.8615,89.35070,36.5415,23.6675,74.60153,52.1665,31.870880,27.6675,0.960,95,0.0000,-1.1059,32.0000
15,31.8722,89.36999,36.5415,23.6782,74.62084,52.1665,31.866857,27.6782,1.406,141,0.0000,-0.7239,32.0000
16,31.8722,89.36999,36.5415,23.6997,74.65945,52.1512,31.868194,27.6997,1.622,163,0.0000,-0.4870,32.0000
17,31.8508,89.33139,36.5262,23.6782,74.62084,52.1512,31.866853,27.6782,1.810,182,0.0000,-0.3202,32.0000
18,31.8400,89.31208,36.5186,23.6997,74.65945,52.1512,31.864173,27.6997,1.950,196,0.0000,-0.2046,32.0000
19,31.8400,89.31208,36.5262,23.6997,74.65945,52.1665,31.858810,27.6997,1.950,196,0.0000,-0.1185,32.0000
20,31.8508,89.33139,36.5262,23.6782,74.62084,52.1665,31.856132,27.6782,1.950,196,0.0000,-0.0701,32.0000
21,31.8186,89.27348,36.5262,23.6890,74.64015,52.1665,31.850770,27.6890,1.950,196,0.0000,-0.0288,32.0000
22,31.8079,89.25417,36.5491,23.6997,74.65945,52.1665,31.844066,27.6997,1.950,196,0.0000,0.0031,32.0000
23,31.8079,89.25417,36.5339,23.6782,74.62084,52.1665,31.836021,27.6782,1.950,196,0.0000,0.0289,32.0000
24,31.8186,89.27348,36.5415,23.6997,74.65945,52.1665,31.829319,27.6997,1.950,196,0.0000,0.0416,32.0000
25,31.8186,89.27348,36.5262,23.6997,74.65945,52.1512,31.825298,27.6997,1.950,196,0.0000,0.0411,32.0000
26,31.8079,89.25417,36.5415,23.6675,74.60153,52.1436,31.821275,27.6675,1.950,196,0.0000,0.0408,32.0000
27,31.8079,89.25417,36.5415,23.6782,74.62084,52.1512,31.817253,27.6782,1.950,196,0.0000,0.0406,32.0000
28,31.7757,89.19625,36.5262,23.6782,74.62084,52.1589,31.807868,27.6782,1.950,196,0.0000,0.0584,32.0000
29,31.8079,89.25417,36.5339,23.6782,74.62084,52.1512,31.806526,27.6782,1.950,196,0.0000,0.0434,32.0000
30,31.7757,89.19625,36.5262,23.6890,74.64015,52.1512,31.802509,27.6890,1.950,196,0.0000,0.0423,32.0000
31,31.7971,89.23486,36.5339,23.6890,74.64015,52.1512,31.801166,27.6890,1.950,196,0.0000,0.0327,32.0000
32,31.7757,89.19625,36.5415,23.6997,74.65945,52.1589,31.795803,27.6997,1.950,196,0.0000,0.0397,32.0000
33,31.7757,89.19625,36.5415,23.6782,74.62084,52.1512,31.790439,27.6782,1.950,196,0.0000,0.0443,32.0000
34,31.7757,89.19625,36.5415,23.6675,74.60153,52.1436,31.786418,27.6675,1.950,196,0.0000,0.0430,32.0000
35,31.7650,89.17694,36.5339,23.6782,74.62084,52.1512,31.781055,27.6782,1.950,196,0.0000,0.0465,32.0000
36,31.7757,89.19625,36.5339,23.6782,74.62084,52.1665,31.781055,27.6782,1.950,196,0.0000,0.0310,32.0000
37,31.7435,89.13833,36.5491,23.6890,74.64015,52.1665,31.773014,27.6890,1.950,196,0.0000,0.0475,32.0000
38,31.7542,89.15764,36.5568,23.6782,74.62084,52.1665,31.770332,27.6782,1.950,196,0.0000,0.0406,32.0000
39,31.7542,89.15764,36.5415,23.6890,74.64015,52.1589,31.764968,27.6890,1.950,196,0.0000,0.0449,32.0000
40,31.7435,89.13833,36.5491,23.6568,74.58223,52.1512,31.760946,27.6568,1.950,196,0.0000,0.0434,32.0000
41,31.7757,89.19625,36.5644,23.6782,74.62084,52.1741,31.760946,27.6782,1.950,196,0.0000,0.0289,32.0000
42,31.7757,89.19625,36.5568,23.6675,74.60153,52.1589,31.760946,27.6675,1.950,196,0.0000,0.0193,32.0000
43,31.7757,89.19625,36.5797,23.6568,74.58223,52.1741,31.762287,27.6568,1.950,196,0.0000,0.0084,32.0000
44,31.7864,89.21555,36.5720,23.6782,74.62084,52.1665,31.763628,27.6782,1.950,196,0.0000,0.0011,32.0000
45,31.7757,89.19625,36.5949,23.6890,74.64015,52.1665,31.767648,27.6890,1.950,196,0.0000,-0.0127,32.0000
46,31.7650,89.17694,36.5873,23.6890,74.64015,52.1818,31.768991,27.6890,1.950,196,0.0000,-0.0129,32.0000
47,31.7864,89.21555,36.5873,23.6675,74.60153,52.1741,31.773012,27.6675,1.950,196,0.0000,-0.0220,32.0000
48,31.7757,89.19625,36.5949,23.6997,74.65945,52.1741,31.777034,27.6997,1.950,196,0.0000,-0.0281,32.0000
49,31.7971,89.23486,36.5949,23.6782,74.62084,52.1741,31.779716,27.6782,1.950,196,0.0000,-0.0277,32.0000
50,31.7542,89.15764,36.5949,23.6997,74.65945,52.1818,31.777034,27.6997,1.950,196,0.0000,-0.0095,32.0000
51,31.7757,89.19625,36.5949,23.6890,74.64015,52.1741,31.777034,27.6890,1.950,196,0.0000,-0.0063,32.0000
52,31.7757,89.19625,36.5949,23.7104,74.67876,52.1818,31.775693,27.7104,1.950,196,0.0000,0.0002,32.0000
53,31.7757,89.19625,36.5797,23.7104,74.67876,52.1818,31.775693,27.7104,1.950,196,0.0000,0.0002,32.0000
