timestamp,svrt-reflowed
1512947807.604,10000158.0
1512947810.956,10000187.0
1512947814.308,10000190.0
1512947817.661,10000213.0
1512947821.013,10000219.0
1512947824.365,10000222.0
1512947827.717,10000158.0
1512947831.069,10000178.0
1512947834.421,10000150.0
1512947837.773,10000183.0
1512947841.125,10000201.0
1512947844.477,10000195.0
1512947847.829,10000149.0
1512947851.182,10000141.0
1512947854.533,10000170.0
1512947857.885,10000180.0
1512947861.237,10000191.0
1512947864.589,10000172.0
1512947867.941,10000137.0
1512947871.294,10000169.0
1512947874.645,10000182.0
1512947877.997,10000182.0
1512947881.350,10000173.0
1512947884.701,10000202.0
1512947888.054,10000175.0
1512947891.406,10000180.0
1512947894.757,10000155.0
1512947898.110,10000157.0
1512947901.462,10000176.0
1512947904.814,10000189.0
1512947908.168,10000187.0
1512947911.518,10000198.0
1512947914.870,10000188.0
1512947918.223,10000186.0
1512947921.575,10000194.0
1512947924.927,10000188.0
1512947928.279,10000188.0
1512947931.631,10000185.0
1512947934.983,10000187.0
1512947938.335,10000178.0
1512947941.687,10000175.0
1512947945.039,10000187.0
1512947948.391,10000182.0
1512947951.743,10000202.0
1512947955.095,10000195.0
1512947958.447,10000199.0
1512947961.800,10000191.0
1512947965.151,10000170.0
1512947968.503,10000173.0
1512947971.856,10000169.0
1512947975.208,10000185.0
1512947978.560,10000199.0
1512947981.912,10000151.0
1512947985.264,10000192.0
1512947988.616,10000200.0
1512947991.968,10000192.0
1512947995.320,10000200.0
1512947998.673,10000213.0
1512948002.025,10000217.0
1512948005.377,10000192.0
1512948008.728,10000184.0
1512948012.120,10000172.0
1512948015.433,10000185.0
1512948018.785,10000177.0
1512948022.137,10000167.0
1512948025.489,10000170.0
1512948028.841,10000205.0
1512948032.193,10000201.0
1512948035.545,10000165.0
1512948038.897,10000168.0
1512948042.249,10000181.0
1512948045.601,10000180.0
1512948048.953,10000174.0
1512948052.306,10000156.0
1512948055.658,10000153.0
1512948059.009,10000178.0
1512948062.361,10000166.0
1512948065.714,10000182.0
1512948069.066,10000179.0
