timestamp,ltz1000-3-to-4
1514700691.105,17488.7
1514700694.457,17488.3
1514700697.809,17490.5
1514700701.161,17492.2
1514700704.513,17493.6
1514700707.866,17494.5
1514700711.218,17495.1
1514700714.570,17495.9
1514700717.922,17496.6
1514700721.274,17497.1
1514700724.626,17497.7
1514700727.978,17497.9
1514700731.331,17498.4
1514700734.682,17498.6
1514700738.035,17499.1
1514700741.387,17499.1
1514700744.739,17498.5
1514700748.091,17499.7
1514700751.444,17500.8
1514700754.796,17501.5
1514700758.148,17502.1
1514700761.500,17502.0
1514700764.853,17503.0
1514700768.204,17503.2
1514700771.556,17503.3
1514700774.908,17502.5
1514700778.261,17500.2
1514700781.612,17502.9
1514700784.965,17504.4
1514700788.318,17505.1
1514700791.669,17504.9
1514700795.021,17505.3
1514700798.373,17505.9
1514700801.726,17505.8
1514700805.078,17506.5
1514700808.430,17506.4
1514700811.782,17506.3
1514700815.134,17505.2
1514700818.486,17505.5
1514700821.838,17505.9
1514700825.190,17506.8
1514700828.543,17506.8
1514700831.895,17506.5
1514700835.247,17507.0
1514700838.599,17507.9
1514700841.951,17508.1
1514700845.303,17507.7
1514700848.656,17508.7
1514700852.008,17507.5
1514700855.360,17507.7
1514700858.712,17507.8
1514700862.065,17508.5
1514700865.416,17508.1
1514700868.768,17509.2
1514700872.120,17508.4
1514700875.473,17507.3
1514700878.825,17506.8
1514700882.177,17509.5
1514700885.529,17506.3
1514700888.881,17506.0
1514700892.234,17506.4
1514700895.585,17509.3
1514700898.938,17510.1
1514700902.289,17510.2
1514700905.642,17510.3
1514700908.994,17510.3
1514700912.346,17510.4
1514700915.698,17510.2
1514700919.051,17510.4
1514700922.402,17510.8
1514700925.755,17510.9
1514700929.107,17510.7
1514700932.459,17510.9
1514700935.811,17511.0
1514700939.163,17511.2
1514700942.516,17511.1
1514700945.868,17511.4
1514700949.220,17511.4
1514700952.572,17511.4
1514700955.925,17511.1
1514700959.276,17511.6
1514700962.629,17512.2
1514700965.980,17512.2
1514700969.333,17512.3
1514700972.685,17512.5
1514700976.037,17512.5
1514700979.390,17512.8
1514700982.741,17513.0
1514700986.094,17513.0
1514700989.445,17513.2
1514700992.798,17513.0
1514700996.150,17513.2
1514700999.502,17512.9
1514701002.854,17513.1
1514701006.207,17513.1
1514701009.559,17513.2
1514701012.910,17513.5
1514701016.263,17513.4
1514701019.615,17513.5
1514701022.968,17513.4
1514701026.320,17513.4
1514701029.672,17513.4
1514701033.024,17513.5
1514701036.376,17513.6
1514701039.728,17513.6
1514701043.080,17513.6
1514701046.432,17513.9
1514701049.784,17514.3
