timestamp,inside_c,inside_rh,outside_c,outside_rh,set_c,err_c,duty_cycle
1522201683.63,25.039,64.423,21.812,80.388,25.000,0.039,0.00
1522201685.67,25.037,64.437,21.791,80.250,25.000,0.037,30.70
1522201687.71,25.037,64.447,21.791,80.205,25.000,0.037,28.83
1522201689.75,25.030,64.462,21.780,80.113,25.000,0.030,28.83
1522201691.79,25.045,64.464,21.780,80.075,25.000,0.045,23.22
1522201693.83,25.047,64.461,21.769,80.037,25.000,0.047,35.37
1522201695.87,25.040,64.464,21.780,79.983,25.000,0.040,37.24
1522201697.91,25.042,64.468,21.769,79.945,25.000,0.042,31.63
1522201699.96,25.042,64.476,21.780,79.922,25.000,0.042,32.57
1522201701.99,25.047,64.474,21.769,79.907,25.000,0.047,32.57
1522201704.03,25.043,64.489,21.791,79.968,25.000,0.043,37.24
1522201706.07,25.043,64.500,21.791,79.983,25.000,0.043,33.50
1522201708.11,25.043,64.524,21.780,79.983,25.000,0.043,33.50
1522201710.15,25.044,64.550,21.780,79.968,25.000,0.044,33.50
1522201712.19,25.034,64.568,21.791,79.930,25.000,0.034,34.44
1522201714.23,25.034,64.594,21.780,79.907,25.000,0.034,26.96
1522201716.27,25.038,64.622,21.780,79.838,25.000,0.038,26.96
1522201718.31,25.032,64.626,21.801,79.831,25.000,0.032,29.76
1522201720.35,25.037,64.646,21.791,79.785,25.000,0.037,25.09
1522201722.39,25.030,64.656,21.780,79.754,25.000,0.030,28.83
1522201724.43,25.032,64.675,21.812,79.777,25.000,0.032,23.22
1522201726.47,25.030,64.681,21.780,79.800,25.000,0.030,25.09
1522201728.51,25.034,64.687,21.812,79.823,25.000,0.034,23.22
1522201730.54,25.034,64.697,21.801,79.793,25.000,0.034,26.96
1522201732.59,25.036,64.692,21.791,79.777,25.000,0.036,26.96
1522201734.63,25.036,64.685,21.791,79.770,25.000,0.036,27.89
1522201736.67,25.042,64.678,21.791,79.762,25.000,0.042,27.89
1522201738.71,25.039,64.665,21.791,79.732,25.000,0.039,32.57
1522201740.75,25.028,64.655,21.791,79.709,25.000,0.028,30.70
1522201742.79,25.036,64.657,21.791,79.663,25.000,0.036,22.29
1522201744.83,25.036,64.670,21.812,79.655,25.000,0.036,27.89
1522201746.87,25.036,64.683,21.812,79.655,25.000,0.036,27.89
1522201748.91,25.033,64.697,21.812,79.663,25.000,0.033,27.89
1522201750.95,25.037,64.708,21.801,79.648,25.000,0.037,26.02
1522201752.99,25.043,64.701,21.812,79.655,25.000,0.043,28.83
1522201755.02,25.038,64.698,21.823,79.686,25.000,0.038,33.50
1522201757.06,25.037,64.699,21.834,79.716,25.000,0.037,29.76
1522201759.10,25.032,64.704,21.834,79.739,25.000,0.032,28.83
1522201761.14,25.033,64.713,21.855,79.754,25.000,0.033,25.09
1522201763.18,25.042,64.716,21.844,79.777,25.000,0.042,26.03
1522201765.22,25.043,64.729,21.866,79.777,25.000,0.043,32.57
1522201767.26,25.033,64.744,21.855,79.777,25.000,0.033,33.50
1522201769.30,25.030,64.754,21.866,79.770,25.000,0.030,26.02
1522201771.34,25.036,64.765,21.876,79.777,25.000,0.036,23.22
1522201773.38,25.031,64.784,21.876,79.754,25.000,0.031,27.89
1522201775.42,25.034,64.786,21.876,79.739,25.000,0.034,24.16
1522201777.46,25.031,64.795,21.866,79.701,25.000,0.031,26.96
1522201779.50,25.030,64.791,21.887,79.655,25.000,0.030,24.16
1522201781.54,25.034,64.786,21.876,79.609,25.000,0.034,23.22
1522201783.58,25.036,64.779,21.844,79.548,25.000,0.036,26.96
1522201785.62,25.039,64.768,21.876,79.518,25.000,0.039,27.89
1522201787.66,25.033,64.765,21.866,79.510,25.000,0.033,30.70
1522201789.70,25.040,64.777,21.876,79.480,25.000,0.040,26.03
1522201791.74,25.037,64.796,21.887,79.472,25.000,0.037,31.63
1522201793.78,25.039,64.799,21.876,79.480,25.000,0.039,28.83
1522201795.82,25.037,64.793,21.887,79.457,25.000,0.037,30.70
1522201797.86,25.034,64.794,21.887,79.472,25.000,0.034,28.83
1522201799.90,25.040,64.804,21.876,79.449,25.000,0.040,26.96
1522201801.94,25.036,64.808,21.898,79.442,25.000,0.036,31.63
1522201803.97,25.042,64.818,21.909,79.419,25.000,0.042,27.89
1522201806.01,25.042,64.815,21.898,79.396,25.000,0.042,32.57
1522201808.05,25.039,64.811,21.909,79.373,25.000,0.039,32.57
1522201810.09,25.038,64.823,21.909,79.342,25.000,0.038,30.70
