timestamp,temp_c,humidity
1514672619.551,25.7145,53.0515
1514672620.550,25.7252,53.0057
1514672621.550,25.7252,52.9447
1514672622.549,25.7572,52.9142
1514672623.549,25.7679,52.8760
1514672624.548,25.7572,52.8455
1514672625.548,25.7786,52.7997
1514672626.547,25.8107,52.7921
1514672627.551,25.7786,52.7540
1514672628.550,25.7893,52.7082
1514672629.550,25.8107,52.6853
1514672630.549,25.8214,52.6700
1514672631.549,25.8321,52.6472
1514672632.548,25.8107,52.6090
1514672633.548,25.8642,52.5785
1514672634.547,25.8321,52.5632
1514672635.547,25.8642,52.5480
1514672636.546,25.8856,52.5098
1514672637.546,25.8749,52.4717
1514672638.545,25.8856,52.4335
1514672639.549,25.8856,52.3954
1514672640.548,25.8963,52.3649
1514672641.548,25.8963,52.3191
1514672642.547,25.9177,52.2809
1514672643.547,25.9177,52.2428
1514672644.546,25.9284,52.2275
1514672645.546,25.9391,52.1894
1514672646.545,25.9177,52.1512
1514672647.545,25.9284,52.1436
1514672648.545,25.9177,52.1055
1514672649.544,25.9391,52.0750
1514672650.544,25.9498,52.0521
1514672651.543,25.9498,52.0139
1514672652.547,25.9819,51.9681
1514672653.546,25.9712,51.9529
1514672654.546,25.9819,51.9300
1514672655.545,25.9712,51.8918
1514672656.545,25.9605,51.8613
1514672657.544,25.9819,51.8537
1514672658.544,25.9819,51.8232
1514672659.543,26.0033,51.7927
1514672660.543,26.0033,51.7774
1514672661.542,26.0140,51.7469
1514672662.542,26.0140,51.7316
1514672663.541,26.0247,51.6935
1514672664.545,26.0140,51.6630
1514672665.544,26.0140,51.6401
1514672666.544,26.0033,51.6477
1514672667.543,26.0247,51.6172
1514672668.543,26.0247,51.5943
1514672669.542,26.0353,51.5562
1514672670.542,26.0353,51.5485
1514672671.541,26.0353,51.5180
1514672672.541,26.0567,51.5027
1514672673.540,26.0353,51.4799
1514672674.540,26.0460,51.4646
1514672675.539,26.0460,51.4341
1514672676.543,26.0674,51.4188
1514672677.542,26.0567,51.3959
1514672678.542,26.0567,51.3883
1514672679.541,26.0567,51.3883
1514672680.541,26.0674,51.3425
1514672681.540,26.0674,51.3425
1514672682.540,26.0888,51.3196
1514672683.540,26.0674,51.2968
1514672684.539,26.0674,51.2968
1514672685.539,26.0888,51.2815
1514672686.538,26.0888,51.2662
1514672687.538,26.0888,51.2586
1514672688.537,26.0781,51.2433
1514672689.541,26.0995,51.2357
1514672690.540,26.0995,51.2281
1514672691.540,26.0888,51.2128
1514672692.539,26.0888,51.1823
1514672693.539,26.1102,51.1671
1514672694.538,26.0781,51.1518
1514672695.538,26.0995,51.1518
1514672696.537,26.0995,51.1518
1514672697.537,26.0995,51.1289
1514672698.536,26.1102,51.1365
1514672699.536,26.0888,51.1442
1514672700.535,26.1209,51.1060
1514672701.539,26.0995,51.0908
1514672702.538,26.0995,51.1213
1514672703.538,26.1102,51.1136
1514672704.537,26.1102,51.0984
1514672705.537,26.1209,51.0755
1514672706.536,26.1316,51.0831
1514672707.536,26.1316,51.0908
1514672708.535,26.1102,51.0755
1514672709.587,26.1102,51.0602
1514672710.535,26.1423,51.0755
1514672711.534,26.1423,51.0526
1514672712.534,26.1102,51.0450
1514672713.533,26.1209,51.0450
1514672714.537,26.1102,51.0374
1514672715.536,26.1423,51.0450
1514672716.535,26.1209,51.0374
1514672717.535,26.1209,51.0297
1514672718.535,26.1102,51.0374
1514672719.534,26.1209,51.0297
1514672720.533,26.1316,51.0221
1514672721.533,26.1423,51.0145
1514672722.533,26.1209,50.9992
1514672723.532,26.1423,51.0068
