timestamp,ltz1000-3
1514672624.818,7172012.6
1514672628.170,7172012.0
1514672631.522,7172011.8
1514672634.874,7172011.0
1514672638.226,7172009.8
1514672641.578,7172007.7
1514672644.930,7172006.5
1514672648.283,7172007.2
1514672651.635,7172006.7
1514672654.986,7172006.0
1514672658.339,7172006.0
1514672661.691,7172005.2
1514672665.043,7172005.5
1514672668.395,7172004.2
1514672671.747,7172003.7
1514672675.099,7172002.2
1514672678.451,7172003.4
1514672681.804,7172003.2
1514672685.156,7172001.6
1514672688.508,7172001.6
1514672691.859,7172001.6
1514672695.211,7172002.9
1514672698.564,7172001.1
1514672701.916,7172001.4
1514672705.268,7172002.2
1514672708.620,7172001.9
1514672711.973,7172001.1
1514672715.325,7172001.1
1514672718.676,7172000.9
1514672722.036,7172000.6
1514672725.381,7172000.9
1514672728.733,7172000.9
1514672732.085,7171999.9
1514672735.437,7172001.4
1514672738.790,7171999.1
1514672742.141,7171999.9
1514672745.493,7171998.6
1514672748.846,7171998.9
1514672752.198,7171998.9
1514672755.550,7171996.6
1514672758.902,7171993.8
1514672762.254,7171995.3
1514672765.607,7171995.3
1514672768.958,7171994.3
1514672772.311,7171994.8
1514672775.662,7171992.0
1514672779.015,7171994.0
1514672782.366,7171992.5
1514672785.719,7171993.0
1514672789.071,7171993.3
1514672792.423,7171992.5
1514672795.775,7171989.7
1514672799.127,7171991.5
1514672802.479,7171992.8
1514672805.831,7171991.0
1514672809.184,7171990.5
1514672812.536,7171992.3
1514672815.887,7171992.0
1514672819.240,7171991.5
1514672822.591,7171991.5
1514672825.944,7171992.3
1514672829.296,7171992.0
1514672832.648,7171993.0
1514672836.000,7171992.3
1514672839.352,7171992.8
1514672842.704,7171993.3
1514672846.056,7171993.3
1514672849.408,7171991.5
1514672852.761,7171994.5
1514672856.112,7171993.5
1514672859.465,7171992.8
1514672862.817,7171993.0
1514672866.168,7171993.5
1514672869.521,7171993.8
1514672872.873,7171992.5
1514672876.227,7171992.5
1514672879.577,7171993.3
1514672882.929,7171992.8
1514672886.282,7171993.3
1514672889.633,7171993.5
1514672892.985,7171993.3
1514672896.338,7171993.5
1514672899.689,7171993.3
1514672903.041,7171990.0
1514672906.394,7171992.8
1514672909.745,7171991.8
1514672913.098,7171991.0
1514672916.450,7171992.0
1514672919.802,7171990.9
1514672923.154,7171990.7
1514672926.506,7171991.3
1514672929.859,7171991.3
1514672933.210,7171992.0
1514672936.562,7171990.0
1514672939.914,7171991.0
1514672943.267,7171987.2
1514672946.619,7171986.4
1514672949.971,7171986.4
1514672953.323,7171986.7
1514672956.675,7171986.4
1514672960.028,7171986.9
1514672963.379,7171987.2
1514672966.732,7171987.4
1514672970.084,7171987.7
1514672973.435,7171989.5
1514672976.788,7171990.5
1514672980.140,7171991.3
1514672983.492,7171991.0
1514672986.843,7171990.7
1514672990.196,7171991.0
1514672993.548,7171990.5
1514672996.900,7171989.2
1514673000.252,7171990.5
1514673003.605,7171989.7
1514673006.957,7171989.2
1514673010.308,7171990.0
1514673013.661,7171990.5
1514673017.013,7171989.5
1514673020.365,7171988.7
1514673023.717,7171990.2
1514673027.069,7171989.7
1514673030.421,7171990.7
1514673033.773,7171988.2
1514673037.126,7171989.2
1514673040.478,7171990.7
1514673043.829,7171991.5
1514673047.181,7171990.2
1514673050.534,7171990.7
1514673053.885,7171990.2
1514673057.237,7171992.3
1514673060.590,7171991.0
1514673063.942,7171992.5
1514673067.294,7171990.5
1514673070.646,7171992.5
1514673073.999,7171990.2
1514673077.350,7171991.3
1514673080.702,7171991.5
1514673084.055,7171991.0
1514673087.407,7171992.3
1514673090.759,7171990.7
1514673094.111,7171990.2
1514673097.463,7171990.7
1514673100.815,7171989.5
1514673104.167,7171989.0
1514673107.519,7171989.2
1514673110.872,7171989.0
1514673114.224,7171989.7
1514673117.575,7171989.5
1514673120.927,7171991.5
1514673124.280,7171990.0
1514673127.632,7171990.5
1514673130.984,7171990.2
1514673134.336,7171990.0
1514673137.687,7171989.7
1514673141.040,7171990.7
1514673144.392,7171990.0
1514673147.744,7171989.5
1514673151.096,7171990.5
1514673154.449,7171989.5
1514673157.800,7171990.2
1514673161.152,7171989.2
1514673164.504,7171989.7
1514673167.857,7171989.0
1514673171.209,7171990.0
1514673174.561,7171990.0
1514673177.913,7171988.5
1514673181.265,7171989.5
1514673184.617,7171990.0
1514673187.969,7171989.7
1514673191.322,7171988.7
1514673194.674,7171989.7
1514673198.025,7171990.7
1514673201.377,7171990.0
1514673204.730,7171990.0
1514673208.081,7171989.5
1514673211.434,7171989.7
1514673214.786,7171989.2
1514673218.138,7171988.2
1514673221.490,7171989.0
1514673224.843,7171988.0
1514673228.194,7171989.7
1514673231.546,7171989.0
1514673234.898,7171986.7
1514673238.251,7171985.7
1514673241.603,7171987.4
1514673244.955,7171989.5
1514673248.306,7171988.7
1514673251.659,7171987.4
1514673255.012,7171989.2
1514673258.363,7171988.7
1514673261.715,7171989.0
1514673265.067,7171988.1
1514673268.419,7171988.5
1514673271.772,7171987.7
1514673275.123,7171989.0
1514673278.476,7171988.7
1514673281.828,7171988.7
1514673285.180,7171988.7
1514673288.533,7171989.0
1514673291.885,7171988.0
1514673295.237,7171988.7
1514673298.589,7171988.5
1514673301.940,7171988.5
1514673305.292,7171988.0
1514673308.645,7171988.7
1514673311.997,7171987.4
1514673315.349,7171988.2
1514673318.701,7171988.0
1514673322.054,7171989.0
1514673325.406,7171988.5
1514673328.757,7171989.5
1514673332.109,7171989.7
1514673335.462,7171989.5
1514673338.813,7171990.0
1514673342.166,7171988.7
1514673345.518,7171989.5
1514673348.870,7171989.2
1514673352.222,7171989.0
1514673355.575,7171988.5
1514673358.926,7171989.5
1514673362.278,7171989.2
1514673365.631,7171989.2
1514673368.982,7171990.0
1514673372.335,7171988.2
1514673375.687,7171990.0
1514673379.039,7171988.7
1514673382.391,7171988.5
1514673385.743,7171989.2
1514673389.095,7171988.7
1514673392.447,7171990.0
1514673395.799,7171990.2
1514673399.151,7171988.7
1514673402.504,7171989.7
1514673405.856,7171990.7
1514673409.208,7171989.2
1514673412.560,7171991.0
1514673415.912,7171988.0
1514673419.264,7171988.7
1514673422.616,7171989.7
1514673425.968,7171988.7
1514673429.320,7171990.0
1514673432.673,7171989.2
1514673436.024,7171989.0
1514673439.377,7171990.7
1514673442.729,7171988.7
1514673446.081,7171988.2
1514673449.432,7171989.5
1514673452.785,7171989.7
1514673456.137,7171989.7
1514673459.489,7171989.2
1514673462.842,7171988.7
1514673466.193,7171988.2
1514673469.546,7171989.5
1514673472.898,7171988.2
1514673476.250,7171987.4
1514673479.602,7171989.5
1514673482.954,7171988.7
1514673486.306,7171989.7
1514673489.658,7171988.7
1514673493.010,7171988.0
1514673496.362,7171987.2
1514673499.715,7171986.9
1514673503.066,7171988.2
1514673506.419,7171988.5
1514673509.770,7171987.4
1514673513.123,7171987.8
1514673516.475,7171989.5
1514673519.827,7171988.5
1514673523.179,7171988.5
1514673526.532,7171989.0
1514673529.883,7171988.7
1514673533.236,7171988.2
1514673536.588,7171989.0
1514673539.940,7171988.2
1514673543.292,7171989.5
1514673546.643,7171987.8
1514673549.996,7171985.9
1514673553.348,7171986.7
1514673556.700,7171986.9
1514673560.052,7171986.9
1514673563.404,7171986.7
1514673566.756,7171986.9
1514673570.109,7171987.7
1514673573.460,7171985.9
1514673576.813,7171985.9
1514673580.165,7171987.4
1514673583.517,7171986.7
1514673586.869,7171985.9
1514673590.222,7171985.9
1514673593.573,7171988.5
1514673596.926,7171988.2
1514673600.277,7171989.0
1514673603.630,7171986.7
1514673606.981,7171988.5
1514673610.334,7171989.5
1514673613.686,7171988.5
1514673617.038,7171989.2
1514673620.390,7171989.5
1514673623.742,7171986.7
1514673627.094,7171987.2
1514673630.446,7171986.4
1514673633.799,7171987.4
1514673637.151,7171987.7
1514673640.503,7171986.7
1514673643.855,7171987.7
1514673647.207,7171987.6
1514673650.559,7171986.9
1514673653.911,7171988.0
1514673657.263,7171985.9
1514673660.615,7171986.7
1514673663.967,7171987.2
1514673667.320,7171987.7
1514673670.671,7171987.4
1514673674.024,7171987.4
1514673677.376,7171986.7
1514673680.728,7171987.7
1514673684.080,7171988.2
1514673687.432,7171986.7
1514673690.784,7171986.2
1514673694.136,7171986.4
1514673697.488,7171987.4
1514673700.841,7171986.7
1514673704.192,7171988.0
1514673707.545,7171986.2
1514673710.897,7171986.4
1514673714.249,7171987.4
1514673717.601,7171985.7
1514673720.954,7171987.4
1514673724.305,7171986.2
