si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
22.026,23.260,407,250.721,23.2241,-1.7759,255.00,1.1977
22.005,23.271,407,251.161,23.2291,-1.7709,255.00,1.2242
22.005,23.281,407,252.824,23.2480,-1.7520,255.00,1.2431
22.005,23.292,407,255.752,23.2813,-1.7187,255.00,1.2763
21.973,23.314,407,258.636,23.3140,-1.6860,255.00,1.3413
21.994,23.324,407,261.096,23.3420,-1.6580,255.00,1.3478
21.983,23.367,407,263.743,23.3721,-1.6279,255.00,1.3886
21.983,23.399,407,266.401,23.4023,-1.5977,255.00,1.4188
21.994,23.432,407,268.846,23.4301,-1.5699,255.00,1.4359
21.994,23.474,407,271.701,23.4625,-1.5375,255.00,1.4683
21.994,23.485,407,274.270,23.4917,-1.5083,255.00,1.4975
21.983,23.507,407,276.995,23.5227,-1.4773,255.00,1.5392
21.962,23.571,407,279.707,23.5535,-1.4465,255.00,1.5915
21.994,23.550,407,282.203,23.5818,-1.4182,255.00,1.5876
21.983,23.625,407,284.278,23.6054,-1.3946,255.00,1.6220
21.983,23.625,407,286.795,23.6340,-1.3660,255.00,1.6506
21.983,23.635,407,289.360,23.6632,-1.3368,255.00,1.6797
21.983,23.710,407,291.542,23.6880,-1.3120,255.00,1.7045
21.973,23.721,407,294.077,23.7168,-1.2832,255.00,1.7440
21.973,23.753,407,296.462,23.7439,-1.2561,255.00,1.7711
22.005,23.775,407,299.008,23.7728,-1.2272,255.00,1.7679
21.973,23.796,407,301.397,23.8000,-1.2000,255.00,1.8272
21.983,23.828,407,303.718,23.8263,-1.1737,255.00,1.8429
21.962,23.861,407,305.831,23.8504,-1.1496,255.00,1.8883
21.962,23.893,407,308.230,23.8776,-1.1224,255.00,1.9156
21.973,23.914,407,310.510,23.9035,-1.0965,255.00,1.9308
21.962,23.946,407,312.841,23.9300,-1.0700,255.00,1.9680
21.983,23.957,407,314.823,23.9525,-1.0475,255.00,1.9691
21.973,23.968,407,317.065,23.9780,-1.0220,255.00,2.0053
