timestamp,LTC2400
1500068925.743,2498689
1500068925.878,2498693
1500068926.013,2498790
1500068926.152,2498648
1500068926.287,2498690
1500068926.422,2498739
1500068926.558,2498615
1500068926.693,2498730
1500068926.828,2498751
1500068926.963,2498664
1500068927.102,2498623
1500068927.238,2498705
1500068927.373,2498705
1500068927.508,2498721
1500068927.643,2498653
1500068927.778,2498708
1500068927.913,2498692
1500068928.049,2498725
1500068928.188,2498675
1500068928.323,2498707
1500068928.458,2498690
1500068928.593,2498666
1500068928.728,2498739
1500068928.864,2498702
1500068928.999,2498592
1500068929.138,2498711
1500068929.273,2498698
1500068929.408,2498748
1500068929.544,2498505
1500068929.678,2498697
1500068929.814,2498664
1500068929.949,2498656
1500068930.088,2498579
1500068930.223,2498672
1500068930.359,2498760
1500068930.494,2498722
1500068930.629,2498714
1500068930.764,2498697
1500068930.899,2498730
1500068931.035,2498686
1500068931.174,2498669
1500068931.309,2498615
1500068931.444,2498664
1500068931.579,2498671
1500068931.714,2498561
1500068931.850,2498601
1500068931.985,2498677
1500068932.124,2498623
1500068932.259,2498671
1500068932.394,2498679
1500068932.529,2498639
1500068932.665,2498733
1500068932.800,2498691
1500068932.935,2498646
1500068933.074,2498602
1500068933.209,2498636
1500068933.344,2498676
1500068933.480,2498689
1500068933.615,2498635
1500068933.750,2498619
1500068933.885,2498670
1500068934.020,2498660
1500068934.159,2498655
1500068934.295,2498657
1500068934.430,2498667
1500068934.565,2498647
1500068934.700,2498626
1500068934.835,2498671
1500068934.970,2498586
1500068935.109,2498643
1500068935.245,2498648
1500068935.380,2498592
1500068935.515,2498631
1500068935.650,2498607
1500068935.786,2498716
1500068935.921,2498668
1500068936.060,2498658
1500068936.195,2498649
1500068936.330,2498722
1500068936.465,2498618
1500068936.601,2498674
1500068936.736,2498635
1500068936.871,2498603
1500068937.006,2498544
1500068937.145,2498576
1500068937.281,2498543
1500068937.416,2498603
1500068937.551,2498620
1500068937.686,2498611
1500068937.821,2498661
1500068937.956,2498688
1500068938.095,2498596
1500068938.231,2498694
1500068938.366,2498589
1500068938.501,2498659
1500068938.636,2498596
1500068938.771,2498670
1500068938.907,2498590
1500068939.046,2498560
1500068939.181,2498582
1500068939.316,2498633
1500068939.451,2498633
1500068939.587,2498699
1500068939.721,2498575
1500068939.857,2498614
1500068939.992,2498642
1500068940.131,2498557
1500068940.266,2498637
1500068940.401,2498620
1500068940.537,2498691
1500068940.672,2498620
1500068940.807,2498670
1500068940.942,2498628
1500068941.081,2498693
1500068941.217,2498599
