timestamp,lm399-negcase
1514594062.679,6885967.3
1514594066.030,6885966.5
1514594069.383,6885967.5
1514594072.735,6885967.5
1514594076.087,6885966.3
1514594079.439,6885967.0
1514594082.791,6885967.3
1514594086.143,6885967.0
1514594089.496,6885967.8
1514594092.847,6885968.3
1514594096.200,6885966.8
1514594099.551,6885970.1
1514594102.904,6885967.8
1514594106.257,6885968.8
1514594109.608,6885967.5
1514594112.960,6885967.8
1514594116.313,6885965.5
1514594119.665,6885963.5
1514594123.016,6885964.5
1514594126.369,6885966.0
1514594129.721,6885965.8
1514594133.074,6885965.8
1514594136.425,6885966.0
1514594139.778,6885966.0
1514594143.129,6885965.0
1514594146.482,6885965.0
1514594149.834,6885966.0
1514594153.186,6885965.8
1514594156.538,6885966.0
1514594159.890,6885965.8
1514594163.242,6885965.8
1514594166.594,6885966.0
1514594169.946,6885964.7
1514594173.299,6885963.7
1514594176.651,6885965.3
1514594180.003,6885965.5
1514594183.355,6885965.8
1514594186.708,6885965.5
1514594190.059,6885965.0
1514594193.412,6885965.0
1514594196.764,6885965.8
1514594200.115,6885965.5
1514594203.468,6885964.5
1514594206.820,6885965.5
1514594210.172,6885964.2
1514594213.524,6885964.2
1514594216.877,6885963.5
1514594220.229,6885965.5
1514594223.581,6885963.7
1514594226.933,6885964.5
1514594230.285,6885965.3
1514594233.637,6885965.0
1514594236.989,6885964.0
1514594240.342,6885964.2
1514594243.694,6885963.2
1514594247.045,6885964.0
1514594250.397,6885963.5
1514594253.750,6885963.7
1514594257.102,6885965.3
1514594260.454,6885966.0
1514594263.806,6885964.5
1514594267.158,6885965.8
1514594270.510,6885965.5
1514594273.863,6885964.2
1514594277.214,6885964.0
1514594280.567,6885964.7
1514594283.918,6885965.5
1514594287.271,6885965.3
1514594290.623,6885963.5
1514594293.975,6885962.7
1514594297.328,6885962.2
1514594300.679,6885963.0
1514594304.032,6885963.0
1514594307.383,6885962.7
1514594310.735,6885963.2
1514594314.088,6885962.7
1514594317.440,6885964.0
1514594320.792,6885963.0
1514594324.144,6885963.2
1514594327.497,6885962.7
1514594330.848,6885963.5
1514594334.201,6885962.5
1514594337.552,6885963.2
1514594340.905,6885962.7
1514594344.257,6885962.7
1514594347.609,6885962.0
1514594350.961,6885963.0
1514594354.314,6885962.5
1514594357.665,6885963.5
1514594361.018,6885963.7
1514594364.370,6885962.7
1514594367.722,6885962.0
1514594371.074,6885962.0
1514594374.426,6885961.5
1514594377.778,6885963.2
1514594381.131,6885962.5
1514594384.482,6885963.0
1514594387.835,6885962.7
1514594391.187,6885960.9
1514594394.539,6885960.9
1514594397.891,6885963.2
1514594401.243,6885963.5
1514594404.595,6885962.5
1514594407.947,6885960.7
1514594411.299,6885962.2
1514594414.651,6885963.2
1514594418.003,6885964.2
1514594421.356,6885963.7
1514594424.708,6885962.5
1514594428.060,6885962.5
1514594431.412,6885963.5
1514594434.764,6885962.7
1514594438.116,6885963.7
1514594441.469,6885963.5
1514594444.820,6885965.5
1514594448.172,6885964.5
1514594451.524,6885964.2
1514594454.877,6885965.5
1514594458.229,6885965.0
1514594461.581,6885964.2
1514594464.933,6885963.7
1514594468.285,6885964.0
1514594471.637,6885963.5
1514594474.990,6885963.5
1514594478.341,6885963.5
1514594481.694,6885964.2
1514594485.046,6885963.0
1514594488.398,6885962.2
1514594491.750,6885963.7
1514594495.102,6885963.7
1514594498.455,6885963.2
1514594501.806,6885962.2
1514594505.159,6885962.5
1514594508.510,6885962.2
1514594511.863,6885963.2
1514594515.215,6885962.5
1514594518.567,6885962.0
1514594521.919,6885962.0
1514594525.271,6885962.2
1514594528.624,6885962.0
1514594531.975,6885961.7
1514594535.328,6885961.7
1514594538.679,6885963.5
1514594542.032,6885961.7
1514594545.384,6885962.5
1514594548.736,6885962.0
1514594552.088,6885962.7
1514594555.440,6885961.7
1514594558.792,6885961.7
1514594562.144,6885963.2
1514594565.497,6885962.7
1514594568.848,6885962.2
1514594572.201,6885961.7
1514594575.553,6885961.6
1514594578.905,6885961.5
1514594582.257,6885961.7
1514594585.609,6885962.0
1514594588.961,6885961.2
1514594592.313,6885962.7
1514594595.666,6885961.7
1514594599.018,6885961.5
1514594602.370,6885962.0
1514594605.722,6885961.2
1514594609.074,6885963.0
1514594612.426,6885961.2
1514594615.778,6885961.2
1514594619.131,6885961.7
1514594622.483,6885960.4
1514594625.835,6885961.7
1514594629.187,6885961.5
1514594632.539,6885960.9
1514594635.892,6885960.7
1514594639.243,6885962.0
1514594642.595,6885960.7
1514594645.948,6885962.5
1514594649.300,6885961.7
1514594652.651,6885962.0
1514594656.004,6885960.9
1514594659.356,6885962.2
1514594662.708,6885963.7
1514594666.060,6885963.7
1514594669.412,6885965.3
1514594672.764,6885964.5
1514594676.117,6885963.5
1514594679.468,6885963.2
1514594682.821,6885963.5
1514594686.173,6885965.8
1514594689.525,6885964.7
1514594692.878,6885964.7
1514594696.229,6885965.3
1514594699.582,6885965.0
1514594702.934,6885965.0
1514594706.285,6885965.8
1514594709.638,6885964.2
1514594712.990,6885962.2
1514594716.342,6885960.7
1514594719.694,6885959.7
1514594723.047,6885959.4
1514594726.398,6885960.9
1514594729.750,6885959.7
1514594733.103,6885961.2
1514594736.455,6885960.9
1514594739.806,6885960.4
1514594743.159,6885959.9
1514594746.511,6885962.0
1514594749.863,6885962.0
1514594753.216,6885962.2
1514594756.568,6885960.9
1514594759.920,6885960.9
1514594763.272,6885961.2
1514594766.623,6885962.0
1514594769.976,6885962.2
1514594773.328,6885962.2
1514594776.680,6885962.5
1514594780.032,6885963.0
1514594783.384,6885961.7
1514594786.736,6885962.7
1514594790.089,6885962.5
1514594793.441,6885963.0
1514594796.793,6885963.0
1514594800.145,6885963.0
1514594803.497,6885961.2
1514594806.849,6885961.5
1514594810.201,6885963.2
1514594813.554,6885960.9
1514594816.906,6885960.9
1514594820.257,6885961.2
1514594823.610,6885961.2
1514594826.962,6885961.5
1514594830.314,6885960.2
1514594833.666,6885962.2
1514594837.019,6885961.2
1514594840.370,6885961.2
1514594843.723,6885961.5
1514594847.075,6885961.7
1514594850.427,6885961.2
1514594853.779,6885962.2
1514594857.131,6885961.5
1514594860.484,6885963.1
1514594863.836,6885962.2
1514594867.187,6885961.2
1514594870.540,6885960.4
1514594873.892,6885962.5
1514594877.244,6885961.2
1514594880.596,6885962.2
1514594883.948,6885961.2
1514594887.300,6885962.2
1514594890.653,6885962.7
1514594894.004,6885962.2
1514594897.357,6885960.9
1514594900.709,6885961.2
1514594904.061,6885961.5
1514594907.413,6885960.9
1514594910.765,6885962.0
1514594914.117,6885960.9
1514594917.470,6885962.2
1514594920.821,6885960.9
1514594924.174,6885960.2
1514594927.526,6885962.0
1514594930.877,6885961.2
1514594934.230,6885961.2
1514594937.582,6885961.7
1514594940.934,6885962.7
1514594944.286,6885962.2
1514594947.638,6885960.4
1514594950.991,6885962.7
1514594954.342,6885960.9
1514594957.695,6885962.2
1514594961.046,6885962.0
1514594964.399,6885962.5
1514594967.751,6885960.9
1514594971.103,6885961.7
1514594974.456,6885962.7
1514594977.807,6885961.5
1514594981.159,6885962.2
1514594984.512,6885961.5
1514594987.863,6885961.2
1514594991.216,6885964.7
1514594994.568,6885963.7
1514594997.920,6885965.0
1514595001.272,6885964.0
1514595004.624,6885963.2
1514595007.976,6885962.0
1514595011.328,6885962.0
1514595014.681,6885961.5
1514595018.033,6885962.0
1514595021.385,6885963.2
1514595024.737,6885962.5
1514595028.089,6885961.7
