timestamp,run1-1433x
1516687633.736,99997.942
1516687637.087,99997.932
1516687640.439,99997.950
1516687643.792,99997.945
1516687647.144,99997.973
1516687650.496,99997.960
1516687653.848,99997.958
1516687657.200,99997.945
1516687660.553,99997.932
1516687663.905,99997.937
1516687667.257,99997.955
1516687670.609,99997.953
1516687673.961,99997.927
1516687677.313,99997.947
1516687680.665,99997.955
1516687684.017,99997.942
1516687687.370,99997.950
1516687690.721,99997.950
1516687694.073,99997.955
1516687697.425,99997.945
1516687700.778,99997.947
1516687704.130,99997.940
1516687707.482,99997.937
1516687710.834,99997.950
1516687714.186,99997.937
1516687717.539,99997.953
1516687720.891,99997.940
1516687724.243,99997.942
1516687727.594,99997.953
1516687730.947,99997.950
1516687734.299,99997.942
1516687737.651,99997.925
1516687741.003,99997.955
1516687744.356,99997.935
1516687747.707,99997.988
1516687751.060,99997.955
1516687754.412,99997.973
1516687757.764,99997.932
1516687761.116,99997.947
1516687764.468,99997.970
1516687767.820,99997.968
1516687771.172,99997.953
1516687774.525,99997.940
1516687777.876,99997.953
1516687781.228,99997.955
1516687784.581,99997.963
1516687787.933,99997.970
1516687791.285,99997.960
1516687794.637,99997.950
1516687797.990,99997.935
1516687801.342,99997.958
1516687804.694,99997.960
1516687808.046,99997.950
1516687811.398,99997.973
1516687814.750,99997.953
1516687818.102,99997.953
1516687821.454,99997.947
1516687824.806,99997.970
1516687828.158,99997.953
1516687831.510,99997.955
1516687834.862,99997.945
1516687838.215,99997.947
1516687841.567,99997.958
1516687844.919,99997.940
1516687848.271,99997.950
1516687851.623,99997.965
1516687854.975,99997.945
1516687858.328,99997.947
1516687861.680,99997.963
1516687865.031,99997.968
1516687868.383,99997.958
1516687871.736,99997.968
1516687875.088,99997.968
1516687878.440,99997.963
1516687881.792,99997.947
1516687885.144,99997.937
1516687888.496,99997.958
1516687891.849,99997.953
1516687895.201,99997.953
1516687898.552,99997.955
1516687901.905,99997.960
1516687905.257,99997.940
1516687908.609,99997.968
1516687911.961,99997.950
1516687915.313,99997.960
1516687918.665,99997.953
1516687922.017,99997.960
1516687925.370,99997.975
1516687928.722,99997.968
1516687932.074,99997.950
1516687935.426,99997.955
1516687938.778,99997.953
1516687942.130,99997.970
1516687945.483,99997.963
1516687948.835,99997.965
1516687952.187,99997.958
1516687955.539,99997.975
1516687958.891,99997.972
1516687962.243,99997.983
1516687965.595,99997.983
1516687968.947,99997.975
1516687972.299,99997.968
1516687975.651,99997.978
1516687979.004,99997.975
1516687982.356,99997.968
1516687985.708,99997.973
1516687989.060,99997.968
1516687992.412,99997.958
1516687995.764,99997.960
1516687999.116,99997.968
1516688002.468,99997.975
1516688005.820,99997.978
1516688009.172,99997.973
1516688012.525,99997.991
1516688015.877,99997.970
1516688019.229,99997.965
1516688022.581,99997.970
1516688025.933,99997.980
1516688029.286,99997.978
1516688032.637,99997.980
1516688035.989,99997.983
1516688039.342,99997.968
1516688042.694,99997.965
1516688046.046,99997.970
1516688049.398,99997.975
1516688052.750,99997.955
1516688056.103,99997.965
1516688059.455,99997.953
1516688062.807,99997.958
1516688066.159,99997.968
1516688069.510,99997.983
1516688072.862,99997.970
1516688076.215,99997.978
1516688079.567,99997.968
1516688082.920,99997.975
1516688086.272,99997.965
1516688089.623,99997.988
1516688092.975,99997.968
1516688096.327,99997.973
1516688099.679,99997.970
1516688103.032,99997.973
1516688106.384,99997.958
1516688109.736,99997.968
1516688113.088,99997.965
1516688116.440,99997.965
1516688119.792,99997.975
1516688123.145,99997.978
1516688126.496,99997.930
1516688129.849,99997.947
1516688133.201,99997.955
1516688136.553,99997.983
1516688139.905,99997.975
1516688143.257,99997.963
1516688146.610,99997.988
1516688149.962,99997.968
1516688153.314,99997.960
1516688156.666,99997.965
1516688160.018,99997.968
1516688163.370,99997.955
1516688166.722,99997.968
1516688170.074,99997.960
1516688173.427,99997.953
1516688176.779,99997.980
1516688180.131,99997.963
1516688183.483,99997.991
1516688186.835,99997.973
1516688190.187,99997.986
1516688193.539,99997.991
1516688196.891,99997.975
1516688200.243,99997.968
1516688203.595,99997.970
1516688206.947,99997.963
1516688210.300,99997.975
1516688213.652,99997.973
1516688217.004,99997.975
1516688220.356,99997.996
1516688223.708,99997.988
1516688227.061,99997.983
1516688230.413,99997.998
1516688233.764,99997.980
1516688237.116,99997.988
1516688240.468,99997.970
1516688243.821,99997.973
1516688247.173,99997.973
1516688250.525,99997.980
1516688253.877,99997.988
1516688257.229,99997.986
1516688260.581,99997.998
1516688263.934,99997.988
1516688267.285,99997.993
1516688270.638,99997.975
1516688273.990,99997.991
1516688277.342,99997.983
1516688280.694,99997.993
1516688284.046,99997.993
1516688287.399,99997.996
1516688290.750,99997.980
1516688294.102,99997.991
1516688297.455,99997.970
1516688300.807,99997.978
1516688304.159,99997.991
1516688307.511,99997.998
1516688310.863,99997.973
1516688314.215,99997.996
1516688317.568,99997.991
1516688320.920,99998.001
1516688324.272,99997.973
1516688327.624,99997.978
1516688330.976,99997.983
1516688334.328,99997.973
1516688337.680,99997.975
1516688341.032,99997.960
1516688344.385,99997.958
1516688347.736,99997.968
1516688351.088,99997.975
1516688354.441,99997.983
1516688357.793,99997.968
1516688361.145,99997.983
1516688364.498,99997.986
1516688367.850,99997.958
1516688371.201,99997.983
1516688374.554,99997.975
1516688377.905,99997.958
1516688381.258,99997.983
1516688384.610,99997.960
1516688387.962,99997.986
1516688391.315,99997.963
1516688394.666,99997.988
1516688398.018,99997.978
1516688401.371,99998.011
1516688404.723,99997.988
1516688408.075,99997.986
1516688411.426,99997.996
1516688414.779,99997.996
1516688418.131,99997.983
1516688421.483,99997.975
1516688424.836,99997.965
1516688428.188,99997.973
1516688431.539,99997.978
1516688434.892,99997.998
1516688438.244,99998.003
1516688441.597,99997.996
1516688444.948,99997.978
1516688448.300,99997.965
1516688451.652,99997.978
1516688455.005,99997.975
1516688458.357,99997.996
1516688461.708,99997.970
1516688465.061,99997.958
1516688468.413,99997.983
1516688471.765,99997.975
1516688475.117,99997.970
1516688478.470,99997.980
1516688481.822,99997.986
1516688485.173,99997.973
