timestamp,lm399
1512969977.168,6885974.1
1512969980.519,6885974.6
1512969983.872,6885975.7
1512969987.224,6885974.1
1512969990.575,6885975.1
1512969993.928,6885974.9
1512969997.280,6885973.6
1512970000.632,6885973.9
1512970003.985,6885973.4
1512970007.336,6885973.4
1512970010.689,6885972.1
1512970014.041,6885972.9
1512970017.393,6885973.1
1512970020.745,6885971.6
1512970024.097,6885971.6
1512970027.448,6885972.4
1512970030.801,6885972.9
1512970034.153,6885972.1
1512970037.505,6885973.1
1512970040.857,6885972.9
1512970044.209,6885973.1
1512970047.562,6885972.6
1512970050.914,6885973.9
1512970054.265,6885972.9
1512970057.617,6885973.1
1512970060.969,6885974.1
1512970064.322,6885975.1
1512970067.674,6885972.9
1512970071.026,6885970.8
1512970074.378,6885974.6
1512970077.730,6885973.1
1512970081.082,6885973.1
1512970084.434,6885976.2
1512970087.787,6885975.9
1512970091.138,6885973.1
1512970094.491,6885971.8
1512970097.843,6885972.9
1512970101.195,6885971.6
1512970104.546,6885972.4
1512970107.899,6885972.4
1512970111.252,6885972.6
1512970114.603,6885973.1
1512970117.956,6885973.4
1512970121.307,6885971.8
1512970124.660,6885972.4
1512970128.011,6885971.8
1512970131.364,6885973.6
1512970134.715,6885972.4
1512970138.068,6885972.4
1512970141.420,6885972.1
1512970144.772,6885972.6
1512970148.124,6885972.1
1512970151.476,6885972.1
1512970154.829,6885972.9
1512970158.180,6885973.4
1512970161.532,6885974.4
1512970164.885,6885976.7
1512970168.237,6885973.6
1512970171.589,6885974.6
1512970174.941,6885974.6
1512970178.292,6885973.9
1512970181.645,6885973.9
1512970184.997,6885974.4
1512970188.349,6885975.7
1512970191.701,6885972.9
1512970195.054,6885973.4
1512970198.405,6885972.9
1512970201.758,6885973.5
1512970205.110,6885974.4
1512970208.462,6885972.4
1512970211.814,6885973.1
1512970215.166,6885972.6
1512970218.518,6885971.6
1512970221.870,6885972.1
1512970225.222,6885972.1
1512970228.575,6885971.1
1512970231.926,6885971.6
1512970235.279,6885971.1
1512970238.630,6885971.8
1512970241.982,6885973.1
1512970245.335,6885972.6
1512970248.687,6885973.9
1512970252.039,6885973.6
1512970255.391,6885973.6
1512970258.743,6885973.4
1512970262.095,6885973.6
1512970265.448,6885974.1
1512970268.799,6885972.4
1512970272.152,6885973.6
1512970275.503,6885972.9
1512970278.856,6885972.9
1512970282.208,6885972.6
1512970285.559,6885973.6
1512970288.912,6885972.6
1512970292.264,6885972.9
1512970295.616,6885970.6
1512970298.968,6885971.6
1512970302.321,6885970.6
1512970305.672,6885972.1
1512970309.025,6885971.6
1512970312.376,6885972.1
1512970315.729,6885973.4
1512970319.081,6885972.9
1512970322.433,6885971.3
1512970325.785,6885972.1
1512970329.137,6885971.8
1512970332.489,6885971.3
1512970335.841,6885972.1
1512970339.193,6885973.1
1512970342.545,6885973.1
1512970345.897,6885972.4
1512970349.250,6885973.1
1512970352.601,6885974.1
1512970355.954,6885974.1
1512970359.306,6885972.6
1512970362.658,6885971.8
1512970366.010,6885973.4
1512970369.362,6885970.6
1512970372.714,6885970.3
1512970376.067,6885970.7
1512970379.419,6885971.1
1512970382.770,6885971.8
1512970386.122,6885971.6
1512970389.475,6885970.3
1512970392.827,6885971.8
1512970396.179,6885971.6
1512970399.531,6885972.1
1512970402.883,6885969.3
1512970406.235,6885970.8
1512970409.587,6885971.3
1512970412.940,6885970.8
1512970416.291,6885971.8
