si7021_c,setpoint,adc,pwm
29.019,760,758.278,17.34
28.987,760,756.683,33.54
28.987,760,755.656,44.14
28.966,760,754.352,57.60
28.944,760,752.794,73.72
28.934,760,751.291,89.41
28.934,760,750.270,100.35
28.891,760,748.840,115.49
28.891,760,747.887,125.93
28.891,760,746.914,136.64
28.858,760,745.868,148.16
28.858,760,744.948,158.48
28.848,760,744.082,168.34
28.837,760,743.213,178.29
28.816,760,742.498,186.75
28.805,760,741.842,194.68
28.805,760,741.584,198.64
28.805,760,741.028,205.62
28.783,760,740.581,211.55
28.794,760,740.369,215.14
28.783,760,740.064,219.68
28.773,760,739.768,224.16
28.773,760,739.250,230.90
28.773,760,739.241,232.54
28.762,760,738.977,236.76
28.740,760,738.858,239.53
28.740,760,738.673,242.98
28.762,760,738.669,244.62
28.762,760,738.473,248.20
28.751,760,738.543,249.11
28.740,760,738.564,250.51
28.762,760,739.015,247.57
28.762,760,738.915,250.15
28.762,760,739.081,250.06
28.762,760,739.076,251.68
28.773,760,739.112,252.89
28.773,760,739.136,254.21
28.783,760,739.384,253.28
28.762,760,739.727,251.37
28.783,760,740.035,249.78
28.794,760,740.276,248.85
28.794,760,740.492,248.16
28.783,760,740.506,249.48
28.794,760,740.511,250.89
28.794,760,740.730,250.15
28.794,760,741.044,248.43
28.794,760,740.964,250.66
28.805,760,741.238,249.32
28.805,760,741.171,251.40
28.794,760,741.506,249.44
28.794,760,741.630,249.58
28.805,760,741.867,248.57
28.805,760,742.116,247.42
28.816,760,742.315,246.76
28.805,760,742.419,247.03
28.826,760,742.312,249.44
28.826,760,742.580,248.06
28.816,760,742.950,245.64
28.837,760,743.093,245.47
28.826,760,743.251,245.15
28.826,760,743.402,244.89
28.837,760,743.389,246.26
28.848,760,743.457,246.83
28.848,760,743.593,246.69
28.826,760,743.865,245.18
28.826,760,743.992,245.11
28.816,760,744.075,245.47
28.848,760,744.388,243.52
28.837,760,744.526,243.30
28.858,760,744.789,241.81
28.848,760,744.974,241.09
28.837,760,745.099,240.95
28.848,760,745.237,240.68
28.858,760,745.204,242.12
28.858,760,745.548,239.77
28.848,760,745.703,239.29
28.869,760,745.790,239.48
28.869,760,745.917,239.27
28.858,760,746.247,237.00
28.869,760,746.221,238.29
28.858,760,746.622,235.29
28.837,760,746.253,240.01
28.848,760,745.983,243.77
28.858,760,746.397,240.64
28.858,760,746.515,240.47
28.858,760,746.744,239.18
28.858,760,747.071,236.87
28.880,760,747.018,238.38
28.858,760,747.076,238.77
28.858,760,747.151,238.99
28.869,760,747.421,237.23
28.869,760,747.413,238.25
28.880,760,747.624,237.07
28.880,760,747.786,236.37
28.858,760,747.734,237.81
28.869,760,747.864,237.41
28.869,760,747.739,239.58
28.880,760,747.805,239.84
28.891,760,747.750,241.31
28.891,760,747.896,240.75
28.880,760,748.150,239.11
28.891,760,748.263,238.85
28.869,760,748.500,237.35
28.891,760,748.486,238.35
28.891,760,748.592,238.14
28.858,760,748.833,236.57
28.891,760,748.753,238.22
28.891,760,749.096,235.61
28.880,760,748.796,239.45
28.880,760,749.012,238.11
28.869,760,748.895,240.11
28.880,760,748.950,240.39
28.891,760,749.056,240.15
