Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1520690580.14,1999.8464,-0.21,24.981,21.501,-0.165348473004
1520690581.14,1999.8464,-0.21,24.978,21.522,-0.159241229894
1520690582.14,1999.8464,-0.21,24.978,21.512,-0.151157733372
1520690583.14,1999.8464,-0.21,24.979,21.522,-0.150330550639
1520690584.14,1999.8464,-0.21,24.991,21.533,-0.149551518194
1520690585.14,1999.8464,-0.21,25.012,21.512,-0.148819328789
1520690586.14,1999.8464,-0.21,25.035,21.501,-0.145980553384
1520690587.14,1999.8459,-0.46,25.031,21.501,-0.142855272871
1520690588.14,1999.8459,-0.46,25.011,21.522,-0.139440437004
1520690589.14,1999.8459,-0.46,24.981,21.522,-0.13429162429
1520690590.14,1999.8459,-0.46,24.979,21.512,-0.12483769649
1520690591.14,1999.8464,-0.21,24.978,21.522,-0.114914466787
1520690592.14,1999.8464,-0.21,24.98,21.522,-0.109318662529
1520690593.14,1999.8464,-0.21,24.989,21.512,-0.107020085424
1520690594.14,1999.8464,-0.21,25.019,21.501,-0.104175078805
1520690595.14,1999.8464,-0.21,25.032,21.522,-0.100783642672
1520690596.14,1999.8464,-0.21,25.032,21.522,-0.0956346992329
1520690597.14,1999.8469,0.04,25.002,21.522,-0.0904973031481
1520690598.14,1999.8469,0.04,24.982,21.512,-0.08537014717
1520690599.15,1999.8469,0.04,24.978,21.512,-0.0740059819652
1520690600.15,1999.8469,0.04,24.979,21.501,-0.0646115339331
1520690601.14,1999.8467,-0.06,24.981,21.533,-0.0557397670834
1520690602.14,1999.8467,-0.06,24.998,21.501,-0.0560332441791
1520690603.14,1999.8467,-0.06,25.02,21.522,-0.0511201717898
1520690604.14,1999.8462,-0.31,25.038,21.522,-0.0458029420044
1520690605.14,1999.8462,-0.31,25.03,21.512,-0.0400793760769
1520690606.15,1999.8462,-0.31,25.002,21.512,-0.0407854205285
1520690607.15,1999.8462,-0.31,24.979,21.512,-0.041843114596
1520690608.15,1999.8462,-0.31,24.978,21.533,-0.0432559442729
1520690609.14,1999.8462,-0.31,24.978,21.522,-0.0560779084735
1520690610.14,1999.8462,-0.31,24.98,21.522,-0.0721088170368
1520690611.15,1999.8474,0.29,24.99,21.512,-0.0880020288484
1520690612.15,1999.8474,0.29,25.021,21.522,-0.103774102378
1520690613.15,1999.8474,0.29,25.033,21.512,-0.100756539071
1520690614.15,1999.8469,0.04,25.035,21.522,-0.0980291847394
1520690615.15,1999.8469,0.04,25.003,21.522,-0.0955920393848
1520690616.15,1999.8469,0.04,24.981,21.522,-0.107259791067
1520690617.15,1999.8469,0.04,24.978,21.533,-0.11903255831
1520690618.15,1999.8469,0.04,24.979,21.522,-0.130922542091
1520690619.15,1999.8469,0.04,24.981,21.512,-0.131891430469
1520690620.15,1999.8469,0.04,25.0,21.522,-0.124508182935
1520690621.15,1999.8464,-0.21,25.023,21.501,-0.117415362251
1520690622.15,1999.8464,-0.21,25.04,21.522,-0.11060730368
1520690623.15,1999.8464,-0.21,25.03,21.522,-0.103446418969
1520690624.15,1999.8456,-0.61,25.001,21.512,-0.0972818748372
1520690625.15,1999.8456,-0.61,24.979,21.522,-0.0921071350448
1520690626.15,1999.8456,-0.61,24.978,21.512,-0.0966625880541
1520690627.15,1999.8472,0.19,24.978,21.512,-0.101807827625
1520690628.15,1999.8472,0.19,24.981,21.512,-0.107544161004
1520690629.15,1999.8472,0.19,24.993,21.512,-0.12348203711
1520690630.15,1999.8472,0.19,25.025,21.533,-0.128583876059
1520690631.15,1999.8472,0.19,25.038,21.522,-0.132940148102
1520690632.15,1999.8472,0.19,25.036,21.512,-0.136551724739
1520690633.15,1999.8472,0.19,24.999,21.544,-0.143197336004
1520690634.15,1999.8456,-0.61,24.98,21.501,-0.148708692064
1520690635.15,1999.8456,-0.61,24.978,21.512,-0.153090150412
1520690636.15,1999.8456,-0.61,24.978,21.501,-0.146651258575
1520690637.15,1999.8456,-0.61,24.98,21.512,-0.140562491231
1520690638.15,1999.8456,-0.61,24.994,21.522,-0.134819055139
1520690639.15,1999.8456,-0.61,25.018,21.522,-0.130857528308
1520690640.15,1999.8456,-0.61,25.039,21.512,-0.126107644
1520690641.15,1999.8454,-0.71,25.033,21.533,-0.121525958888
1520690642.15,1999.8454,-0.71,25.008,21.522,-0.117108115481
1520690643.15,1999.8454,-0.71,24.98,21.501,-0.117555629923
1520690644.15,1999.8479,0.54,24.978,21.533,-0.117636243528
1520690645.15,1999.8479,0.54,24.978,21.533,-0.117349956294
1520690646.15,1999.8479,0.54,24.979,21.512,-0.111727702059
1520690647.16,1999.8477,0.44,24.987,21.49,-0.105734189493
1520690648.15,1999.8477,0.44,25.015,21.522,-0.0993650611052
1520690649.15,1999.8477,0.44,25.032,21.533,-0.0935768735691
1520690650.15,1999.8477,0.44,25.038,21.522,-0.092472990085
1520690651.15,1999.8467,-0.06,25.01,21.533,-0.0912497113162
1520690652.15,1999.8467,-0.06,24.982,21.522,-0.0899079087611
1520690653.15,1999.8467,-0.06,24.978,21.512,-0.0912653982879
1520690654.16,1999.8467,-0.06,24.978,21.522,-0.0921797308639
1520690655.16,1999.8467,-0.06,24.978,21.512,-0.0926543924828
1520690656.15,1999.8467,-0.06,24.983,21.512,-0.0928573644668
1520690657.15,1999.8464,-0.21,24.999,21.544,-0.0929566281378
1520690658.15,1999.8464,-0.21,25.03,21.522,-0.0929556694895
1520690659.15,1999.8464,-0.21,25.038,21.522,-0.0866120324302
1520690660.16,1999.8464,-0.21,25.032,21.522,-0.080597168153
1520690661.16,1999.8467,-0.06,24.991,21.522,-0.0749088979118
1520690662.16,1999.8467,-0.06,24.979,21.501,-0.0695450429605
1520690663.16,1999.8467,-0.06,24.978,21.512,-0.0670702052989
1520690664.16,1999.8464,-0.21,24.978,21.512,-0.0650820995095
1520690665.16,1999.8464,-0.21,24.98,21.501,-0.0635807255922
1520690666.16,1999.8464,-0.21,24.994,21.522,-0.0611247122966
1520690667.16,1999.8474,0.29,25.017,21.522,-0.0566860400767
1520690668.16,1999.8474,0.29,25.039,21.533,-0.0526635083564
1520690669.16,1999.8474,0.29,25.033,21.512,-0.0528972878098
1520690670.16,1999.8474,0.29,25.007,21.522,-0.0532805292436
1520690671.16,1999.8464,-0.21,24.979,21.522,-0.0538132326579
1520690672.16,1999.8464,-0.21,24.978,21.544,-0.0544953980526
1520690673.44,1999.8464,-0.21,24.978,21.522,-0.0614084721848
1520690674.16,1999.8451,-0.86,24.979,21.544,-0.067719994527
1520690675.16,1999.8451,-0.86,24.986,21.533,-0.0734356298189
1520690676.16,1999.8451,-0.86,25.016,21.522,-0.0737564719652
1520690677.16,1999.8469,0.04,25.034,21.522,-0.0748441020037
1520690678.16,1999.8469,0.04,25.037,21.512,-0.0757397845133
1520690679.16,1999.8469,0.04,25.007,21.522,-0.0701997561548
1520690680.16,1999.8469,0.04,24.982,21.512,-0.0674609416192
1520690681.16,1999.8464,-0.21,24.978,21.522,-0.0651197482416
1520690682.16,1999.8464,-0.21,24.978,21.512,-0.0631748687741
1520690683.16,1999.8464,-0.21,24.979,21.512,-0.0688318522218
1520690684.16,1999.8487,0.94,24.992,21.522,-0.0743955853376
1520690685.16,1999.8487,0.94,25.016,21.533,-0.0798712971121
1520690686.16,1999.8487,0.94,25.038,21.522,-0.0804596457011
1520690687.16,1999.8487,0.94,25.032,21.533,-0.0751347903044
1520690688.16,1999.8462,-0.31,25.005,21.544,-0.0696578584321
1520690689.16,1999.8462,-0.31,24.979,21.522,-0.0678681492598
1520690690.16,1999.8462,-0.31,24.978,21.522,-0.0682247228417
1520690691.16,1999.8479,0.54,24.978,21.533,-0.068326601008
1520690692.16,1999.8479,0.54,24.979,21.522,-0.0681750910063
1520690693.16,1999.8479,0.54,24.987,21.522,-0.0725760709191
1520690694.16,1999.8456,-0.61,25.017,21.522,-0.0764016439947
1520690695.16,1999.8456,-0.61,25.035,21.522,-0.0796574749728
