si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.361,23.378,406,262.854,23.3733,-1.6267,255.00,2.0119
21.351,23.346,406,265.753,23.4063,-1.5937,255.00,2.0556
21.319,23.442,406,277.236,23.5368,-1.4632,255.00,2.2183
21.329,23.582,406,288.888,23.6692,-1.3308,255.00,2.3399
21.351,23.721,406,300.513,23.8013,-1.1987,255.00,2.4506
21.329,23.871,406,311.921,23.9309,-1.0691,255.00,2.6017
21.340,23.979,406,322.795,24.0545,-0.9455,255.00,2.7145
21.319,24.129,406,332.811,24.1683,-0.8317,255.00,2.8498
21.308,24.204,406,342.517,24.2786,-0.7214,255.00,2.9708
21.329,24.322,406,351.967,24.3860,-0.6140,255.00,3.0567
21.319,24.408,406,360.703,24.4853,-0.5147,255.00,3.1667
21.329,24.493,406,369.383,24.5839,-0.4161,255.00,3.2547
21.297,24.590,406,377.667,24.6780,-0.3220,255.00,3.3810
21.319,24.686,406,385.605,24.7682,-0.2318,255.00,3.4497
21.351,24.761,406,393.388,24.8567,-0.1433,255.00,3.5060
21.340,24.847,406,400.660,24.9393,-0.0607,255.00,3.5993
21.351,24.955,406,408.120,25.0241,0.0241,221.08,3.6734
21.329,25.008,406,413.829,25.0890,0.0890,117.02,3.7597
21.308,25.073,406,414.430,25.0958,0.0958,60.43,3.7880
21.319,25.073,406,409.099,25.0352,0.0352,95.14,3.7167
21.319,24.976,406,402.573,24.9611,-0.0389,180.96,3.6425
21.319,24.912,406,398.999,24.9204,-0.0796,255.00,3.6019
21.308,24.879,406,401.149,24.9449,-0.0551,255.00,3.6371
21.329,24.922,406,408.315,25.0263,0.0263,180.77,3.6971
21.276,25.040,406,413.179,25.0816,0.0816,89.06,3.8060
21.286,25.073,406,411.757,25.0654,0.0654,68.73,3.7791
21.308,25.030,406,406.390,25.0044,0.0044,120.06,3.6966
21.319,24.965,406,401.021,24.9434,-0.0566,203.63,3.6249
21.319,24.933,406,399.741,24.9289,-0.0711,253.98,3.6103
21.340,24.901,406,403.922,24.9764,-0.0236,224.64,3.6364
21.351,24.997,406,410.638,25.0527,0.0527,129.65,3.7020
21.372,25.062,406,412.590,25.0749,0.0749,70.59,3.7027
21.383,25.083,406,408.819,25.0320,0.0320,91.39,3.6492
21.394,25.019,406,403.258,24.9688,-0.0312,163.44,3.5752
21.383,24.965,406,400.214,24.9343,-0.0657,228.60,3.5514
21.404,24.922,406,401.855,24.9529,-0.0471,237.06,3.5486
21.404,24.955,406,407.251,25.0142,0.0142,175.59,3.6099
21.415,25.040,406,411.554,25.0631,0.0631,99.24,3.6481
21.426,25.073,406,410.599,25.0523,0.0523,81.20,3.6265
21.426,25.030,406,406.485,25.0055,0.0055,119.42,3.5797
21.426,25.008,406,402.176,24.9565,-0.0435,185.46,3.5308
21.436,24.933,406,400.547,24.9380,-0.0620,234.47,3.5015
21.394,24.922,406,403.774,24.9747,-0.0253,215.56,3.5811
21.372,24.976,406,408.808,25.0319,0.0319,148.37,3.6598
21.415,25.030,406,410.949,25.0562,0.0562,97.27,3.6412
21.415,25.051,406,409.071,25.0349,0.0349,97.62,3.6198
21.404,25.030,406,404.679,24.9850,-0.0150,149.47,3.5807
21.404,24.987,406,401.575,24.9497,-0.0503,207.06,3.5454
21.415,24.955,406,402.044,24.9550,-0.0450,226.10,3.5400
21.415,24.955,406,405.970,24.9997,-0.0003,187.03,3.5846
21.436,25.019,406,410.049,25.0460,0.0460,121.95,3.6095
21.415,25.062,406,410.134,25.0470,0.0470,96.29,3.6319
21.383,25.040,406,406.836,25.0095,0.0095,124.25,3.6266
21.415,25.008,406,403.013,24.9661,-0.0339,180.41,3.5510
21.415,24.976,406,401.577,24.9497,-0.0503,221.31,3.5347
21.394,24.955,406,403.763,24.9746,-0.0254,212.87,3.5810
21.404,24.976,406,408.242,25.0255,0.0255,154.62,3.6212
21.415,25.040,406,410.331,25.0492,0.0492,107.76,3.6342
