resistance,ppm,temp_c,ambient_c
69999.82,1.28,25.001,21.683
69999.82,1.28,24.999,21.716
69999.82,1.28,25.004,21.694
69999.82,1.28,24.999,21.694
69999.82,1.28,24.999,21.683
69999.82,1.28,24.993,21.694
69999.82,1.28,25.0,21.705
69999.82,1.28,24.997,21.683
69999.82,1.28,24.993,21.683
69999.799,0.98,24.999,21.694
69999.799,0.98,25.003,21.673
69999.799,0.98,24.996,21.705
69999.799,0.98,25.005,21.683
69999.799,0.98,25.005,21.683
69999.799,0.98,24.999,21.705
69999.799,0.98,24.999,21.705
69999.799,0.98,25.004,21.694
69999.799,0.98,25.01,21.716
69999.799,0.98,25.003,21.694
69999.799,0.98,25.005,21.673
69999.799,0.98,25.004,21.694
69999.799,0.98,25.008,21.683
69999.784,0.77,24.986,21.705
69999.784,0.77,24.995,21.683
69999.784,0.77,25.004,21.683
69999.784,0.77,25.005,21.683
69999.784,0.77,25.003,21.694
69999.784,0.77,24.992,21.683
69999.784,0.77,25.005,21.683
69999.784,0.77,24.997,21.705
69999.784,0.77,25.004,21.683
69999.784,0.77,24.999,21.694
69999.784,0.77,25.01,21.694
69999.784,0.77,25.0,21.705
69999.784,0.77,25.0,21.694
69999.792,0.88,24.999,21.694
69999.792,0.88,24.997,21.694
69999.792,0.88,24.997,21.683
69999.792,0.88,24.995,21.683
69999.792,0.88,25.0,21.694
69999.792,0.88,24.995,21.705
69999.792,0.88,25.001,21.683
69999.792,0.88,24.995,21.694
69999.792,0.88,25.005,21.694
69999.792,0.88,25.003,21.673
69999.792,0.88,25.0,21.683
69999.792,0.88,25.004,21.705
69999.792,0.88,24.996,21.683
69999.792,0.88,25.003,21.673
69999.799,0.98,25.0,21.694
69999.799,0.98,25.005,21.683
69999.799,0.98,25.001,21.694
69999.799,0.98,24.995,21.694
69999.799,0.98,25.0,21.705
69999.799,0.98,25.004,21.705
69999.799,0.98,25.0,21.683
69999.799,0.98,25.001,21.683
69999.799,0.98,25.008,21.705
69999.799,0.98,25.005,21.683
69999.799,0.98,24.997,21.694
69999.799,0.98,24.997,21.683
69999.799,0.98,24.996,21.694
69999.756,0.37,24.999,21.694
69999.756,0.37,25.007,21.694
69999.756,0.37,24.999,21.694
69999.756,0.37,24.993,21.683
69999.756,0.37,25.0,21.683
69999.756,0.37,24.999,21.694
69999.756,0.37,25.0,21.694
69999.756,0.37,24.999,21.694
69999.756,0.37,25.005,21.683
69999.756,0.37,25.003,21.705
69999.756,0.37,25.001,21.683
69999.756,0.37,24.996,21.694
69999.756,0.37,25.004,21.683
69999.756,0.37,24.997,21.705
69999.759,0.41,25.01,21.716
69999.759,0.41,25.004,21.683
69999.759,0.41,25.007,21.694
69999.759,0.41,25.011,21.683
69999.759,0.41,25.004,21.683
69999.759,0.41,25.005,21.705
69999.759,0.41,25.007,21.683
69999.759,0.41,24.993,21.683
69999.759,0.41,24.995,21.694
69999.759,0.41,25.001,21.683
69999.759,0.41,25.003,21.694
69999.759,0.41,24.99,21.705
69999.759,0.41,24.996,21.705
69999.738,0.11,24.997,21.694
69999.738,0.11,24.993,21.673
69999.738,0.11,24.997,21.694
69999.738,0.11,24.995,21.683
69999.738,0.11,24.997,21.683
69999.738,0.11,25.003,21.705
69999.738,0.11,25.0,21.683
69999.738,0.11,25.003,21.673
69999.738,0.11,25.005,21.683
69999.738,0.11,25.01,21.683
69999.738,0.11,24.997,21.705
69999.738,0.11,25.0,21.694
69999.738,0.11,25.008,21.683
69999.738,0.11,25.0,21.673
69999.756,0.37,25.0,21.716
69999.756,0.37,25.004,21.683
69999.756,0.37,25.007,21.705
69999.756,0.37,25.005,21.694
69999.756,0.37,25.003,21.694
69999.756,0.37,24.999,21.683
69999.756,0.37,25.004,21.683
69999.756,0.37,24.993,21.683
69999.756,0.37,24.992,21.716
69999.756,0.37,24.999,21.705
69999.756,0.37,24.99,21.716
69999.756,0.37,25.001,21.683
69999.756,0.37,24.995,21.716
69999.737,0.09,24.997,21.683
69999.737,0.09,25.0,21.716
69999.737,0.09,25.0,21.683
69999.737,0.09,24.997,21.705
69999.737,0.09,25.0,21.694
69999.737,0.09,24.999,21.683
69999.737,0.09,25.005,21.705
69999.737,0.09,25.003,21.705
69999.737,0.09,25.008,21.694
69999.737,0.09,24.992,21.705
69999.737,0.09,25.001,21.683
69999.737,0.09,25.001,21.683
69999.737,0.09,25.003,21.705
69999.713,-0.25,25.0,21.716
69999.713,-0.25,24.997,21.705
69999.713,-0.25,25.004,21.705
69999.713,-0.25,25.003,21.694
69999.713,-0.25,24.992,21.694
69999.713,-0.25,25.005,21.694
69999.713,-0.25,25.001,21.705
69999.713,-0.25,25.004,21.683
69999.713,-0.25,24.996,21.683
69999.713,-0.25,25.005,21.683
69999.713,-0.25,24.992,21.694
69999.713,-0.25,25.003,21.705
69999.713,-0.25,25.003,21.694
69999.713,-0.25,25.004,21.683
69999.685,-0.65,24.996,21.705
69999.685,-0.65,25.0,21.716
69999.685,-0.65,25.0,21.705
69999.685,-0.65,24.999,21.694
69999.685,-0.65,25.0,21.694
69999.685,-0.65,24.995,21.683
69999.685,-0.65,24.996,21.694
69999.685,-0.65,24.997,21.705
69999.685,-0.65,24.997,21.694
69999.685,-0.65,25.0,21.705
69999.685,-0.65,24.992,21.694
69999.685,-0.65,25.005,21.694
69999.685,-0.65,24.992,21.705
69999.705,-0.36,25.001,21.673
69999.705,-0.36,24.997,21.694
69999.705,-0.36,24.99,21.694
69999.705,-0.36,25.005,21.683
69999.705,-0.36,25.005,21.694
69999.705,-0.36,25.0,21.683
69999.705,-0.36,25.0,21.683
69999.705,-0.36,25.001,21.705
69999.705,-0.36,25.007,21.683
69999.705,-0.36,25.001,21.705
69999.705,-0.36,24.997,21.705
69999.705,-0.36,24.999,21.683
69999.705,-0.36,24.999,21.694
69999.705,-0.36,24.996,21.705
69999.695,-0.51,25.001,21.683
69999.695,-0.51,24.99,21.705
69999.695,-0.51,24.997,21.683
69999.695,-0.51,25.004,21.694
69999.695,-0.51,24.997,21.705
69999.695,-0.51,24.999,21.705
69999.695,-0.51,24.997,21.683
69999.695,-0.51,25.003,21.694
69999.695,-0.51,25.003,21.683
69999.695,-0.51,25.007,21.705
69999.695,-0.51,25.007,21.705
69999.695,-0.51,25.001,21.694
69999.695,-0.51,25.001,21.716
69999.675,-0.79,25.004,21.716
69999.675,-0.79,24.995,21.694
69999.675,-0.79,24.999,21.694
69999.675,-0.79,25.007,21.694
69999.675,-0.79,24.995,21.705
69999.675,-0.79,24.996,21.694
69999.675,-0.79,24.996,21.683
69999.675,-0.79,24.996,21.716
69999.675,-0.79,24.997,21.694
69999.675,-0.79,24.996,21.694
69999.675,-0.79,24.999,21.716
69999.675,-0.79,25.007,21.673
69999.675,-0.79,24.997,21.716
69999.652,-1.12,25.007,21.705
