set_c,oven_c,output,ambient_c
25.000,24.999,5.10,21.705
25.000,24.999,4.51,21.705
25.000,25.004,3.60,21.694
25.000,25.010,3.16,21.716
25.000,25.003,4.76,21.694
25.000,25.005,3.71,21.673
25.000,25.004,4.17,21.694
25.000,25.008,3.37,21.683
25.000,24.986,7.35,21.705
25.000,24.995,4.12,21.683
25.000,25.004,3.24,21.683
25.000,25.005,3.83,21.683
25.000,25.003,4.39,21.694
25.000,24.992,5.98,21.683
25.000,25.005,2.77,21.683
25.000,24.997,5.31,21.705
25.000,25.004,3.47,21.683
25.000,24.999,4.96,21.694
25.000,25.010,2.67,21.694
25.000,25.000,5.19,21.705
25.000,25.000,4.37,21.694
25.000,24.999,4.60,21.694
25.000,24.997,4.71,21.694
25.000,24.997,4.60,21.683
25.000,24.995,5.06,21.683
25.000,25.000,3.91,21.694
25.000,24.995,5.29,21.705
25.000,25.001,3.69,21.683
25.000,24.995,5.42,21.694
25.000,25.005,3.01,21.694
25.000,25.003,4.40,21.673
25.000,25.000,4.62,21.683
25.000,25.004,3.70,21.705
25.000,24.996,5.42,21.683
25.000,25.003,3.58,21.673
25.000,25.000,4.62,21.694
25.000,25.005,3.47,21.683
25.000,25.001,4.62,21.694
25.000,24.995,5.40,21.694
25.000,25.000,3.91,21.705
25.000,25.004,3.70,21.705
25.000,25.000,4.73,21.683
25.000,25.001,4.15,21.683
25.000,25.008,3.13,21.705
25.000,25.005,4.16,21.683
25.000,24.997,5.29,21.694
25.000,24.997,4.59,21.683
25.000,24.996,4.82,21.694
25.000,24.999,4.25,21.694
25.000,25.007,3.12,21.694
25.000,24.999,5.18,21.694
25.000,24.993,5.39,21.683
25.000,25.000,3.79,21.683
25.000,24.999,4.60,21.694
25.000,25.000,4.26,21.694
25.000,24.999,4.60,21.694
25.000,25.005,3.35,21.683
25.000,25.003,4.39,21.705
25.000,25.001,4.38,21.683
25.000,24.996,5.17,21.694
25.000,25.004,3.34,21.683
25.000,24.997,5.18,21.705
25.000,25.010,2.54,21.716
