set_c,c,output
27.000, 26.996, 8.94
27.000, 27.006, 6.18
27.000, 27.005, 7.22
27.000, 27.002, 7.56
27.000, 27.003, 7.09
27.000, 26.995, 8.57
27.000, 27.000, 6.96
27.000, 27.003, 6.98
27.000, 26.996, 8.35
27.000, 26.996, 7.77
27.000, 26.995, 8.00
27.000, 26.999, 7.20
28.000, 26.989, 88.38
28.000, 27.005, 85.91
28.000, 27.006, 87.80
28.000, 27.028, 85.11
28.000, 27.070, 80.97
28.000, 27.131, 75.25
28.000, 27.216, 67.24
28.000, 27.291, 62.75
28.000, 27.391, 53.28
28.000, 27.483, 47.19
28.000, 27.584, 38.96
28.000, 27.683, 31.58
28.000, 27.767, 26.50
28.000, 27.840, 21.89
28.000, 27.910, 16.73
28.000, 27.970, 12.87
28.000, 28.025, 9.05
28.000, 28.065, 7.00
28.000, 28.100, 4.65
28.000, 28.124, 3.62
28.000, 28.131, 4.37
28.000, 28.145, 2.57
28.000, 28.144, 3.85
28.000, 28.147, 3.16
28.000, 28.135, 5.09
28.000, 28.117, 7.00
28.000, 28.106, 7.20
28.000, 28.090, 8.68
28.000, 28.065, 11.41
28.000, 28.051, 11.53
28.000, 28.033, 13.27
28.000, 28.025, 13.09
28.000, 28.006, 15.33
28.000, 27.991, 16.30
28.000, 27.978, 17.07
28.000, 27.968, 17.63
28.000, 27.966, 17.29
28.000, 27.959, 18.22
28.000, 27.952, 18.81
28.000, 27.957, 17.35
28.000, 27.954, 18.31
28.000, 27.957, 17.66
28.000, 27.956, 18.16
28.000, 27.964, 16.71
28.000, 27.978, 15.17
28.000, 27.983, 15.68
28.000, 27.971, 17.86
28.000, 27.978, 15.81
28.000, 27.991, 14.37
28.000, 27.981, 17.02
28.000, 27.995, 13.94
28.000, 27.998, 14.66
28.000, 28.002, 14.21
28.000, 27.998, 15.25
28.000, 28.002, 14.21
28.000, 28.016, 12.29
28.000, 28.006, 15.04
28.000, 28.008, 13.99
28.000, 28.016, 12.73
28.000, 28.019, 12.96
28.000, 28.012, 14.32
28.000, 28.020, 12.36
28.000, 28.015, 13.96
28.000, 28.015, 13.47
28.000, 28.015, 13.46
28.000, 28.020, 12.54
28.000, 28.006, 15.27
28.000, 28.023, 11.36
28.000, 28.019, 13.43
28.000, 28.018, 13.29
28.000, 28.013, 13.84
28.000, 28.012, 13.71
28.000, 28.005, 14.72
28.000, 28.009, 13.44
28.000, 28.018, 12.42
28.000, 28.009, 14.48
28.000, 28.013, 13.08
28.000, 28.016, 12.97
28.000, 28.012, 13.87
28.000, 28.019, 12.37
28.000, 28.013, 13.85
28.000, 28.016, 12.92
28.000, 28.016, 13.14
28.000, 28.012, 13.81
28.000, 28.009, 13.90
28.000, 28.013, 12.98
28.000, 28.019, 12.41
28.000, 28.012, 14.00
28.000, 28.016, 12.72
28.000, 28.013, 13.51
28.000, 28.025, 11.44
28.000, 28.020, 13.04
28.000, 28.027, 11.54
28.000, 28.022, 13.01
28.000, 28.025, 12.07
28.000, 28.025, 12.28
28.000, 28.025, 12.26
28.000, 28.032, 11.10
28.000, 28.022, 13.26
28.000, 28.032, 10.82
28.000, 28.026, 12.53
28.000, 28.027, 11.81
28.000, 28.026, 12.13
28.000, 28.033, 10.85
28.000, 28.025, 12.78
28.000, 28.030, 11.14
28.000, 28.030, 11.59
28.000, 28.018, 13.61
28.000, 28.033, 10.04
28.000, 28.023, 12.89
28.000, 28.032, 10.69
28.000, 28.022, 12.96
28.000, 28.029, 10.98
28.000, 28.029, 11.54
28.000, 28.029, 11.52
28.000, 28.033, 10.81
28.000, 28.032, 11.36
28.000, 28.032, 11.22
28.000, 28.023, 12.56
28.000, 28.025, 11.61
28.000, 28.032, 10.57
28.000, 28.029, 11.58
28.000, 28.026, 11.78
28.000, 28.026, 11.52
28.000, 28.030, 10.82
28.000, 28.032, 10.92
28.000, 28.012, 14.20
28.000, 28.023, 10.72
28.000, 28.020, 12.10
28.000, 28.029, 10.48
28.000, 28.022, 12.30
28.000, 28.026, 11.01
28.000, 28.030, 10.66
28.000, 28.023, 12.12
28.000, 28.025, 11.29
28.000, 28.020, 12.07
28.000, 28.022, 11.47
28.000, 28.029, 10.43
28.000, 28.037, 9.63
28.000, 28.033, 10.98
28.000, 28.036, 10.15
28.000, 28.030, 11.26
28.000, 28.037, 9.63
28.000, 28.036, 10.41
28.000, 28.030, 11.18
28.000, 28.034, 10.00
28.000, 28.036, 10.10
28.000, 28.043, 9.05
28.000, 28.030, 11.65
28.000, 28.033, 10.11
28.000, 28.034, 10.09
28.000, 28.036, 9.95
28.000, 28.026, 11.63
28.000, 28.027, 10.56
28.000, 28.034, 9.52
28.000, 28.037, 9.62
28.000, 28.022, 12.33
28.000, 28.027, 10.11
28.000, 28.037, 8.96
28.000, 28.029, 11.12
28.000, 28.023, 11.30
28.000, 28.029, 9.90
28.000, 28.027, 10.57
28.000, 28.029, 10.21
28.000, 28.022, 11.44
28.000, 28.026, 10.15
28.000, 28.023, 10.94
28.000, 28.032, 9.32
28.000, 28.023, 11.36
28.000, 28.033, 9.04
28.000, 28.025, 11.20
28.000, 28.030, 9.57
28.000, 28.023, 11.15
28.000, 28.032, 9.18
28.000, 28.030, 10.08
28.000, 28.033, 9.48
28.000, 28.026, 10.83
28.000, 28.027, 9.99
28.000, 28.032, 9.40
28.000, 28.025, 10.87
28.000, 28.023, 10.49
28.000, 28.027, 9.67
28.000, 28.025, 10.45
28.000, 28.033, 8.83
28.000, 28.026, 10.65
28.000, 28.033, 8.90
28.000, 28.026, 10.60
28.000, 28.022, 10.67
28.000, 28.036, 8.03
28.000, 28.026, 10.76
28.000, 28.022, 10.60
28.000, 28.027, 9.32
28.000, 28.018, 11.36
28.000, 28.019, 10.30
28.000, 28.030, 8.58
28.000, 28.022, 10.86
28.000, 28.022, 10.14
28.000, 28.018, 10.80
28.000, 28.023, 9.53
28.000, 28.032, 8.61
28.000, 28.023, 10.65
28.000, 28.023, 9.93
28.000, 28.025, 9.68
28.000, 28.027, 9.32
28.000, 28.023, 10.22
28.000, 28.027, 9.16
28.000, 28.025, 9.95
28.000, 28.030, 8.78
28.000, 28.015, 11.73
28.000, 28.025, 8.83
28.000, 28.022, 10.09
28.000, 28.022, 9.84
28.000, 28.025, 9.36
28.000, 28.025, 9.58
28.000, 28.018, 10.70
28.000, 28.023, 9.18
28.000, 28.029, 8.72
28.000, 28.025, 9.85
28.000, 28.026, 9.25
28.000, 28.023, 9.80
28.000, 28.018, 10.46
28.000, 28.025, 8.84
28.000, 28.027, 8.95
28.000, 28.023, 9.84
28.000, 28.025, 9.24
28.000, 28.020, 10.02
28.000, 28.025, 8.97
28.000, 28.019, 10.21
28.000, 28.022, 9.27
28.000, 28.025, 9.03
28.000, 28.016, 10.61
28.000, 28.022, 8.99
28.000, 28.015, 10.58
28.000, 28.026, 8.16
28.000, 28.022, 9.75
28.000, 28.027, 8.47
28.000, 28.026, 9.15
28.000, 28.018, 10.38
28.000, 28.026, 8.29
28.000, 28.023, 9.43
28.000, 28.019, 9.86
28.000, 28.019, 9.49
28.000, 28.016, 9.93
28.000, 28.022, 8.77
28.000, 28.016, 10.13
28.000, 28.018, 9.42
28.000, 28.012, 10.44
28.000, 28.026, 7.68
28.000, 28.012, 11.11
28.000, 28.018, 9.01
28.000, 28.020, 9.01
28.000, 28.027, 8.09
28.000, 28.027, 8.65
28.000, 28.020, 9.77
28.000, 28.013, 10.31
28.000, 28.013, 9.71
28.000, 28.019, 8.79
28.000, 28.022, 8.78
28.000, 28.016, 9.91
28.000, 28.019, 8.97
28.000, 28.015, 9.88
28.000, 28.020, 8.60
28.000, 28.020, 9.05
28.000, 28.016, 9.72
28.000, 28.022, 8.44
28.000, 28.016, 9.80
28.000, 28.018, 9.09
28.000, 28.016, 9.42
28.000, 28.020, 8.61
28.000, 28.015, 9.86
28.000, 28.016, 9.15
28.000, 28.006, 10.85
28.000, 28.011, 9.34
28.000, 28.018, 8.54
28.000, 28.006, 10.93
28.000, 28.013, 8.85
28.000, 28.011, 9.88
28.000, 28.019, 8.27
28.000, 28.019, 8.96
28.000, 28.025, 8.03
28.000, 28.016, 9.85
28.000, 28.015, 9.36
28.000, 28.015, 9.23
28.000, 28.022, 8.08
28.000, 28.015, 9.79
28.000, 28.019, 8.50
28.000, 28.013, 9.75
28.000, 28.022, 7.90
28.000, 28.012, 10.18
28.000, 28.013, 9.13
28.000, 28.018, 8.55
28.000, 28.013, 9.57
28.000, 28.016, 8.75
28.000, 28.009, 10.11
28.000, 28.012, 9.06
28.000, 28.012, 9.28
28.000, 28.012, 9.27
28.000, 28.015, 8.81
28.000, 28.011, 9.71
28.000, 28.013, 8.90
28.000, 28.009, 9.81
28.000, 28.006, 9.90
28.000, 28.012, 8.75
28.000, 28.015, 8.75
28.000, 28.012, 9.43
28.000, 28.020, 7.82
28.000, 28.019, 8.73
28.000, 28.020, 8.37
28.000, 28.015, 9.39
28.000, 28.005, 10.50
28.000, 28.005, 9.67
28.000, 28.008, 9.21
28.000, 28.012, 8.76
28.000, 28.008, 9.78
28.000, 28.009, 9.20
28.000, 28.008, 9.54
28.000, 28.006, 9.64
28.000, 28.019, 7.47
28.000, 28.004, 11.01
28.000, 28.006, 9.26
28.000, 28.008, 9.27
28.000, 28.008, 9.38
28.000, 28.013, 8.46
28.000, 28.018, 8.23
28.000, 28.015, 9.03
28.000, 28.016, 8.55
28.000, 28.019, 8.20
28.000, 28.011, 9.78
28.000, 28.008, 9.53
28.000, 28.019, 7.46
28.000, 28.025, 7.48
28.000, 28.016, 9.29
28.000, 28.015, 8.80
28.000, 28.019, 7.99
28.000, 28.013, 9.24
28.000, 28.013, 8.76
28.000, 28.008, 9.65
28.000, 28.006, 9.41
28.000, 28.009, 8.83
28.000, 27.999, 10.65
28.000, 28.001, 9.60
28.000, 28.012, 7.90
28.000, 28.011, 9.05
28.000, 28.005, 9.84
28.000, 28.011, 8.45
28.000, 28.004, 10.05
28.000, 28.009, 8.55
28.000, 28.009, 9.01
28.000, 28.011, 8.78
28.000, 28.008, 9.34
28.000, 28.009, 8.87
28.000, 28.006, 9.44
28.000, 28.008, 8.97
28.000, 28.005, 9.54
28.000, 28.008, 8.84
28.000, 28.008, 9.07
28.000, 28.004, 9.75
28.000, 28.011, 8.26
28.000, 28.008, 9.29
28.000, 28.012, 8.36
28.000, 28.005, 9.84
28.000, 28.008, 8.80
28.000, 28.004, 9.71
28.000, 28.004, 9.36
28.000, 28.011, 8.21
28.000, 28.008, 9.25
28.000, 28.012, 8.32
28.000, 28.013, 8.44
28.000, 28.009, 9.23
28.000, 28.009, 8.87
28.000, 27.999, 10.45
28.000, 28.004, 8.95
28.000, 28.012, 7.93
28.000, 28.006, 9.54
28.000, 28.013, 7.92
28.000, 28.011, 8.95
28.000, 28.006, 9.39
28.000, 28.008, 8.81
28.000, 28.005, 9.38
28.000, 28.004, 9.36
28.000, 28.009, 8.33
28.000, 28.005, 9.48
28.000, 28.001, 9.81
28.000, 28.013, 7.40
28.000, 28.005, 9.81
28.000, 28.002, 9.56
28.000, 28.001, 9.55
28.000, 28.009, 8.07
28.000, 27.999, 10.36
28.000, 28.005, 8.63
28.000, 28.001, 9.78
28.000, 28.005, 8.74
28.000, 28.004, 9.32
28.000, 28.015, 7.37
28.000, 28.004, 10.12
28.000, 28.012, 7.81
28.000, 28.001, 10.33
28.000, 28.016, 6.89
28.000, 28.004, 10.21
28.000, 28.008, 8.47
28.000, 27.999, 10.18
28.000, 28.013, 7.20
28.000, 28.008, 9.27
28.000, 28.005, 9.25
28.000, 28.001, 9.70
28.000, 28.004, 8.89
28.000, 28.006, 8.67
28.000, 28.006, 8.90
28.000, 28.009, 8.43
28.000, 28.006, 9.12
28.000, 27.999, 10.02
28.000, 28.009, 7.84
28.000, 28.013, 7.97
28.000, 28.008, 9.22
28.000, 28.013, 7.83
28.000, 28.009, 8.97
28.000, 28.006, 9.07
28.000, 28.011, 8.15
28.000, 28.005, 9.40
28.000, 28.002, 9.38
28.000, 27.999, 9.60
28.000, 28.005, 8.46
28.000, 28.004, 9.15
28.000, 28.004, 9.03
28.000, 27.994, 10.62
28.000, 28.001, 8.67
28.000, 28.005, 8.57
28.000, 27.998, 10.05
28.000, 27.998, 9.47
28.000, 28.006, 8.11
28.000, 28.013, 7.66
28.000, 28.005, 9.61
28.000, 28.008, 8.44
28.000, 28.004, 9.35
28.000, 28.006, 8.54
28.000, 28.008, 8.55
28.000, 28.002, 9.57
28.000, 28.011, 7.73
28.000, 28.005, 9.34
28.000, 28.005, 8.86
28.000, 28.008, 8.40
28.000, 28.013, 7.72
28.000, 28.006, 9.32
28.000, 28.005, 8.95
28.000, 28.006, 8.60
28.000, 28.012, 7.80
28.000, 28.002, 9.86
28.000, 28.004, 8.81
28.000, 28.005, 8.69
28.000, 28.001, 9.49
28.000, 28.002, 8.91
28.000, 27.999, 9.48
28.000, 27.997, 9.70
28.000, 28.002, 8.56
28.000, 27.999, 9.48
28.000, 28.002, 8.79
28.000, 28.001, 9.25
28.000, 28.004, 8.68
28.000, 28.004, 8.91
28.000, 27.999, 9.59
28.000, 28.008, 7.88
28.000, 28.002, 9.48
28.000, 28.005, 8.56
28.000, 28.004, 9.01
28.000, 27.998, 9.81
28.000, 27.999, 9.11
28.000, 28.001, 9.00
28.000, 28.006, 8.21
28.000, 28.006, 8.67
28.000, 28.006, 8.66
28.000, 27.999, 9.80
28.000, 27.995, 9.90
28.000, 28.002, 8.41
28.000, 28.006, 8.31
28.000, 27.999, 9.80
28.000, 28.002, 8.75
28.000, 27.992, 10.58
28.000, 28.006, 7.49
28.000, 28.006, 8.66
28.000, 28.008, 8.42
28.000, 28.004, 9.22
28.000, 28.008, 8.18
28.000, 28.009, 8.30
28.000, 28.008, 8.63
28.000, 27.999, 9.88
28.000, 27.999, 9.18
28.000, 28.002, 8.72
28.000, 28.004, 8.73
28.000, 28.001, 9.29
28.000, 28.004, 8.60
28.000, 28.004, 8.84
28.000, 27.999, 9.52
28.000, 28.008, 7.80
28.000, 28.008, 8.50
28.000, 28.005, 8.94
28.000, 28.009, 8.02
28.000, 28.002, 9.51
28.000, 28.009, 7.78
28.000, 28.006, 8.81
28.000, 28.002, 9.26
28.000, 28.005, 8.45
28.000, 27.998, 9.82
28.000, 27.995, 9.69
28.000, 28.006, 7.64
28.000, 27.997, 10.16
28.000, 27.998, 9.12
28.000, 27.999, 9.01
28.000, 27.998, 9.35
28.000, 28.002, 8.55
28.000, 27.997, 9.82
28.000, 27.999, 8.89
28.000, 27.999, 9.13
28.000, 27.997, 9.58
28.000, 28.001, 8.67
28.000, 28.008, 7.88
28.000, 28.011, 8.01
28.000, 28.013, 7.78
28.000, 28.005, 9.37
28.000, 28.004, 8.89
28.000, 28.005, 8.54
28.000, 28.011, 7.74
28.000, 28.004, 9.34
28.000, 28.004, 8.75
28.000, 28.011, 7.61
28.000, 28.001, 9.78
28.000, 27.995, 9.87
28.000, 28.002, 8.27
28.000, 27.997, 9.76
28.000, 27.998, 9.07
28.000, 28.002, 8.50
28.000, 27.994, 10.22
28.000, 27.999, 8.61
28.000, 28.004, 8.40
28.000, 27.997, 9.89
28.000, 27.994, 9.76
28.000, 27.994, 9.53
28.000, 27.999, 8.62
28.000, 28.001, 8.86
28.000, 28.002, 8.75
28.000, 28.006, 8.19
28.000, 28.006, 8.53
28.000, 28.002, 9.21
28.000, 27.998, 9.54
28.000, 27.998, 9.19
28.000, 28.002, 8.51
28.000, 28.004, 8.63
28.000, 27.999, 9.43
28.000, 28.002, 8.62
28.000, 28.005, 8.40
28.000, 28.006, 8.40
28.000, 28.004, 8.97
28.000, 28.004, 8.73
28.000, 28.004, 8.73
28.000, 28.001, 9.18
28.000, 27.998, 9.40
28.000, 28.001, 8.71
28.000, 28.002, 8.72
28.000, 28.006, 8.15
28.000, 27.994, 10.55
28.000, 28.002, 8.13
28.000, 27.992, 10.43
28.000, 28.002, 8.02
28.000, 27.995, 9.98
28.000, 28.002, 8.26
28.000, 28.002, 8.84
28.000, 28.004, 8.61
28.000, 28.011, 7.59
28.000, 27.991, 11.35
28.000, 27.999, 8.35
28.000, 28.005, 8.14
28.000, 27.998, 9.75
28.000, 28.001, 8.71
28.000, 27.997, 9.63
28.000, 27.998, 9.05
28.000, 27.998, 9.17
28.000, 28.005, 8.03
28.000, 27.999, 9.52
28.000, 28.001, 8.83
28.000, 28.005, 8.26
28.000, 28.005, 8.61
28.000, 28.002, 9.06
28.000, 28.004, 8.60
28.000, 28.005, 8.48
28.000, 28.005, 8.60
28.000, 28.001, 9.27
28.000, 28.005, 8.24
28.000, 28.009, 7.90
28.000, 28.009, 8.25
28.000, 27.995, 10.52
28.000, 28.008, 7.30
28.000, 27.999, 9.71
28.000, 28.006, 7.87
28.000, 28.006, 8.45
28.000, 27.994, 10.50
28.000, 27.997, 8.99
28.000, 27.998, 9.00
28.000, 27.998, 9.12
28.000, 28.009, 7.30
28.000, 27.999, 9.83
28.000, 27.981, 11.97
28.000, 27.991, 8.86
28.000, 27.995, 9.01
28.000, 28.005, 7.77
28.000, 27.999, 9.50
28.000, 27.999, 9.03
28.000, 27.998, 9.26
28.000, 28.005, 8.00
28.000, 28.004, 8.81
28.000, 28.008, 8.01
28.000, 28.009, 8.13
28.000, 27.998, 10.06
28.000, 28.009, 7.30
28.000, 27.997, 10.28
28.000, 27.998, 9.00
28.000, 27.992, 10.03
28.000, 27.998, 8.66
28.000, 27.998, 9.13
28.000, 28.008, 7.54
28.000, 28.005, 8.81
28.000, 28.008, 8.11
28.000, 28.002, 9.25
28.000, 28.011, 7.41
28.000, 28.004, 9.25
28.000, 27.999, 9.34
28.000, 27.998, 9.22
28.000, 28.008, 7.51
28.000, 28.009, 8.09
28.000, 28.006, 8.66
28.000, 28.004, 8.87
28.000, 28.013, 7.04
28.000, 27.997, 10.59
28.000, 27.999, 8.73
28.000, 27.998, 9.19
28.000, 28.004, 8.16
28.000, 27.999, 9.31
28.000, 28.009, 7.37
28.000, 28.004, 9.09
28.000, 27.997, 9.76
28.000, 27.994, 9.63
28.000, 28.001, 8.26
28.000, 27.998, 9.30
28.000, 28.001, 8.61
28.000, 27.992, 10.21
28.000, 27.998, 8.61
28.000, 27.997, 9.31
28.000, 27.998, 8.96
28.000, 28.005, 7.94
28.000, 28.002, 8.98
28.000, 27.999, 9.20
28.000, 28.002, 8.51
28.000, 27.995, 9.88
28.000, 28.001, 8.39
28.000, 27.991, 10.45
28.000, 28.001, 8.04
28.000, 28.002, 8.64
28.000, 28.005, 8.30
28.000, 27.997, 9.89
28.000, 27.998, 8.97
28.000, 27.999, 8.86
28.000, 28.002, 8.52
28.000, 27.994, 10.12
28.000, 28.002, 8.05
28.000, 27.999, 9.21
28.000, 28.002, 8.52
28.000, 27.998, 9.44
28.000, 28.001, 8.63
28.000, 27.998, 9.32
28.000, 28.011, 7.04
28.000, 27.999, 9.91
28.000, 27.991, 10.34
28.000, 27.998, 8.50
28.000, 27.997, 9.32
28.000, 27.997, 9.20
28.000, 28.001, 8.52
28.000, 28.002, 8.65
28.000, 28.004, 8.53
28.000, 28.001, 9.10
28.000, 28.005, 8.18
28.000, 28.006, 8.30
28.000, 28.004, 8.87
28.000, 28.004, 8.63
28.000, 27.997, 9.77
28.000, 28.001, 8.50
28.000, 27.999, 9.08
28.000, 27.998, 9.19
28.000, 27.999, 8.85
28.000, 28.002, 8.51
28.000, 27.995, 9.88
28.000, 27.995, 9.30
28.000, 28.004, 7.94
28.000, 27.995, 10.01
28.000, 28.002, 8.17
28.000, 27.995, 9.89
28.000, 28.002, 8.17
28.000, 27.998, 9.44
28.000, 27.997, 9.32
28.000, 27.998, 8.97
28.000, 27.995, 9.55
28.000, 27.994, 9.55
28.000, 28.002, 8.07
28.000, 28.011, 7.40
28.000, 28.002, 9.46
28.000, 27.998, 9.44
28.000, 28.008, 7.50
28.000, 28.002, 9.22
28.000, 27.997, 9.66
28.000, 28.009, 7.15
28.000, 27.998, 10.02
28.000, 28.006, 7.71
28.000, 27.999, 9.55
28.000, 27.999, 8.97
28.000, 28.006, 7.83
28.000, 28.001, 9.32
28.000, 28.001, 8.85
28.000, 27.995, 9.76
28.000, 28.001, 8.38
28.000, 27.997, 9.54
28.000, 27.997, 9.19
28.000, 27.999, 8.73
28.000, 27.997, 9.43
29.000, 27.998, 87.40
29.000, 27.997, 88.58
29.000, 27.999, 88.84
29.000, 28.025, 85.81
29.000, 28.074, 80.76
29.000, 28.131, 76.29
29.000, 28.214, 68.38
29.000, 28.293, 63.20
29.000, 28.379, 56.45
29.000, 28.484, 47.04
29.000, 28.569, 42.59
29.000, 28.663, 34.72
29.000, 28.741, 30.33
29.000, 28.822, 24.01
29.000, 28.891, 19.67
29.000, 28.955, 15.26
29.000, 29.010, 11.69
29.000, 29.052, 9.42
29.000, 29.086, 7.42
29.000, 29.111, 6.29
29.000, 29.136, 4.10
29.000, 29.136, 6.09
29.000, 29.138, 5.75
29.000, 29.143, 4.85
29.000, 29.130, 7.25
29.000, 29.123, 7.22
29.000, 29.109, 8.81
29.000, 29.089, 10.74
29.000, 29.071, 11.98
29.000, 29.064, 11.54
29.000, 29.037, 15.23
29.000, 29.034, 13.43
29.000, 29.016, 16.12
29.000, 28.997, 17.55
29.000, 28.982, 18.53
29.000, 28.962, 20.45
29.000, 28.957, 19.52
29.000, 28.955, 19.66
29.000, 28.955, 19.46
29.000, 28.955, 19.50
29.000, 28.949, 20.45
29.000, 28.955, 19.11
29.000, 28.955, 19.62
29.000, 28.952, 20.11
29.000, 28.963, 18.10
29.000, 28.963, 19.06
29.000, 28.966, 18.64
29.000, 28.980, 16.62
29.000, 28.987, 16.67
29.000, 28.986, 17.50
29.000, 28.987, 17.16
29.000, 28.997, 15.70
29.000, 28.994, 16.98
29.000, 29.000, 15.84
29.000, 29.011, 14.48
29.000, 29.023, 13.59
29.000, 29.011, 16.33
29.000, 29.010, 15.61
29.000, 29.010, 15.48
29.000, 29.011, 15.25
29.000, 29.010, 15.58
29.000, 29.008, 15.69
29.000, 29.021, 13.51
29.000, 29.023, 14.32
29.000, 29.004, 17.38
29.000, 29.017, 13.80
29.000, 29.010, 15.98
29.000, 29.017, 14.25
29.000, 29.017, 14.82
29.000, 29.023, 13.90
29.000, 29.004, 17.31
29.000, 29.006, 15.55
29.000, 29.007, 15.44
29.000, 29.006, 15.78
29.000, 29.011, 14.75
29.000, 29.018, 14.07
29.000, 29.010, 16.00
29.000, 29.016, 14.38
29.000, 29.016, 14.84
29.000, 29.017, 14.60
29.000, 29.018, 14.47
29.000, 29.017, 14.80
29.000, 29.014, 15.13
29.000, 29.024, 13.29
29.000, 29.017, 15.22
29.000, 29.016, 14.85
29.000, 29.013, 15.18
29.000, 29.024, 13.11
29.000, 29.020, 14.71
29.000, 29.028, 12.98
29.000, 29.013, 16.16
29.000, 29.021, 13.50
29.000, 29.013, 15.55
29.000, 29.021, 13.47
29.000, 29.016, 15.06
29.000, 29.021, 13.67
29.000, 29.024, 13.67
29.000, 29.021, 14.34
29.000, 29.028, 12.95
29.000, 29.021, 14.65
29.000, 29.027, 13.13
29.000, 29.027, 13.58
29.000, 29.020, 14.70
29.000, 29.017, 14.55
29.000, 29.024, 13.16
29.000, 29.028, 13.05
29.000, 29.027, 13.60
29.000, 29.031, 12.78
29.000, 29.025, 14.02
29.000, 29.025, 13.53
29.000, 29.028, 13.05
29.000, 29.031, 12.80
29.000, 29.027, 13.70
29.000, 29.025, 13.55
29.000, 29.030, 12.73
29.000, 29.031, 12.83
29.000, 29.024, 14.06
29.000, 29.038, 11.17
29.000, 29.024, 14.59
29.000, 29.023, 13.63
29.000, 29.020, 13.95
29.000, 29.033, 11.65
29.000, 29.024, 14.04
29.000, 29.031, 12.18
29.000, 29.031, 12.74
29.000, 29.028, 13.17
29.000, 29.020, 14.28
29.000, 29.024, 12.88
29.000, 29.028, 12.52
29.000, 29.025, 13.31
29.000, 29.028, 12.60
29.000, 29.025, 13.26
29.000, 29.027, 12.78
29.000, 29.027, 12.87
29.000, 29.028, 12.62
29.000, 29.033, 12.04
29.000, 29.034, 12.13
29.000, 29.028, 13.13
29.000, 29.021, 13.78
29.000, 29.027, 12.26
29.000, 29.028, 12.48
29.000, 29.018, 14.17
29.000, 29.027, 11.97
29.000, 29.028, 12.42
29.000, 29.028, 12.52
29.000, 29.028, 12.49
29.000, 29.030, 12.24
29.000, 29.027, 12.79
29.000, 29.033, 11.62
29.000, 29.034, 11.84
29.000, 29.035, 11.70
29.000, 29.031, 12.47
29.000, 29.021, 13.69
29.000, 29.035, 10.57
29.000, 29.028, 12.85
29.000, 29.031, 11.79
29.000, 29.027, 12.68
29.000, 29.028, 12.08
29.000, 29.030, 11.94
29.000, 29.034, 11.35
29.000, 29.030, 12.36
29.000, 29.024, 12.89
29.000, 29.024, 12.41
29.000, 29.024, 12.39
29.000, 29.023, 12.59
29.000, 29.025, 12.00
29.000, 29.027, 11.99
29.000, 29.027, 12.08
29.000, 29.027, 12.06
29.000, 29.021, 12.95
29.000, 29.020, 12.69
29.000, 29.024, 11.87
29.000, 29.023, 12.43
29.000, 29.027, 11.61
29.000, 29.034, 10.80
29.000, 29.035, 11.13
29.000, 29.037, 10.99
29.000, 29.028, 12.45
29.000, 29.025, 12.18
29.000, 29.030, 11.24
29.000, 29.031, 11.34
29.000, 29.028, 11.88
29.000, 29.025, 12.08
29.000, 29.024, 12.05
29.000, 29.024, 11.92
29.000, 29.027, 11.44
29.000, 29.024, 12.11
29.000, 29.023, 12.08
29.000, 29.027, 11.26
29.000, 29.020, 12.73
29.000, 29.034, 9.85
29.000, 29.031, 11.45
29.000, 29.030, 11.42
29.000, 29.033, 10.82
29.000, 29.031, 11.26
29.000, 29.031, 11.11
29.000, 29.027, 11.77
29.000, 29.030, 10.94
29.000, 29.027, 11.61
29.000, 29.031, 10.67
29.000, 29.028, 11.45
29.000, 29.031, 10.73
29.000, 29.023, 12.31
29.000, 29.021, 11.82
29.000, 29.023, 11.45
29.000, 29.027, 10.87
29.000, 29.024, 11.65
29.000, 29.024, 11.40
29.000, 29.014, 12.97
29.000, 29.025, 10.32
29.000, 29.024, 11.46
29.000, 29.025, 11.10
29.000, 29.021, 11.88
29.000, 29.021, 11.51
29.000, 29.027, 10.58
29.000, 29.024, 11.48
29.000, 29.020, 11.91
29.000, 29.027, 10.40
29.000, 29.013, 13.25
29.000, 29.023, 10.47
29.000, 29.016, 12.41
29.000, 29.021, 10.90
29.000, 29.021, 11.35
29.000, 29.031, 9.74
29.000, 29.027, 11.22
29.000, 29.025, 11.07
29.000, 29.024, 11.16
29.000, 29.020, 11.71
29.000, 29.027, 10.20
29.000, 29.021, 11.67
29.000, 29.023, 10.96
29.000, 29.027, 10.38
29.000, 29.016, 12.53
29.000, 29.023, 10.44
29.000, 29.023, 11.01
29.000, 29.018, 11.67
29.000, 29.027, 9.94
29.000, 29.016, 12.44
29.000, 29.023, 10.35
29.000, 29.023, 10.92
29.000, 29.018, 11.58
29.000, 29.025, 10.08
29.000, 29.028, 10.19
29.000, 29.024, 11.08
29.000, 29.018, 11.62
29.000, 29.024, 10.22
29.000, 29.024, 10.67
29.000, 29.020, 11.34
29.000, 29.024, 10.29
29.000, 29.021, 11.07
29.000, 29.018, 11.28
29.000, 29.020, 10.80
29.000, 29.024, 10.22
29.000, 29.014, 12.14
29.000, 29.018, 10.63
29.000, 29.028, 9.37
29.000, 29.013, 12.67
29.000, 29.020, 10.23
29.000, 29.025, 9.89
29.000, 29.017, 11.71
29.000, 29.020, 10.53
29.000, 29.024, 10.07
29.000, 29.014, 11.99
29.000, 29.017, 10.71
29.000, 29.021, 10.24
29.000, 29.021, 10.58
29.000, 29.016, 11.47
