set_c,c,output
25.000, 24.995, 4.85
25.000, 24.997, 4.40
25.000, 24.999, 4.41
25.000, 25.004, 3.61
25.000, 24.997, 5.22
25.000, 24.999, 4.41
25.000, 24.996, 4.98
25.000, 24.995, 4.98
25.000, 24.999, 4.18
25.000, 25.001, 4.08
25.000, 25.001, 4.31
25.000, 24.999, 4.77
25.000, 25.001, 4.08
25.000, 24.995, 5.45
25.000, 24.999, 4.18
25.000, 24.993, 5.45
25.000, 25.001, 3.62
25.000, 24.999, 4.78
25.000, 25.005, 3.40
25.000, 25.005, 3.98
25.000, 24.999, 5.12
25.000, 24.999, 4.53
25.000, 24.996, 4.99
25.000, 25.001, 3.85
25.000, 25.000, 4.54
25.000, 25.000, 4.43
25.000, 25.004, 3.74
25.000, 25.003, 4.32
25.000, 25.000, 4.66
25.000, 24.997, 4.88
25.000, 25.000, 4.19
25.000, 24.996, 5.11
25.000, 24.996, 4.76
25.000, 25.003, 3.62
25.000, 24.997, 5.12
25.000, 25.000, 4.20
25.000, 25.001, 4.20
25.000, 25.003, 4.09
25.000, 24.997, 5.12
25.000, 24.997, 4.65
25.000, 25.001, 3.97
25.000, 25.001, 4.32
25.000, 24.997, 5.00
25.000, 24.999, 4.42
25.000, 24.999, 4.54
25.000, 25.007, 3.18
25.000, 25.001, 4.79
25.000, 25.004, 3.86
25.000, 25.008, 3.41
25.000, 25.000, 5.12
25.000, 25.004, 3.73
25.000, 25.003, 4.31
25.000, 24.997, 5.10
25.000, 25.001, 3.95
25.000, 25.001, 4.30
25.000, 25.004, 3.84
25.000, 24.997, 5.21
25.000, 25.005, 3.26
25.000, 25.008, 3.51
25.000, 24.996, 5.78
25.000, 25.003, 3.59
25.000, 24.997, 5.09
25.000, 25.007, 3.03
25.000, 25.001, 4.75
25.000, 25.000, 4.51
25.000, 24.997, 4.85
25.000, 25.000, 4.16
25.000, 24.996, 5.08
25.000, 24.997, 4.50
25.000, 24.999, 4.39
25.000, 24.997, 4.74
25.000, 25.000, 4.17
25.000, 24.999, 4.63
25.000, 24.997, 4.74
25.000, 25.000, 4.17
