volts,ppm,temp_c
0.99981816,-0.21,25.003
0.99981816,-0.21,24.999
0.99981816,-0.21,25.003
0.99981816,-0.21,25.001
0.99981816,-0.21,24.996
0.99981816,-0.21,24.995
0.99981816,-0.21,25.0
0.99981816,-0.21,24.999
0.99981841,0.04,24.997
0.99981841,0.04,24.996
0.99981841,0.04,24.995
0.99981841,0.04,24.995
0.99981841,0.04,24.997
0.99981841,0.04,24.999
0.99981841,0.04,25.004
0.99981841,0.04,24.997
0.99981841,0.04,24.999
0.99981841,0.04,24.996
0.99981841,0.04,24.995
0.99981841,0.04,24.999
0.99981841,0.04,25.001
0.99981823,-0.14,25.001
0.99981823,-0.14,24.999
0.99981823,-0.14,25.001
0.99981823,-0.14,24.995
0.99981823,-0.14,24.999
0.99981823,-0.14,24.993
0.99981823,-0.14,25.001
0.99981823,-0.14,24.999
0.99981823,-0.14,25.005
0.99981823,-0.14,25.005
0.99981823,-0.14,24.999
0.99981823,-0.14,24.999
0.99981823,-0.14,24.996
0.99981823,-0.14,25.001
0.99981834,-0.03,25.0
0.99981834,-0.03,25.0
0.99981834,-0.03,25.004
0.99981834,-0.03,25.003
0.99981834,-0.03,25.0
0.99981834,-0.03,24.997
0.99981834,-0.03,25.0
0.99981834,-0.03,24.996
0.99981834,-0.03,24.996
0.99981834,-0.03,25.003
0.99981834,-0.03,24.997
0.99981834,-0.03,25.0
0.99981834,-0.03,25.001
0.99981826,-0.11,25.003
0.99981826,-0.11,24.997
0.99981826,-0.11,24.997
0.99981826,-0.11,25.001
0.99981826,-0.11,25.001
0.99981826,-0.11,24.997
0.99981826,-0.11,24.999
0.99981826,-0.11,24.999
0.99981826,-0.11,25.007
0.99981826,-0.11,25.001
0.99981826,-0.11,25.004
0.99981826,-0.11,25.008
0.99981826,-0.11,25.0
0.99981826,-0.11,25.004
0.99981801,-0.36,25.003
0.99981801,-0.36,24.997
0.99981801,-0.36,25.001
0.99981801,-0.36,25.001
0.99981801,-0.36,25.004
0.99981801,-0.36,24.997
0.99981801,-0.36,25.005
0.99981801,-0.36,25.008
0.99981801,-0.36,24.996
0.99981801,-0.36,25.003
0.99981801,-0.36,24.997
0.99981801,-0.36,25.007
0.99981801,-0.36,25.001
0.99981808,-0.29,25.0
0.99981808,-0.29,24.997
0.99981808,-0.29,25.0
0.99981808,-0.29,24.996
0.99981808,-0.29,24.997
0.99981808,-0.29,24.999
0.99981808,-0.29,24.997
0.99981808,-0.29,25.0
0.99981808,-0.29,24.999
0.99981808,-0.29,24.997
0.99981808,-0.29,25.0
0.99981808,-0.29,24.999
0.99981808,-0.29,25.001
0.99981808,-0.29,25.001
0.99981808,-0.29,25.008
0.99981808,-0.29,25.003
0.99981808,-0.29,25.008
0.99981808,-0.29,25.005
0.99981808,-0.29,25.0
0.99981808,-0.29,25.005
0.99981808,-0.29,25.01
0.99981808,-0.29,25.004
0.99981808,-0.29,25.005
0.99981808,-0.29,24.997
0.99981808,-0.29,24.999
0.99981808,-0.29,25.0
0.99981808,-0.29,24.999
0.99981808,-0.29,25.001
0.99981808,-0.29,25.0
0.99981808,-0.29,24.997
0.99981808,-0.29,24.997
0.99981808,-0.29,25.01
0.99981808,-0.29,24.997
0.99981808,-0.29,25.0
0.99981808,-0.29,24.996
0.99981808,-0.29,25.008
0.99981808,-0.29,24.997
0.99981808,-0.29,24.997
0.99981808,-0.29,25.001
0.99981808,-0.29,25.004
0.9998178,-0.57,25.004
0.9998178,-0.57,25.003
0.9998178,-0.57,25.007
0.9998178,-0.57,24.996
0.9998178,-0.57,24.999
0.9998178,-0.57,25.001
0.9998178,-0.57,24.995
0.9998178,-0.57,25.0
0.9998178,-0.57,25.0
0.9998178,-0.57,25.001
0.9998178,-0.57,24.995
0.9998178,-0.57,25.01
0.9998178,-0.57,25.001
0.9998178,-0.57,24.999
0.99981775,-0.62,24.997
0.99981775,-0.62,25.003
0.99981775,-0.62,25.001
0.99981775,-0.62,24.995
0.99981775,-0.62,25.0
0.99981775,-0.62,25.003
0.99981775,-0.62,24.996
0.99981775,-0.62,24.999
0.99981775,-0.62,25.001
0.99981775,-0.62,25.004
0.99981775,-0.62,25.001
0.99981775,-0.62,24.995
0.99981775,-0.62,25.004
0.99981794,-0.43,25.0
0.99981794,-0.43,24.999
0.99981794,-0.43,25.007
0.99981794,-0.43,24.997
0.99981794,-0.43,25.001
0.99981794,-0.43,24.996
0.99981794,-0.43,24.997
0.99981794,-0.43,25.001
0.99981794,-0.43,25.001
0.99981794,-0.43,25.004
0.99981794,-0.43,25.004
0.99981794,-0.43,24.999
0.99981794,-0.43,25.005
0.99981794,-0.43,25.005
0.99981793,-0.44,25.007
0.99981793,-0.44,25.005
0.99981793,-0.44,24.997
0.99981793,-0.44,25.0
0.99981793,-0.44,24.995
0.99981793,-0.44,24.997
0.99981793,-0.44,24.999
0.99981793,-0.44,24.999
0.99981793,-0.44,25.007
0.99981793,-0.44,24.995
0.99981793,-0.44,24.997
0.99981793,-0.44,25.001
0.99981793,-0.44,24.996
0.99981811,-0.26,24.997
0.99981811,-0.26,24.997
0.99981811,-0.26,25.003
0.99981811,-0.26,25.005
0.99981811,-0.26,24.997
0.99981811,-0.26,25.003
0.99981811,-0.26,25.003
0.99981811,-0.26,24.996
0.99981811,-0.26,25.004
0.99981811,-0.26,25.004
0.99981811,-0.26,25.003
0.99981811,-0.26,24.999
0.99981811,-0.26,25.01
0.99981813,-0.24,25.003
0.99981813,-0.24,25.003
0.99981813,-0.24,24.997
0.99981813,-0.24,25.008
0.99981813,-0.24,24.997
0.99981813,-0.24,24.997
0.99981813,-0.24,25.007
0.99981813,-0.24,25.0
0.99981813,-0.24,25.004
0.99981813,-0.24,25.001
0.99981813,-0.24,24.997
0.99981813,-0.24,24.997
0.99981813,-0.24,24.995
0.99981813,-0.24,25.0
0.99981778,-0.59,24.997
0.99981778,-0.59,24.999
0.99981778,-0.59,25.003
0.99981778,-0.59,24.997
0.99981778,-0.59,24.999
0.99981778,-0.59,24.999
0.99981778,-0.59,25.003
0.99981778,-0.59,24.996
0.99981778,-0.59,25.001
0.99981778,-0.59,24.993
0.99981778,-0.59,24.997
0.99981778,-0.59,25.0
0.99981778,-0.59,25.0
0.99981765,-0.72,24.997
0.99981765,-0.72,25.0
0.99981765,-0.72,25.001
0.99981765,-0.72,24.999
0.99981765,-0.72,25.007
0.99981765,-0.72,25.0
0.99981765,-0.72,24.997
0.99981765,-0.72,25.003
0.99981765,-0.72,25.001
0.99981765,-0.72,24.999
0.99981765,-0.72,24.997
0.99981765,-0.72,24.995
0.99981765,-0.72,25.004
0.99981765,-0.72,25.001
0.99981788,-0.49,24.999
0.99981788,-0.49,25.008
0.99981788,-0.49,24.999
0.99981788,-0.49,24.997
0.99981788,-0.49,25.001
0.99981788,-0.49,25.007
0.99981788,-0.49,25.005
0.99981788,-0.49,25.003
0.99981788,-0.49,25.0
0.99981788,-0.49,25.0
0.99981788,-0.49,25.001
0.99981788,-0.49,25.005
0.99981788,-0.49,24.996
0.99981796,-0.41,25.005
0.99981796,-0.41,25.001
0.99981796,-0.41,24.999
0.99981796,-0.41,24.999
0.99981796,-0.41,24.997
0.99981796,-0.41,25.0
0.99981796,-0.41,24.997
0.99981796,-0.41,24.996
0.99981796,-0.41,24.997
0.99981796,-0.41,25.001
0.99981796,-0.41,25.001
0.99981796,-0.41,24.997
0.99981796,-0.41,25.001
0.9998178,-0.57,24.999
0.9998178,-0.57,24.999
0.9998178,-0.57,25.0
0.9998178,-0.57,24.996
0.9998178,-0.57,24.999
0.9998178,-0.57,24.99
0.9998178,-0.57,24.992
0.9998178,-0.57,24.997
0.9998178,-0.57,24.999
0.9998178,-0.57,25.003
0.9998178,-0.57,25.005
0.9998178,-0.57,24.996
0.9998178,-0.57,24.996
0.9998178,-0.57,24.995
0.99981796,-0.41,24.999
0.99981796,-0.41,25.003
0.99981796,-0.41,24.999
0.99981796,-0.41,25.008
0.99981796,-0.41,25.003
0.99981796,-0.41,25.0
0.99981796,-0.41,25.003
0.99981796,-0.41,25.005
0.99981796,-0.41,25.005
0.99981796,-0.41,24.999
0.99981796,-0.41,25.003
0.99981796,-0.41,24.993
0.99981796,-0.41,24.995
0.99981785,-0.52,25.001
0.99981785,-0.52,25.001
0.99981785,-0.52,24.999
0.99981785,-0.52,24.996
0.99981785,-0.52,24.997
0.99981785,-0.52,24.993
0.99981785,-0.52,24.999
0.99981785,-0.52,24.989
0.99981785,-0.52,24.992
0.99981785,-0.52,24.993
0.99981785,-0.52,24.997
0.99981785,-0.52,25.004
0.99981785,-0.52,25.001
0.99981785,-0.52,24.996
0.9998178,-0.57,24.997
0.9998178,-0.57,25.003
0.9998178,-0.57,25.001
0.9998178,-0.57,25.0
0.9998178,-0.57,25.003
