set_c,oven_c,output,ambient_c
25.000,23.495,205.00,20.772
25.000,23.495,205.00,20.793
25.000,23.644,205.00,20.782
25.000,23.915,205.00,20.750
25.000,24.216,151.09,20.772
25.000,24.512,97.27,20.750
25.000,24.751,53.71,20.761
25.000,24.912,24.16,20.772
25.000,24.977,12.34,20.761
25.000,24.977,12.39,20.772
25.000,24.920,22.86,20.772
25.000,24.850,35.92,20.772
25.000,24.783,48.52,20.772
25.000,24.722,59.94,20.761
25.000,24.710,62.41,20.772
25.000,24.713,62.20,20.793
25.000,24.728,59.79,20.793
25.000,24.777,51.15,20.772
25.000,24.801,46.92,20.761
25.000,24.820,43.71,20.772
25.000,24.842,39.76,20.782
25.000,24.857,37.20,20.772
25.000,24.857,37.42,20.772
25.000,24.852,38.42,20.761
25.000,24.840,40.76,20.761
25.000,24.834,42.12,20.772
25.000,24.832,42.69,20.772
25.000,24.839,41.65,20.761
25.000,24.849,39.88,20.761
25.000,24.865,37.15,20.772
25.000,24.873,35.90,20.804
25.000,24.879,34.82,20.793
25.000,24.880,34.89,20.804
25.000,24.880,34.91,20.793
25.000,24.879,35.36,20.793
25.000,24.880,35.28,20.782
25.000,24.880,35.42,20.772
25.000,24.882,35.07,20.761
25.000,24.884,34.86,20.793
25.000,24.887,34.47,20.782
25.000,24.888,34.41,20.782
25.000,24.889,34.27,20.793
25.000,24.891,34.19,20.782
25.000,24.894,33.74,20.804
25.000,24.897,33.18,20.772
25.000,24.906,31.75,20.793
25.000,24.911,30.94,20.782
25.000,24.917,29.87,20.772
25.000,24.916,30.23,20.782
25.000,24.918,29.84,20.761
25.000,24.917,30.20,20.761
25.000,24.920,29.75,20.804
25.000,24.919,29.95,20.761
25.000,24.923,29.31,20.772
25.000,24.922,29.63,20.772
25.000,24.928,28.70,20.772
25.000,24.928,28.75,20.782
25.000,24.932,28.12,20.782
25.000,24.930,28.45,20.782
25.000,24.935,27.64,20.772
26.000,24.936,205.00,20.761
26.000,24.950,205.00,20.772
26.000,25.075,187.92,20.772
26.000,25.298,147.80,20.761
26.000,25.532,105.63,20.782
26.000,25.731,69.76,20.793
26.000,25.864,45.75,20.772
26.000,25.939,32.21,20.761
26.000,25.943,31.52,20.772
26.000,25.930,34.01,20.782
26.000,25.864,46.03,20.782
26.000,25.826,53.14,20.772
26.000,25.773,63.11,20.761
26.000,25.765,64.77,20.782
26.000,25.765,65.09,20.761
26.000,25.769,64.65,20.772
26.000,25.785,61.88,20.782
26.000,25.819,55.99,20.761
26.000,25.840,52.33,20.761
26.000,25.852,50.32,20.782
26.000,25.854,50.19,20.782
26.000,25.855,50.02,20.772
26.000,25.855,50.21,20.782
26.000,25.857,50.09,20.772
26.000,25.857,50.14,20.782
26.000,25.862,49.42,20.761
26.000,25.866,48.93,20.772
26.000,25.874,47.66,20.782
26.000,25.878,46.92,20.782
26.000,25.887,45.45,20.772
26.000,25.890,45.09,20.782
26.000,25.895,44.27,20.782
26.000,25.896,44.22,20.772
26.000,25.901,43.48,20.761
26.000,25.902,43.42,20.782
26.000,25.907,42.58,20.761
26.000,25.906,42.77,20.761
26.000,25.910,42.17,20.761
26.000,25.912,42.01,20.750
26.000,25.917,41.16,20.772
26.000,25.919,40.89,20.750
26.000,25.923,40.19,20.761
26.000,25.924,40.18,20.761
26.000,25.927,39.62,20.772
26.000,25.928,39.48,20.761
26.000,25.930,39.27,20.761
26.000,25.930,39.31,20.750
26.000,25.932,39.05,20.761
26.000,25.933,39.01,20.740
26.000,25.935,38.73,20.761
26.000,25.936,38.63,20.761
26.000,25.938,38.33,20.750
26.000,25.938,38.36,20.740
26.000,25.940,38.13,20.750
26.000,25.940,38.12,20.750
26.000,25.941,38.03,20.740
26.000,25.941,38.01,20.750
26.000,25.943,37.81,20.750
26.000,25.944,37.75,20.761
26.000,25.946,37.33,20.750
