set_c,oven_c,output,ambient_c
25.000,23.245,161.57,20.707
25.000,23.258,160.36,20.686
25.000,23.387,148.42,20.664
25.000,23.609,127.93,20.686
25.000,23.845,106.09,20.664
25.000,24.062,86.08,20.686
25.000,24.237,70.06,20.686
25.000,24.366,58.12,20.664
25.000,24.451,50.35,20.664
25.000,24.508,45.15,20.664
25.000,24.533,42.77,20.686
25.000,24.538,42.39,20.675
25.000,24.535,42.64,20.664
25.000,24.529,43.13,20.697
25.000,24.518,44.18,20.697
25.000,24.511,44.82,20.675
25.000,24.505,45.38,20.686
25.000,24.509,45.05,20.707
25.000,24.512,44.69,20.697
25.000,24.524,43.67,20.675
25.000,24.530,43.09,20.686
25.000,24.536,42.57,20.664
25.000,24.538,42.33,20.686
25.000,24.541,42.07,20.686
25.000,24.544,41.81,20.697
25.000,24.554,40.86,20.686
25.000,24.565,39.91,20.664
25.000,24.578,38.68,20.707
25.000,24.587,37.88,20.697
25.000,24.598,36.81,20.707
25.000,24.603,36.38,20.697
25.000,24.610,35.75,20.697
25.000,24.612,35.56,20.697
25.000,24.617,35.14,20.697
25.000,24.618,35.02,20.697
25.000,24.622,34.67,20.697
25.000,24.623,34.56,20.697
25.000,24.625,34.38,20.697
25.000,24.626,34.26,20.664
25.000,24.627,34.15,20.686
25.000,24.628,34.05,20.697
25.000,24.631,33.78,20.697
25.000,24.635,33.46,20.707
25.000,24.644,32.58,20.697
25.000,24.651,31.98,20.707
25.000,24.661,31.11,20.697
25.000,24.663,30.84,20.697
25.000,24.670,30.23,20.686
25.000,24.671,30.17,20.686
25.000,24.676,29.69,20.697
25.000,24.677,29.63,20.686
25.000,24.682,29.11,20.686
25.000,24.682,29.10,20.697
25.000,24.687,28.70,20.664
25.000,24.688,28.55,20.686
25.000,24.693,28.15,20.686
25.000,24.691,28.27,20.686
25.000,24.696,27.83,20.697
25.000,24.699,27.62,20.675
25.000,24.702,27.29,20.686
26.000,24.702,118.49,20.686
26.000,24.706,118.09,20.707
26.000,24.774,111.83,20.697
26.000,24.904,100.00,20.718
26.000,25.036,87.87,20.707
26.000,25.164,76.18,20.697
26.000,25.263,67.16,20.697
26.000,25.338,60.23,20.697
26.000,25.401,54.51,20.729
26.000,25.420,52.76,20.697
26.000,25.438,51.18,20.707
26.000,25.451,49.98,20.697
26.000,25.452,49.87,20.707
26.000,25.453,49.77,20.707
26.000,25.448,50.21,20.718
26.000,25.448,50.21,20.675
26.000,25.447,50.30,20.675
26.000,25.456,49.52,20.697
26.000,25.462,48.93,20.707
26.000,25.473,47.99,20.697
26.000,25.479,47.40,20.718
26.000,25.487,46.68,20.697
26.000,25.491,46.35,20.707
26.000,25.496,45.90,20.707
26.000,25.497,45.74,20.697
26.000,25.500,45.50,20.729
26.000,25.501,45.40,20.697
26.000,25.503,45.22,20.707
26.000,25.505,45.05,20.718
26.000,25.512,44.41,20.697
26.000,25.519,43.73,20.707
26.000,25.532,42.58,20.697
26.000,25.539,41.90,20.707
26.000,25.549,41.01,20.697
26.000,25.553,40.67,20.697
26.000,25.560,40.07,20.740
26.000,25.561,39.90,20.707
26.000,25.568,39.34,20.707
26.000,25.567,39.37,20.697
26.000,25.571,39.03,20.707
26.000,25.573,38.86,20.707
26.000,25.577,38.46,20.707
26.000,25.578,38.39,20.718
26.000,25.581,38.13,20.686
26.000,25.582,38.00,20.697
26.000,25.585,37.79,20.718
26.000,25.586,37.70,20.718
26.000,25.587,37.56,20.707
26.000,25.588,37.51,20.697
26.000,25.589,37.37,20.697
26.000,25.589,37.38,20.718
26.000,25.591,37.24,20.686
26.000,25.591,37.18,20.707
26.000,25.594,36.95,20.707
26.000,25.595,36.80,20.697
26.000,25.601,36.26,20.718
26.000,25.604,36.06,20.707
26.000,25.609,35.55,20.718
26.000,25.613,35.22,20.740
26.000,25.619,34.68,20.729
