si7021_c,setpoint,adc,pwm
26.799,900,567.542,255.00
26.799,900,568.042,255.00
26.799,900,568.565,255.00
26.810,900,569.310,255.00
26.821,900,569.599,255.00
26.821,900,570.258,255.00
26.853,900,571.036,255.00
26.853,900,571.867,255.00
26.864,900,572.453,255.00
26.853,900,573.118,255.00
26.885,900,573.525,255.00
26.874,900,573.997,255.00
26.874,900,574.578,255.00
26.874,900,575.346,255.00
26.885,900,575.915,255.00
26.896,900,576.517,255.00
26.896,900,576.975,255.00
26.907,900,577.236,255.00
26.917,900,577.770,255.00
26.917,900,578.197,255.00
26.917,900,578.912,255.00
26.928,900,579.459,255.00
26.928,900,580.017,255.00
26.939,900,580.634,255.00
26.949,900,581.055,255.00
26.949,900,581.762,255.00
26.960,900,582.404,255.00
26.982,900,583.000,255.00
26.971,900,583.664,255.00
26.982,900,583.878,255.00
26.982,900,584.482,255.00
26.992,900,585.303,255.00
27.003,900,585.678,255.00
27.003,900,586.155,255.00
27.014,900,586.873,255.00
27.024,900,587.041,255.00
27.035,900,587.685,255.00
27.035,900,588.354,255.00
27.046,900,588.724,255.00
27.057,900,589.350,255.00
27.057,900,589.923,255.00
27.057,900,590.580,255.00
27.078,900,590.994,255.00
27.057,900,591.541,255.00
27.078,900,592.263,255.00
27.057,900,592.736,255.00
27.089,900,593.250,255.00
27.078,900,594.022,255.00
27.110,900,594.270,255.00
27.110,900,594.785,255.00
27.110,900,595.375,255.00
27.110,900,595.762,255.00
27.110,900,596.458,255.00
27.110,900,597.090,255.00
27.132,900,597.478,255.00
27.153,900,598.073,255.00
27.153,900,598.790,255.00
27.164,900,599.383,255.00
27.153,900,600.132,255.00
27.164,900,600.591,255.00
27.175,900,600.927,255.00
27.175,900,601.530,255.00
27.175,900,602.110,255.00
27.196,900,602.470,255.00
27.196,900,603.086,255.00
27.207,900,603.400,255.00
27.196,900,603.958,255.00
27.218,900,604.583,255.00
27.218,900,604.897,255.00
27.228,900,605.375,255.00
27.228,900,605.777,255.00
27.250,900,606.481,255.00
27.260,900,607.303,255.00
27.250,900,607.805,255.00
27.271,900,608.374,255.00
27.271,900,608.494,255.00
27.260,900,609.081,255.00
27.271,900,609.561,255.00
27.282,900,609.941,255.00
27.293,900,610.493,255.00
27.271,900,611.227,255.00
27.293,900,611.609,255.00
27.314,900,612.151,255.00
27.314,900,612.656,255.00
27.314,900,613.237,255.00
27.293,900,613.653,255.00
27.336,900,613.989,255.00
27.325,900,614.794,255.00
27.346,900,615.673,255.00
27.346,900,616.199,255.00
27.346,900,616.395,255.00
27.357,900,616.890,255.00
27.357,900,617.346,255.00
27.368,900,617.863,255.00
27.378,900,618.569,255.00
27.389,900,618.972,255.00
27.389,900,619.359,255.00
27.400,900,619.782,255.00
27.400,900,620.564,255.00
27.411,900,621.264,255.00
27.400,900,621.549,255.00
27.421,900,622.039,255.00
27.421,900,622.716,255.00
27.432,900,622.880,255.00
27.443,900,623.283,255.00
27.443,900,623.641,255.00
27.432,900,624.432,255.00
27.453,900,624.837,255.00
27.453,900,625.345,255.00
27.443,900,625.979,255.00
27.464,900,626.558,255.00
27.464,900,626.957,255.00
27.475,900,627.245,255.00
27.486,900,627.599,255.00
27.486,900,628.504,255.00
27.496,900,628.861,255.00
27.486,900,629.339,255.00
27.496,900,629.680,255.00
27.496,900,630.268,255.00
27.529,900,630.760,255.00
27.539,900,631.306,255.00
27.529,900,631.815,255.00
27.529,900,632.311,255.00
27.529,900,632.685,255.00
27.550,900,633.237,255.00
27.561,900,633.703,255.00
27.561,900,634.170,255.00
27.571,900,634.758,255.00
27.571,900,635.570,255.00
27.571,900,635.652,255.00
27.571,900,636.258,255.00
27.582,900,636.615,255.00
27.582,900,637.175,255.00
27.604,900,637.784,255.00
27.593,900,638.144,255.00
27.593,900,638.631,255.00
27.604,900,639.080,255.00
27.614,900,639.660,255.00
27.614,900,639.885,255.00
27.614,900,640.341,255.00
27.636,900,640.731,255.00
27.657,900,641.297,255.00
27.636,900,641.862,255.00
27.647,900,642.269,255.00
27.668,900,642.649,255.00
27.647,900,643.267,255.00
27.657,900,644.063,255.00
27.679,900,644.413,255.00
27.689,900,644.823,255.00
27.689,900,645.309,255.00
27.700,900,645.876,255.00
27.679,900,646.260,255.00
27.689,900,646.401,255.00
27.700,900,646.909,255.00
27.722,900,647.633,255.00
27.700,900,648.122,255.00
27.722,900,648.694,255.00
27.743,900,648.996,255.00
