timestamp,LM399-P15-fast6-no-R7
1500849046.617,6890018.7
1500849046.955,6890013.6
1500849047.292,6890016.1
1500849047.630,6890016.1
1500849047.968,6890018.7
1500849048.305,6890018.7
1500849048.643,6890016.1
1500849048.980,6890018.7
1500849049.318,6890016.1
1500849049.656,6890013.6
1500849049.993,6890011.1
1500849050.331,6890016.1
1500849050.669,6890016.1
1500849051.006,6890013.6
1500849051.344,6890018.7
1500849051.682,6890013.6
1500849052.020,6890016.1
1500849052.357,6890016.1
1500849052.695,6890018.7
1500849053.033,6890018.7
1500849053.370,6890013.6
1500849053.708,6890016.1
1500849054.046,6890016.1
1500849054.383,6890018.7
1500849054.721,6890013.6
1500849055.059,6890018.7
1500849055.396,6890016.1
1500849055.734,6890013.6
1500849056.071,6890016.1
1500849056.409,6890013.6
1500849056.747,6890016.1
1500849057.084,6890016.1
1500849057.422,6890011.1
1500849057.760,6890013.6
1500849058.097,6890011.1
1500849058.435,6890011.1
1500849058.773,6890013.6
1500849059.110,6890013.6
1500849059.448,6890011.1
1500849059.786,6890013.6
1500849060.123,6890016.1
1500849060.461,6890016.1
1500849060.799,6890011.1
1500849061.136,6890016.1
1500849061.474,6890016.1
1500849061.812,6890013.6
1500849062.149,6890016.1
1500849062.487,6890016.1
1500849062.825,6890016.1
1500849063.162,6890016.1
1500849063.500,6890018.7
1500849063.838,6890011.1
1500849064.175,6890016.1
1500849064.513,6890016.1
1500849064.851,6890016.1
1500849065.188,6890018.7
1500849065.526,6890016.1
1500849065.864,6890018.7
1500849066.201,6890016.1
1500849066.539,6890016.1
1500849066.877,6890013.6
1500849067.214,6890013.6
1500849067.552,6890008.5
1500849067.889,6890018.7
1500849068.227,6890016.1
1500849068.565,6890013.6
1500849068.903,6890018.7
1500849069.240,6890018.7
1500849069.578,6890018.7
1500849069.916,6890016.1
1500849070.253,6890016.1
1500849070.591,6890016.1
1500849070.929,6890013.6
1500849071.266,6890016.1
1500849071.604,6890013.6
1500849071.942,6890013.6
