ambient_c,ambient_rh,crc16
1520225163.06,20.902,75.124,224f
1520225164.67,20.882,75.113,4141
1520225166.28,20.878,75.106,2bfd
1520225167.89,20.870,75.091,c868
1520225169.50,20.867,75.082,e701
1520225171.11,20.859,75.072,446a
1520225172.72,20.852,75.074,f203
1520225174.33,20.848,75.059,3f93
1520225175.94,20.841,75.056,9775
1520225177.56,20.840,75.047,f3b6
1520225179.17,20.840,75.037,6a21
1520225180.78,20.828,75.028,ecad
1520225182.39,20.828,75.033,6ef7
1520225184.00,20.828,75.023,5dc6
1520225185.61,20.823,75.016,8e9f
1520225187.22,20.813,75.003,c04f
1520225188.83,20.805,74.998,9494
1520225190.44,20.803,74.994,d5d3
1520225192.05,20.796,74.992,69c6
1520225193.66,20.782,74.974,ce41
1520225195.27,20.773,74.961,7252
1520225196.88,20.766,74.957,e45a
1520225198.49,20.758,74.944,545d
1520225200.10,20.754,74.934,dc7d
1520225201.72,20.748,74.926,359a
1520225203.33,20.744,74.922,64a9
1520225204.94,20.742,74.916,f1b5
1520225206.55,20.741,74.918,d80e
1520225208.16,20.733,74.908,d532
1520225209.77,20.729,74.908,af6d
1520225211.38,20.721,74.887,fec1
1520225212.99,20.706,74.873,af04
1520225214.60,20.709,74.867,0573
1520225216.21,20.703,74.853,81d8
1520225217.82,20.699,74.844,feeb
1520225219.43,20.689,74.837,bc3c
1520225221.04,20.689,74.831,dcfa
1520225222.65,20.687,74.823,5198
1520225224.26,20.682,74.822,0907
1520225225.88,20.666,74.799,34bd
1520225227.49,20.670,74.801,48f4
1520225229.10,20.664,74.798,ab3a
1520225230.71,20.666,74.794,e510
1520225232.32,20.659,74.796,31d4
1520225233.93,20.655,74.801,c62d
1520225235.54,20.659,74.791,4133
1520225237.15,20.636,74.786,81af
1520225238.76,20.648,74.785,9e76
1520225240.37,20.642,74.788,dea7
1520225241.98,20.631,74.776,5689
1520225243.59,20.630,74.766,226b
1520225245.20,20.638,74.754,49a0
1520225246.81,20.627,74.753,0ba6
1520225248.42,20.611,74.746,c5bd
1520225250.03,20.619,74.745,eb04
1520225251.65,20.611,74.737,4c0b
1520225253.26,20.604,74.734,dff5
1520225254.87,20.604,74.728,2d48
1520225256.48,20.589,74.727,12f3
1520225258.09,20.584,74.715,3186
1520225259.70,20.584,74.713,5140
1520225261.31,20.580,74.713,5e2d
1520225262.92,20.573,74.716,5ea9
1520225264.53,20.576,74.726,4344
1520225266.14,20.568,74.716,6325
1520225267.75,20.557,74.719,664c
1520225269.36,20.556,74.714,f032
1520225270.97,20.553,74.723,9d38
1520225272.58,20.567,74.729,1e5b
1520225274.19,20.560,74.729,d943
1520225275.81,20.551,74.726,423b
1520225277.42,20.548,74.733,9385
1520225279.03,20.549,74.735,b490
1520225280.64,20.544,74.731,a270
1520225282.25,20.533,74.709,0098
1520225283.86,20.534,74.697,abe6
1520225285.47,20.532,74.673,48a6
1520225287.08,20.521,74.652,1db3
1520225288.69,20.520,74.638,518c
1520225290.30,20.518,74.620,d02b
1520225291.91,20.517,74.594,ccc7
1520225293.52,20.512,74.582,d78e
1520225295.13,20.513,74.569,0239
1520225296.74,20.512,74.558,0098
1520225298.35,20.502,74.545,0927
1520225299.97,20.509,74.533,26d9
1520225301.58,20.505,74.516,01a9
1520225303.19,20.509,74.505,134c
1520225304.80,20.514,74.500,feae
1520225306.41,20.504,74.488,2a1c
1520225308.02,20.506,74.483,14d1
1520225309.63,20.501,74.471,e3b5
1520225311.24,20.493,74.466,825c
1520225312.85,20.496,74.470,9915
1520225314.46,20.490,74.469,bbc6
1520225316.07,20.489,74.482,9b88
1520225317.68,20.489,74.489,2ae3
1520225319.29,20.492,74.498,347f
1520225320.90,20.494,74.509,293d
1520225322.51,20.489,74.519,a74b
1520225324.13,20.496,74.533,5282
1520225325.74,20.490,74.550,488c
1520225327.35,20.486,74.567,06d0
1520225328.96,20.496,74.584,fe9f
1520225330.57,20.494,74.613,e216
1520225332.18,20.497,74.628,ce5b
1520225333.79,20.500,74.647,ff93
1520225335.40,20.504,74.666,86bd
1520225337.01,20.497,74.673,80c5
1520225338.62,20.513,74.683,d92c
1520225340.23,20.506,74.702,d409
1520225341.84,20.506,74.723,a24a
1520225343.45,20.517,74.751,b76f
1520225345.06,20.512,74.777,f975
1520225346.67,20.512,74.801,2c15
1520225348.29,20.517,74.817,375c
1520225349.90,20.524,74.843,6d1c
1520225351.51,20.524,74.860,3b1d
1520225353.12,20.524,74.885,48b7
1520225354.73,20.521,74.901,fe14
1520225356.34,20.518,74.918,2841
1520225357.95,20.528,74.951,58e8
1520225359.56,20.528,74.952,688b
1520225361.17,20.540,74.968,d8c0
1520225362.78,20.540,74.997,3911
1520225364.39,20.544,75.016,9b34
1520225366.00,20.542,75.022,0e28
1520225367.61,20.552,75.039,6751
1520225369.22,20.555,75.050,9bc6
1520225370.83,20.564,75.049,5349
1520225372.45,20.572,75.059,0b90
1520225374.06,20.573,75.062,a87b
1520225375.67,20.573,75.077,cbef
1520225377.28,20.568,75.086,f67c
1520225378.89,20.572,75.086,8c23
1520225380.50,20.585,75.106,6df6
1520225382.11,20.585,75.112,1e43
1520225383.72,20.591,75.133,8c4e
1520225385.33,20.597,75.152,b602
1520225386.94,20.604,75.156,4de0
1520225388.55,20.610,75.166,fcfd
1520225390.16,20.615,75.174,a730
1520225391.77,20.606,75.178,45ea
1520225393.38,20.611,75.193,fbb5
1520225394.99,20.620,75.202,62cb
1520225396.60,20.618,75.212,6264
1520225398.22,20.619,75.208,b7cc
1520225399.83,20.620,75.214,313c
1520225401.44,20.614,75.221,16e3
1520225403.05,20.622,75.234,d8f8
1520225404.66,20.627,75.247,39b2
1520225406.27,20.624,75.253,8272
1520225407.88,20.631,75.276,1728
1520225409.49,20.642,75.286,7ec8
1520225411.10,20.644,75.306,409a
1520225412.71,20.644,75.326,26f8
1520225414.32,20.646,75.347,13d9
1520225415.93,20.647,75.381,71a1
1520225417.54,20.650,75.418,f3bb
1520225419.15,20.648,75.461,0efc
1520225420.76,20.634,75.484,dd4a
1520225422.38,20.650,75.512,65c1
1520225423.99,20.654,75.533,1cef
1520225425.60,20.662,75.562,5eb4
1520225427.21,20.659,75.568,0415
1520225428.82,20.663,75.593,1978
1520225430.43,20.658,75.597,a217
1520225432.04,20.662,75.621,fb43
1520225433.65,20.669,75.635,5e59
1520225435.26,20.667,75.652,1a09
1520225436.87,20.674,75.668,cd46
1520225438.49,20.674,75.684,2fc5
1520225440.10,20.673,75.697,eb8f
1520225441.70,20.679,75.719,25a4
1520225443.31,20.683,75.749,d379
1520225444.92,20.682,75.764,2365
1520225446.54,20.685,75.781,97d7
1520225448.15,20.689,75.805,637c
1520225449.76,20.693,75.826,4f22
1520225451.37,20.689,75.849,6e34
1520225452.98,20.698,75.860,358f
1520225454.59,20.702,75.888,ab6d
1520225456.20,20.699,75.920,89a8
1520225457.81,20.698,75.947,143a
1520225459.42,20.701,75.975,95bb
1520225461.03,20.701,75.987,a5c7
1520225462.65,20.706,76.001,fbf3
1520225464.26,20.702,76.020,82dd
1520225465.87,20.706,76.047,57f1
1520225467.48,20.703,76.085,7a60
1520225469.08,20.705,76.108,959f
1520225470.70,20.702,76.134,c658
1520225472.31,20.702,76.154,6cfe
1520225473.92,20.705,76.190,ae0f
1520225475.53,20.711,76.220,cfeb
1520225477.14,20.715,76.236,9371
1520225478.75,20.706,76.243,7915
1520225480.36,20.713,76.264,cc0d
1520225481.97,20.717,76.285,f04e
1520225483.58,20.721,76.315,d069
1520225485.19,20.736,76.333,faf6
1520225486.81,20.725,76.363,2655
1520225488.42,20.728,76.390,506c
1520225490.03,20.728,76.407,1f83
1520225491.64,20.732,76.420,7359
1520225493.25,20.725,76.437,1cb4
1520225494.86,20.742,76.454,1be1
1520225496.47,20.741,76.482,c50e
1520225498.08,20.738,76.495,6e7a
1520225499.69,20.745,76.503,64db
1520225501.30,20.748,76.521,749f
1520225502.91,20.746,76.531,d9bf
1520225504.52,20.750,76.554,4854
1520225506.13,20.752,76.571,f135
1520225507.74,20.749,76.593,cff4
1520225509.35,20.749,76.606,7c99
1520225510.97,20.757,76.620,0f0f
1520225512.58,20.750,76.632,db64
1520225514.19,20.753,76.655,c950
1520225515.80,20.757,76.669,52e2
1520225517.41,20.756,76.691,8407
1520225519.02,20.754,76.709,0701
1520225520.63,20.760,76.724,92e7
1520225522.24,20.753,76.728,b65a
1520225523.85,20.769,76.741,31ed
1520225525.46,20.769,76.747,512b
1520225527.07,20.766,76.755,9b9a
1520225528.68,20.761,76.773,5a26
1520225530.29,20.765,76.790,4627
1520225531.90,20.764,76.812,842e
1520225533.51,20.768,76.829,71a1
1520225535.13,20.772,76.855,53e5
1520225536.74,20.780,76.868,c0e9
1520225538.35,20.778,76.880,e460
1520225539.96,20.784,76.885,3d26
1520225541.57,20.782,76.896,bebf
1520225543.18,20.781,76.894,5688
1520225544.79,20.785,76.903,a4aa
1520225546.40,20.796,76.913,b4cd
1520225548.01,20.792,76.920,de90
1520225549.62,20.796,76.926,b13b
1520225551.23,20.812,76.927,d139
1520225552.84,20.807,76.929,936a
1520225554.45,20.812,76.930,92ef
1520225556.06,20.817,76.937,aab6
1520225557.67,20.821,76.937,0739
1520225559.29,20.813,76.942,6ce9
1520225560.90,20.827,76.951,4d92
1520225562.51,20.823,76.973,04df
1520225564.12,20.825,76.981,b468
1520225565.73,20.823,76.999,869a
1520225567.34,20.819,77.023,73d2
1520225568.95,20.821,77.057,995f
1520225570.56,20.825,77.092,83fa
1520225572.17,20.825,77.122,6830
1520225573.78,20.820,77.142,8a28
1520225575.39,20.824,77.155,c693
1520225577.00,20.825,77.172,97c5
1520225578.61,20.829,77.176,c6f6
1520225580.22,20.829,77.189,2727
1520225581.83,20.832,77.197,c854
1520225583.45,20.825,77.220,1122
1520225585.06,20.837,77.247,afe6
1520225586.67,20.831,77.261,2989
1520225588.28,20.825,77.276,8e11
1520225589.89,20.837,77.299,3874
1520225591.50,20.832,77.315,0fdf
1520225593.11,20.837,77.319,86ed
1520225594.72,20.836,77.344,ef66
1520225596.33,20.833,77.360,813e
1520225597.94,20.831,77.366,6e5e
1520225599.55,20.835,77.373,02a7
1520225601.16,20.829,77.386,b8a8
1520225602.77,20.840,77.392,c89c
1520225604.38,20.837,77.404,e1e1
1520225605.99,20.840,77.423,81d7
1520225607.61,20.848,77.426,cfa8
1520225609.22,20.848,77.439,0d76
1520225610.83,20.851,77.435,7ed0
1520225612.44,20.855,77.436,41de
1520225614.05,20.856,77.434,a9e9
1520225615.66,20.864,77.439,daa6
1520225617.27,20.860,77.423,47b0
1520225618.88,20.859,77.415,0668
1520225620.49,20.868,77.424,298d
1520225622.10,20.874,77.423,a3fe
1520225623.71,20.878,77.420,822a
1520225625.32,20.884,77.419,cfb3
1520225626.93,20.879,77.410,90aa
1520225628.54,20.879,77.400,a39b
1520225630.15,20.884,77.397,2244
1520225631.77,20.879,77.388,2eaa
1520225633.38,20.888,77.373,5078
