ambient_c,ambient_rh,crc16
1520230429.98,20.817,78.200,b05b
1520230431.59,20.821,78.204,5d50
1520230433.20,20.828,78.206,241b
1520230434.81,20.825,78.210,2188
1520230436.42,20.832,78.207,4e65
1520230438.03,20.823,78.214,e1c7
1520230439.64,20.823,78.213,9120
1520230441.25,20.829,78.231,467c
1520230442.86,20.839,78.249,b5c0
1520230444.47,20.832,78.261,8405
1520230446.08,20.829,78.279,0bb0
1520230447.69,20.833,78.290,c3c9
1520230449.31,20.837,78.306,21ca
1520230450.92,20.828,78.311,50fd
1520230452.53,20.837,78.330,145f
1520230454.14,20.836,78.334,1308
1520230455.75,20.844,78.335,3d24
1520230457.36,20.840,78.329,c0f4
1520230458.97,20.841,78.337,55d8
1520230460.58,20.845,78.334,6ad6
1520230462.19,20.849,78.340,a272
1520230463.80,20.844,78.347,84f1
1520230465.41,20.852,78.329,a471
1520230467.02,20.849,78.328,89dc
1520230468.63,20.849,78.312,7dc5
1520230470.24,20.851,78.291,06c6
1520230471.85,20.847,78.265,3d94
1520230473.47,20.856,78.235,6e91
1520230475.08,20.862,78.207,39a9
1520230476.69,20.858,78.178,b4b9
1520230478.30,20.858,78.158,d2db
1520230479.91,20.856,78.140,fef3
1520230481.52,20.852,78.120,5b38
1520230483.13,20.864,78.103,a0b6
1520230484.74,20.864,78.084,6ec8
1520230486.35,20.862,78.073,8eda
1520230487.96,20.871,78.064,ee5a
1520230489.57,20.866,78.057,a751
1520230491.18,20.874,78.059,221a
1520230492.79,20.876,78.068,e8ce
1520230494.40,20.875,78.084,c238
1520230496.01,20.872,78.112,e84e
1520230497.63,20.876,78.142,18d6
1520230499.24,20.872,78.164,111f
1520230500.85,20.867,78.179,501e
1520230502.46,20.879,78.212,67b1
1520230504.07,20.878,78.240,ffd5
1520230505.68,20.880,78.261,0f18
1520230507.29,20.880,78.281,2c17
1520230508.90,20.887,78.302,65f5
1520230510.51,20.887,78.316,1640
1520230512.12,20.884,78.338,5999
1520230513.73,20.880,78.344,0eef
1520230515.34,20.892,78.350,19df
1520230516.95,20.891,78.360,84f9
1520230518.56,20.903,78.359,62bc
1520230520.17,20.898,78.373,dea2
1520230521.79,20.900,78.380,4dbc
1520230523.40,20.906,78.381,dd56
1520230525.01,20.895,78.394,db2e
1520230526.62,20.904,78.397,0107
1520230528.23,20.899,78.394,ca99
1520230529.84,20.906,78.399,6f6f
1520230531.45,20.903,78.410,bac1
1520230533.06,20.910,78.403,9ac5
1520230534.67,20.910,78.413,a9f4
1520230536.28,20.911,78.415,8ee1
1520230537.89,20.907,78.421,f0de
1520230539.50,20.908,78.423,095e
1520230541.11,20.913,78.414,1166
1520230542.72,20.913,78.396,3d1d
1520230544.33,20.923,78.387,3349
1520230545.94,20.910,78.366,e556
1520230547.56,20.915,78.352,b83f
1520230549.17,20.918,78.345,ad8d
1520230550.78,20.911,78.345,f484
1520230552.39,20.919,78.358,08c2
1520230554.00,20.918,78.378,2973
1520230555.61,20.922,78.398,b644
1520230557.22,20.918,78.409,2555
1520230558.83,20.922,78.414,7bf1
1520230560.44,20.918,78.419,1664
1520230562.05,20.914,78.432,d0da
1520230563.66,20.927,78.438,94a1
1520230565.27,20.918,78.446,187e
1520230566.88,20.921,78.461,7ab6
1520230568.49,20.919,78.464,198d
1520230570.10,20.917,78.471,e408
1520230571.72,20.915,78.467,3859
1520230573.33,20.918,78.470,2deb
1520230574.94,20.922,78.481,91cc
1520230576.55,20.918,78.485,6d70
1520230578.16,20.923,78.493,c56c
1520230579.77,20.921,78.499,eb80
1520230581.38,20.929,78.506,891d
1520230582.99,20.929,78.509,78f2
1520230584.60,20.934,78.521,22df
1520230586.21,20.931,78.526,1a86
1520230587.82,20.929,78.533,8ceb
1520230589.43,20.929,78.542,055d
1520230591.04,20.927,78.542,9b4c
1520230592.65,20.941,78.553,621f
1520230594.26,20.941,78.555,02d9
1520230595.88,20.939,78.562,881c
1520230597.49,20.942,78.570,fc6b
1520230599.10,20.935,78.571,9af9
1520230600.71,20.946,78.570,f306
1520230602.32,20.951,78.565,bca9
1520230603.93,20.946,78.569,511e
1520230605.54,20.947,78.562,a7a6
1520230607.15,20.947,78.545,b123
1520230608.76,20.945,78.551,4d30
1520230610.37,20.949,78.563,2996
1520230611.98,20.950,78.560,abdf
1520230613.59,20.957,78.558,b89c
1520230615.20,20.953,78.564,232e
1520230616.81,20.945,78.564,48c6
1520230618.42,20.947,78.564,c760
1520230620.04,20.946,78.568,413f
1520230621.65,20.939,78.573,ab0c
1520230623.26,20.950,78.568,2ad7
1520230624.87,20.950,78.572,b8ac
1520230626.48,20.945,78.579,aa5a
1520230628.09,20.950,78.570,98ee
1520230629.70,20.946,78.568,413f
1520230631.31,20.943,78.568,0981
1520230632.92,20.953,78.558,b7f1
1520230634.53,20.949,78.555,1c03
1520230636.14,20.954,78.554,b165
1520230637.75,20.951,78.558,3857
1520230639.36,20.955,78.558,373a
1520230640.97,20.955,78.560,e361
1520230642.58,20.962,78.569,9814
1520230644.20,20.955,78.567,9386
1520230645.81,20.958,78.568,340d
1520230647.42,20.959,78.554,e701
1520230649.03,20.962,78.552,7c2c
1520230650.64,20.959,78.546,f472
1520230652.25,20.955,78.536,7c52
1520230653.86,20.959,78.549,059d
1520230655.47,20.965,78.533,01b3
1520230657.08,20.959,78.531,1d02
1520230658.69,20.969,78.539,b14e
1520230660.30,20.962,78.534,b64c
1520230661.91,20.959,78.538,8c2b
1520230663.52,20.958,78.538,cbf8
1520230665.13,20.962,78.541,7f7e
1520230666.74,20.957,78.540,0aa5
1520230668.36,20.958,78.538,cbf8
1520230669.97,20.959,78.539,9c0a
1520230671.58,20.955,78.538,9d9c
1520230673.19,20.958,78.538,cbf8
1520230674.80,20.961,78.546,c7ec
1520230676.41,20.961,78.542,8768
1520230678.02,20.959,78.546,f472
1520230679.63,20.969,78.558,0bc9
1520230681.24,20.963,78.557,6b5a
1520230682.85,20.953,78.553,069a
1520230684.46,20.949,78.551,5c87
1520230686.07,20.958,78.563,8566
1520230687.68,20.954,78.558,70e9
1520230689.29,20.954,78.568,25ba
1520230690.90,20.957,78.574,1f72
1520230692.52,20.949,78.581,2adb
1520230694.13,20.950,78.590,bbe1
1520230695.74,20.951,78.590,fc32
1520230697.35,20.949,78.600,ea03
1520230698.96,20.957,78.601,8f10
1520230700.57,20.953,78.601,807d
1520230702.18,20.957,78.611,bc21
1520230703.79,20.953,78.616,c3ab
1520230705.40,20.954,78.620,3126
1520230707.01,20.949,78.620,8c61
1520230708.62,20.953,78.625,a69b
1520230710.23,20.949,78.620,8c61
1520230711.84,20.955,78.619,b28f
1520230713.45,20.957,78.618,2d08
1520230715.06,20.957,78.624,b9d7
1520230716.68,20.953,78.621,e61f
1520230718.29,20.957,78.615,fca5
1520230719.90,20.955,78.613,13c5
1520230721.51,20.955,78.620,76f5
1520230723.12,20.958,78.618,f4ca
1520230724.73,20.962,78.616,a93c
1520230726.34,20.953,78.620,f63e
1520230727.95,20.959,78.628,e64a
1520230729.56,20.955,78.622,56b7
1520230731.17,20.957,78.619,3d29
1520230732.78,20.962,78.617,b91d
1520230734.39,20.962,78.619,58d3
1520230736.00,20.961,78.620,54dc
1520230737.61,20.959,78.608,8028
1520230739.22,20.963,78.611,9e08
1520230740.84,20.971,78.617,9a4b
1520230742.45,20.958,78.605,1656
1520230744.06,20.961,78.604,723a
1520230745.67,20.962,78.600,facb
1520230747.28,20.966,78.610,c697
1520230748.89,20.963,78.599,cff9
1520230750.50,20.965,78.594,9e9f
1520230752.11,20.967,78.595,0118
1520230753.72,20.976,78.593,cd2e
1520230755.33,20.969,78.595,9f09
1520230756.95,20.969,78.589,6db4
1520230758.56,20.971,78.598,bb5d
1520230760.16,20.966,78.586,4599
1520230761.77,20.977,78.591,aabf
1520230763.38,20.970,78.587,3e50
1520230765.00,20.976,78.588,4f74
1520230766.61,20.977,78.585,d90a
1520230768.22,20.980,78.576,a61b
1520230769.83,20.977,78.581,998e
1520230771.44,20.982,78.575,19de
1520230773.05,20.985,78.572,ae21
1520230774.66,20.985,78.565,edf7
1520230776.27,20.978,78.553,1652
1520230777.88,20.982,78.549,8d01
1520230779.49,20.980,78.539,9b30
1520230781.11,20.990,78.540,78ad
1520230782.72,20.990,78.525,82ae
1520230784.33,20.992,78.517,7819
1520230785.94,20.996,78.512,27d1
1520230787.54,20.993,78.509,ed35
1520230789.16,20.989,78.496,eb2d
1520230790.77,20.993,78.492,d1f6
1520230792.38,20.997,78.486,ad2e
1520230793.99,20.990,78.490,39c1
1520230795.60,20.997,78.482,edaa
1520230797.21,20.997,78.480,cde8
1520230798.82,20.994,78.481,15bc
1520230800.43,21.001,78.475,e91f
1520230802.04,21.005,78.475,e672
1520230803.65,21.002,78.464,027a
1520230805.27,21.009,78.469,0578
1520230806.88,21.002,78.457,674a
1520230808.49,21.010,78.455,238d
1520230810.10,21.004,78.449,357e
1520230811.71,21.001,78.447,9c0e
1520230813.32,21.008,78.447,c507
1520230814.93,21.004,78.453,a705
1520230816.54,21.012,78.447,bf58
1520230818.15,21.008,78.449,24c9
1520230819.76,21.005,78.442,c3c6
1520230821.37,21.005,78.443,d3e7
1520230822.98,21.010,78.432,f9cc
1520230824.59,21.014,78.437,a604
1520230826.20,21.006,78.427,f1b0
1520230827.81,21.008,78.424,5fc2
1520230829.42,21.013,78.417,077e
1520230831.04,21.013,78.421,32eb
1520230832.65,21.016,78.421,7a55
1520230834.26,21.021,78.416,b5bd
1520230835.87,21.021,78.416,b5bd
1520230837.48,21.022,78.400,2e3f
1520230839.09,21.022,78.398,903f
1520230840.70,21.016,78.400,0c16
1520230842.31,21.018,78.391,bd2e
1520230843.92,21.020,78.388,2ca8
1520230845.53,21.021,78.384,aaf7
1520230847.14,21.028,78.379,326d
1520230848.75,21.025,78.377,85c7
1520230850.36,21.024,78.368,00ca
1520230851.97,21.020,78.355,8b59
1520230853.58,21.024,78.351,c4b0
1520230855.20,21.022,78.340,676b
1520230856.81,21.016,78.327,9f03
1520230858.42,21.009,78.327,ade2
1520230860.03,21.017,78.315,adc1
1520230861.64,21.010,78.300,094d
1520230863.25,21.021,78.295,bed7
1520230864.86,21.017,78.278,e1fa
1520230866.47,21.000,78.265,2f5d
1520230868.08,21.005,78.245,0181
1520230869.69,21.001,78.231,d7ff
1520230871.30,21.004,78.204,9ab7
1520230872.91,20.996,78.188,e0c3
1520230874.52,20.997,78.171,2607
1520230876.13,21.001,78.153,044b
1520230877.74,20.992,78.133,823f
1520230879.36,20.985,78.116,98c3
1520230880.97,20.976,78.107,ebf2
1520230882.58,20.986,78.087,cd3f
1520230884.19,20.981,78.073,5a9d
1520230885.80,20.981,78.054,4c18
1520230887.41,20.980,78.039,70c0
1520230889.02,20.976,78.018,1e1c
1520230890.63,20.965,77.993,fee0
1520230892.24,20.965,77.972,cdce
1520230893.85,20.970,77.956,48b5
1520230895.46,20.967,77.921,8dfe
1520230897.07,20.962,77.901,a322
1520230898.68,20.955,77.862,e48b
1520230900.29,20.958,77.849,65e6
1520230901.90,20.954,77.807,595b
1520230903.52,20.958,77.777,fd4a
1520230905.13,20.961,77.757,ef65
1520230906.74,20.947,77.718,94e2
1520230908.35,20.942,77.694,a349
1520230909.96,20.946,77.685,8f34
1520230911.57,20.934,77.655,c765
1520230913.18,20.933,77.631,ea5f
1520230914.79,20.931,77.604,600f
1520230916.40,20.918,77.580,6f1c
1520230918.01,20.923,77.563,879b
1520230919.62,20.908,77.530,58c5
1520230921.23,20.906,77.511,b097
1520230922.84,20.900,77.499,0fcd
1520230924.45,20.900,77.483,9db6
1520230926.06,20.899,77.475,19de
1520230927.68,20.892,77.471,8ff5
1520230929.29,20.886,77.455,4d5d
1520230930.90,20.887,77.448,e812
1520230932.51,20.888,77.428,9b76
1520230934.12,20.880,77.410,51f7
1520230935.73,20.883,77.393,a5d8
1520230937.34,20.879,77.370,bf9c
1520230938.95,20.875,77.340,fb78
1520230940.56,20.868,77.328,6d91
1520230942.17,20.860,77.304,d4a5
1520230943.78,20.862,77.282,855c
1520230945.39,20.859,77.266,1d3c
1520230947.00,20.849,77.249,6192
1520230948.61,20.845,77.230,789b
1520230950.22,20.848,77.215,1838
1520230951.84,20.839,77.205,dd71
1520230953.45,20.831,77.196,1000
1520230955.06,20.829,77.174,e6b4
1520230956.67,20.816,77.155,6471
1520230958.28,20.812,77.137,e1f8
1520230959.89,20.813,77.121,f5dc
1520230961.50,20.801,77.097,1a55
1520230963.11,20.803,77.081,c604
1520230964.72,20.793,77.056,54d2
1520230966.33,20.791,77.041,98a2
1520230967.94,20.788,77.032,837c
1520230969.55,20.792,77.011,af22
1520230971.16,20.784,76.997,1965
1520230972.77,20.784,76.977,3a6a
1520230974.38,20.769,76.960,5caf
1520230975.99,20.770,76.952,9b94
1520230977.61,20.769,76.946,5a0b
1520230979.22,20.768,76.944,3d9a
1520230980.83,20.761,76.928,0fb9
1520230982.44,20.750,76.923,d445
1520230984.05,20.750,76.914,f1f1
1520230985.66,20.745,76.893,9c12
1520230987.27,20.746,76.878,c603
1520230988.88,20.738,76.859,9ffa
1520230990.49,20.728,76.841,c6e0
1520230992.10,20.719,76.817,3344
1520230993.71,20.710,76.791,af13
1520230995.32,20.707,76.757,a683
1520230996.93,20.711,76.742,aeff
1520230998.54,20.693,76.720,ed07
1520231000.15,20.690,76.697,be5f
1520231001.77,20.683,76.684,9e5b
1520231003.38,20.690,76.667,ae61
1520231004.99,20.671,76.654,fff5
1520231006.60,20.673,76.632,ba33
1520231008.21,20.652,76.614,3d23
1520231009.82,20.662,76.597,f0fd
1520231011.43,20.651,76.571,5605
1520231013.04,20.652,76.570,8e51
1520231014.65,20.648,76.556,f2aa
1520231016.26,20.646,76.528,14e2
1520231017.87,20.635,76.518,386f
1520231019.48,20.634,76.499,d104
1520231021.09,20.627,76.490,637b
1520231022.70,20.627,76.479,d15d
1520231024.31,20.615,76.469,408e
1520231025.93,20.615,76.457,f413
1520231027.54,20.604,76.447,6bd2
1520231029.15,20.600,76.452,072b
1520231030.76,20.592,76.447,980a
1520231032.37,20.588,76.436,6be3
1520231033.98,20.581,76.429,f034
1520231035.59,20.580,76.425,766b
1520231037.20,20.572,76.412,442d
1520231038.81,20.581,76.397,4890
1520231040.42,20.561,76.389,e918
1520231042.03,20.557,76.369,6798
1520231043.64,20.568,76.355,07c1
1520231045.25,20.561,76.346,5d9a
1520231046.86,20.559,76.332,b717
1520231048.47,20.549,76.326,2f81
1520231050.09,20.556,76.304,5b40
1520231051.70,20.548,76.299,7277
1520231053.31,20.545,76.289,1722
1520231054.92,20.548,76.285,80ca
1520231056.53,20.537,76.269,0a20
1520231058.14,20.534,76.253,364c
1520231059.75,20.520,76.234,0843
1520231061.36,20.518,76.216,7dfd
1520231062.97,20.509,76.202,a2b8
1520231064.58,20.512,76.202,9f34
1520231066.19,20.502,76.184,c428
1520231067.80,20.500,76.181,1b2b
1520231069.41,20.497,76.157,6730
1520231071.02,20.497,76.157,6730
1520231072.63,20.497,76.149,b5cf
1520231074.25,20.489,76.143,61b7
1520231075.86,20.486,76.127,5257
1520231077.47,20.494,76.132,5546
1520231079.08,20.493,76.124,c1a9
1520231080.69,20.486,76.117,0704
1520231082.30,20.481,76.095,5ec7
1520231083.91,20.470,76.085,b271
1520231085.52,20.462,76.062,851c
1520231087.13,20.453,76.048,28a3
1520231088.74,20.447,76.042,6da7
1520231090.35,20.453,76.029,9224
1520231091.96,20.445,76.008,8f8f
1520231093.57,20.431,75.999,ebb3
1520231095.18,20.433,75.985,96a8
1520231096.79,20.427,75.972,123f
1520231098.41,20.429,75.954,8a8a
1520231100.02,20.418,75.938,8b37
1520231101.63,20.411,75.939,c21f
1520231103.24,20.412,75.932,bb01
1520231104.85,20.408,75.922,f26f
1520231106.46,20.406,75.923,7c5f
1520231108.07,20.410,75.923,17b7
1520231109.68,20.403,75.922,24c0
1520231111.29,20.411,75.905,56c0
1520231112.90,20.412,75.886,104f
1520231114.51,20.411,75.893,bbae
1520231116.12,20.412,75.882,50cb
1520231117.73,20.404,75.864,78ea
1520231119.34,20.396,75.841,1fad
1520231120.95,20.388,75.824,909c
1520231122.56,20.379,75.816,3a0a
1520231124.18,20.376,75.800,b03f
1520231125.79,20.379,75.779,4d72
1520231127.40,20.367,75.754,8f8f
1520231129.01,20.355,75.742,7e9a
1520231130.62,20.364,75.736,cd1e
1520231132.23,20.353,75.717,5101
1520231133.84,20.348,75.698,23fb
1520231135.45,20.349,75.696,85e6
1520231137.06,20.345,75.691,e4b6
1520231138.67,20.341,75.698,7af2
1520231140.29,20.333,75.687,8621
1520231141.90,20.341,75.685,986e
1520231143.50,20.339,75.685,371f
1520231145.11,20.336,75.677,dea1
1520231146.72,20.335,75.682,564f
1520231148.34,20.331,75.659,9e15
1520231149.95,20.324,75.643,aff3
1520231151.56,20.315,75.637,1c77
1520231153.17,20.315,75.612,2ab0
1520231154.78,20.308,75.602,a4c6
1520231156.39,20.308,75.575,14e6
1520231158.00,20.304,75.561,76e4
1520231159.61,20.308,75.545,41b5
1520231161.22,20.308,75.548,9018
1520231162.83,20.293,75.527,b067
1520231164.45,20.298,75.527,66c8
1520231166.06,20.297,75.516,fa78
1520231167.67,20.289,75.500,dcbd
1520231169.28,20.278,75.488,3cab
1520231170.88,20.281,75.469,ced8
1520231172.50,20.276,75.464,4039
1520231174.11,20.273,75.447,5e86
1520231175.72,20.266,75.437,648c
1520231177.33,20.254,75.427,f55f
1520231178.94,20.257,75.430,7efc
1520231180.55,20.257,75.426,2d0b
1520231182.16,20.269,75.419,3ae2
1520231183.77,20.265,75.428,6e27
1520231185.38,20.262,75.437,6be1
1520231186.99,20.262,75.446,e257
1520231188.61,20.264,75.458,b063
1520231190.22,20.261,75.474,5f33
1520231191.83,20.260,75.491,6b4a
1520231193.44,20.248,75.503,1e1d
1520231195.05,20.258,75.528,2237
1520231196.66,20.256,75.550,a4b9
1520231198.27,20.261,75.560,1bb6
1520231199.88,20.248,75.584,e753
1520231201.49,20.250,75.612,91a4
1520231203.10,20.249,75.634,252a
1520231204.71,20.244,75.660,cc3f
1520231206.32,20.245,75.678,39d5
1520231207.93,20.246,75.701,ce2e
1520231209.54,20.249,75.733,62fd
1520231211.15,20.258,75.761,11ba
1520231212.77,20.256,75.788,3d8d
1520231214.38,20.269,75.823,bb9a
1520231215.99,20.269,75.841,317e
1520231217.60,20.281,75.869,bbb9
1520231219.21,20.284,75.890,7210
1520231220.82,20.285,75.914,cbde
1520231222.43,20.293,75.935,d675
1520231224.04,20.297,75.956,43dd
1520231225.65,20.293,75.976,2ad2
1520231227.26,20.296,75.988,939c
1520231228.87,20.293,76.015,c054
1520231230.48,20.301,76.034,9428
1520231232.09,20.293,76.044,2f80
1520231233.70,20.290,76.054,d4c4
1520231235.31,20.298,76.076,8c3e
1520231236.93,20.300,76.099,ed9d
1520231238.54,20.293,76.112,8783
1520231240.15,20.303,76.140,f5ad
1520231241.76,20.305,76.154,06d3
1520231243.37,20.307,76.165,cc07
1520231244.98,20.303,76.170,a0fe
1520231246.59,20.304,76.183,47bb
1520231248.20,20.308,76.203,86f5
1520231249.81,20.307,76.216,3ca3
1520231251.42,20.311,76.231,41ce
1520231253.03,20.321,76.242,c57e
1520231254.64,20.316,76.250,3c51
1520231256.25,20.323,76.264,4c7c
1520231257.86,20.328,76.282,d91a
1520231259.47,20.319,76.288,12c7
1520231261.08,20.323,76.295,4c63
1520231262.70,20.317,76.318,017e
1520231264.31,20.323,76.344,1d2e
1520231265.92,20.325,76.355,bef5
1520231267.53,20.329,76.370,9985
1520231269.14,20.325,76.376,e8f4
1520231270.75,20.328,76.383,fe0b
1520231272.36,20.328,76.399,6c70
1520231273.97,20.321,76.412,882b
1520231275.58,20.313,76.437,1c0e
1520231277.19,20.316,76.464,9b26
1520231278.80,20.319,76.476,5197
1520231280.41,20.321,76.509,3d41
1520231282.02,20.321,76.521,da2b
1520231283.63,20.325,76.538,775e
1520231285.24,20.317,76.548,4c2b
1520231286.86,20.329,76.567,68f3
1520231288.47,20.328,76.581,6ce9
1520231290.08,20.335,76.595,a21b
1520231291.69,20.331,76.616,4dec
1520231293.30,20.333,76.644,1dfd
1520231294.91,20.329,76.662,6106
1520231296.52,20.339,76.685,d9cd
1520231298.13,20.337,76.706,c926
1520231299.74,20.341,76.718,2ab9
1520231301.35,20.344,76.732,a52f
1520231302.96,20.343,76.755,b876
1520231304.57,20.345,76.768,bc43
1520231306.18,20.355,76.772,c51b
1520231307.79,20.352,76.788,b377
1520231309.40,20.351,76.791,d91a
1520231311.02,20.353,76.810,e305
1520231312.63,20.359,76.834,549f
1520231314.24,20.368,76.850,d42a
1520231315.85,20.371,76.847,25d6
1520231317.46,20.368,76.859,4503
1520231319.07,20.374,76.868,fae5
1520231320.68,20.366,76.875,7cfc
1520231322.29,20.374,76.896,0b15
1520231323.90,20.388,76.924,497e
1520231325.51,20.388,76.933,0aa8
1520231327.12,20.386,76.945,6de8
1520231328.73,20.395,76.957,5dcd
1520231330.34,20.390,76.973,3395
1520231331.95,20.394,76.994,6f10
1520231333.56,20.399,76.999,e8d9
1520231335.18,20.391,77.006,89b4
1520231336.79,20.400,77.023,2686
1520231338.40,20.399,77.028,10c2
1520231340.01,20.396,77.041,f28f
1520231341.62,20.396,77.055,813a
1520231343.23,20.403,77.067,62b3
1520231344.84,20.412,77.080,9dab
1520231346.45,20.414,77.098,af59
1520231348.06,20.412,77.106,43f4
1520231349.67,20.420,77.127,9755
1520231351.28,20.430,77.132,1fe2
1520231352.89,20.435,77.146,8e4f
1520231354.50,20.433,77.165,5885
1520231356.11,20.430,77.185,b3ff
1520231357.72,20.438,77.201,3d58
1520231359.33,20.430,77.212,20d0
1520231360.95,20.433,77.220,9db4
1520231362.56,20.435,77.230,2e4e
1520231364.17,20.435,77.238,af46
1520231365.78,20.443,77.233,2f4d
1520231367.39,20.445,77.243,3611
1520231369.00,20.443,77.259,24a1
1520231370.61,20.439,77.284,a387
1520231372.22,20.438,77.300,1a49
1520231373.83,20.439,77.322,1bba
1520231375.44,20.443,77.334,689a
1520231377.05,20.443,77.359,1391
1520231378.66,20.449,77.380,6598
1520231380.27,20.443,77.404,b859
1520231381.88,20.442,77.422,f92e
1520231383.49,20.443,77.445,64bc
1520231385.11,20.447,77.455,58e0
1520231386.72,20.446,77.479,b8dd
1520231388.33,20.447,77.498,cc20
1520231389.94,20.446,77.499,9bd2
1520231391.55,20.447,77.514,b335
1520231393.16,20.446,77.521,f110
1520231394.77,20.455,77.518,163c
1520231396.38,20.459,77.533,d082
1520231397.99,20.455,77.544,2845
1520231399.60,20.462,77.543,b2fe
1520231401.21,20.462,77.553,81cf
1520231402.82,20.470,77.558,5421
1520231404.43,20.474,77.570,bc26
1520231406.04,20.478,77.570,ad91
1520231407.65,20.474,77.572,9c64
1520231409.27,20.479,77.580,fa7c
1520231410.88,20.486,77.587,cb0d
1520231412.49,20.485,77.592,60ec
1520231414.10,20.489,77.595,01bc
1520231415.71,20.486,77.600,6b13
1520231417.32,20.489,77.613,b183
1520231418.93,20.493,77.610,fbbf
1520231420.54,20.493,77.605,982b
1520231422.15,20.490,77.626,065f
1520231423.76,20.496,77.615,e3a4
1520231425.37,20.500,77.623,fb63
1520231426.98,20.498,77.626,1885
1520231428.59,20.497,77.621,b1a0
1520231430.20,20.501,77.624,cc57
1520231431.81,20.508,77.633,d688
1520231433.43,20.502,77.641,fe21
1520231435.04,20.506,77.652,f21e
1520231436.65,20.501,77.670,7326
1520231438.26,20.512,77.685,10eb
1520231439.87,20.514,77.704,3e98
1520231441.48,20.509,77.722,857b
1520231443.09,20.514,77.730,2b4f
1520231444.70,20.525,77.752,cb3c
1520231446.31,20.521,77.757,94f4
1520231447.92,20.517,77.775,7f5b
1520231449.53,20.514,77.780,f7b5
1520231451.14,20.516,77.792,6b60
1520231452.75,20.528,77.794,b8f3
1520231454.36,20.525,77.796,ced5
1520231455.97,20.524,77.797,9927
1520231457.59,20.532,77.809,85a8
1520231459.20,20.536,77.819,b9f4
1520231460.81,20.537,77.830,096c
1520231462.42,20.530,77.847,2704
1520231464.03,20.541,77.851,828b
1520231465.64,20.541,77.871,e4e9
1520231467.25,20.542,77.876,5c7b
1520231468.86,20.544,77.877,cc91
1520231470.47,20.549,77.895,99b8
1520231472.08,20.547,77.902,fae6
1520231473.69,20.549,77.923,12b4
1520231475.30,20.551,77.939,7536
1520231476.91,20.544,77.956,8de2
1520231478.52,20.547,77.967,00e5
1520231480.13,20.556,77.983,cf9e
1520231481.75,20.548,77.990,b9fe
1520231483.36,20.555,77.997,745e
1520231484.97,20.549,78.007,cf3a
1520231486.58,20.553,78.023,9383
1520231488.19,20.552,78.044,0e11
1520231489.80,20.552,78.052,5de6
1520231491.41,20.561,78.075,ae52
1520231493.02,20.560,78.086,c9dc
1520231494.63,20.557,78.099,e15e
1520231496.24,20.561,78.115,33c4
1520231497.85,20.564,78.123,4eef
1520231499.46,20.561,78.139,942a
1520231501.07,20.560,78.149,4a6e
1520231502.68,20.567,78.154,6fea
1520231504.29,20.563,78.149,821b
1520231505.90,20.561,78.158,2ead
1520231507.52,20.571,78.160,11d5
1520231509.13,20.571,78.158,c58e
1520231510.74,20.561,78.151,bf84
1520231512.35,20.571,78.153,74e5
1520231513.96,20.577,78.157,b4aa
1520231515.57,20.576,78.157,f379
1520231517.18,20.584,78.173,c26d
1520231518.79,20.584,78.193,e162
1520231520.40,20.579,78.196,7ff7
1520231522.01,20.587,78.206,9a7a
1520231523.63,20.583,78.207,8536
1520231525.23,20.589,78.221,12ee
1520231526.84,20.583,78.214,8664
1520231528.45,20.593,78.212,0d81
1520231530.06,20.589,78.219,c6b5
1520231531.68,20.587,78.225,cc7b
1520231533.29,20.597,78.227,071a
1520231534.90,20.596,78.238,8217
1520231536.51,20.600,78.245,39f5
1520231538.12,20.597,78.252,ce28
1520231539.73,20.612,78.254,7e60
1520231541.34,20.607,78.267,b8cd
1520231542.95,20.615,78.247,ba2a
1520231544.56,20.615,78.253,c99f
1520231546.17,20.619,78.256,888d
1520231547.79,20.622,78.249,b1b8
1520231549.40,20.631,78.254,7072
1520231551.01,20.628,78.247,c10a
1520231552.61,20.630,78.244,0490
1520231554.22,20.640,78.246,9579
1520231555.84,20.644,78.237,13a2
1520231557.45,20.642,78.239,72a7
1520231559.06,20.646,78.235,bc46
1520231560.67,20.651,78.229,62c0
1520231562.28,20.651,78.229,62c0
1520231563.89,20.658,78.225,fa45
1520231565.50,20.652,78.222,1bde
1520231567.11,20.658,78.221,bac1
1520231568.72,20.660,78.210,cc2d
1520231570.33,20.666,78.218,cdee
1520231571.95,20.663,78.210,0458
1520231573.56,20.669,78.202,8657
1520231575.17,20.664,78.208,7179
1520231576.78,20.675,78.199,2e60
1520231578.39,20.671,78.195,e081
1520231580.00,20.677,78.192,10ad
1520231581.61,20.677,78.189,92f7
1520231583.22,20.687,78.192,88f9
1520231584.83,20.679,78.196,ce38
1520231586.44,20.687,78.198,29b3
1520231588.05,20.687,78.208,ca7b
1520231589.66,20.690,78.221,110b
1520231591.27,20.690,78.226,61ec
1520231592.88,20.699,78.243,c2e6
1520231594.49,20.694,78.249,35c8
1520231596.11,20.699,78.259,509d
1520231597.72,20.706,78.263,d0df
1520231599.33,20.705,78.272,3bba
1520231600.94,20.706,78.280,c3b3
1520231602.55,20.707,78.300,3af9
1520231604.16,20.715,78.309,cf55
1520231605.77,20.709,78.319,06f0
1520231607.38,20.710,78.334,0315
1520231608.99,20.709,78.332,d1f9
1520231610.60,20.711,78.345,cd70
1520231612.21,20.719,78.357,c0d9
1520231613.82,20.714,78.366,d3cf
1520231615.43,20.719,78.367,958a
