isothermal_c,isothermal_rh,crc16
1520230845.80,30.288,63.626,09dc
1520230846.40,30.285,63.626,5fb8
1520230847.01,30.281,63.621,2032
1520230847.61,30.281,63.631,1303
1520230848.21,30.292,63.621,0364
1520230848.82,30.281,63.621,2032
1520230849.42,30.274,63.623,d09a
1520230850.03,30.278,63.621,e16f
1520230850.63,30.281,63.613,5523
1520230851.23,30.274,63.603,b6f8
1520230851.84,30.267,63.606,c50b
1520230852.44,30.274,63.623,d09a
1520230853.04,30.274,63.616,d56c
1520230853.65,30.274,63.603,b6f8
1520230854.25,30.274,63.603,b6f8
1520230854.86,30.274,63.618,34a2
1520230855.46,30.263,63.598,c860
1520230856.07,30.256,63.611,ec4a
1520230856.67,30.274,63.608,0793
1520230857.28,30.260,63.616,3122
1520230857.88,30.260,63.611,41c5
1520230858.48,30.253,63.608,06ec
1520230859.09,30.263,63.606,ca66
1520230859.69,30.256,63.608,4e52
1520230860.29,30.260,63.600,62d5
1520230860.90,30.267,63.618,17f4
1520230861.50,30.253,63.613,84b6
1520230862.11,30.246,63.603,141a
1520230862.71,30.249,63.606,9d7d
1520230863.31,30.246,63.598,46b9
1520230863.92,30.249,63.598,9f7b
1520230864.52,30.246,63.593,f7d2
1520230865.13,30.249,63.600,fdbb
1520230865.73,30.246,63.603,141a
1520230866.34,30.246,63.595,9714
1520230866.94,30.253,63.598,e524
1520230867.54,30.256,63.593,1cf1
1520230868.15,30.235,63.595,eeca
1520230868.75,30.242,63.595,9879
1520230869.36,30.238,63.608,8acb
1520230869.96,30.242,63.595,9879
1520230870.56,30.235,63.598,3f67
1520230871.17,30.235,63.600,5da7
1520230871.77,30.235,63.600,5da7
1520230872.37,30.238,63.598,6903
1520230872.98,30.231,63.598,300a
1520230873.58,30.221,63.590,5a21
1520230874.19,30.231,63.593,8161
1520230874.79,30.228,63.598,8220
1520230875.40,30.224,63.600,f157
1520230876.00,30.231,63.590,b102
1520230876.60,30.228,63.595,538d
1520230877.21,30.221,63.593,6a42
1520230877.81,30.224,63.593,22fc
1520230878.42,30.221,63.590,5a21
1520230879.02,30.203,63.585,7074
1520230879.62,30.224,63.595,423a
1520230880.23,30.213,63.588,4afa
1520230880.83,30.210,63.593,00d5
1520230881.44,30.221,63.590,5a21
1520230882.04,30.210,63.588,828f
1520230882.64,30.210,63.583,33e4
1520230883.25,30.206,63.588,e967
1520230883.85,30.196,63.578,8a4a
1520230884.46,30.210,63.580,0387
1520230885.06,30.206,63.580,686f
1520230885.66,30.192,63.572,246d
1520230886.27,30.203,63.572,10ad
1520230886.87,30.203,63.570,30ef
1520230887.48,30.199,63.583,f2dd
1520230888.08,30.206,63.575,28f4
1520230888.69,30.192,63.575,548a
1520230889.29,30.192,63.583,2472
1520230889.89,30.192,63.567,47f9
1520230890.50,30.192,63.570,042f
1520230891.10,30.192,63.580,1411
1520230891.70,30.188,63.572,5e32
1520230892.31,30.178,63.575,b681
1520230892.91,30.188,63.580,6e4e
1520230893.52,30.192,63.585,44b4
1520230894.12,30.192,63.565,67bb
1520230894.73,30.192,63.572,246d
1520230895.33,30.185,63.575,78b1
1520230895.93,30.181,63.567,64af
1520230896.54,30.178,63.572,c666
1520230897.14,30.178,63.565,85b0
1520230897.75,30.181,63.570,2779
1520230898.35,30.185,63.565,4b80
1520230898.95,30.181,63.570,2779
1520230899.56,30.163,63.562,c8db
1520230900.16,30.174,63.567,b445
1520230900.77,30.171,63.560,8c1c
1520230901.37,30.178,63.570,e624
1520230901.97,30.174,63.565,9407
1520230902.58,30.171,63.562,ac5e
1520230903.18,30.178,63.570,e624
1520230903.79,30.167,63.557,c240
1520230904.39,30.160,63.557,0558
1520230904.99,30.171,63.555,89ea
1520230905.60,30.167,63.552,92e5
1520230906.20,30.160,63.567,500b
1520230906.81,30.160,63.572,339f
1520230907.41,30.156,63.565,ddc6
1520230908.02,30.160,63.570,13dd
1520230908.62,30.160,63.560,20ec
1520230909.22,30.153,63.547,d358
1520230909.83,30.160,63.552,55fd
1520230910.43,30.160,63.555,251a
1520230911.03,30.149,63.550,ead1
1520230911.64,30.153,63.552,b0cc
1520230912.24,30.149,63.560,bf82
1520230912.85,30.135,63.552,6a8f
1520230913.45,30.153,63.562,e59f
1520230914.06,30.145,63.557,8b81
1520230914.66,30.135,63.550,4acd
1520230915.26,30.145,63.550,fb66
1520230915.87,30.153,63.544,e33b
1520230916.47,30.135,63.557,3a2a
1520230917.08,30.131,63.550,45a0
1520230917.68,30.142,63.555,6cdb
1520230918.29,30.135,63.557,3a2a
1520230918.89,30.131,63.555,1505
1520230919.49,30.124,63.560,b36e
1520230920.10,30.138,63.550,1ca9
1520230920.70,30.131,63.544,3615
1520230921.30,30.128,63.550,f78a
1520230921.91,30.135,63.544,3978
1520230922.51,30.128,63.547,b45c
1520230923.12,30.124,63.552,c67f
1520230923.72,30.131,63.544,3615
1520230924.32,30.124,63.552,c67f
1520230924.93,30.128,63.547,b45c
1520230925.53,30.110,63.557,b4f3
1520230926.14,30.124,63.547,a5eb
1520230926.74,30.113,63.539,37ee
1520230927.35,30.120,63.542,fa23
1520230927.95,30.113,63.544,7fd4
1520230928.55,30.110,63.537,1e55
1520230929.16,30.124,63.547,a5eb
1520230929.76,30.113,63.539,37ee
1520230930.36,30.110,63.537,1e55
1520230930.97,30.124,63.539,ddb2
1520230931.57,30.110,63.529,ccaa
1520230932.18,30.106,63.544,dc49
1520230932.78,30.110,63.532,4ef0
1520230933.38,30.099,63.532,5143
1520230933.99,30.095,63.542,d963
1520230934.59,30.103,63.529,effc
1520230935.20,30.095,63.529,c2ae
1520230935.80,30.095,63.529,c2ae
1520230936.41,30.095,63.532,40f4
1520230937.01,30.092,63.532,87ec
1520230937.62,30.103,63.524,3e51
1520230938.22,30.088,63.524,ae44
1520230938.82,30.106,63.524,76ef
1520230939.43,30.092,63.524,d41b
1520230940.03,30.095,63.527,2360
1520230940.63,30.099,63.534,3185
1520230941.24,30.099,63.514,57e7
1520230941.84,30.081,63.527,c72e
1520230942.45,30.095,63.527,2360
1520230943.05,30.088,63.527,9e27
1520230943.65,30.081,63.514,a21e
1520230944.26,30.085,63.522,98e6
1520230944.86,30.085,63.514,ad73
1520230945.47,30.085,63.516,8d31
1520230946.07,30.081,63.519,73b3
1520230946.68,30.081,63.522,978b
1520230947.28,30.063,63.516,7e8d
1520230947.88,30.074,63.509,9068
1520230948.49,30.085,63.522,98e6
1520230949.09,30.074,63.516,52b6
1520230949.69,30.070,63.522,480c
1520230950.30,30.070,63.511,2d3c
1520230950.90,30.074,63.522,4761
1520230951.51,30.067,63.514,51a2
1520230952.11,30.060,63.522,a32f
1520230952.71,30.067,63.519,800f
1520230953.32,30.067,63.501,3236
1520230953.92,30.060,63.514,96ba
1520230954.53,30.060,63.519,4717
1520230955.13,30.056,63.516,1b77
1520230955.74,30.060,63.511,c61f
1520230956.34,30.060,63.506,85c9
1520230956.95,30.067,63.509,b33e
1520230957.55,30.049,63.509,eb48
1520230958.15,30.060,63.514,96ba
1520230958.76,30.060,63.509,7426
1520230959.36,30.053,63.509,9117
1520230959.96,30.049,63.514,09d4
1520230960.57,30.056,63.511,6b90
1520230961.17,30.056,63.506,2846
1520230961.77,30.049,63.509,eb48
1520230962.38,30.049,63.514,09d4
1520230962.98,30.049,63.509,eb48
1520230963.59,30.049,63.514,09d4
1520230964.19,30.038,63.506,ecdf
1520230964.80,30.042,63.519,0ed6
1520230965.40,30.031,63.514,a6a5
1520230966.01,30.031,63.509,4439
1520230966.61,30.031,63.511,f600
1520230967.21,30.042,63.514,df7b
1520230967.82,30.045,63.509,faff
1520230968.42,30.035,63.509,4b54
1520230969.03,30.042,63.506,cc08
1520230969.63,30.028,63.496,8a54
1520230970.23,30.031,63.504,9594
1520230970.84,30.035,63.501,ca5c
1520230971.44,30.031,63.494,183c
1520230972.04,30.028,63.501,771b
1520230972.65,30.028,63.499,7bbb
1520230973.25,30.024,63.504,3609
1520230973.86,30.024,63.491,eb04
1520230974.46,30.035,63.504,9af9
1520230975.07,30.013,63.496,71bf
1520230975.67,30.017,63.496,7ed2
1520230976.28,30.017,63.494,5e90
1520230976.88,30.024,63.496,9be3
1520230977.48,30.020,63.494,b4cc
1520230978.09,30.010,63.489,7b14
1520230978.69,30.002,63.486,ee7e
1520230979.29,30.013,63.496,71bf
1520230979.90,30.020,63.499,6561
1520230980.50,30.017,63.491,0e35
1520230981.10,30.017,63.496,7ed2
1520230981.71,30.010,63.496,b9ca
1520230982.31,29.999,63.483,d218
1520230982.92,30.013,63.486,428e
1520230983.52,30.010,63.499,4825
1520230984.13,30.002,63.501,2000
1520230984.73,30.002,63.489,1f91
1520230985.34,30.006,63.501,2f6d
1520230985.94,29.999,63.486,82bd
1520230986.54,30.006,63.483,b1b6
1520230987.15,29.995,63.489,62e5
1520230987.75,29.992,63.494,4761
1520230988.36,30.002,63.486,ee7e
1520230988.96,29.995,63.483,c3af
1520230989.56,29.992,63.481,24f5
1520230990.17,30.002,63.486,ee7e
1520230990.77,29.988,63.486,2e4d
1520230991.37,29.981,63.476,677a
1520230991.98,29.977,63.476,7fe5
1520230992.58,29.992,63.471,34cb
1520230993.19,29.988,63.476,3e73
1520230993.79,29.988,63.476,3e73
1520230994.40,29.992,63.478,a5e2
1520230995.00,29.974,63.476,b790
1520230995.61,29.988,63.471,4e94
1520230996.21,29.974,63.476,b790
1520230996.81,29.988,63.476,3e73
1520230997.42,29.977,63.476,7fe5
1520230998.02,29.970,63.476,b8fd
1520230998.62,29.974,63.476,b790
1520230999.23,29.974,63.466,84a1
1520230999.83,29.970,63.476,b8fd
1520231000.44,29.970,63.476,b8fd
1520231001.04,29.970,63.473,e858
1520231001.64,29.981,63.458,e0d6
1520231002.25,29.974,63.473,e735
1520231002.85,29.974,63.476,b790
1520231003.46,29.967,63.481,f41f
1520231004.06,29.960,63.476,53de
1520231004.67,29.963,63.478,7a65
1520231005.27,29.960,63.468,8121
1520231005.87,29.967,63.468,4639
1520231006.48,29.945,63.463,be93
1520231007.08,29.952,63.461,b2ea
1520231007.69,29.967,63.473,c463
1520231008.29,29.952,63.468,23c3
1520231008.89,29.956,63.458,79fd
1520231009.50,29.963,63.471,eb4c
1520231010.10,29.960,63.461,1008
1520231010.70,29.967,63.458,136a
1520231011.31,29.949,63.463,af24
1520231011.91,29.963,63.463,f83f
1520231012.52,29.945,63.453,ebc0
1520231013.12,29.945,63.458,5aab
1520231013.73,29.945,63.455,8b06
1520231014.33,29.956,63.450,f8f5
1520231014.94,29.945,63.455,8b06
1520231015.54,29.938,63.448,8e55
1520231016.14,29.949,63.455,9ab1
1520231016.75,29.935,63.448,d831
1520231017.35,29.927,63.440,3dbc
1520231017.95,29.927,63.450,0e8d
1520231018.56,29.938,63.463,595c
1520231019.16,29.927,63.453,3eee
1520231019.77,29.935,63.448,d831
1520231020.37,29.927,63.445,6d19
1520231020.97,29.924,63.445,a56c
1520231021.58,29.927,63.450,0e8d
1520231022.18,29.920,63.453,f9f6
1520231022.79,29.931,63.445,06f1
1520231023.39,29.931,63.443,6637
1520231024.00,29.920,63.445,aa01
1520231024.60,29.917,63.445,405d
1520231025.20,29.924,63.450,c6f8
1520231025.81,29.927,63.450,0e8d
1520231026.41,29.931,63.443,6637
1520231027.02,29.917,63.440,10f8
1520231027.62,29.906,63.438,a497
1520231028.22,29.920,63.440,faa4
1520231028.83,29.920,63.448,7bac
1520231029.43,29.913,63.438,070a
1520231030.04,29.920,63.448,7bac
1520231030.64,29.913,63.450,2ca4
1520231031.24,29.910,63.438,cf7f
1520231031.85,29.913,63.440,1f95
1520231032.45,29.910,63.438,cf7f
1520231033.06,29.913,63.438,070a
1520231033.66,29.906,63.435,753a
1520231034.27,29.906,63.430,259f
1520231034.87,29.906,63.438,a497
1520231035.47,29.910,63.448,56e8
1520231036.08,29.899,63.435,0161
1520231036.68,29.906,63.438,a497
1520231037.28,29.899,63.435,0161
1520231037.89,29.892,63.430,876b
1520231038.49,29.899,63.433,61a7
1520231039.10,29.892,63.438,0663
1520231039.70,29.888,63.438,7c3c
1520231040.31,29.892,63.438,0663
1520231040.91,29.888,63.430,fd34
1520231041.51,29.885,63.433,9b33
1520231042.12,29.888,63.430,fd34
1520231042.72,29.899,63.425,3250
1520231043.33,29.888,63.430,fd34
1520231043.93,29.885,63.435,fbf5
1520231044.54,29.899,63.438,d0cc
1520231045.14,29.888,63.433,cd57
1520231045.74,29.888,63.427,bee2
1520231046.35,29.885,63.430,ab50
1520231046.95,29.885,63.425,c8c4
1520231047.55,29.874,63.425,1743
1520231048.16,29.874,63.440,ed40
1520231048.76,29.867,63.435,0724
1520231049.37,29.863,63.425,3b78
1520231049.97,29.874,63.433,44b4
1520231050.58,29.863,63.433,688f
1520231051.18,29.870,63.422,68c9
1520231051.78,29.870,63.427,386c
1520231052.39,29.867,63.422,44f2
1520231052.99,29.867,63.417,4104
1520231053.60,29.867,63.425,3415
1520231054.20,29.877,63.430,bca2
1520231054.80,29.856,63.422,2e65
1520231055.41,29.856,63.422,2e65
1520231056.01,29.859,63.417,f251
1520231056.61,29.863,63.427,1b3a
1520231057.22,29.867,63.422,44f2
1520231057.82,29.859,63.422,f7a7
1520231058.43,29.859,63.427,a702
1520231059.03,29.859,63.425,8740
1520231059.64,29.856,63.430,3d16
1520231060.24,29.852,63.420,014a
1520231060.84,29.863,63.420,6bdd
1520231061.45,29.856,63.420,0e27
1520231062.05,29.845,63.422,0d33
1520231062.66,29.863,63.422,4b9f
1520231063.26,29.856,63.427,7ec0
1520231063.87,29.838,63.425,9a1b
1520231064.47,29.845,63.412,5860
1520231065.07,29.842,63.405,dcae
1520231065.68,29.838,63.407,dc3b
1520231066.28,29.849,63.407,2a43
1520231066.88,29.849,63.417,1972
1520231067.49,29.845,63.412,5860
1520231068.09,29.842,63.412,9f78
1520231068.70,29.834,63.412,ae18
1520231069.30,29.827,63.412,8d4e
1520231069.91,29.842,63.405,dcae
1520231070.51,29.838,63.405,fc79
1520231071.11,29.838,63.394,d350
1520231071.72,29.831,63.410,c6e4
1520231072.32,29.831,63.415,9641
1520231072.93,29.834,63.402,9d29
1520231073.53,29.831,63.407,8532
1520231074.13,29.834,63.412,ae18
1520231074.74,29.827,63.407,eeda
1520231075.34,29.820,63.405,0980
1520231075.95,29.827,63.410,ad0c
1520231076.55,29.827,63.405,ce98
1520231077.15,29.824,63.400,5648
1520231077.76,29.809,63.389,5b5b
1520231078.36,29.817,63.402,933b
1520231078.97,29.824,63.397,19a7
1520231079.57,29.820,63.407,29c2
1520231080.18,29.809,63.397,89a4
1520231080.78,29.813,63.397,f3fb
1520231081.38,29.806,63.397,5066
1520231081.99,29.813,63.402,9c56
1520231082.59,29.813,63.407,ccf3
1520231083.20,29.802,63.389,8df4
1520231083.80,29.809,63.387,ba95
1520231084.40,29.806,63.387,6357
1520231085.01,29.806,63.392,00c3
1520231085.61,29.799,63.394,2daa
1520231086.21,29.802,63.392,0fae
1520231086.82,29.809,63.394,b9c7
1520231087.42,29.806,63.394,6005
1520231088.03,29.802,63.387,6c3a
1520231088.63,29.795,63.392,5cdb
1520231089.24,29.795,63.392,5cdb
1520231089.84,29.802,63.382,3c9f
1520231090.44,29.792,63.377,e869
1520231091.05,29.795,63.392,5cdb
1520231091.65,29.795,63.387,3f4f
1520231092.26,29.795,63.382,6fea
1520231092.86,29.795,63.392,5cdb
1520231093.46,29.784,63.394,90ed
1520231094.07,29.781,63.392,b895
1520231094.67,29.792,63.384,c834
1520231095.28,29.781,63.374,fb5c
1520231095.88,29.777,63.382,933b
1520231096.48,29.784,63.382,c31a
1520231097.09,29.781,63.372,9b9a
1520231097.69,29.784,63.377,8381
1520231098.30,29.784,63.384,a3dc
1520231098.90,29.774,63.382,5b4e
1520231099.51,29.774,63.374,2bb6
1520231100.11,29.770,63.377,14b8
1520231100.71,29.777,63.379,326e
1520231101.32,29.774,63.387,0beb
1520231101.92,29.777,63.384,f3fd
1520231102.53,29.763,63.374,078d
1520231103.13,29.756,63.372,02b1
1520231103.73,29.770,63.389,e548
1520231104.34,29.770,63.379,f576
1520231104.94,29.763,63.361,6419
1520231105.54,29.763,63.379,d620
1520231106.15,29.767,63.372,6826
1520231106.75,29.763,63.379,d620
1520231107.36,29.756,63.366,7104
1520231107.96,29.763,63.366,14fe
1520231108.57,29.759,63.369,5929
1520231109.17,29.763,63.364,34bc
1520231109.78,29.749,63.374,5096
1520231110.38,29.759,63.372,db73
1520231110.98,29.752,63.359,dad5
1520231111.59,29.756,63.359,d5b8
1520231112.19,29.749,63.366,43e5
1520231112.79,29.756,63.364,5146
1520231113.40,29.745,63.361,22b5
1520231114.00,29.749,63.361,3302
1520231114.61,29.749,63.366,43e5
1520231115.21,29.741,63.359,f983
1520231115.81,29.741,63.359,f983
1520231116.42,29.756,63.361,01e3
1520231117.02,29.749,63.364,63a7
1520231117.63,29.749,63.361,3302
1520231118.23,29.738,63.369,4472
1520231118.84,29.734,63.356,f179
1520231119.44,29.738,63.356,e0ce
1520231120.05,29.734,63.359,0096
1520231120.65,29.734,63.349,33a7
1520231121.25,29.727,63.366,877c
1520231121.86,29.731,63.356,b9c7
1520231122.46,29.731,63.361,9c73
1520231123.06,29.731,63.361,9c73
1520231123.67,29.731,63.359,4828
1520231124.27,29.734,63.354,d13b
1520231124.87,29.727,63.356,d22f
1520231125.48,29.734,63.364,8468
1520231126.08,29.731,63.361,9c73
1520231126.69,29.738,63.351,9029
1520231127.29,29.731,63.361,9c73
1520231127.90,29.724,63.349,d884
1520231128.50,29.709,63.359,7bb6
1520231129.11,29.720,63.361,3083
1520231129.71,29.716,63.349,7a66
1520231130.31,29.716,63.354,98fa
1520231130.92,29.713,63.344,e375
1520231131.52,29.716,63.356,b8b8
1520231132.12,29.713,63.356,f006
1520231132.73,29.713,63.341,b3d0
1520231133.33,29.716,63.346,8b89
1520231133.94,29.709,63.344,992a
1520231134.54,29.709,63.346,b968
1520231135.14,29.709,63.344,992a
1520231135.75,29.702,63.349,9e28
1520231136.35,29.706,63.349,9145
1520231136.96,29.716,63.349,7a66
1520231137.56,29.702,63.344,4f85
1520231138.17,29.702,63.344,4f85
1520231138.77,29.713,63.351,80e1
1520231139.38,29.699,63.349,e51e
1520231139.98,29.695,63.336,9cd1
1520231140.58,29.702,63.356,5cf6
1520231141.19,29.688,63.336,2196
1520231141.79,29.702,63.346,6fc7
1520231142.39,29.691,63.336,93bc
1520231143.00,29.695,63.338,7d1f
1520231143.60,29.691,63.338,7272
1520231144.20,29.691,63.328,4143
1520231144.81,29.691,63.338,7272
1520231145.41,29.688,63.338,c058
1520231146.02,29.691,63.344,2a69
1520231146.62,29.691,63.341,7acc
1520231147.23,29.684,63.336,3021
1520231147.83,29.691,63.328,4143
1520231148.44,29.684,63.333,6084
1520231149.04,29.684,63.326,0310
1520231149.64,29.684,63.333,6084
1520231150.25,29.670,63.323,c48c
1520231150.85,29.677,63.328,b2ff
1520231151.46,29.681,63.323,1b0b
1520231152.06,29.681,63.323,1b0b
1520231152.66,29.663,63.323,e7da
1520231153.27,29.681,63.333,283a
1520231153.87,29.677,63.318,e7ac
1520231154.47,29.677,63.331,10e7
1520231155.08,29.670,63.321,e4ce
1520231155.68,29.670,63.311,b19d
1520231156.29,29.674,63.336,a875
1520231156.89,29.670,63.321,e4ce
1520231157.50,29.670,63.333,f7bd
1520231158.10,29.670,63.318,20b4
1520231158.71,29.666,63.308,786d
1520231159.31,29.666,63.321,8f26
1520231159.91,29.663,63.318,03e2
1520231160.52,29.659,63.313,0eb1
1520231161.12,29.659,63.326,0b47
1520231161.72,29.649,63.313,e592
1520231162.33,29.659,63.311,2ef3
1520231162.93,29.656,63.323,8220
1520231163.53,29.666,63.316,aa92
1520231164.14,29.652,63.308,5a44
1520231164.74,29.659,63.326,0b47
1520231165.35,29.656,63.311,f731
1520231165.95,29.663,63.316,e22c
1520231166.56,29.638,63.308,91b0
1520231167.16,29.649,63.318,54f9
1520231167.77,29.641,63.326,febe
1520231168.37,29.638,63.318,a281
1520231168.97,29.641,63.308,7912
1520231169.58,29.652,63.318,6975
1520231170.18,29.631,63.313,4ae3
1520231170.79,29.645,63.328,101d
1520231171.39,29.641,63.321,8e59
1520231171.99,29.634,63.318,b336
1520231172.60,29.634,63.308,8007
1520231173.20,29.634,63.316,52f8
1520231173.80,29.631,63.318,fb88
1520231174.41,29.634,63.321,774c
1520231175.01,29.631,63.313,4ae3
1520231175.62,29.631,63.313,4ae3
1520231176.22,29.631,63.308,c8b9
1520231176.83,29.624,63.318,5815
1520231177.43,29.627,63.313,210b
1520231178.04,29.634,63.313,025d
1520231178.64,29.627,63.316,71ae
1520231179.24,29.641,63.308,7912
1520231179.85,29.627,63.311,0149
1520231180.45,29.627,63.293,9f92
1520231181.05,29.631,63.316,1a46
1520231181.66,29.624,63.308,6b24
1520231182.26,29.627,63.311,0149
1520231182.87,29.616,63.308,c9c6
1520231183.47,29.620,63.300,e541
1520231184.07,29.616,63.293,f505
1520231184.68,29.616,63.303,78ad
1520231185.28,29.624,63.305,ba89
1520231185.89,29.609,63.300,7a2f
1520231186.49,29.627,63.300,2259
1520231187.10,29.609,63.298,768f
1520231187.70,29.606,63.295,7ee0
1520231188.30,29.609,63.303,4a4c
1520231188.91,29.606,63.295,7ee0
1520231189.51,29.606,63.303,938e
1520231190.12,29.613,63.290,8dd8
1520231190.72,29.606,63.295,7ee0
1520231191.32,29.598,63.288,717e
1520231191.93,29.602,63.288,9311
1520231192.53,29.606,63.298,af4d
1520231193.13,29.602,63.298,a020
1520231193.74,29.595,63.283,9671
1520231194.34,29.598,63.293,f324
1520231194.95,29.588,63.290,2864
1520231195.55,29.591,63.285,f9da
1520231196.16,29.584,63.280,0ae2
1520231196.76,29.591,63.280,a97f
1520231197.37,29.595,63.277,c6cb
1520231197.97,29.595,63.280,a612
1520231198.57,29.588,63.290,2864
1520231199.18,29.591,63.288,2877
1520231199.78,29.595,63.283,9671
1520231200.38,29.591,63.275,e9e4
1520231200.99,29.584,63.288,8bea
1520231201.59,29.584,63.285,5a47
1520231202.20,29.588,63.288,9a5d
1520231202.80,29.581,63.280,425c
1520231203.40,29.577,63.277,3a1a
1520231204.01,29.577,63.275,1a58
1520231204.61,29.584,63.277,6a3b
1520231205.22,29.581,63.283,723f
1520231205.82,29.573,63.288,d4a6
1520231206.43,29.570,63.280,9ddb
1520231207.03,29.563,63.267,ed65
1520231207.63,29.570,63.280,9ddb
1520231208.24,29.573,63.280,55ae
1520231208.84,29.570,63.267,ce33
1520231209.45,29.566,63.275,b6a8
1520231210.05,29.563,63.275,fe16
1520231210.65,29.563,63.272,8ef1
1520231211.26,29.566,63.275,b6a8
1520231211.86,29.570,63.280,9ddb
1520231212.46,29.559,63.275,422e
1520231213.07,29.552,63.270,c424
1520231213.67,29.552,63.270,c424
1520231214.28,29.563,63.267,ed65
1520231214.88,29.552,63.277,b4c3
1520231215.49,29.556,63.270,cb49
1520231216.09,29.556,63.270,cb49
1520231216.70,29.548,63.275,eede
1520231217.30,29.545,63.280,f821
1520231217.90,29.548,63.267,fdad
1520231218.51,29.552,63.270,c424
1520231219.11,29.545,63.272,c85d
1520231219.71,29.556,63.272,eb0b
1520231220.32,29.548,63.270,be7b
1520231220.92,29.541,63.275,b7d7
1520231221.53,29.545,63.260,db2e
1520231222.13,29.548,63.270,be7b
1520231222.73,29.538,63.275,5f75
1520231223.34,29.541,63.267,a4a4
1520231223.94,29.541,63.262,f401
1520231224.55,29.538,63.270,0fd0
1520231225.15,29.538,63.252,49f0
1520231225.76,29.538,63.257,1955
1520231226.36,29.541,63.260,d443
1520231226.96,29.534,63.267,5db1
1520231227.57,29.534,63.270,1e67
1520231228.17,29.527,63.249,f94b
1520231228.78,29.523,63.237,8e7f
1520231229.38,29.523,63.249,f626
1520231229.98,29.534,63.249,da1d
1520231230.59,29.538,63.260,3ce1
1520231231.19,29.531,63.255,601e
1520231231.79,29.523,63.247,17e8
1520231232.40,29.523,63.249,f626
1520231233.00,29.520,63.255,ccee
1520231233.61,29.527,63.249,f94b
1520231234.21,29.534,63.257,08e2
1520231234.82,29.534,63.255,28a0
1520231235.42,29.509,63.247,40f3
1520231236.03,29.527,63.252,7b11
1520231236.63,29.534,63.265,7df3
1520231237.23,29.509,63.249,a13d
1520231237.84,29.509,63.249,a13d
1520231238.44,29.498,63.257,9988
1520231239.04,29.516,63.242,22b7
1520231239.65,29.506,63.244,a952
1520231240.25,29.513,63.247,3aac
1520231240.86,29.495,63.239,8484
1520231241.46,29.516,63.249,93dc
1520231242.06,29.506,63.244,a952
1520231242.67,29.509,63.237,d964
1520231243.27,29.495,63.247,fcdd
1520231243.88,29.498,63.237,332e
1520231244.48,29.506,63.234,30c5
1520231245.09,29.498,63.239,d2e0
1520231245.69,29.506,63.242,c994
1520231246.30,29.495,63.244,ccbe
1520231246.90,29.495,63.249,1d13
1520231247.50,29.495,63.234,5529
1520231248.11,29.506,63.234,30c5
1520231248.71,29.495,63.242,ac78
1520231249.31,29.484,63.239,2874
1520231249.92,29.491,63.244,c3d3
1520231250.52,29.484,63.237,c9ba
1520231251.12,29.498,63.237,332e
1520231251.73,29.495,63.244,ccbe
1520231252.33,29.488,63.242,113f
1520231252.94,29.477,63.237,999b
1520231253.54,29.484,63.255,435e
1520231254.15,29.473,63.244,3f02
1520231254.75,29.477,63.227,aaaa
1520231255.36,29.473,63.244,3f02
1520231255.96,29.481,63.229,53fb
1520231256.56,29.481,63.227,b235
1520231257.17,29.477,63.239,7855
1520231257.77,29.481,63.234,b167
1520231258.37,29.491,63.234,5a44
1520231258.98,29.473,63.239,7738
1520231259.58,29.466,63.232,65ce
1520231260.19,29.473,63.237,96f6
1520231260.79,29.477,63.232,c93e
1520231261.39,29.466,63.227,065a
1520231262.00,29.459,63.239,2023
1520231262.60,29.473,63.237,96f6
1520231263.21,29.459,63.224,c2bf
1520231263.81,29.470,63.227,6db2
1520231264.42,29.470,63.229,8c7c
1520231265.02,29.466,63.232,65ce
1520231265.63,29.477,63.234,a9f8
1520231266.23,29.455,63.229,02a5
1520231266.83,29.459,63.227,f2dc
1520231267.44,29.459,63.232,9148
1520231268.04,29.459,63.221,921a
1520231268.64,29.445,63.224,382b
1520231269.25,29.455,63.219,57f6
1520231269.85,29.459,63.224,c2bf
1520231270.45,29.445,63.234,0b1a
1520231271.06,29.445,63.221,688e
1520231271.66,29.455,63.227,e36b
1520231272.27,29.459,63.227,f2dc
1520231272.87,29.448,63.229,bfe2
1520231273.48,29.455,63.221,83ad
1520231274.08,29.445,63.221,688e
1520231274.69,29.445,63.219,bcd5
1520231275.29,29.445,63.224,382b
1520231275.89,29.452,63.219,90ee
1520231276.50,29.434,63.209,799c
1520231277.10,29.445,63.214,6d78
1520231277.71,29.448,63.229,bfe2
1520231278.31,29.445,63.204,5e49
1520231278.91,29.430,63.204,a75c
1520231279.52,29.441,63.209,8089
1520231280.12,29.427,63.211,e8f3
1520231280.72,29.448,63.211,6bb9
1520231281.33,29.438,63.211,da12
1520231281.93,29.430,63.204,a75c
1520231282.54,29.441,63.216,4257
1520231283.14,29.430,63.211,c4c8
1520231283.75,29.434,63.214,9b00
1520231284.35,29.427,63.196,48ed
1520231284.96,29.420,63.196,8ff5
1520231285.56,29.434,63.211,cba5
1520231286.16,29.420,63.206,6c3d
1520231286.77,29.413,63.201,f9eb
1520231287.37,29.420,63.206,6c3d
1520231287.97,29.423,63.209,55a7
1520231288.58,29.427,63.201,dbc2
1520231289.18,29.430,63.204,a75c
1520231289.78,29.427,63.209,5aca
1520231290.39,29.402,63.196,c634
1520231290.99,29.416,63.204,e1f0
1520231291.60,29.413,63.201,f9eb
1520231292.20,29.416,63.194,0238
