isothermal_c,isothermal_rh,crc16
1520224992.97,23.936,71.433,24d9
1520224993.57,23.961,71.413,f26f
1520224994.18,23.975,71.418,a74a
1520224994.78,23.989,71.421,ead3
1520224995.39,23.986,71.410,7663
1520224995.99,24.025,71.400,4ffa
1520224996.59,24.021,71.408,c19f
1520224997.20,24.043,71.393,9ad2
1520224997.80,24.050,71.393,b984
1520224998.40,24.082,71.382,4b01
1520224999.01,24.093,71.370,d78d
1520224999.61,24.114,71.370,562f
1520225000.22,24.111,71.365,7d05
1520225000.82,24.129,71.349,e975
1520225001.42,24.150,71.354,e34b
1520225002.03,24.168,71.334,7a73
1520225002.63,24.186,71.334,9715
1520225003.24,24.211,71.329,c182
1520225003.84,24.232,71.314,4b6e
1520225004.45,24.225,71.309,85c9
1520225005.05,24.257,71.298,264d
1520225005.66,24.265,71.291,1586
1520225006.26,24.279,71.283,fc61
1520225006.86,24.290,71.276,9684
1520225007.47,24.318,71.265,cdb6
1520225008.07,24.322,71.260,212b
1520225008.67,24.332,71.248,2d62
1520225009.28,24.358,71.248,e696
1520225009.88,24.368,71.227,909b
1520225010.48,24.383,71.225,1501
1520225011.09,24.408,71.220,a60e
1520225011.69,24.415,71.204,3daf
1520225012.30,24.436,71.209,e210
1520225012.90,24.461,71.184,5390
1520225013.51,24.458,71.187,17be
1520225014.11,24.479,71.169,54cb
1520225014.72,24.497,71.161,38a5
1520225015.32,24.518,71.159,7386
1520225015.92,24.522,71.146,0d60
1520225016.53,24.543,71.138,6862
1520225017.13,24.561,71.123,a3f9
1520225017.74,24.576,71.123,8fc2
1520225018.34,24.590,71.108,ab77
1520225018.94,24.597,71.092,408d
1520225019.55,24.622,71.098,1c0d
1520225020.15,24.651,71.075,9771
1520225020.75,24.661,71.070,ea90
1520225021.36,24.669,71.059,0301
1520225021.96,24.683,71.049,d23b
1520225022.57,24.694,71.037,8659
1520225023.17,24.711,71.044,21a9
1520225023.78,24.729,71.029,693c
1520225024.38,24.747,71.006,3a28
1520225024.99,24.761,71.003,2c21
1520225025.59,24.783,71.001,f0b2
1520225026.19,24.790,70.988,ffa4
1520225026.80,24.804,70.976,9554
1520225027.40,24.829,70.965,0605
1520225028.00,24.847,70.955,97cf
1520225028.61,24.862,70.932,c357
1520225029.21,24.865,70.940,bd9a
1520225029.81,24.887,70.932,f89e
1520225030.42,24.890,70.927,b731
1520225031.02,24.915,70.902,8ff2
1520225031.63,24.930,70.884,df74
1520225032.23,24.947,70.879,6854
1520225032.84,24.955,70.871,8dd9
1520225033.44,24.976,70.869,31f2
1520225034.05,24.983,70.848,975b
1520225034.65,25.015,70.836,8b6e
1520225035.25,25.026,70.825,6d0d
1520225035.86,25.037,70.813,f468
1520225036.46,25.051,70.823,7b78
1520225037.07,25.058,70.795,b27c
1520225037.67,25.080,70.787,e1e6
1520225038.27,25.105,70.785,cfa0
1520225038.88,25.112,70.775,f3a5
1520225039.48,25.123,70.759,3edc
1520225040.08,25.137,70.749,e9a3
1520225040.69,25.155,70.734,74b7
1520225041.29,25.169,70.726,5b37
1520225041.90,25.198,70.706,e2d2
1520225042.50,25.208,70.711,d217
1520225043.11,25.230,70.693,7f52
1520225043.71,25.233,70.678,2543
1520225044.32,25.251,70.675,21c0
1520225044.92,25.276,70.655,46dd
1520225045.52,25.287,70.658,48f7
1520225046.13,25.294,70.637,30e8
1520225046.73,25.323,70.627,af3f
1520225047.33,25.323,70.619,1ba2
1520225047.94,25.333,70.607,227e
1520225048.54,25.348,70.597,a6b2
1520225049.15,25.369,70.581,74f1
1520225049.75,25.394,70.591,89f0
1520225050.35,25.401,70.566,7fb1
1520225050.96,25.409,70.543,57ac
1520225051.56,25.434,70.556,4f18
1520225052.17,25.441,70.541,f5db
1520225052.77,25.462,70.536,12b9
1520225053.38,25.487,70.525,2a22
1520225053.98,25.494,70.518,8d8a
