Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1518056301.62,119.97791,-0.08,24.993,19.731,-0.134998374655
1518056302.62,119.97788,-0.33,24.998,19.731,-0.139150062443
1518056303.62,119.97788,-0.33,24.998,19.721,-0.144697498538
1518056304.63,119.97788,-0.33,25.004,19.721,-0.146788903036
1518056305.63,119.97788,-0.33,25.002,19.731,-0.148916866893
1518056306.63,119.97793,0.08,25.006,19.721,-0.151084266055
1518056307.63,119.97793,0.08,25.001,19.731,-0.153293976464
1518056308.63,119.97793,0.08,25.001,19.731,-0.136112350091
1518056309.62,119.97801,0.75,24.995,19.742,-0.118251434269
1518056310.62,119.97801,0.75,24.996,19.731,-0.0996973721708
1518056311.63,119.97801,0.75,24.994,19.71,-0.103908670451
1518056312.63,119.97789,-0.25,24.998,19.742,-0.107853769536
1518056313.63,119.97789,-0.25,25.0,19.742,-0.111539205664
1518056314.63,119.97789,-0.25,25.005,19.742,-0.107764658821
1518056315.63,119.97789,-0.25,25.004,19.742,-0.115421635297
1518056316.63,119.97784,-0.67,25.006,19.753,-0.124045670004
1518056317.63,119.97784,-0.67,25.002,19.731,-0.133646262274
1518056318.63,119.97784,-0.67,25.001,19.753,-0.138068925068
1518056319.63,119.97788,-0.33,24.996,19.721,-0.141291621676
1518056320.63,119.97788,-0.33,24.997,19.731,-0.143319406789
1518056321.63,119.97788,-0.33,24.995,19.742,-0.135414122981
1518056322.63,119.97796,0.33,25.0,19.742,-0.128506486999
1518056323.63,119.97796,0.33,25.0,19.742,-0.122592925699
1518056324.63,119.97796,0.33,25.006,19.742,-0.120840882689
1518056325.63,119.97796,0.33,25.002,19.731,-0.113803907625
1518056326.63,119.97783,-0.75,25.004,19.742,-0.107145555053
1518056327.63,119.97783,-0.75,24.999,19.753,-0.100859985934
1518056328.63,119.97783,-0.75,25.0,19.742,-0.109631425885
1518056329.63,119.97781,-0.92,24.996,19.721,-0.118342776019
1518056330.63,119.97781,-0.92,24.997,19.742,-0.127001269773
1518056331.63,119.97781,-0.92,24.996,19.753,-0.119290521845
1518056332.63,119.97778,-1.17,24.999,19.753,-0.112072954876
1518056333.63,119.97778,-1.17,25.0,19.71,-0.105341248282
1518056334.63,119.97778,-1.17,25.004,19.742,-0.0975506188075
1518056335.63,119.97778,-1.17,25.002,19.721,-0.0929018718915
1518056336.63,119.97796,0.33,25.003,19.731,-0.0889861858784
1518056337.63,119.97796,0.33,25.0,19.721,-0.0857970245301
1518056338.63,119.97796,0.33,25.0,19.742,-0.0787458876168
1518056339.63,119.97788,-0.33,24.998,19.731,-0.0715886457699
1518056340.63,119.97788,-0.33,24.999,19.731,-0.0643151024577
1518056341.63,119.97788,-0.33,24.998,19.753,-0.0556539506331
1518056342.63,119.97787,-0.42,25.002,19.742,-0.0475126911959
1518056343.63,119.97787,-0.42,25.003,19.731,-0.0398797332169
1518056344.63,119.97787,-0.42,25.007,19.731,-0.0463884669384
1518056345.63,119.97787,-0.42,25.002,19.731,-0.0695037862249
1518056346.63,119.97793,0.08,25.004,19.753,-0.0932897671269
1518056347.63,119.97793,0.08,24.999,19.742,-0.117761660867
1518056348.63,119.97793,0.08,25.002,19.742,-0.117224565101
1518056349.63,119.97778,-1.17,24.999,19.753,-0.117440531126
1518056350.63,119.97778,-1.17,25.004,19.753,-0.118402238357
1518056351.63,119.97778,-1.17,25.001,19.742,-0.129219128693
1518056352.63,119.97808,1.33,25.007,19.731,-0.140722498342
1518056353.63,119.97808,1.33,25.004,19.721,-0.152913044501
1518056354.64,119.97808,1.33,25.006,19.742,-0.16579146437
1518056355.64,119.97808,1.33,25.004,19.731,-0.163681418521
1518056356.63,119.97791,-0.08,25.006,19.731,-0.160707892028
1518056357.63,119.97791,-0.08,25.0,19.753,-0.156858509616
1518056358.63,119.97791,-0.08,25.002,19.721,-0.173525437732
1518056359.64,119.97782,-0.83,24.997,19.71,-0.188988260045
1518056360.64,119.97782,-0.83,25.0,19.721,-0.203253512792
1518056361.64,119.97782,-0.83,25.0,19.731,-0.194112113044
1518056362.64,119.97782,-0.83,25.006,19.753,-0.185845044094
1518056363.64,119.97802,0.83,25.005,19.731,-0.178438449116
1518056364.63,119.97802,0.83,25.007,19.721,-0.171878471287
1518056365.63,119.97802,0.83,25.001,19.721,-0.173401562945
1518056366.63,119.97792,0.0,25.0,19.742,-0.175144838681
1518056367.64,119.97792,0.0,24.995,19.742,-0.177101065058
1518056368.64,119.97792,0.0,24.997,19.742,-0.182598520719
1518056369.64,119.97797,0.42,25.001,19.742,-0.188409192914
1518056370.64,119.97797,0.42,25.006,19.731,-0.194528724153
1518056371.64,119.97797,0.42,25.006,19.721,-0.176271921454
1518056372.64,119.97797,0.42,25.006,19.71,-0.158622466009
1518056373.64,119.97792,0.0,24.998,19.721,-0.141554212867
1518056374.64,119.97792,0.0,24.998,19.699,-0.125041017074
1518056375.64,119.97792,0.0,24.994,19.71,-0.127956318756
1518056376.64,119.97782,-0.83,24.994,19.721,-0.131226538173
1518056377.64,119.97782,-0.83,24.993,19.71,-0.134842175992
1518056378.64,119.97782,-0.83,24.998,19.721,-0.148567369879
1518056379.64,119.97792,0.0,24.998,19.731,-0.162298707829
1518056380.64,119.97792,0.0,25.002,19.721,-0.176035405495
1518056381.64,119.97792,0.0,25.002,19.71,-0.173825503356
1518056382.64,119.97792,0.0,25.004,19.721,-0.168487653918
1518056383.64,119.97787,-0.42,25.0,19.71,-0.163942780899
1518056384.64,119.97787,-0.42,25.0,19.721,-0.160172059935
1518056385.64,119.97787,-0.42,24.995,19.721,-0.179105119269
1518056386.64,119.97797,0.42,24.996,19.699,-0.196380196418
1518056387.64,119.97797,0.42,24.994,19.71,-0.21199877293
