timestamp,temp_c,humidity
1513939177.386,24.3239,59.4831
1513939178.386,24.3346,59.4678
1513939179.385,24.3346,59.4907
1513939180.385,24.3346,59.4831
1513939181.384,24.3453,59.4755
1513939182.384,24.3239,59.4755
1513939183.383,24.3239,59.4755
1513939184.383,24.3132,59.4678
1513939185.382,24.2918,59.4907
1513939186.386,24.3239,59.5060
1513939187.385,24.3025,59.4984
1513939188.385,24.3025,59.4984
1513939189.384,24.2918,59.5060
1513939190.384,24.2811,59.5060
1513939191.383,24.2811,59.5136
1513939192.383,24.2597,59.5365
1513939193.382,24.2597,59.5365
1513939194.382,24.2811,59.5289
1513939195.381,24.2811,59.5365
1513939196.381,24.2704,59.5670
1513939197.384,24.2597,59.5441
1513939198.384,24.2704,59.5594
1513939199.383,24.2490,59.5975
1513939200.383,24.2490,59.5823
1513939201.382,24.2597,59.5899
1513939202.382,24.2597,59.6128
1513939203.381,24.2490,59.6128
1513939204.381,24.2490,59.6281
1513939205.400,24.2490,59.6281
1513939206.380,24.2490,59.6357
1513939207.379,24.2490,59.6433
1513939208.379,24.2383,59.6509
1513939209.379,24.2383,59.6738
1513939210.382,24.2170,59.6662
1513939211.382,24.2277,59.6891
1513939212.381,24.2490,59.6815
1513939213.381,24.2277,59.7043
1513939214.380,24.2170,59.7120
1513939215.380,24.2383,59.7196
1513939216.379,24.2383,59.7196
1513939217.379,24.2063,59.7578
1513939218.378,24.2277,59.7654
1513939219.378,24.2170,59.7730
1513939220.381,24.2170,59.7806
1513939221.377,24.2170,59.7806
1513939222.380,24.2063,59.7959
1513939223.380,24.2063,59.8035
1513939224.379,24.1956,59.8112
1513939225.379,24.1849,59.8188
1513939226.378,24.1849,59.8188
1513939227.378,24.1956,59.8340
1513939228.377,24.1956,59.8340
1513939229.377,24.1849,59.8340
1513939230.376,24.1956,59.8417
1513939231.376,24.1849,59.8493
1513939232.375,24.1742,59.8569
1513939233.379,24.1956,59.8417
1513939234.378,24.1849,59.8493
1513939235.378,24.1635,59.8417
1513939236.377,24.1635,59.8340
1513939237.377,24.1528,59.8493
1513939238.377,24.1528,59.8417
1513939239.376,24.1849,59.8569
1513939240.376,24.1849,59.8569
1513939241.375,24.1528,59.8646
1513939242.375,24.1635,59.8569
1513939243.374,24.1528,59.8493
1513939244.374,24.1528,59.8493
1513939245.377,24.1528,59.8340
1513939246.377,24.1314,59.8340
1513939247.376,24.1528,59.8417
1513939248.403,24.1421,59.8493
1513939249.375,24.1528,59.8569
1513939250.375,24.1421,59.8493
1513939251.374,24.1528,59.8493
1513939252.374,24.1528,59.8646
1513939253.373,24.1207,59.8875
1513939254.373,24.1528,59.8722
1513939255.372,24.1207,59.8951
1513939256.376,24.1421,59.9027
1513939257.371,24.1207,59.9103
1513939258.375,24.1314,59.9103
1513939259.374,24.1421,59.9103
1513939260.374,24.1314,59.9180
1513939261.373,24.1314,59.9409
1513939262.373,24.1314,59.9409
1513939263.372,24.1314,59.9409
1513939264.372,24.0993,59.9561
1513939265.372,24.1314,59.9561
1513939266.371,24.1100,59.9561
1513939267.371,24.1421,59.9332
1513939268.374,24.1100,59.9561
1513939269.373,24.0993,59.9714
1513939270.373,24.1100,59.9714
1513939271.372,24.1207,59.9637
1513939272.372,24.0993,59.9561
1513939273.372,24.0993,59.9714
1513939274.371,24.0993,59.9943
1513939275.371,24.0886,60.0019
1513939276.370,24.1100,59.9943
1513939277.370,24.0993,59.9943
1513939278.369,24.0993,59.9866
1513939279.369,24.0993,60.0095
1513939280.368,24.0886,60.0172
1513939281.372,24.0886,60.0248
1513939282.371,24.0886,60.0324
1513939283.371,24.0886,60.0095
1513939284.370,24.0779,60.0324
1513939285.370,24.0886,60.0477
1513939286.369,24.0886,60.0477
1513939287.369,24.0886,60.0553
1513939288.368,24.0886,60.0477
1513939289.368,24.0779,60.0706
1513939290.367,24.0886,60.0782
1513939291.371,24.0672,60.0858
1513939292.370,24.0779,60.0782
1513939293.370,24.0779,60.0858
1513939294.372,24.0672,60.0858
1513939295.369,24.0886,60.0858
1513939296.368,24.0779,60.1163
1513939297.368,24.0779,60.1011
1513939298.367,24.0672,60.1240
1513939299.367,24.0779,60.1163
1513939300.367,24.0672,60.1316
1513939301.366,24.0779,60.1392
1513939302.366,24.0672,60.1392
1513939303.365,24.0565,60.1392
1513939304.368,24.0565,60.1392
1513939305.368,24.0672,60.1545
1513939306.368,24.0672,60.1392
1513939307.367,24.0886,60.1392
1513939308.367,24.0672,60.1545
1513939309.366,24.0672,60.1621
1513939310.366,24.0565,60.1545
1513939311.400,24.0672,60.1697
1513939312.365,24.0565,60.1774
1513939313.364,24.0565,60.1926
1513939314.368,24.0779,60.1774
1513939315.363,24.0672,60.2079
1513939316.367,24.0779,60.1774
1513939317.366,24.0565,60.1926
1513939318.366,24.0779,60.1850
1513939319.365,24.0672,60.2079
1513939320.365,24.0351,60.1926
1513939321.364,24.0458,60.2231
1513939322.364,24.0458,60.1926
1513939323.363,24.0458,60.2155
1513939324.363,24.0672,60.2079
1513939325.362,24.0565,60.2155
1513939326.362,24.0565,60.2231
1513939327.365,24.0672,60.2231
1513939328.365,24.0672,60.2155
1513939329.364,24.0672,60.2308
1513939330.364,24.0351,60.2231
1513939331.363,24.0458,60.2079
1513939332.363,24.0458,60.2460
1513939333.362,24.0565,60.2460
1513939334.362,24.0351,60.2460
1513939335.362,24.0458,60.2613
1513939336.361,24.0458,60.2384
1513939337.360,24.0458,60.2613
1513939338.360,24.0458,60.2842
1513939339.363,24.0458,60.2766
1513939340.363,24.0458,60.2766
1513939341.363,24.0458,60.2994
1513939342.362,24.0458,60.2613
1513939343.362,24.0458,60.2613
1513939344.361,24.0244,60.2918
1513939345.361,24.0458,60.2918
1513939346.360,24.0458,60.2994
1513939347.360,24.0458,60.2842
1513939348.359,24.0565,60.2842
1513939349.359,24.0458,60.2918
1513939350.362,24.0244,60.2842
1513939351.362,24.0458,60.2842
1513939352.361,24.0565,60.2918
1513939353.361,24.0351,60.2994
1513939354.360,24.0351,60.2842
1513939355.360,24.0458,60.2842
1513939356.359,24.0351,60.2918
1513939357.359,24.0244,60.2842
1513939358.358,24.0244,60.2766
1513939359.358,24.0458,60.2842
1513939360.357,24.0458,60.2842
1513939361.357,24.0458,60.2918
1513939362.360,24.0137,60.2613
1513939363.360,24.0351,60.2842
1513939364.360,24.0351,60.2842
1513939365.359,24.0030,60.2994
1513939366.358,24.0244,60.2689
1513939367.358,24.0030,60.2842
1513939368.358,24.0351,60.2994
1513939369.357,24.0244,60.2918
1513939370.357,24.0244,60.2918
