resistance,ppm,temp_c,ambient_c
69999.865,0.49,25.007,20.278
69999.865,0.49,25.001,20.268
69999.865,0.49,25.01,20.268
69999.865,0.49,25.0,20.289
69999.865,0.49,25.005,20.278
69999.865,0.49,25.008,20.257
69999.865,0.49,25.0,20.268
69999.865,0.49,25.003,20.268
69999.865,0.49,25.001,20.278
69999.865,0.49,24.997,20.3
69999.865,0.49,25.003,20.289
69999.865,0.49,25.004,20.268
69999.881,0.72,24.996,20.289
69999.881,0.72,24.997,20.289
69999.881,0.72,24.995,20.3
69999.881,0.72,24.999,20.278
69999.881,0.72,25.003,20.278
69999.881,0.72,24.997,20.289
69999.881,0.72,24.999,20.278
69999.881,0.72,25.0,20.3
69999.881,0.72,25.015,20.3
69999.881,0.72,24.993,20.311
69999.881,0.72,24.995,20.3
69999.881,0.72,25.001,20.3
69999.881,0.72,24.997,20.3
69999.881,0.72,24.996,20.278
69999.916,1.22,24.995,20.321
69999.916,1.22,24.997,20.311
69999.916,1.22,24.99,20.289
69999.916,1.22,25.003,20.311
69999.916,1.22,24.997,20.3
69999.916,1.22,25.004,20.311
69999.916,1.22,25.005,20.3
69999.916,1.22,24.999,20.311
69999.916,1.22,25.001,20.311
69999.916,1.22,25.0,20.3
69999.916,1.22,25.004,20.311
69999.916,1.22,24.997,20.3
69999.916,1.22,25.0,20.289
69999.883,0.75,24.996,20.321
69999.883,0.75,25.003,20.321
69999.883,0.75,25.005,20.321
69999.883,0.75,25.01,20.311
69999.883,0.75,24.997,20.311
69999.883,0.75,25.01,20.3
69999.883,0.75,24.993,20.311
69999.883,0.75,24.992,20.311
69999.883,0.75,24.999,20.311
69999.883,0.75,24.995,20.311
69999.883,0.75,25.0,20.311
69999.883,0.75,25.004,20.311
69999.883,0.75,25.001,20.3
69999.883,0.75,25.01,20.311
69999.924,1.33,25.0,20.311
69999.924,1.33,25.0,20.332
69999.924,1.33,25.0,20.321
69999.924,1.33,25.004,20.311
69999.924,1.33,25.003,20.321
69999.924,1.33,24.999,20.332
69999.924,1.33,25.004,20.311
69999.924,1.33,25.014,20.321
69999.924,1.33,24.999,20.332
69999.924,1.33,25.016,20.332
69999.924,1.33,25.011,20.311
69999.924,1.33,24.995,20.321
69999.924,1.33,24.997,20.321
69999.881,0.72,24.996,20.311
69999.881,0.72,24.992,20.321
69999.881,0.72,25.0,20.332
69999.881,0.72,24.992,20.321
69999.881,0.72,24.995,20.332
69999.881,0.72,25.004,20.311
69999.881,0.72,24.99,20.311
69999.881,0.72,25.0,20.343
69999.881,0.72,24.997,20.321
69999.881,0.72,24.997,20.332
69999.881,0.72,25.003,20.311
69999.881,0.72,25.001,20.332
69999.881,0.72,25.008,20.311
69999.865,0.49,25.015,20.332
69999.865,0.49,25.012,20.321
69999.865,0.49,25.007,20.321
69999.865,0.49,24.989,20.311
69999.865,0.49,24.999,20.321
69999.865,0.49,25.001,20.332
69999.865,0.49,24.996,20.321
69999.865,0.49,25.001,20.321
69999.865,0.49,25.008,20.321
69999.865,0.49,25.018,20.321
69999.865,0.49,25.012,20.332
69999.865,0.49,25.005,20.311
69999.865,0.49,24.996,20.321
69999.865,0.49,24.997,20.321
69999.896,0.93,24.997,20.321
69999.896,0.93,25.004,20.3
69999.896,0.93,24.993,20.332
69999.896,0.93,24.999,20.311
69999.896,0.93,24.993,20.311
69999.896,0.93,25.001,20.311
69999.896,0.93,25.001,20.321
