si7021_c,setpoint,adc,pwm
26.896,231,571.399,0.00
26.896,231,570.598,0.00
26.907,231,569.992,0.00
26.885,231,569.606,0.00
26.885,231,569.170,0.00
26.885,231,568.372,0.00
26.864,231,567.709,0.00
26.874,231,567.167,0.00
26.864,231,566.639,0.00
26.842,231,566.149,0.00
26.842,231,565.611,0.00
26.821,231,565.168,0.00
26.821,231,564.418,0.00
26.842,231,563.985,0.00
26.831,231,563.261,0.00
26.821,231,562.747,0.00
26.810,231,562.139,0.00
26.810,231,561.503,0.00
26.799,231,560.940,0.00
26.799,231,560.353,0.00
26.789,231,560.131,0.00
26.756,231,559.457,0.00
26.767,231,558.717,0.00
26.767,231,558.432,0.00
26.767,231,557.867,0.00
26.746,231,557.361,0.00
26.746,231,556.660,0.00
26.746,231,556.169,0.00
26.713,231,555.762,0.00
26.735,231,555.148,0.00
26.724,231,554.562,0.00
26.713,231,553.970,0.00
26.703,231,553.561,0.00
26.703,231,552.749,0.00
26.703,231,552.339,0.00
26.703,231,551.905,0.00
26.671,231,551.412,0.00
26.681,231,550.717,0.00
26.671,231,550.245,0.00
26.660,231,549.715,0.00
26.660,231,549.139,0.00
26.671,231,548.470,0.00
26.649,231,547.886,0.00
26.628,231,547.518,0.00
26.628,231,546.999,0.00
26.628,231,546.680,0.00
26.628,231,546.189,0.00
26.628,231,545.624,0.00
26.617,231,545.062,0.00
26.617,231,544.736,0.00
26.606,231,544.290,0.00
26.595,231,543.779,0.00
26.585,231,543.497,0.00
26.563,231,542.735,0.00
26.585,231,542.096,0.00
26.574,231,541.529,0.00
26.553,231,540.967,0.00
26.553,231,540.494,0.00
26.553,231,540.110,0.00
26.553,231,539.577,0.00
26.553,231,538.854,0.00
26.531,231,538.157,0.00
26.531,231,537.707,0.00
26.510,231,537.462,0.00
26.510,231,536.900,0.00
26.510,231,536.518,0.00
26.510,231,535.992,0.00
26.510,231,535.528,0.00
26.477,231,534.939,0.00
26.477,231,534.528,0.00
26.488,231,533.491,0.00
26.477,231,533.164,0.00
26.467,231,532.774,0.00
26.477,231,532.301,0.00
26.467,231,531.650,0.00
26.456,231,531.085,0.00
26.445,231,530.547,0.00
26.435,231,529.883,0.00
26.435,231,529.342,0.00
26.424,231,528.734,0.00
26.413,231,528.069,0.00
26.402,231,527.449,0.00
26.435,231,527.039,0.00
26.392,231,526.549,0.00
26.424,231,526.170,0.00
26.392,231,525.673,0.00
26.370,231,524.967,0.00
26.402,231,524.501,0.00
26.370,231,524.008,0.00
26.370,231,523.726,0.00
26.360,231,522.906,0.00
26.349,231,522.465,0.00
26.360,231,521.947,0.00
26.349,231,521.472,0.00
26.338,231,520.802,0.00
26.338,231,520.486,0.00
26.338,231,519.928,0.00
26.306,231,519.274,0.00
26.317,231,518.704,0.00
26.317,231,517.976,0.00
26.295,231,517.390,0.00
26.295,231,517.233,0.00
26.284,231,516.676,0.00
26.295,231,516.000,0.00
26.284,231,515.346,0.00
26.274,231,514.512,0.00
26.274,231,514.104,0.00
26.252,231,513.511,0.00
26.242,231,513.012,0.00
26.252,231,512.155,0.00
26.231,231,511.862,0.00
26.231,231,511.033,0.00
26.231,231,510.747,0.00
26.220,231,510.097,0.00
26.220,231,509.507,0.00
26.199,231,508.943,0.00
26.199,231,508.214,0.00
26.188,231,507.550,0.00
26.166,231,506.988,0.00
26.199,231,506.408,0.00
26.177,231,505.717,0.00
26.156,231,505.286,0.00
26.166,231,504.790,0.00
26.156,231,504.274,0.00
26.166,231,503.758,0.00
26.145,231,503.401,0.00
26.134,231,503.043,0.00
26.145,231,502.444,0.00
26.113,231,501.993,0.00
26.124,231,501.384,0.00
26.124,231,500.557,0.00
26.113,231,500.026,0.00
26.102,231,499.697,0.00
26.102,231,499.008,0.00
26.091,231,498.455,0.00
26.081,231,497.688,0.00
26.081,231,497.253,0.00
26.070,231,496.587,0.00
26.059,231,496.158,0.00
26.048,231,495.768,0.00
26.048,231,495.221,0.00
26.048,231,494.559,0.00
26.027,231,493.929,0.00
26.048,231,493.702,0.00
26.038,231,492.865,0.00
26.016,231,492.268,0.00
26.016,231,491.732,0.00
26.006,231,491.282,0.00
25.995,231,490.860,0.00
26.006,231,490.336,0.00
25.995,231,489.883,0.00
26.006,231,489.133,0.00
25.984,231,488.517,0.00
25.963,231,488.256,0.00
25.973,231,487.435,0.00
25.952,231,486.977,0.00
25.963,231,486.426,0.00
25.952,231,485.864,0.00
25.941,231,485.176,0.00
25.941,231,484.807,0.00
25.941,231,484.185,0.00
25.941,231,483.539,0.00
25.920,231,483.071,0.00
25.909,231,482.650,0.00
25.920,231,482.024,0.00
25.909,231,481.488,0.00
25.909,231,480.985,0.00
25.888,231,480.725,0.00
25.898,231,480.486,0.00
25.877,231,479.919,0.00
25.877,231,479.201,0.00
25.866,231,479.108,0.00
25.855,231,478.600,0.00
25.855,231,477.882,0.00
25.855,231,477.514,0.00
25.845,231,476.858,0.00
25.855,231,476.370,0.00
25.845,231,475.703,0.00
25.823,231,475.389,0.00
25.823,231,474.819,0.00
25.823,231,474.518,0.00
25.823,231,473.932,0.00
25.823,231,473.504,0.00
25.823,231,472.947,0.00
25.802,231,472.532,0.00
25.802,231,471.902,0.00
25.791,231,471.278,0.00
25.770,231,470.832,0.00
25.770,231,470.485,0.00
25.759,231,469.896,0.00
25.748,231,469.650,0.00
25.770,231,469.200,0.00
25.748,231,468.640,0.00
25.748,231,468.423,0.00
25.759,231,467.751,0.00
25.727,231,467.746,0.00
25.737,231,466.934,0.00
25.705,231,466.163,0.00
25.705,231,465.785,0.00
25.705,231,465.544,0.00
25.705,231,464.715,0.00
25.684,231,464.375,0.00
25.673,231,464.053,0.00
25.641,231,463.342,0.00
25.619,231,462.430,0.00
25.598,231,461.475,0.00
25.577,231,460.468,0.00
25.523,231,459.430,0.00
25.512,231,457.612,0.00
25.469,231,456.292,0.00
25.437,231,455.034,0.00
25.405,231,454.093,0.00
25.394,231,453.566,0.00
25.362,231,452.809,0.00
25.351,231,451.987,0.00
25.341,231,450.516,0.00
25.319,231,449.316,0.00
25.298,231,448.632,0.00
25.287,231,447.670,0.00
25.276,231,446.793,0.00
25.298,231,445.917,0.00
25.266,231,445.128,0.00
25.266,231,444.028,0.00
25.223,231,442.751,0.00
25.212,231,441.490,0.00
25.180,231,440.174,0.00
25.169,231,439.460,0.00
25.137,231,439.166,0.00
25.126,231,438.103,0.00
25.105,231,437.162,0.00
25.094,231,436.375,0.00
25.083,231,435.817,0.00
25.062,231,435.045,0.00
25.051,231,433.885,0.00
25.062,231,433.124,0.00
25.062,231,432.674,0.00
25.062,231,431.920,0.00
25.040,231,431.296,0.00
25.040,231,431.211,0.00
25.040,231,430.973,0.00
25.062,231,430.403,0.00
25.030,231,429.880,0.00
25.051,231,429.182,0.00
25.062,231,428.627,0.00
25.051,231,428.280,0.00
25.030,231,427.848,0.00
25.062,231,427.523,0.00
25.051,231,427.425,0.00
25.051,231,426.954,0.00
25.062,231,426.575,0.00
25.051,231,426.324,0.00
25.040,231,426.022,0.00
25.073,231,425.554,0.00
25.062,231,425.278,0.00
25.073,231,425.017,0.00
25.062,231,424.836,0.00
25.062,231,424.477,0.00
25.073,231,424.193,0.00
25.073,231,424.011,0.00
25.062,231,423.261,0.00
25.062,231,422.961,0.00
25.083,231,422.544,0.00
25.073,231,422.566,0.00
25.073,231,421.825,0.00
25.062,231,420.966,0.00
25.051,231,420.056,0.00
25.040,231,419.271,0.00
25.040,231,418.346,0.00
24.987,231,417.421,0.00
24.976,231,416.683,0.00
24.987,231,415.957,0.00
24.987,231,415.765,0.00
24.976,231,415.450,0.00
24.965,231,414.999,0.00
24.965,231,414.803,0.00
24.987,231,414.333,0.00
24.987,231,414.155,0.00
24.976,231,413.721,0.00
24.976,231,413.365,0.00
24.976,231,412.755,0.00
24.976,231,412.236,0.00
24.955,231,411.600,0.00
24.955,231,411.220,0.00
24.933,231,410.843,0.00
24.933,231,410.342,0.00
24.922,231,409.697,0.00
24.901,231,409.129,0.00
24.879,231,408.527,0.00
24.890,231,408.467,0.00
24.869,231,408.010,0.00
24.869,231,407.525,0.00
24.869,231,407.236,0.00
24.847,231,406.980,0.00
24.869,231,406.851,0.00
24.826,231,406.554,0.00
24.847,231,405.882,0.00
24.837,231,405.523,0.00
24.858,231,405.004,0.00
24.847,231,405.061,0.00
24.826,231,404.852,0.00
24.826,231,404.390,0.00
24.804,231,404.013,0.00
24.837,231,403.833,0.00
24.837,231,403.661,0.00
24.826,231,403.209,0.00
24.826,231,402.806,0.00
24.804,231,402.561,0.00
24.815,231,401.990,0.00
24.804,231,401.502,0.00
24.783,231,401.246,0.00
24.794,231,400.536,0.00
24.772,231,400.223,0.00
24.772,231,399.945,0.00
24.772,231,399.493,0.00
24.761,231,399.450,0.00
24.772,231,399.164,0.00
24.772,231,398.891,0.00
24.783,231,398.732,0.00
24.772,231,398.419,0.00
24.794,231,398.018,0.00
24.794,231,397.872,0.00
24.794,231,397.585,0.00
24.772,231,397.430,0.00
24.794,231,397.095,0.00
24.794,231,396.652,0.00
24.783,231,396.415,0.00
24.783,231,396.094,0.00
24.826,231,395.766,0.00
24.794,231,395.419,0.00
24.794,231,395.244,0.00
24.772,231,394.857,0.00
24.761,231,394.583,0.00
24.751,231,394.090,0.00
24.761,231,393.866,0.00
24.761,231,393.437,0.00
24.740,231,393.027,0.00
24.729,231,392.668,0.00
24.729,231,392.167,0.00
24.729,231,391.942,0.00
24.697,231,391.381,0.00
24.719,231,390.812,0.00
24.719,231,390.567,0.00
24.686,231,390.079,0.00
24.686,231,389.194,0.00
24.686,231,388.714,0.00
24.654,231,387.980,0.00
24.654,231,387.459,0.00
24.633,231,386.927,0.00
24.611,231,386.341,0.00
24.590,231,385.660,0.00
24.590,231,384.733,0.00
24.579,231,384.273,0.00
24.558,231,383.782,0.00
24.568,231,383.879,0.00
24.558,231,383.138,0.00
24.568,231,383.254,0.00
24.558,231,382.654,0.00
24.558,231,382.439,0.00
24.590,231,382.516,0.00
24.579,231,382.418,0.00
24.579,231,382.109,0.00
24.579,231,382.193,0.00
24.590,231,382.091,0.00
24.590,231,381.795,0.00
24.568,231,381.296,0.00
24.568,231,380.844,0.00
24.579,231,380.832,0.00
24.558,231,380.774,0.00
24.558,231,380.341,0.00
24.558,231,380.221,0.00
24.558,231,380.024,0.00
24.536,231,379.592,0.00
24.558,231,379.050,0.00
24.547,231,379.068,0.00
24.536,231,378.792,0.00
24.568,231,378.437,0.00
24.526,231,377.957,0.00
24.526,231,377.362,0.00
24.526,231,377.007,0.00
24.526,231,376.723,0.00
24.515,231,376.282,0.00
24.493,231,375.827,0.00
24.493,231,375.363,0.00
24.493,231,374.503,0.00
24.483,231,374.312,0.00
24.472,231,374.305,0.00
24.483,231,374.194,0.00
24.483,231,374.053,0.00
24.483,231,373.866,0.00
24.504,231,373.647,0.00
24.504,231,373.381,0.00
24.515,231,373.224,0.00
