si7021_c,si7021_h,set,input,output
27.936,48.146,400,663.791,0.00
27.936,48.153,400,663.414,0.00
27.936,48.153,400,663.842,0.00
27.936,48.153,400,663.600,0.00
27.936,48.153,400,663.531,0.00
27.936,48.161,400,663.424,0.00
27.936,48.153,400,663.031,0.00
27.925,48.153,400,663.070,0.00
27.904,48.146,400,663.320,0.00
27.936,48.161,400,663.406,0.00
27.915,48.184,400,662.561,0.00
27.904,48.153,400,662.383,0.00
27.925,48.161,400,662.711,0.00
27.904,48.153,400,662.078,0.00
27.915,48.169,400,661.344,0.00
27.893,48.176,400,661.660,0.00
27.904,48.184,400,662.094,0.00
27.893,48.184,400,661.891,0.00
27.893,48.161,400,662.049,0.00
27.893,48.176,400,661.455,0.00
27.904,48.169,400,661.771,0.00
27.904,48.169,400,661.508,0.00
27.904,48.184,400,661.576,0.00
27.893,48.169,400,661.383,0.00
27.882,48.184,400,661.234,0.00
27.915,48.184,400,660.887,0.00
27.893,48.176,400,660.416,0.00
27.904,48.184,400,660.547,0.00
27.872,48.199,400,660.086,0.00
27.893,48.184,400,660.240,0.00
27.893,48.199,400,660.639,0.00
27.872,48.184,400,660.020,0.00
27.861,48.199,400,659.934,0.00
27.872,48.192,400,659.617,0.00
27.872,48.184,400,659.443,0.00
27.872,48.184,400,659.980,0.00
27.872,48.214,400,659.391,0.00
27.872,48.192,400,659.416,0.00
27.872,48.199,400,659.189,0.00
27.882,48.214,400,659.396,0.00
27.872,48.214,400,658.705,0.00
27.893,48.214,400,658.764,0.00
27.872,48.207,400,658.768,0.00
27.861,48.237,400,658.963,0.00
27.861,48.214,400,658.863,0.00
27.840,48.214,400,658.668,0.00
27.872,48.230,400,658.557,0.00
27.882,48.222,400,658.584,0.00
27.872,48.222,400,658.354,0.00
27.872,48.230,400,658.354,0.00
27.872,48.230,400,657.352,0.00
27.850,48.230,400,657.709,0.00
27.872,48.245,400,658.367,0.00
27.872,48.230,400,657.588,0.00
27.861,48.222,400,657.875,0.00
27.850,48.222,400,657.367,0.00
27.861,48.245,400,657.523,0.00
27.840,48.245,400,657.367,0.00
27.850,48.237,400,657.068,0.00
27.807,48.237,400,657.246,0.00
27.850,48.245,400,656.758,0.00
27.840,48.253,400,656.871,0.00
27.840,48.253,400,656.959,0.00
27.829,48.245,400,656.418,0.00
27.840,48.253,400,656.711,0.00
27.840,48.260,400,656.061,0.00
27.840,48.260,400,655.914,0.00
27.829,48.253,400,656.023,0.00
27.818,48.245,400,655.721,0.00
27.829,48.260,400,655.871,0.00
27.840,48.253,400,655.072,0.00
27.818,48.260,400,655.074,0.00
27.840,48.268,400,655.422,0.00
27.807,48.253,400,654.785,0.00
27.829,48.268,400,655.219,0.00
27.818,48.276,400,654.994,0.00
27.829,48.283,400,655.000,0.00
27.807,48.268,400,654.455,0.00
27.807,48.291,400,654.633,0.00
27.797,48.283,400,654.814,0.00
27.829,48.291,400,654.010,0.00
27.797,48.291,400,654.254,0.00
27.786,48.268,400,653.947,0.00
27.807,48.283,400,653.758,0.00
27.829,48.291,400,653.209,0.00
27.807,48.298,400,653.535,0.00
27.797,48.291,400,653.680,0.00
27.829,48.298,400,653.287,0.00
27.797,48.306,400,653.080,0.00
27.797,48.298,400,652.943,0.00
27.818,48.291,400,653.363,0.00
27.797,48.306,400,652.748,0.00
27.786,48.298,400,652.574,0.00
27.797,48.298,400,652.645,0.00
27.797,48.306,400,652.578,0.00
27.818,48.314,400,652.834,0.00
27.797,48.314,400,652.418,0.00
27.786,48.314,400,652.359,0.00
27.786,48.314,400,652.021,0.00
27.797,48.314,400,652.799,0.00
27.786,48.321,400,651.562,0.00
