Date,Volts,Farenheit
2017-04-29 10:36:42.075677,1.108,97.35
2017-04-29 10:36:42.425666,1.108,97.35
2017-04-29 10:36:42.775669,1.108,97.35
2017-04-29 10:36:43.125568,1.107,97.26
2017-04-29 10:36:43.475726,1.107,97.26
2017-04-29 10:36:43.825865,1.107,97.26
2017-04-29 10:36:44.175629,1.107,97.26
2017-04-29 10:36:44.525876,1.107,97.26
2017-04-29 10:36:44.875632,1.106,97.17
2017-04-29 10:36:45.225929,1.106,97.17
2017-04-29 10:36:45.576431,1.106,97.17
2017-04-29 10:36:45.925938,1.106,97.17
2017-04-29 10:36:46.275690,1.106,97.17
2017-04-29 10:36:46.625631,1.105,97.08
2017-04-29 10:36:46.975346,1.105,97.08
2017-04-29 10:36:47.325656,1.105,97.08
2017-04-29 10:36:47.675765,1.105,97.08
2017-04-29 10:36:48.025502,1.104,96.98
2017-04-29 10:36:48.375411,1.104,96.98
2017-04-29 10:36:48.725571,1.104,96.98
2017-04-29 10:36:49.075461,1.103,96.89
2017-04-29 10:36:49.425218,1.103,96.89
2017-04-29 10:36:49.775518,1.103,96.89
2017-04-29 10:36:50.125257,1.103,96.89
2017-04-29 10:36:50.475140,1.103,96.89
2017-04-29 10:36:50.825642,1.102,96.80
2017-04-29 10:36:51.175412,1.102,96.80
2017-04-29 10:36:51.525692,1.102,96.80
2017-04-29 10:36:51.875454,1.102,96.80
2017-04-29 10:36:52.225702,1.101,96.71
2017-04-29 10:36:52.575466,1.101,96.71
2017-04-29 10:36:52.925378,1.101,96.71
2017-04-29 10:36:53.275523,1.100,96.62
2017-04-29 10:36:53.626029,1.100,96.62
2017-04-29 10:36:53.975532,1.100,96.62
2017-04-29 10:36:54.325328,1.100,96.62
2017-04-29 10:36:54.675239,1.099,96.52
2017-04-29 10:36:55.025344,1.099,96.52
2017-04-29 10:36:55.375235,1.099,96.52
2017-04-29 10:36:55.725026,1.098,96.43
2017-04-29 10:36:56.075486,1.098,96.43
2017-04-29 10:36:56.425377,1.098,96.43
2017-04-29 10:36:56.775405,1.097,96.34
2017-04-29 10:36:57.125431,1.097,96.34
2017-04-29 10:36:57.475572,1.097,96.34
2017-04-29 10:36:57.825461,1.096,96.25
2017-04-29 10:36:58.175258,1.096,96.25
2017-04-29 10:36:58.525484,1.096,96.25
2017-04-29 10:36:58.875265,1.095,96.15
2017-04-29 10:36:59.225160,1.095,96.15
2017-04-29 10:36:59.575251,1.095,96.15
2017-04-29 10:36:59.925175,1.094,96.06
2017-04-29 10:37:00.274941,1.094,96.06
2017-04-29 10:37:00.625209,1.094,96.06
2017-04-29 10:37:00.975755,1.093,95.97
2017-04-29 10:37:01.325875,1.093,95.97
2017-04-29 10:37:01.675663,1.093,95.97
2017-04-29 10:37:02.025572,1.092,95.88
2017-04-29 10:37:02.375708,1.092,95.88
2017-04-29 10:37:02.725608,1.092,95.88
2017-04-29 10:37:03.075520,1.092,95.88
2017-04-29 10:37:03.425661,1.092,95.88
2017-04-29 10:37:03.775459,1.092,95.88
2017-04-29 10:37:04.125679,1.092,95.88
2017-04-29 10:37:04.475835,1.093,95.97
2017-04-29 10:37:04.824992,1.094,96.06
2017-04-29 10:37:05.175163,1.095,96.15
