volts,ppm,temp_c,ambient_c
1517899967.44,69997.01,-0.61,25.0,21.319
1517899968.44,69997.01,-0.61,25.005,21.329
1517899969.44,69997.033,-0.28,25.003,21.34
1517899970.44,69997.033,-0.28,25.006,21.34
1517899971.44,69997.033,-0.28,25.001,21.329
1517899972.44,69997.035,-0.25,25.004,21.329
1517899973.44,69997.035,-0.25,25.0,21.34
1517899974.44,69997.035,-0.25,25.002,21.34
1517899975.44,69997.035,-0.25,25.0,21.351
1517899976.44,69997.041,-0.17,25.002,21.351
1517899977.44,69997.041,-0.17,25.001,21.319
1517899978.44,69997.041,-0.17,25.005,21.34
1517899979.44,69997.035,-0.25,25.004,21.34
1517899980.44,69997.035,-0.25,25.006,21.34
1517899981.44,69997.035,-0.25,25.0,21.329
1517899982.44,69997.091,0.55,25.002,21.329
1517899983.44,69997.091,0.55,24.999,21.329
1517899984.44,69997.091,0.55,25.001,21.329
1517899985.44,69997.091,0.55,25.0,21.34
1517899986.44,69997.076,0.33,25.004,21.351
1517899987.44,69997.076,0.33,25.003,21.329
1517899988.44,69997.076,0.33,25.003,21.34
1517899989.44,69997.079,0.38,25.001,21.351
1517899990.44,69997.079,0.38,25.002,21.362
1517899991.44,69997.079,0.38,24.998,21.351
1517899992.44,69997.073,0.29,25.001,21.362
1517899993.44,69997.073,0.29,25.0,21.372
1517899994.44,69997.073,0.29,25.005,21.362
1517899995.44,69997.073,0.29,25.004,21.34
1517899996.44,69997.053,0.01,25.006,21.362
1517899997.44,69997.053,0.01,25.002,21.351
1517899998.44,69997.053,0.01,25.004,21.351
1517899999.45,69997.03,-0.32,25.0,21.351
1517900000.44,69997.03,-0.32,25.0,21.34
1517900001.44,69997.03,-0.32,24.998,21.329
1517900002.44,69997.048,-0.07,25.0,21.34
1517900003.44,69997.048,-0.07,24.999,21.351
1517900004.44,69997.048,-0.07,25.004,21.329
1517900005.45,69997.048,-0.07,25.001,21.372
1517900006.45,69997.013,-0.57,25.005,21.351
1517900007.45,69997.013,-0.57,25.001,21.319
1517900008.44,69997.013,-0.57,25.003,21.329
1517900009.44,69997.018,-0.49,24.999,21.329
1517900010.44,69997.018,-0.49,25.001,21.362
1517900011.45,69997.018,-0.49,25.0,21.362
1517900012.45,69997.061,0.12,25.001,21.362
1517900013.45,69997.061,0.12,25.002,21.319
1517900014.45,69997.061,0.12,25.005,21.34
1517900015.45,69997.061,0.12,25.003,21.329
1517900016.45,69997.02,-0.47,25.005,21.329
